"alg-geom/9401001",,"David Eisenbud and Bernd Sturmfels","Binomial Ideals","44 pages, PlainTeX",,,,"alg-geom math.AC math.AG",,"  We investigate the structure of ideals generated by binomials (polynomials
with at most two terms) and the schemes and varieties associated to them. The
class of binomial ideals contains many classical examples from algebraic
geometry, and it has numerous applications within and beyond pure mathematics.
The ideals defining toric varieties are precisely the binomial prime ideals.
Our main results concern primary decomposition: If $I$ is a binomial ideal then
the radical, associated primes, and isolated primary components of $I$ are
again binomial, and $I$ admits primary decompositions in terms of binomial
primary ideals. A geometric characterization is given for the affine algebraic
sets that can be defined by binomials. Our structural results yield
sparsity-preserving algorithms for finding the radical and primary
decomposition of a binomial ideal.
","[{""version"":""v1"",""created"":""Tue, 11 Jan 1994 21:56:00 GMT""}]","2008-02-03"
"cond-mat/9401025","Jose' Lorenzana","J. Lorenzana and A. Dobry","Polaron Formation in the Three-Band Peierls-Hubbard Model for Cuprate
  Superconductors","7 pages + 3 poscript figures, Revtex 3.0, MSC-1993","Phys. Rev. B 50, 16094 (1994)","10.1103/PhysRevB.50.16094",,"cond-mat",,"  Exact diagonalization calculations show a continuous transition from
delocalized to small polaron behavior as a function of intersite
electron-lattice coupling. A transition, found previously at Hartree-Fock level
[Yonemitsu et al., Phys. Rev. Lett. {\bf 69}, 965 (1992)], between a magnetic
and a non magnetic state does not subsist when fluctuations are included. Local
phonon modes become softer close to the polaron and by comparison with optical
measurements of doped cuprates we conclude that they are close to the
transition region between polaronic and non-polaronic behavior. The barrier to
adiabatically move a hole vanishes in that region suggesting large mobilities.
","[{""version"":""v1"",""created"":""Wed, 12 Jan 1994 11:51:06 GMT""}]","2008-06-16"
"cond-mat/9401026","Alexander Nersesyan","A.A. Nersesyan, A. M. Tsvelik and F. Wenger","Disorder Effects in Two-Dimensional d-wave Superconductors","24 pages, 3 figures upon request, RevTeX",,"10.1103/PhysRevLett.72.2628","CTH/GU-ITP-94-2","cond-mat",,"  Influence of weak nonmagnetic impurities on the single-particle density of
states $\rho(\omega)$ of two-dimensional electron systems with a conical
spectrum is studied. We use a nonperturbative approach, based on replica trick
with subsequent mapping of the effective action onto a one-dimensional model of
interacting fermions, the latter being treated by Abelian and non-Abelian
bosonization methods. It is shown that, in a d-wave superconductor, the density
of states, averaged over randomness, follows a nontrivial power-law behavior
near the Fermi energy: $\rho(\omega) \sim |\omega|^{\alpha}$. The exponent
$\alpha>0$ is calculated for several types of disorder. We demonstrate that the
property $\rho(0) = 0$ is a direct consequence of a {\it continuous} symmetry
of the effective fermionic model, whose breakdown is forbidden in two
dimensions. As a counter example, we consider another model with a conical
spectrum - a two-dimensional orbital antiferromagnet, where static disorder
leads to a finite $\rho(0)$ due to breakdown of a {\it discrete}
(particle-hole) symmetry.
","[{""version"":""v1"",""created"":""Wed, 12 Jan 1994 13:56:12 GMT""}]","2009-10-22"
"gr-qc/9401010",,"Francois Englert and Benni Reznik","Entropy generation in 2+1-dimensional Gravity","22 pages, Tex, TAUP-2102-93","Phys.Rev.D50:2692-2699,1994","10.1103/PhysRevD.50.2692",,"gr-qc hep-th",,"  The tunneling approach, for entropy generation in quantum gravity, is shown
to be valid when applied to 3-D general relativity. The entropy of de Sitter
and Reissner-Nordstr\""om external event horizons and of the 3-D black hole
obtained by Ba\~nados et. al. is rederived from tunneling of the metric to
these spacetimes. The analysis for spacetimes with an external horizon is
carried out in a complete analogy with the 4-D case. However, we find
significant differences for the black hole. In particular the initial
configuration that tunnels to a 3-D black hole may not to yield an infinitely
degenerate object, as in 4-D Schwarzschild black hole. We discuss the possible
relation to the evaporation of the 3-D black hole.
","[{""version"":""v1"",""created"":""Tue, 11 Jan 1994 17:27:28 GMT""},{""version"":""v2"",""created"":""Wed, 12 Jan 1994 10:49:29 GMT""}]","2010-11-01"
"hep-lat/9401009","Stanley Myint","Stanley Myint and Claudio Rebbi","Chiral Perturbation Theory on the Lattice; Strong Coupling Expansion","20 pages, Latex. A paragraph in the text has been modified to provide
  a more accurate reference to previous applications of the Body Centered
  Hypercubical Lattice","Nucl.Phys. B421 (1994) 241-260","10.1016/0550-3213(94)90233-X","BUHEP-93-28","hep-lat hep-ph",,"  We evaluate the coefficients of the effective chiral Lagrangian to $O(p^4)$
in the strong coupling, large-N expansion. In this limit we explicitly perform
the functional integral over fundamental degrees of freedom and obtain the
effective chiral Lagrangian. We perform this calculation on the Body Centered
Hypercubical lattice which preserves Euclidean invariance to order $p^4$. We
further discuss how the coefficients could be obtained numerically, out of the
strong-coupling domain.
","[{""version"":""v1"",""created"":""Tue, 11 Jan 1994 20:44:08 GMT""},{""version"":""v2"",""created"":""Mon, 31 Jan 1994 18:05:25 GMT""}]","2009-10-22"
"hep-lat/9401010","Stanley Myint","Stanley Myint and Claudio Rebbi","Lattice QCD and Chiral Lagrangians","15 pages, Latex, BUHEP-93-25",,,,"hep-lat hep-ph",,"  After a very brief review of the formalism of lattice gauge theories we show
how one can calculate the parameters of the continuum chiral Lagrangians
proceeding through the derivation of an effective lattice chiral Lagrangian as
an intermediary step. The derivation is done in the strong coupling limit. We
also discuss how the derivation could be carried out in the intermediate
coupling domain by numerical simulation techniques. Based on a lecture given by
C. Rebbi at the 1993 ICTP Summer School in High Energy Physics and Cosmology,
to be published in the proceedings of the School (World Scientific Publishing -
Singapore - 1994.)
","[{""version"":""v1"",""created"":""Tue, 11 Jan 1994 20:44:52 GMT""}]","2007-05-23"
"hep-lat/9401011",,"P.S. Spencer, C. Michael","Topography of the cooled $\cal{O}(3)$ vacuum","11 pages, postscript",,,"LTH-328","hep-lat",,"  We investigate the {\it topography\/} of the \o3 vacuum after various degrees
of under-relaxed cooling, using the na\""{\i}ve action density and geometric and
field theoretical definitions of the topological charge density. The results
are presented graphically. (This is a cutdown version of the full paper which
is available via anonymous ftp to suna.amtp.liv.ac.uk in /pub/pss/. The figures
missing from this version are available from the same site.)
","[{""version"":""v1"",""created"":""Wed, 12 Jan 1994 13:00:48 GMT""}]","2007-05-23"
"hep-ph/9401236","Estia Eichten","Estia Eichten and Kenneth Lane","Multiscale Technicolor and Top Production","12 pages (plain TeX) and 4 figures (uuencoded),
  FERMILAB--PUB--94/007-T and BUHEP-94-1","Phys.Lett. B327 (1994) 129-135","10.1016/0370-2693(94)91540-7",,"hep-ph",,"  Pair-production of heavy top quarks at the Tevatron Collider is significantly
enhanced by the color--octet technipion, $\eta_T$, occurring in multiscale
models of walking technicolor. We discuss $\bar tt$ rates for $m_t = 170$ GeV
and $M_{\eta_T} = 400-500$ GeV. Multiscale models also have color--octet
technirho states in the mass range 200-600 GeV that appear as resonances in
dijet production and technipion pair--production.
","[{""version"":""v1"",""created"":""Tue, 11 Jan 1994 18:55:23 GMT""}]","2009-10-28"
"hep-ph/9401237",,"Michael G. Sotiropoulos and George Sterman","Proton-Proton Near-Forward Hard Elastic Scattering","34 pages, LaTeX","Nucl.Phys.B425:489-515,1994","10.1016/0550-3213(94)90285-2","ITP-SB-93-83","hep-ph",,"  We calculate the leading twist contribution to near-forward proton-proton
(and proton-antiproton) elastic scattering with large momentum transfer, in the
multiple scattering (Landshoff) mechanism. The amplitude in the near-forward
region is dominated by singlet exchange for all three valence quark-quark
scatterings. We assume the existence of a hard singlet quark-quark amplitude,
which we estimate to be ${\cal O}(\alpha_s^2/t)$. For a three-quark state whose
transverse size is less than $1/\Lambda_{\rm QCD}$, Sudakov resummation
accounts for both approximate $\d \sigma^{pp}/ \d t \sim t^{-8}$ at moderate
$t$, and $\d \sigma^{pp}/ \d t \sim t^{-10}$ at larger $t$. The transition from
approximate $t^{-8}$ to $t^{-10}$ behavior is strongly correlated with the
transverse size of the valence three-quark state in the proton.
","[{""version"":""v1"",""created"":""Tue, 11 Jan 1994 20:41:20 GMT""}]","2014-11-17"
"hep-ph/9401238","Axel de la Macorra P.","A. de la Macorra and G.G. Ross","Unification of couplings and soft supersymmetry breaking terms in 4D
  superstring models","16 pages (LaTeX) Oxford preprint OUTP-93-32P","Phys.Lett. B325 (1994) 85-95","10.1016/0370-2693(94)90076-0",,"hep-ph",,"  We consider the predictions for the hierarchy of mass scales, the fine
structure constant, the radii of compactification and the soft SUSY breaking
terms which follow if SUSY breaking is triggered by a gaugino condensate.
","[{""version"":""v1"",""created"":""Wed, 12 Jan 1994 00:42:53 GMT""},{""version"":""v2"",""created"":""Tue, 18 Jan 1994 23:22:43 GMT""},{""version"":""v3"",""created"":""Thu, 3 Feb 1994 00:23:14 GMT""}]","2009-10-28"
"hep-ph/9401239","Axel de la Macorra P.","A. de la Macorra","Unification Scale in String Theory","12 pages (LaTeX)","Phys.Lett. B341 (1994) 31-37","10.1016/0370-2693(94)01275-X","Oxford preprint OUTP-93-33P","hep-ph",,"  We study the unification scale and gauge coupling constant in 4D string
theory. We show that the fine structure constant is determined by the dimension
of the hidden gauge group and only $SU(6)$ and $SO(9)$ are consistent with
minimal string unification while the unification scale can be of order of
$10^{16}\,GeV$.
","[{""version"":""v1"",""created"":""Wed, 12 Jan 1994 00:45:25 GMT""},{""version"":""v2"",""created"":""Tue, 18 Jan 1994 23:25:42 GMT""},{""version"":""v3"",""created"":""Thu, 3 Feb 1994 00:24:03 GMT""}]","2009-10-28"
"hep-ph/9401240","Axel de la Macorra P.","A. de la Macorra","Phenomenological implications from moduli fields in strings","9 pages (LaTeX), Oxford preprint OUTP-93-34P","Phys.Lett. B335 (1994) 35-40","10.1016/0370-2693(94)91554-7",,"hep-ph",,"  We study some phenomenological consequences of having moduli fields with
large vacuum expectation values (v.e.v.). The v.e.vs of the moduli are
dynamically determined once supersymmetry is broken in 4D string theories. The
study constraints the possible Yukawa interactions and modular weights for
matter fields.
","[{""version"":""v1"",""created"":""Wed, 12 Jan 1994 00:46:42 GMT""},{""version"":""v2"",""created"":""Tue, 18 Jan 1994 23:28:06 GMT""},{""version"":""v3"",""created"":""Thu, 3 Feb 1994 00:24:42 GMT""}]","2009-10-28"
"hep-ph/9401241","Youichi Yamada","Youichi Yamada","Two-loop renormalization group equations for soft SUSY breaking scalar
  interactions: supergraph method","22 pages, revised version with note added, KEK-TH-383 / UT-665","Phys.Rev. D50 (1994) 3537-3545","10.1103/PhysRevD.50.3537",,"hep-ph",,"  We obtain the one- and two-loop renormalization group equations for soft SUSY
breaking scalar interactions in general, semi-simple SUSY gauge model, by using
the supergraph method. We find that the method simplifies the calculation
significantly because of the non-renormalization theorem and also because of
the property that the relevant divergences are derived by simple algebra from
those in exact SUSY case. A disagreement with the existing result is found in
$\beta^{(2)}(m^2)$ and its cause is briefly discussed.
","[{""version"":""v1"",""created"":""Wed, 12 Jan 1994 01:36:44 GMT""},{""version"":""v2"",""created"":""Fri, 1 Jul 1994 11:31:11 GMT""}]","2009-10-28"
"hep-ph/9401242",,"Elena Accomando and Silvano Petrarca","Searching a doubly charged Higgs boson at Hera","9 pages, Prep. Univ. of Rome ""La Sapienza"" n. 980 15/11/1993 3
  figures not included Latex file (PETRARCA@ROMA1.INFN.IT)","Phys.Lett. B323 (1994) 212-215","10.1016/0370-2693(94)90293-3",,"hep-ph",,"  The production of a single exotic Higgs particle is studied at Hera. Within
the present limits on the Yukawa couplings this doubly charged particle,
suggested by the left-right symmetric models, can be observed at Hera up to
values of its mass of about 150 GeV.
","[{""version"":""v1"",""created"":""Wed, 12 Jan 1994 08:23:00 GMT""}]","2009-10-28"
"hep-ph/9401243","Annemarie Blobel","Bernd A. Kniehl, Alberto Sirlin","Observations Concerning the Magnitude of t \bar{t} Threshold Effects on
  Electroweak Parameters","11 pages, latex, DESY 93-194, NYU-Th-93/12/01","Phys.Rev. D51 (1995) 3803-3810","10.1103/PhysRevD.51.3803",,"hep-ph",,"  We discuss a recent analysis of $t\bar{t}$ threshold effects and its
implications for the determination of electroweak parameters. We show that the
new formulation, when applied to the $\rho$ parameter for $m_t\approx158$~GeV,
gives a result of similar magnitude to those previously obtained. In fact, it
is quite close to our ``resonance'' calculation. We also present a simple
estimate of the size of the threshold effects based on an elementary Bohr-atom
model of $t\bar{t}$ resonances.
","[{""version"":""v1"",""created"":""Wed, 12 Jan 1994 12:55:52 GMT""}]","2009-10-28"
"hep-ph/9401257","Valery Rubakov","V.A.Rubakov and D.T.Son","Instanton - like transitions at high energies in (1+1) dimensional
  scalar models. II.Classically allowed induced vacuum decay","18 pages, 2 figures, LaTex, figures in PS, INR-T-94/1","Nucl.Phys.B424:55-70,1994","10.1016/0550-3213(94)90088-4",,"hep-ph",,"  We consider classical Minkowskian solutions to the field equation in the
(1+1) dimensional scalar model with the exponential interaction that describe
the unsuppressed false vacuum decay induced by $n$ initial particles. We find
that there is a critical value of $n$ below which there are no such solutions,
i.e., the vacuum decay is always suppressed. For the number of initial
particles larger than this value the vacuum decay is unsuppressed at high
enough energies.
","[{""version"":""v1"",""created"":""Wed, 12 Jan 1994 15:50:03 GMT""}]","2010-11-01"
"hep-th/9401042",,"Volker Schomerus","Construction of Field Algebras with Quantum Symmetry from Local
  Observables","50 pages, HUTMP 93-B333","Commun.Math.Phys. 169 (1995) 193-236","10.1007/BF02101601",,"hep-th",,"  It has been discussed earlier that ( weak quasi-) quantum groups allow for
conventional interpretation as internal symmetries in local quantum theory.
From general arguments and explicit examples their consistency with (braid-)
statistics and locality was established. This work addresses to the
reconstruction of quantum symmetries and algebras of field operators. For every
algebra $\A$ of observables satisfying certain standard assumptions, an
appropriate quantum symmetry is found. Field operators are obtained which act
on a positive definite Hilbert space of states and transform covariantly under
the quantum symmetry. As a substitute for Bose/Fermi (anti-) commutation
relations, these fields are demonstrated to obey local braid relation.
","[{""version"":""v1"",""created"":""Tue, 11 Jan 1994 18:48:06 GMT""}]","2009-10-28"
"hep-th/9401043","Valera","Valeri V. Dvoeglazov","2(2S+1)-Component Model and its Connection with Other Field Theories","Talk presented at the ELAF'93, Mar del Plata. July 5-16,1993 and at
  the XVII Symp. on Nucl.Phys., Oaxtepec.Jan. 4-7,1994. LaTeX file, 16 pp.
  Preprint IFUNAM FT-94-36","Rev.Mex.Fis.Suppl. 40 (1994) 352-366",,,"hep-th hep-ph",,"  This talk presents the review of forgotten but attractive formalism proposed
by Joos and Weinberg in the sixties for description of high-spin particles.
Problems raised in the recent works [Ahluwalia {\it et al.}] are discussed. New
results obtained by the author in his preceding papers [""Hadronic J."", 1993, v.
16, No. 5, pp. 423-428; No. 6, pp. 459-467; Preprints IFUNAM FT-93-19, 24, 35]
are reported. In {\it Appendix}, bibliography of publications related with
mentioned $2(2S+1)$- component formalism is presented.
","[{""version"":""v1"",""created"":""Tue, 11 Jan 1994 18:43:13 GMT""},{""version"":""v2"",""created"":""Sat, 15 Jan 1994 21:25:24 GMT""},{""version"":""v3"",""created"":""Sat, 12 Feb 1994 19:22:07 GMT""}]","2008-02-03"
"hep-th/9401044","Josh Boorstein","Joshua Boorstein and David Kutasov","Symmetries and Mass Splittings in QCD$_2$ Coupled to Adjoint Fermions","16 pages + 3 figures available upon request, harvmac, EFI-93-69","Nucl.Phys. B421 (1994) 263-277","10.1016/0550-3213(94)90328-X",,"hep-th",,"  Two dimensional QCD coupled to fermions in the adjoint representation of the
gauge group $SU(N)$, a useful toy model of QCD strings, is supersymmetric for a
certain ratio of quark mass and gauge coupling constant. Here we study the
theory in the vicinity of the supersymmetric point; in particular we exhibit
the algebraic structure of the model and show that the mass splittings as one
moves away from the supersymmetric point obey a universal relation of the form
${M_i}^2(B)-{M_i}^2(F)=M_i\delta m+O(\delta m^3)$. We discuss the connection of
this relation to string and quark model expectations and verify it numerically
for large $N$. At least for low lying states the $O(\delta m^3)$ corrections
are extremely small. We also discuss a natural generalization of QCD$_2$ with
an infinite number of couplings, which preserves SUSY. This leads to a Landau
-- Ginzburg description of the theory, and may be useful for defining a scaling
limit in which smooth worldsheets appear.
","[{""version"":""v1"",""created"":""Tue, 11 Jan 1994 19:28:12 GMT""}]","2009-10-28"
"hep-th/9401046","Cobi Sonnenschein","Y. Frishman, A. Hanany and J. Sonnenschein","Subtleties in QCD theory in Two Dimensions","21 pages","Nucl.Phys.B429:75-92,1994","10.1016/S0550-3213(94)80042-1",,"hep-th hep-ph",,"  It is shown that in a formulation of Yang-Mills theory in two dimensions in
terms of $A=if^{-1}\pa f$, $\bar A=i\bar f\bpa\bar f^{-1}$ with $f(z,\bar z)$,
$\bar f(z,\bar z)\in[SU(N_C)]^c$ the complexification of $SU(N_C)$ , reveals
certain subtleties. ``Physical"" massive color singlet states seem to exist.
When coupled to $N_F$ quarks the coupling constant is renormalized in such a
way that it vanishes for the pure Yang- Mills case. This renders the above
states massless and unphysical. In the abelian case, on the other hand, the
known results of the Schwinger model are reproduced with no need of such a
renormalization.
  The massless $QCD_2$ theory is analyzed in similar terms and peculiar massive
states appear, with a mass of $e_c\sqrt {N_F \over 2\pi}$.
","[{""version"":""v1"",""created"":""Wed, 12 Jan 1994 13:38:54 GMT""}]","2008-12-18"
