"alg-geom/9401002",,"Joerg Winkelmann","Holomorphic functions on an algebraic group invariant under a
  Zariski-dense subgroup","Plain TeX, 9 pages. TeX errors corrected",,,,"alg-geom math.AG",,"  Let G be complex linear-algebraic group, H a subgroup, which is dense in G in
the Zariski-topology. Assume that G/[G,G] is reductive and furthermore that (1)
G is solvable, or (2) the semisimple elements in G'=[G,G] are dense. Then every
H-invariant holomorphic function on G is constant. If G=G', furthermore every
H-invariant meromorphic or plurisubharmonic function is constant. Finally an
example of Margulis is used to show the existence of an algebraic group G with
G=G' such that there exists a Zariski-dense discrete subgroup without any
semisimple element.
","[{""version"":""v1"",""created"":""Sun, 16 Jan 1994 18:48:50 GMT""},{""version"":""v2"",""created"":""Tue, 18 Jan 1994 11:02:39 GMT""}]","2008-02-03"
"hep-ph/9401266","W. James Stirling","W.J. Stirling","Production of Jet Pairs at Large Relative Rapidity in Hadron-Hadron
  Collisions as a Probe of the Perturbative Pomeron","17 pages, 11 figures, preprint DTP/94/04","Nucl.Phys. B423 (1994) 56-79","10.1016/0550-3213(94)90565-7",,"hep-ph",,"  The production of jet pairs with small transverse momentum and large relative
rapidity in high energy hadron-hadron collisions is studied. The rise of the
parton-level cross section with increasing rapidity gap is a fundamental
prediction of the BFKL `perturbative pomeron' equation of Quantum
Chromodynamics. However, at fixed collider energy it is difficult to
disentangle this effect from variations in the cross section due to the parton
distributions. It is proposed to study instead the distribution in the
azimuthal angle difference of the jets as a function of the rapidity gap. The
flattening of this distribution with increasing dijet rapidity gap is shown to
be a characteristic feature of the BFKL behaviour. Predictions for the Fermilab
proton-antiproton collider are presented.
","[{""version"":""v1"",""created"":""Mon, 17 Jan 1994 12:44:25 GMT""}]","2009-10-28"
"hep-ph/9401267",,"A.G.Grozin and O.I.Yakovlev","Couplings of heavy hadrons with soft pions from QCD sum rules","9 pages, LaTeX, 5 figures available upon request (PCX or hardcopy),
  BudkerINP 94-3",,,,"hep-ph",,"  We estimate the couplings in the Heavy Hadron Chiral Theory (HHCT) lagrangian
from the QCD sum rules in an external axial field. Stability of the sum rules
at moderate values of the Borel parameter is poor that probably signals a slow
convergence of the OPE series. At large values of the Borel parameter they
stabilize, and yield the couplings much lower than the constituent quark model
expectations. This region is not trustworthy for baryons, but in the meson case
only unexpectedly large contributions of a few lowest excitations could
invalidate the prediction $g_1\approx0.2$.
","[{""version"":""v1"",""created"":""Mon, 17 Jan 1994 11:30:34 GMT""}]","2007-05-23"
"hep-ph/9401268","Wolfgang Lucha","Wolfgang Lucha, Franz F. Sch\""oberl, Michael Moser","Effectively Semi-Relativistic Hamiltonians of Nonrelativistic Form","18 pages",,,"HEPHY-PUB 594/93","hep-ph hep-th",,"  We construct effective Hamiltonians which despite their apparently
nonrelativistic form incorporate relativistic effects by involving parameters
which depend on the relevant momentum. For some potentials the corresponding
energy eigenvalues may be determined analytically. Applied to two-particle
bound states, it turns out that in this way a nonrelativistic treatment may
indeed be able to simulate relativistic effects. Within the framework of hadron
spectroscopy, this lucky circumstance may be an explanation for the sometimes
extremely good predictions of nonrelativistic potential models even in
relativistic regions.
","[{""version"":""v1"",""created"":""Mon, 17 Jan 1994 13:30:48 GMT""}]","2007-05-23"
"hep-ph/9401269",,"P. Aurenche, J.-Ph. Guillet, M. Fontannaz, Y. Shimizu, J. Fujimoto, K.
  Kato","Jets in photon-photon collisions: from TRISTAN to J/N-LC","14 + 10 figures included uuencoded tar-compressed
  (GUILLET@FRCPN11.IN2P3.FR) , KEK-CP-11, LAPP-TH436/93","Prog.Theor.Phys.92:175-188,1994","10.1143/PTP.92.175",,"hep-ph",,"  We study jet production in photon-photon reactions at the next-to-leading
logarithm accuracy. Special emphasis is placed on the discussion of the
theoretical uncertainties and on the role of the hadronic component of the
photon structure function. We also discuss subtleties in the quasi-real photon
spectrum when the photon is involved in a large transverse momentum reaction.
The phenomenology at TRISTAN energies is discussed and predictions are made for
LEP and a $1\ TeV$ \epem collider.
","[{""version"":""v1"",""created"":""Mon, 17 Jan 1994 15:51:54 GMT""},{""version"":""v2"",""created"":""Fri, 28 Jan 1994 17:40:48 GMT""}]","2011-07-19"
"hep-ph/9401270","S. V. Mikhailov","D.V. Shirkov and S.V. Mikhailov","Mass Dependent $\alpha_S$ Evolution and the Light Gluino Existence","13, Latex","Z.Phys.C63:463-470,1994","10.1007/BF01580326","BI-TP 93/75","hep-ph",,"  There is an intriguing discrepancy between \alpha_s(M_Z) values measured
directly at the CERN $Z_0$-factory and low-energy (at few GeV) measurements
transformed to $Q=M_{Z_0}$ by a massless QCD \alpha_s(Q) evolution relation.
There exists an attempt to reconcile this discrepancy by introducing a light
gluino $\gl$ in the MSSM.
  We study in detail the influence of heavy thresholds on \alpha_s(Q)
evolution. First, we consruct the ""exact"" explicit solution to the
mass-dependent two-loop RG equation for the running \alpha_s(Q). This solution
describes heavy thresholds smoothly. Second, we use this solution to
recalculate anew \alpha_s(M_Z) values corresponding to ""low-energy"" input data.
Our analysis demonstrates that using {\it mass-dependent RG procedure}
generally produces corrections of two types: Asymptotic correction due to
effective shift of threshold position; Local threshold correction only for the
case when input experiment lies in the close vicinity of heavy particle
threshold: $Q_{expt} \simeq M_h $.
  Both effects result in the effective shift of the \asmz values of the order
of $10^{-3}$. However, the second one could be enhanced when the gluino mass is
close to a heavy quark mass. For such a case the sum effect could be important
for the discussion of the light gluino existence as it further changes the
$\gl$ mass.
","[{""version"":""v1"",""created"":""Mon, 17 Jan 1994 12:54:49 GMT""},{""version"":""v2"",""created"":""Wed, 23 Mar 1994 11:49:15 GMT""}]","2010-11-01"
"hep-ph/9401271","Bednyakov Vadim","V.A. Bednyakov, H.V. Klapdor-Kleingrothaus, S.G. Kovalenko","Possible constraints on SUSY-model Parameters from Direct Dark Matter
  Search","10 pages, 1 table Preprint JINR E2-93-447","Phys.Lett. B329 (1994) 5-9","10.1016/0370-2693(94)90509-6",,"hep-ph astro-ph",,"  We consider the SUSY-model neutralino as a dominant Dark Matter particle in
the galactic halo and investigate some general issues of direct DM searches via
elastic neutralino-nucleus scattering.
  On the basis of conventional assumptions about the nuclear and nucleon
structure, without referring to a specific SUSY-model, we prove that it is
impossible in principle to extract more than three constraints on fundamental
SUSY-model parameters from the direct Dark matter searches.
  Three types of Dark matter detectors probing different groups of parameters
are recognized.
","[{""version"":""v1"",""created"":""Mon, 17 Jan 1994 15:26:06 GMT""},{""version"":""v2"",""created"":""Fri, 4 Feb 1994 15:20:39 GMT""}]","2009-10-28"
"hep-ph/9401272",,"F. Pisano and V. Pleitez","$SU(4)_L \otimes U(1)_N$ model for the electroweak interactions","Revtex 11 pages, preprint IFT-P.003/94","Phys.Rev. D51 (1995) 3865-3869","10.1103/PhysRevD.51.3865",,"hep-ph",,"  Assuming the existence of right-handed neutrinos, we consider an electroweak
model based on the gauge symmetry $SU(4)_L\otimes U(1)_N$. We study the neutral
currents coupled to all neutral vector bosons present in the theory. There are
no flavor changing neutral currents at tree level, coupled with the lightest
neutral vector boson.
","[{""version"":""v1"",""created"":""Mon, 17 Jan 1994 13:34:00 GMT""}]","2009-10-28"
"hep-th/9401076","Igor G. Korepanov","I. G. Korepanov","Tetrahedron equation and the algebraic geometry","12 pages, to appear in ``Zapiski Nauchnyh Seminarov POMI'',
  S-Petersburg (English translation of a part of the author's Ph.D. Thesis,
  S-Petersburg, 1990)","Zapiski Nauchn. Semin. POMI (S-Petersburg) 209 (1994) 137-149",,,"hep-th gr-qc math.AG",,"  The tetrahedron equation arises as a generalization of the famous
Yang--Baxter equation to the 2+1-dimensional quantum field theory and the
3-dimensional statistical mechanics. Very little is still known about its
solutions. Here a systematic method is described that does produce non-trivial
solutions to the tetrahedron equation with spin-like variables on the links.
The essence of the method is the use of the so-called tetrahedral Zamolodchikov
algebras.
","[{""version"":""v1"",""created"":""Mon, 17 Jan 1994 08:52:52 GMT""}]","2008-02-03"
"hep-th/9401077","Tatsuhiro Nakajima 0426-77-1111x3376","Tatsuhiro Nakajima and Hirofumi Yamada (Tokyo Metropolitan U.)","Basic Representations of A_{2l}^(2) and D_{l+1}^(2) and the Polynomial
  Solutions to the Reduced BKP Hierarchies","January 1994, 11 pages","J.Phys. A27 (1994) L171-L176","10.1088/0305-4470/27/6/004","TMUP-HEL-9403","hep-th",,"  Basic representations of A_{2l}^(2) and D_{l+1}^(2) are studied. The weight
vectors are represented in terms of Schur's $Q$-functions. The method to get
the polynomial solutions to the reduced BKP hierarchies is shown to be
equivalent to a certain rule in Maya game.
","[{""version"":""v1"",""created"":""Mon, 17 Jan 1994 09:45:10 GMT""}]","2009-10-28"
"hep-th/9401078",,"M.R. Niedermaier","The Quantum Spectrum of the Conserved Charges in Affine Toda Theories","38p, 1 fig. included, MPI-Ph/93-92, LATEX","Nucl.Phys. B424 (1994) 184-218","10.1016/0550-3213(94)90094-9",,"hep-th",,"  The exact eigenvalues of the infinite set of conserved charges on the
multi-particle states in affine Toda theories are determined. This is done by
constructing a free field realization of the Zamolodchikov-Faddeev algebra in
which the conserved charges are realized as derivative operators. The resulting
eigenvalues are renormalization group (RG) invariant, have the correct
classical limit and pass checks in first order perturbation theory. For $n=1$
one recovers the (RG invariant form of the) quantum masses of Destri and
DeVega.
","[{""version"":""v1"",""created"":""Mon, 17 Jan 1994 10:58:50 GMT""}]","2009-10-28"
"hep-th/9401079",,"Vincenzo Branchina and Janos Polonyi","Mini-Instantons","25 pg. LPT-93-3",,,,"hep-th",,"  It is shown that the inhomogeneous saddle points of scale invariant theories
make the semiclassical expansion sensitive on the choice of non-renormalizable
operators. In particular, the instanton fugacity and the beta function of the
two dimensional non-linear sigma model depends on apparently non-renormalizable
operators. This represents a non-perturbative breakdown of that concept of
universality which is based on low dimensional operators.
","[{""version"":""v1"",""created"":""Mon, 17 Jan 1994 14:35:12 GMT""}]","2007-05-23"
"hep-th/9401080","Leonid Bogdanov","L.V. Bogdanov (International Institute for Nonlinear Sciences, the
  Russian branch)","Generic solutions for some integrable lattice equations","The text of the talk at NEEDS-93 conference, Gallipoli, Italy,
  September-93, LaTeX, 8 pages. Several typos and minor errors are corrected","Theor.Math.Phys. 99 (1994) 505-510; Teor.Mat.Fiz. 99N2 (1994)
  177-184","10.1007/BF01016131",,"hep-th nlin.SI solv-int",,"  We derive the expressions for $\psi$-functions and generic solutions of
lattice principal chiral equations, lattice KP hierarchy and hierarchy
including lattice N-wave type equations. $\tau$-function of $n$ free fermions
plays fundamental role in this context. Miwa's coordinates in our case appear
as the lattice parameters.
","[{""version"":""v1"",""created"":""Mon, 17 Jan 1994 14:30:30 GMT""},{""version"":""v2"",""created"":""Thu, 10 Feb 1994 17:30:13 GMT""}]","2009-10-28"
"nucl-th/9401012",,"Shun-Jin Wang, Wei Zuo, and Wolfgang Cassing","Correlation Dynamics of Green's Functions","29 LATEX pages, 2 figures available upon request, UGI-94-02","Nucl.Phys. A573 (1994) 245-275","10.1016/0375-9474(94)90170-8",,"nucl-th",,"  We generalize the methods used in the theory of correlation dynamics and
establish a set of equations of motion for many-body correlation green's
functions in the non-relativistic case. These non-linear and coupled equations
of motion describe the dynamical evolution of correlation green's functions of
different order and transparently show how many-body correlations are generated
by the different interaction terms in a genuine nonperturbative framework. The
nonperturbative results of the conventional green's function theory are
included in the present formalism as two limiting cases (the so-called ladder
diagram summation and ring diagram summation) as well as the familiar
correlation dynamics of density-matrices in the equal time limit. We present
explicit expressions for three- and four-body correlation functions that can be
used to dynamically restore the trace relations for spin-symmetric fermi
systems and study numerically the relative importance of two-, three- and
four-body correlations for nuclear configurations close to the groundstate.
","[{""version"":""v1"",""created"":""Mon, 17 Jan 1994 09:53:34 GMT""}]","2015-06-26"
