"alg-geom/9405009","Oliver Kuechle","Oliver K\""uchle","Some properties of Fano manifolds that are zeros of sections in
  homogenous vector bundles over Grassmannians","8 pages, AmS-TeX 2.1",,,,"alg-geom math.AG",,"  Let $X$ be a Fano manifold which is the zero scheme of a general global
section $s$ in an irreducible homogenous vector bundle over a Grassmannian. We
prove that the restriction of the Pl\""ucker embedding embeds $X$ projectively
normal, and that every small deformation of $X$ comes from a deformation of the
section $s$. These results are strengthened in the case of Fano 4-folds.
","[{""version"":""v1"",""created"":""Fri, 20 May 1994 00:17:10 GMT""}]","2008-02-03"
"hep-ex/9405010","Schmiemann Klaus","A. Gabutti","Quasiparticle and phonon propagation in superheated superconducting
  granules after nuclear recoils","6pages in LATEX, PS-file including two figures available from
  Schmiemann@lhep.unibe.ch or via anonymous
  ftp://ubeclu.unibe.ch/scratch/toledoa.ps",,,"BU-HE-94-2","hep-ex cond-mat",,"  The propagation of the excess of quasiparticles and phonons produced by a
nuclear recoil inside Sn and Zn superheated superconducting granules will be
discussed. The decay towards equilibrium of the initial disturbance is assumed
to be a thermal diffusion process described by a set of coupled heat flow
equations for the effective quasiparticle and phonon temperatures. The solution
is carried out analytically for a point source located anywhere inside the
superconducting granule with the initial energy distributed in both
quasiparticle and phonon systems. The calculated time delay between the neutron
interaction and the nucleation of the phase transition will be compared to the
time delay distributions obtained by irradiating Zn and Sn SSG detectors with a
70Me$\!$V neutron beam.
","[{""version"":""v1"",""created"":""Fri, 20 May 1994 13:15:37 GMT""}]","2007-05-23"
"hep-ph/9405327",,"Tadashi Kon and Toshihiko Nonaka","Light Scalar Top and Heavy Top Signature at CDF","8 pages (LaTeX), 3 figures not included (available on request) ;
  ITP-SU-94/03, RUP-94-08","Phys.Rev. D50 (1994) 6005-6008","10.1103/PhysRevD.50.6005",,"hep-ph",,"  We propose a mechanism which could explain a slight excess of top signal rate
recently reported by CDF in the framework of the supersymmetric standard model.
If the scalar partner of the top (stop) is sufficiently light, the gluino with
an appropriate mass could decay into the stop plus the top with almost 100\%
branching ratio and experimental signatures of the gluino pair production could
be indistinguishable from those of the top production in the present integrated
luminosity Tevatron running. In this case the standard top signal, $W$ $+$
multi-jets events, would be effectively enhanced by the additional gluino
contribution. It is shown, moreover, that such a mechanism can actually work in
the radiative SU(2)$\times$U(1) breaking model without the GUT relations
between the gaugino mass parameters.
","[{""version"":""v1"",""created"":""Thu, 19 May 1994 19:22:57 GMT""}]","2009-10-28"
"hep-ph/9405329","Ernest Ma","Ernest Ma","Left-Right Symmetry and Supersymmetric Unification","11 pages, 2 figures not included, UCRHEP-T124, Apr 1994","Phys.Rev.D51:236-239,1995","10.1103/PhysRevD.51.236",,"hep-ph",,"  The existence of an SU(3) X SU(2)_L X SU(2)_R X U(1) gauge symmetry with g_L
= g_R at the TeV energy scale is shown to be consistent with supersymmetric
SO(10) grand unification at around 1O^{16} GeV if certain new particles are
assumed. The additional imposition of a discrete Z_2 symmetry leads to a
generalized definition of R parity as well as highly suppressed Majorana
neutrino masses. Another model based on SO(10) X SO(10) is also discussed.
","[{""version"":""v1"",""created"":""Thu, 19 May 1994 16:02:36 GMT""}]","2011-04-20"
"hep-ph/9405330","Leutwyler Heinrich","H. Leutwyler","Masses of the Light Quarks","Latex file, 23 pages Final version of manuscript, submitted for
  publication",,,"BUTP-94/8","hep-ph",,"  The magnitude of $m_u,\,m_d$ and $m_s$ is discussed on the basis of Chiral
Perturbation Theory. In particular, the claim that $m_u=0$ leads to a coherent
picture for the low energy structure of QCD is examined in detail. It is
pointed out that this picture leads to violent flavour asymmetries in the
matrix elements of the scalar and pseudoscalar operators, which are in conflict
with the hypothesis that the light quark masses may be treated as
perturbations. [Talk delivered at the 2nd IFT Workshop, ""Yukawa Couplings and
the Origins of Mass"", Gainesville, Florida, Feb. 1994, to be published by
International Press.]
","[{""version"":""v1"",""created"":""Thu, 19 May 1994 17:54:20 GMT""},{""version"":""v2"",""created"":""Mon, 12 Dec 1994 12:45:46 GMT""}]","2009-09-25"
"hep-ph/9405331",,"Xuemin Jin and Marina Nielsen","QCD Sum Rules for $\Sigma$ Hyperons in Nuclear Matter","20 pages in revtex, 6 figures available under request as ps files,
  UMD preprint #94--118","Phys.Rev.C51:347,1995","10.1103/PhysRevC.51.347",,"hep-ph",,"  Within finite-density QCD sum-rule approach we investigate the self-energies
of $\Sigma$ hyperons propagating in nuclear matter from a correlator of
$\Sigma$ interpolating fields evaluated in the nuclear matter ground state. We
find that the Lorentz vector self-energy of the $\Sigma$ is similar to the
nucleon vector self-energy. The magnitude of Lorentz scalar self-energy of the
$\Sigma$ is also close to the corresponding value for nucleon; however, this
prediction is sensitive to the strangeness content of the nucleon and to the
assumed density dependence of certain four-quark condensate. The scalar and
vector self-energies tend to cancel, but not completely. The implications for
the couplings of $\Sigma$ to the scalar and vector mesons in nuclear matter and
for the $\Sigma$ spin-orbit force in a finite nucleus are discussed.
","[{""version"":""v1"",""created"":""Thu, 19 May 1994 18:38:24 GMT""}]","2009-09-25"
"hep-ph/9405332","Giovanni Amelino-Camelia","F. Acampora, G. Amelino-Camelia, F. Buccella, O. Pisanti, L. Rosa, and
  T. Tuzi","Proton Decay and Neutrino Masses in SO(10)","33 pages, DSF-93/52, MIT-CTP-2286, LaTex, (2 figures not included)","NuovoCim.A108:375-400,1995","10.1007/BF02787063",,"hep-ph",,"  In the last few years physicists have been looking at $SO(10)$ GUT models
with renewed attention because it has been realized that the SU(5) minimal
model cannot unify the strong, electromagnetic and weak interactions in a way
consistent with the experimental values of $\alpha(M_Z)$, $\si$ and
$\alpha_S(M_Z)$. In this paper we derive lower limits on neutrino masses,
relevant for cosmology and for the solar-neutrino problem, from necessary
consistency conditions on a class of $SO(10)$ models with $\sq$ or $\stt$
intermediate gauge symmetry.
","[{""version"":""v1"",""created"":""Thu, 19 May 1994 18:39:03 GMT""}]","2009-09-25"
"hep-ph/9405333","Maria Krawczyk","I. Dymnikova and M. Krawczyk","Equation of State for Particles Arising at the Universe at Grand
  Unification Energies","8 pages, tex, IFT/9/1994",,,,"hep-ph gr-qc",,"  First postinflationary stage of the Universe evolution is considered in more
detail. It is shown that heavy particles with mass $M_{H}\sim M_{GUT}$ arising
at the Universe at phase transitions at Grand Unification Energies behave like
ideal quantum degenerate Bose gas. The equation of state for both scalar and
gauge bosons is presented including the coupling constant and vacuum
expectation value at $E_{GUT}$. One possible way is proposed to connect
cosmological observational data with parameters of Grand Unified Theories.
","[{""version"":""v1"",""created"":""Thu, 19 May 1994 19:37:49 GMT""}]","2007-05-23"
"hep-ph/9405334","Giovanni Amelino-Camelia","G. Amelino-Camelia, F. Buccella, and L. Rosa","Majorana Masses for Neutrinos in SO(10)","published in Proceedings of the Second International Workshop on
  Neutrino Telescopes, VENEZIA/2/13-15/90, edited by Milla Baldo Ceolin (1990),
  Plain Tex, (1 figure not included)",,,,"hep-ph",,"  We study the predictions for Majorana masses for neutrinos in SO(10)
grandunification models. (This paper precedes and is cited in the article
""PROTON DECAY AND NEUTRINO MASSES IN SO(10)"", hep-ph/9405332)
","[{""version"":""v1"",""created"":""Thu, 19 May 1994 20:18:34 GMT""}]","2009-09-25"
"hep-ph/9405335","Ian Balitsky","I.Balitsky","Instanton interactions and non-perturbative particle production in QCD","28p., PSU/TH/146. Talk presented at the Workshop `Continuous Advances
  in QCD', Minneapolis, Feb 1994",,,,"hep-ph",,"  I discuss the possible instanton-induced multiparticle production in hard
processes in QCD Figures are available upon request
","[{""version"":""v1"",""created"":""Thu, 19 May 1994 20:47:07 GMT""}]","2009-09-25"
"hep-ph/9405336","Janne Ignatius","J. Ignatius, K. Kajantie, H. Kurki-Suonio, and M. Laine","Large Scale Inhomogeneities from the QCD Phase Transition","15 LaTeX pages + 6 PostScript figures appended at the end of the
  file, HU-TFT-94-14","Phys.Rev. D50 (1994) 3738-3745","10.1103/PhysRevD.50.3738",,"hep-ph astro-ph",,"  We examine the first-order cosmological QCD phase transition for a large
class of parameter values, previously considered unlikely. We find that the
hadron bubbles can nucleate at very large distance scales, they can grow as
detonations as well as deflagrations, and that the phase transition may be
completed without reheating to the critical temperature. For a subset of the
parameter values studied, the inhomogeneities generated at the QCD phase
transition might have a noticeable effect on nucleosynthesis.
","[{""version"":""v1"",""created"":""Fri, 20 May 1994 02:09:52 GMT""}]","2009-10-28"
"hep-ph/9405337","Kazuya Kumekawa","K. Kumekawa, T. Moroi and T. Yanagida","Flat Potential for Inflaton with a Discrete $R$-invariance in
  Supergravity","15 pages and 1 figure(uudecoded), LaTeX, TU-458","Prog.Theor.Phys. 92 (1994) 437-448","10.1143/ptp/92.2.437",,"hep-ph",,"  We show that a very flat potential of inflaton required for a sufficient
inflation is naturally obtained in $N=1$ supergravity by imposing a discrete
$R$-invariance $Z_{n}$. Several cosmological constraints on parameters in the
inflaton superpotential are derived. The reheating temperature turns out to be
$(1-10^8)$GeV for the cases of $n$=3--10. Baryogenesis in this model is also
discussed briefly.
","[{""version"":""v1"",""created"":""Fri, 20 May 1994 09:34:58 GMT""}]","2017-02-01"
"hep-ph/9405338","Carlos Merino","A. Capella, A. Kaidalov, C. Merino and J. Tran Thanh Van","Structure functions and low x physics","10 pages + 7 figures available on request, Plain TeX, Preprint LPTHE
  Orsay 94-34","Phys.Lett. B337 (1994) 358-366","10.1016/0370-2693(94)90988-1",,"hep-ph",,"  In the framework of conventional Regge theory we present a common description
of total photon-proton cross-section and proton structure functions in the
region $0 \leq Q^2 \leq 5 \ {\rm GeV}^2$. Using it as an initial condition in
the perturbative QCD evolution equation, we describe structure functions at any
$Q^2$ and $x$ - including the small $x$ region explored at HERA.
","[{""version"":""v1"",""created"":""Fri, 20 May 1994 12:27:22 GMT""}]","2009-10-28"
"hep-ph/9405339",,"M. Bjornberg, K. Dannbom and D.O. Riska","The Anharmonic Correction in the Soliton Model for the Hyperons","19 pages","Nucl.Phys. A582 (1995) 621-632","10.1016/0375-9474(94)00473-Z",,"hep-ph",,"  We derive the anharmonic correction to the hyperon energy in the bound state
version of the topological soliton model for the hyperons, and show that it
represents a negative correction of at most 10% to the energy of the bound
heavy flavour two-meson system in the case of cascade hyperons. The main
anharmonic correction arises from the mass term in the Lagrangian density. For
large meson masses the consistency of the model requires that the anharmonic
correction decreases as the inverse square root of the mass of the heavy
flavour meson.
","[{""version"":""v1"",""created"":""Fri, 20 May 1994 11:59:22 GMT""}]","2009-10-28"
"hep-ph/9405340","Jan Bolz","J. Bolz, R. Jakob, P. Kroll, M. Bergmann, N.G. Stefanis","A Critical Analysis of the Proton Form Factor with Sudakov Suppression
  and Intrinsic Transverse Momentum","31 pages (RevTex) + 6 figures in PS-file; preprint BUGH Wuppertal
  WU-B-94-06, preprint Ruhr-Universit\""at Bochum RUB-TPII-01/94","Z.Phys.C66:267-278,1995","10.1007/BF01496601",,"hep-ph",,"  The behavior of the proton magnetic form factor is studied within the
modified hard scattering picture, which takes into account gluonic radiative
corrections in terms of transverse separations. We parallel the analysis given
previously by Li and make apparent a number of serious objections. The
appropriate cut-off needed to render the form-factor calculation finite is both
detailed and analyzed by considering different cut-off prescriptions. The use
of the maximum interquark separation as a common infrared cut-off in the
Sudakov suppression factor is proposed, since it avoids difficulties with the
$\alpha _{s}$-singularities and yields a proton form factor insensitive to the
inclusion of the soft region which therefore can be confidently attributed to
perturbative QCD. Results are presented for a variety of proton wave functions
including also their intrinsic transverse momentum. It turns out that the
perturbative contribution, although theoretically self-consistent for $Q^{2}$
larger than about $6$~GeV${}^{2}$ to $10$~GeV${}^{2}$, is too small compared to
the data.
","[{""version"":""v1"",""created"":""Fri, 20 May 1994 12:20:23 GMT""}]","2009-09-25"
"hep-ph/9405341","Urech","R. Urech","Virtual Photons in Chiral Perturbation Theory","19 pages , LaTex, 1 figure appended as PostScript file, (little
  corrections on the pages 8 and 17 - the physical results are not affected),
  BUTP-94/9","Nucl.Phys. B433 (1995) 234-254","10.1016/0550-3213(95)90707-N",,"hep-ph",,"  In the framework of chiral perturbation theory virtual photons are included.
We calculate the divergences of the generating functional to one loop and
determine the structure of the local action that incorporates the counterterms
which cancel the divergences. As an application we discuss the corrections to
Dashen's theorem at order [e^2*m(quark)].
","[{""version"":""v1"",""created"":""Fri, 20 May 1994 11:08:05 GMT""},{""version"":""v2"",""created"":""Mon, 27 Jun 1994 09:52:55 GMT""}]","2009-10-28"
"hep-th/9405127","Roberto Fiore","V.S. Fadin, R. Fiore, A. Quartarolo","Quark contribution to the reggeon-reggeon-gluon vertex in QCD","19 pages + 2 figures(appended as a postscript file), Latex","Phys.Rev. D50 (1994) 5893-5901","10.1103/PhysRevD.50.5893","BUDKERINP/94-46,DF-UNICAL/94-14","hep-th hep-ph",,"  The quark loop contribution to the reggeon-reggeon-gluon vertex is calculated
in QCD, where the reggeon is the reggeized gluon. Compared with the vertex in
the Born approximation, this contribution exhibits a new spin structure as well
as the gluon loop one. A remarkable but not complete cancellation between gluon
and quark contributions to this new spin structure takes place for the case of
three massless quark flavours.
","[{""version"":""v1"",""created"":""Thu, 19 May 1994 16:58:47 GMT""}]","2019-08-17"
"hep-th/9405128",,"G. Mussardo","Spectral Representation of Correlation Functions in two-dimensional
  Quantum Field Theories","9 pages, ISAS/60/94/EP",,,,"hep-th cond-mat",,"  The non-perturbative mapping between different Quantum Field Theories and
other features of two-dimensional massive integrable models are discussed by
using the Form Factor approach. The computation of ultraviolet data associated
to the massive regime is illustrated by taking as an example the scattering
theory of the Ising Model with boundary.
","[{""version"":""v1"",""created"":""Thu, 19 May 1994 18:36:18 GMT""}]","2007-05-23"
"hep-th/9405129","Jeroen Snippe","Jeroen Snippe","Tunneling Through Sphalerons: The O(3) Sigma-Model on a Cylinder","10 pages, LaTeX, 1 figure appended (uuencoded), Leiden preprint
  INLO-PUB-5/94","Phys.Lett.B335:395-402,1994","10.1016/0370-2693(94)90370-0",,"hep-th hep-lat",,"  We construct all instantons for the \nlsig\ on a cylinder, known not to exist
on a finite time interval. We show that the widest instantons go through
sphalerons. A re-interpretation of moduli-space transforms the scale parameter
$\rho$ to a boundary condition in time. This may give a handle on the
$\rho\rightarrow0$ divergent instanton gas.
","[{""version"":""v1"",""created"":""Fri, 20 May 1994 00:08:09 GMT""}]","2008-11-26"
"hep-th/9405130","Kenji Hamada","Ken-ji Hamada and Hiroshi Ishikawa","Non-linear Structures in Non-critical NSR String","22 pages, Latex file, YITP/U-94-16, UT-Komaba/94-12","Commun.Math.Phys. 176 (1996) 401-420","10.1007/BF02099555",,"hep-th",,"  We investigate the Ward identities of the $\W_{\infty}$ symmetry in the
super-Liouville theory coupled to the super-conformal matter of central charge
${\hat c}_M = 1-2(p-q)^2 /pq$. The theory is classified into two chiralities.
For the positive chirality, all gravitationally dressed scaling operators are
generated from the $q-1$ gravitational primaries by acting one of the ring
generators in the R-sector on them repeatedly. After fixing the normalizations
of the dressed scaling operators, we find that the Ward identities are
expressed in the form of the {\it usual} $\W_q$ algebra constraints as in the
bosonic case: $\W^{(k+1)}_n \tau =0$, $(k=1,\cdots,q-1 ;~ n \in {\bf Z}_{\geq
1-k})$, where the equations for even and odd $n$ come from the currents in the
NS- and the R-sector respectively. The non-linear terms come from the anomalous
contributions at the boundaries of moduli space. The negative chirality is
defined by interchanging the roles of $p$ and $q$. Then we get the $\W_p $
algebra constraints.
","[{""version"":""v1"",""created"":""Fri, 20 May 1994 07:03:47 GMT""}]","2015-06-26"
"hep-th/9405131","Parashar Preeti","Ludwik Dabrowski and Preeti Parashar","Left Regular Representation of $sl_q(3)$: Reduction and Intertwiners","17 pages. References added typographical errors corrected","J.Phys. A28 (1995) 2833-2846","10.1088/0305-4470/28/10/014","SISSA 57/94/FM","hep-th math.QA",,"  Reduction of the left regular representation of quantum algebra $sl_q(3)$ is
studied and ~$q$-difference intertwining operators are constructed. The
irreducible representations correspond to the spaces of local sections of
certain line bundles over the q-flag manifold.
","[{""version"":""v1"",""created"":""Fri, 20 May 1994 08:56:17 GMT""},{""version"":""v2"",""created"":""Fri, 27 May 1994 14:30:48 GMT""}]","2009-10-28"
