"alg-geom/9405013","Vadim Schechtman","Vladimir Hinich and Vadim Schechtman","Deformation theory and Lie algebra homology","amslatex (Replacement of the previous version. Minor corrections are
  made)",,,,"alg-geom hep-th math.AG",,"  A description of a ring of functions on the base of a universal formal
deformation for several moduli problems is given. The answer is given in terms
of a homology group of a certain dg Lie algebra canonically (up to an
essentially unique quasi-isomorphism) associated with a problem.
","[{""version"":""v1"",""created"":""Wed, 25 May 1994 18:36:20 GMT""},{""version"":""v2"",""created"":""Wed, 14 Sep 1994 15:32:45 GMT""}]","2008-02-03"
"cond-mat/9405074","Kato Hiroaki","H. Kato and D. Yoshioka","Suppression of Persistent Currents in 1-D Disordered Rings by Coulomb
  Interaction","9 pages (RevTeX), 4 figures available upon request
  (katou@tansei.cc.u-tokyo.ac.jp), KCMG-preprint-HK1",,"10.1103/PhysRevB.50.4943",,"cond-mat",,"  Effects of Coulomb interaction on persistent currents in disordered
one-dimensional rings are numerically investigated. First of all effectiveness
of the Hartree-Fock approximation is established on small systems. Then the
calculations are done for systems with 40 electrons in 100 sites. It is found
that the amplitude of the average persistent current in the diffusive regime is
suppressed as the strength of the Coulomb interaction increases. The
suppression of the current is stronger in larger rings than in smaller ones.
The enhancement of the current by the electron-electron interaction was not
observed in the diffusive regime.
","[{""version"":""v1"",""created"":""Thu, 26 May 1994 02:37:33 GMT""}]","2009-10-22"
"cond-mat/9405075","Marc Mezard","J.P. Bouchaud and M. Mezard","Self Induced Quenched Disorder: A Model for the Glass Transition","Latex, LPTENS 94/14, three figures upon request",,"10.1051/jp1:1994240",,"cond-mat",,"  We consider a simple spin system without disorder which exhibits a glassy
regime. We show that this model can be well approximated by a system with
quenched disorder which is studied with the standard methods developped in spin
glasses. We propose that the glass transition is a point where quenched
disorder is self induced, a scenario for which the `cavity' method might be
particularly well suited.
","[{""version"":""v1"",""created"":""Thu, 26 May 1994 08:05:06 GMT""}]","2009-10-22"
"cond-mat/9405076","Marcus Kasner","M. Kasner and W. Apel","Electrons in a Strong Magnetic Field on a Disk","24 pages, 6 figures available upon request from W. Apel, LaTeX",,"10.1002/andp.19945060603",,"cond-mat",,"  The problem of interacting electrons moving under the influence of a strong
magnetic field in two dimensions on a finite disk is reconsidered. First, the
results of exact diagonalizations for up to $N=9$ electrons for Coulomb as well
as for a short--range interaction are used in the search for a peculiar ground
state corresponding to filling factor $1/3$. Not for the Coulomb, but only for
the short--range interaction, can the $1/3$--state be safely identified amongst
the spectra of various filling factors close to $1/3$. Second, the propositions
of the concept of quasiparticles, as used in the hierarchical theory, are
examined in view of the exact results for the disk geometry. Whereas the theory
for the quasiholes is in complete accordance with the spectra, for the
quasielectrons, finite size corrections make an analysis difficult. For the
quasielectron energy, an extrapolation to $N \rightarrow \infty$ is given and
compared with the corresponding extrapolations of three different proposals for
trial wave functions. While the limiting value for the best trial wave function
is very close to the limit of the exact results, the behavior of the finite
size corrections of the exact energies and of the trial wave functions,
respectively, is qualitatively rather different.
","[{""version"":""v1"",""created"":""Thu, 26 May 1994 14:15:09 GMT""}]","2009-10-22"
"cond-mat/9405082","Sergey Kravchenko","S. V. Kravchenko, G. V. Kravchenko, J. E. Furneaux, V. M. Pudalov, and
  M. D'Iorio","Possible Metal/Insulator Transition at B=0 in Two Dimensions","10 pages; REVTeX v3.0; 3 POSTSCRIPT figures available upon request;
  to be published in PRB, Rapid Commun",,"10.1103/PhysRevB.50.8039",,"cond-mat",,"  We have studied the zero magnetic field resistivity of unique high- mobility
two-dimensional electron system in silicon. At very low electron density (but
higher than some sample-dependent critical value, $n_{cr}\sim 10^{11}$
cm$^{-2}$), CONVENTIONAL WEAK LOCALIZATION IS OVERPOWERED BY A SHARP DROP OF
RESISTIVITY BY AN ORDER OF MAGNITUDE with decreasing temperature below 1--2 K.
No further evidence for electron localization is seen down to at least 20 mK.
For $n_s<N_{cr}$, the sample is insulating. The resistivity is empirically
found to SCALE WITH TEMPERATURE BOTH BELOW AND ABOVE $n_{cr}$ WITH A SINGLE
PARAMETER which approaches zero at $n_s=n_{cr}$ suggesting a metal/ insulator
phase transition.
","[{""version"":""v1"",""created"":""Thu, 26 May 1994 07:48:56 GMT""}]","2009-10-22"
"gr-qc/9405056","Yongsung Yoon","Jewan Kim, C.J. Park and Yongsung Yoon","Phase Transition in Conformally Induced Gravity with Torsion","7pages, no figure","Phys.Rev.D51:562-567,1995","10.1103/PhysRevD.51.562",,"gr-qc hep-th",,"  We have considered the quantum behavior of a conformally induced gravity in
the minimal Riemann-Cartan space. The regularized one-loop effective potential
considering the quantum fluctuations of the dilaton and the torsion fields in
the Coleman-Weinberg sector gives a sensible phase transition for an
inflationary phase in De Sitter space. For this effective potential, we have
analyzed the semi-classical equation of motion of the dilaton field in the
slow-rolling regime.
","[{""version"":""v1"",""created"":""Thu, 26 May 1994 00:17:05 GMT""}]","2010-11-01"
"gr-qc/9405059","P. Suntharothok-Priesmeyer","L. P. Grishchuk","Density Perturbations of Quantum Mechanical Origin and Anisotropy of the
  Microwave Background","53 pages, RevTeX, WUGRAV-94-4, (Received by Phys. Rev. D on March 17,
  1994)","Phys.Rev.D50:7154-7172,1994","10.1103/PhysRevD.50.7154",,"gr-qc astro-ph",,"  If the large-angular-scale anisotropy in the cosmic microwave background
radiation is caused by the long-wavelength cosmological perturbations of
quantum mechanical origin, they are, most likely, gravitational waves, rather
than density perturbations or rotational perturbations.
","[{""version"":""v1"",""created"":""Wed, 25 May 1994 16:41:59 GMT""}]","2010-11-19"
"gr-qc/9405060","Andrew Abrahams","Andrew M. Abrahams, Stuart L. Shapiro, and Saul A. Teukolsky","Disk collapse in general relativity","CRSR 1072, 10 pages (RevTex 3.0 with 9 uuencoded figures)","Phys.Rev.D50:7282-7291,1994","10.1103/PhysRevD.50.7282",,"gr-qc",,"  The radial collapse of a homogeneous disk of collisionless particles can be
solved analytically in Newtonian gravitation. To solve the problem in general
relativity, however, requires the full machinery of numerical relativity. The
collapse of a disk is the simplest problem that exhibits the two most
significant and challenging features of strong-field gravitation: black hole
formation and gravitational wave generation. We carry out dynamical
calculations of several different relativistic disk systems. We explore the
growth of ring instabilities in equilibrium disks, and how they are suppressed
by sufficient velocity dispersion. We calculate wave forms from oscillating
disks, and from disks that undergo gravitational collapse to black holes.
Studies of disk collapse to black holes should also be useful for developing
new techniques for numerical relativity, such as apparent horizon boundary
conditions for black hole spacetimes.
","[{""version"":""v1"",""created"":""Wed, 25 May 1994 18:04:29 GMT""}]","2010-11-01"
"gr-qc/9405061","Janna Levin","Janna Levin","Gravity-Driven Acceleration of the Cosmic Expansion","23 pages, LaTex, figures available upon request, (revisions include
  added references and comment on inflation) CITA-94-18","Phys.Rev.D51:462-471,1995","10.1103/PhysRevD.51.462",,"gr-qc astro-ph",,"  It is shown here that a dynamical Planck mass can drive the scale factor of
the universe to accelerate. The negative pressure which drives the cosmic
acceleration is identified with the unusual kinetic energy density of the
Planck field. No potential nor cosmological constant is required. This suggests
a purely gravity driven, kinetic inflation. Although the possibility is not
ruled out, the burst of acceleration is often too weak to address the initial
condition problems of cosmology. To illustrate the kinetic acceleration, three
different cosmologies are presented. One such example, that of a bouncing
universe, demonstrates the additional feature of being nonsingular. The
acceleration is also considered in the conformally related Einstein frame in
which the Planck mass is constant.
","[{""version"":""v1"",""created"":""Wed, 25 May 1994 21:13:50 GMT""},{""version"":""v2"",""created"":""Wed, 15 Jun 1994 21:49:45 GMT""}]","2010-11-01"
"gr-qc/9405062","Hideyuki Tagoshi","Hideyuki Tagoshi and Misao Sasaki","Post-Newtonian expansion of gravitational waves from a particle in
  circular orbit around a Schwarzschild black hole","28 pages, (LaTeX), KUNS-1262","Prog.Theor.Phys.92:745-772,1994","10.1143/PTP.92.745",,"gr-qc",,"  Based upon the formalism recently developed by one of us (MS), we
analytically perform the post-Newtonian expansion of gravitational waves from a
test particle in circular orbit of radius $r_0$ around a Schwarzschild black
hole of mass $M$. We calculate gravitational wave forms and luminosity up to
$v^8$ order beyond Newtonian, where $v=(M/r_0)^{1/2}$. In particular, we give
the exact analytical values of the coefficients of $\ln v$ terms at $v^6$ and
$v^8$ orders in the luminosity and confirm the numerical values obtained
previously by the other of us (HT) and Nakamura. Our result is valid in the
small mass limit of one body and gives an important guideline for the
gravitational wave physics of coalescing compact binaries.
","[{""version"":""v1"",""created"":""Thu, 26 May 1994 01:47:37 GMT""}]","2009-10-09"
"gr-qc/9405064","Ulf Jasper","J. Audretsch, U. Jasper, and V.D. Skarzhinsky","Bremsstrahlung in the gravitational field of a cosmic string","21 pages, to appear in Phys. Rev. D., KONS-RGKU-94-06","Phys.Rev. D49 (1994) 6576-6586","10.1103/PhysRevD.49.6576",,"gr-qc",,"  In the framework of QED we investigate the bremsstrahlung process for an
electron passing by a straight static cosmic string. This process is precluded
in empty Minkowski space-time by energy and momentum conservation laws. It
happens in the presence of the cosmic string as a consequence of the conical
structure of space, in spite of the flatness of the metric. The cross section
and emitted electromagnetic energy are computed and analytic expressions are
found for different energies of the incoming electron. The energy interval is
divided in three parts depending on whether the energy is just above electron
rest mass $M$, much larger than $M$, or exceeds $M/\delta$, with $\delta$ the
string mass per unit length in Planck units. We compare our results with those
of scalar QED and classical electrodynamics and also with conic pair production
process computed earlier.
","[{""version"":""v1"",""created"":""Thu, 26 May 1994 09:41:35 GMT""}]","2009-10-22"
"hep-lat/9405023",,"M. Baig and R. Villanova","Finite-Size analysis of the 4-d abelian surface gauge model","16pp","Phys.Lett. B333 (1994) 445-451","10.1016/0370-2693(94)90165-1","UAB-FT-337","hep-lat cond-mat",,"  We present the results of a finite-size analysis of the four dimensional
abelian surface gauge model. This model is defined assigning abelian variables
to the plaquettes of an hypercubical lattice, and is dual to the four
dimensional Ising model. This last model is known to present a second order
phase transition with mean field critical exponents. We have performed Monte
Carlo simulations on several lattice sizes and high statistics. The analysis of
the partition function zeroes and the specific heat scaling behaviour allowed
us to estimate the critical coupling $\beta_c$ as well as the critical
exponents $\nu$ and $\alpha$. Our results are consistent with the second order
critical exponents $\nu = 1/2$ and $\alpha = 0$. The $\beta_c$ value is in
perfect agreement with duality predictions from the 4-d Ising model.
Nevertheless, the energy histograms show a seemingly non-vanishing double peak
structure. The interface tension analysis suggests that this may be a finite
size effect.
","[{""version"":""v1"",""created"":""Wed, 25 May 1994 16:52:43 GMT""}]","2009-10-22"
"hep-lat/9405024","Claudio Parrinello","C. Parrinello","Exploratory Study of the 3-Gluon Vertex on the Lattice","11 pages, PostScript paper + 8 pictures wrapped in a Unix shell
  archive, Edinburgh U. 94/543","Phys.Rev.D50:4247-4251,1994","10.1103/PhysRevD.50.R4247",,"hep-lat",,"  We define and evaluate on the lattice the amputated 3-gluon vertex function
in momentum space.
  We give numerical results for $16^3 \times 40$ and $24^3 \times 40$ quenched
lattices at $\beta=6.0$.
  A good numerical signal is obtained, at the price of enforcing the
gauge-fixing condition with high accuracy.
  By comparing results from two different lattice volumes, we try to
investigate the crucial issue of finite volume effects.
  We also outline a method for the lattice evaluation of the QCD running
coupling constant as defined from the 3-gluon vertex, while being aware that a
realistic calculation will require larger $\beta$ values and very high
statistics.
","[{""version"":""v1"",""created"":""Thu, 26 May 1994 11:53:00 GMT""}]","2008-12-24"
"hep-ph/9405381","Markus Finkemeier","Roger Decker and Markus Finkemeier","Addendum To Our Paper: ""Radiative Tau Decays With One Pseudoscalar
  Meson""","4 pages, Latex [ uses epsfig.sty, 3 figures not included ] A complete
  postscript file, including figures, is available via anonymous ftp at
  ftp://ttpux2.physik.uni-karlsruhe.de/ttp93-1A/ttp93-1A.ps . The individual
  figures are also available: /ttp93-1A/fig4ab.ps, /ttp93-1A/fig6ab.ps and
  /ttp93-1A/fig7.ps",,,"TTP93-1A","hep-ph",,"  In a previous paper we have calculated the decay $\tau\to\pi\nu_\tau\gamma$.
We used a given relative sign between the internal bremsstrahlung and the
structure dependent radiation, which has been used by several other authors
before. However, we believe that there are good arguments why the opposite sign
is the physical one. We briefly discuss these arguments and then investigate
how the predictions for the decay $\tau\to\pi\nu_\tau\gamma$ are affected by
this sign.
","[{""version"":""v1"",""created"":""Wed, 25 May 1994 16:21:50 GMT""}]","2007-05-23"
"hep-ph/9405382",,"F. de Campos, J. W. F. Valle, A. Lopez-Fernandez and J.C.Rom\~ao","Updated Limits on Visibly and Invisibly Decaying Higgs Bosons from LEP","FTUV/94-28 IFIC/94-26, 6 pages + two figures (.ps files included)",,,,"hep-ph",,"  Talk presented at the XXIX Rencontres de Moriond, Electroweak Interactions
and Unified Theories, March 12-19, 1994, Meribel
","[{""version"":""v1"",""created"":""Wed, 25 May 1994 16:29:45 GMT""}]","2019-08-17"
"hep-ph/9405383","Xinnian Wang","Xin-Nian Wang","Parton Equilibration in Ultrarelativistic Heavy Ion Collisions","6 pages in Latex, LBL-35688 (to appear in the proceedings of 10th
  Winter Workshop on Nuclear Dynamics, Snowbird, Utah, January 16-21, 1994)",,,,"hep-ph nucl-th",,"  Medium effects which include color screening and Landau-Pomeranchuk-Migdal
suppression of induced radiation are discussed in connection with the
equilibration of dense partonic system in ultrarelativistic heavy ion
collisions. Taking into account of these medium effects, the equilibration rate
for a gluonic gas are derived and the consequences are discussed.
","[{""version"":""v1"",""created"":""Thu, 26 May 1994 01:54:39 GMT""}]","2007-05-23"
"hep-ph/9405384",,"Alessandro Ballestrero, Ezio Maina and Stefano Moretti (U. of Torino,
  Italy)","Heavy Quark Production at $e^+ e^-$ Colliders in Multijet Events and a
  New Method of Computing Helicity Amplitudes","LateX, 6 pag + 2 figs uucompressed",,,,"hep-ph",,"  Heavy quark production in multijet events at $e^+e^-$ colliders is studied at
tree level. Total production rates are given and compared with the
corresponding results for massless quarks. A new method of computing helicity
amplitudes is briefly sketched. Talk presented at the XXIXth Rencontres de
Moriond, QCD and High Energy Hadronic Interactions, Meribel, France, March
19-26 1994.
","[{""version"":""v1"",""created"":""Thu, 26 May 1994 09:09:40 GMT""}]","2009-09-25"
"hep-ph/9405385","Jihn E. Kim","Hang Bae Kim and Jihn E. Kim","Dark Matter and Structure Formation with Late Decaying Particles","Latex file, 21 pages plus 3 figures (3 postscript file)","Nucl.Phys.B433:421-434,1995","10.1016/0550-3213(94)00406-5",,"hep-ph astro-ph",,"  Since it became evident that the CDM model for cosmic structure formation
predicts smaller power on large scales than observed, many alternatives have
been suggested. Among them, the existence of late decaying particle can cure it
by delaying the beginning of the matter domination and increasing the horizon
length at that time. We discuss the realization of this scenario and present
the light neutrino and the light axino as possible examples of working particle
physics model. We point out that the increased power at sub-galaxy scale
predicted by this scenario could lead to rich sub-galaxy structures.
","[{""version"":""v1"",""created"":""Thu, 26 May 1994 09:39:20 GMT""},{""version"":""v2"",""created"":""Fri, 27 May 1994 00:24:30 GMT""}]","2010-12-09"
"hep-ph/9405386","Adrian Signer","Zoltan Kunszt, Adrian Signer and Zoltan Trocsanyi","One-loop radiative corrections to the helicity amplitudes of QCD
  processes involving four quarks and one gluon","9 pages LaTeX, ETH-TH/94-14, KLTE-DTP/94-3","Phys.Lett. B336 (1994) 529-536","10.1016/0370-2693(94)90568-1",,"hep-ph",,"  We present analytic results for the one-loop corrections of the helicity
amplitudes of the QCD five-parton subprocesses involving four quarks and one
gluon obtained with a standard Feynman diagram calculation using dimensional
reduction.
","[{""version"":""v1"",""created"":""Thu, 26 May 1994 11:29:32 GMT""}]","2009-10-28"
"hep-ph/9405387","Jutta Kunz","Burkhard Kleihaus and Jutta Kunz","Multisphalerons in the Weinberg-Salam Theory","18 pages, latex, 17 figures in uuencoded postscript files. THU-94/11","Phys.Rev. D50 (1994) 5343-5351","10.1103/PhysRevD.50.5343",,"hep-ph",,"  We construct multisphaleron solutions in the Weinberg-Salam theory. The
multisphaleron solutions carry Chern-Simons charge $n/2$, where $n$ is an
integer, counting the winding of the fields in the azimuthal angle. The
well-known sphaleron has $n=1$. The multisphalerons possess axial symmetry and
parity reflection symmetry. We vary the Higgs mass and the mixing angle. For
small $n$ the energies of the multisphalerons are on the order of $n$ times the
energy of the sphaleron and their magnetic dipole moments are on the order of
$n$ times the magnetic dipole moment of the sphaleron.
","[{""version"":""v1"",""created"":""Thu, 26 May 1994 12:56:46 GMT""}]","2009-10-28"
