"alg-geom/9408010","Pavel Katsylo","P.Katsylo","Rationality of the Moduli Variety of Curves of Genus 3","13 pages, AMSTEX, version 2.1",,,,"alg-geom math.AG",,"  We prove rationality of the moduli variety of curves of genus 3.
","[{""version"":""v1"",""created"":""Tue, 30 Aug 1994 16:10:12 GMT""}]","2008-02-03"
"funct-an/9408003","Roland Speicher","Marek Bozejko and Roland Speicher","Interpolations between Bosonic and Fermionic Relations given by
  Generalized Brownian Motions (revised version)","29 pages, amstex 3.0, HD-BSp-94-007",,,,"funct-an math.OA",,"  We present an interpolation between the bosonic and fermionic relations. This
interpolation is given by an object which we call `generalized Brownian motion'
and which is characterized by a generalization of the pairing rule for the
calculation of the moments of bosonic and fermionic fields. We develop some
basic theory for such generalized Brownian motions and consider more closely
one example, which turns out to be intimately connected with Voiculescu's
concept of `free product'.
","[{""version"":""v1"",""created"":""Wed, 31 Aug 1994 14:00:31 GMT""}]","2008-02-03"
"funct-an/9408004","Michael Frank","Michael Frank","Hilbert C*-modules over monotone complete C*-algebras","28 pages, LATEX 3.0, Univ. of Leipzig, NTZ-preprint 3/91, 1991 / July
  27, 2010 - TeXnically brought to standard","Math. Nachr. 175(1995), 61-83",,,"funct-an math.OA","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The aim of the present paper is to describe self-duality and C*- reflexivity
of Hilbert {\bf A}-modules $\cal M$ over monotone complete C*-algebras {\bf A}
by the completeness of the unit ball of $\cal M$ with respect to two types of
convergence being defined, and by a structural criterion. The derived results
generalize earlier results of {\sc H.~Widom} [Duke Math.~J.~23, 309-324, MR 17
\# 1228] and {\sc W.~L.~Paschke} [Trans. Amer.~Math.~Soc.~182, 443-468, MR 50
\# 8087, Canadian J.~Math.~26, 1272-1280, MR 57 \# 10433]. For Hilbert
C*-modules over commutative AW*-algebras the equivalence of the self-duality
property and of the Kaplansky-Hilbert property is reproved, (cf. {\sc M.~Ozawa}
[J.~Math.~Soc.~Japan 36, 589-609, MR 85m:46068] ). Especially, one derives that
for a C*-algebra {\bf A} the {\bf A}-valued inner pro\-duct of every Hilbert
{\bf A}-module $\cal M$ can be continued to an {\bf A}-valued inner product on
it's {\bf A}-dual Banach {\bf A}-module $\cal M$' turning $\cal M$' to a
self-dual Hilbert {\bf A}-module if and only if {\bf A} is monotone complete
(or, equivalently, additively complete) generalizing a result of {\sc
M.~Hamana} [Internat.~J.~Math.~3(1992), 185-204]. A classification of countably
generated self-dual Hilbert {\bf A}-modules over monotone complete C*-algebras
{\bf A} is established. The set of all bounded module operators ${\bf End}_A
(\cal M)$ on self-dual Hilbert {\bf A}-modules $\cal M$ over monotone complete
C*-algebras {\bf A} is proved again to be a monotone complete
","[{""version"":""v1"",""created"":""Wed, 31 Aug 1994 12:41:00 GMT""},{""version"":""v2"",""created"":""Tue, 27 Jul 2010 08:57:10 GMT""}]","2010-07-28"
"gr-qc/9408037","L. Sriramkumar","L.Sriramkumar and T.Padmanabhan","Response of finite-time particle detectors in non-inertial frames and
  curved spacetime","29 pages, normal TeX, figures appended as postscript file, IUCAA
  Preprint # 23/94","Class.Quant.Grav. 13 (1996) 2061-2079","10.1088/0264-9381/13/8/005",,"gr-qc",,"  The response of the Unruh-DeWitt type monopole detectors which were coupled
to the quantum field only for a finite proper time interval is studied for
inertial and accelerated trajectories, in the Minkowski vacuum in (3+1)
dimensions. Such a detector will respond even while on an inertial trajctory
due to the transient effects. Further the response will also depend on the
manner in which the detector is switched on and off. We consider the response
in the case of smooth as well as abrupt switching of the detector. The former
case is achieved with the aid of smooth window functions whose width, $T$,
determines the effective time scale for which the detector is coupled to the
field. We obtain a general formula for the response of the detector when a
window function is specified, and work out the response in detail for the case
of gaussian and exponential window functions. A detailed discussion of both $T
\rightarrow 0$ and $T \rightarrow \infty$ limits are given and several
subtlities in the limiting procedure are clarified. The analysis is extended
for detector responses in Schwarzschild and de-Sitter spacetimes in (1+1)
dimensions.
","[{""version"":""v1"",""created"":""Wed, 31 Aug 1994 11:53:31 GMT""}]","2009-10-22"
"gr-qc/9408038","Dadhich","Naresh Dadhich, L.K. Patel, K.S. Govinder and P.G.L. Leach","Characterisation of orthogonal perfect fluid cosmological spacetimes","TeX pages 18, IUCAA-27/94",,,,"gr-qc",,"  We consider the general orthogonal metric separable in space and time
variables in comoving coordinates. We then characterise perfect fluid models
admitted by such a metric. It turns out that the homogeneous models can only be
either FLRW or Bianchi I while the inhomogeneous ones can only admit $G_2 $
(two mutually as well as hypersurface orthogonal spacelike Killing vectors)
isometry. The latter can possess singularities of various kinds or none. The
non-singular family is however unique and cylindrically symmetric.
","[{""version"":""v1"",""created"":""Wed, 31 Aug 1994 13:56:29 GMT""}]","2007-05-23"
"gr-qc/9408040","Parthasarathi Mitra","A. Ghosh and P. Mitra","General form of thermodynamical entropy for black hole","LaTeX, 6 pages; published version","Mod.Phys.Lett.A11:1231-1234,1996","10.1142/S0217732396001247",,"gr-qc hep-th",,"  The entropy of a black hole can be different from a quarter of the area even
at the semiclassical level.
","[{""version"":""v1"",""created"":""Wed, 31 Aug 1994 10:57:00 GMT""},{""version"":""v2"",""created"":""Tue, 17 Jun 1997 11:52:03 GMT""}]","2010-11-01"
"hep-lat/9408021","Yannick Meurice","Y. Meurice","The High-Temperature Expansion of the Hierarchical Ising Model: From
  Poincar\'e Symmetry to an Algebraic Algorithm","24 Pages, includes 2 short Mathematica programs appended after ""/end""
  uses phyzzx.tex","J.Math.Phys.36:1812-1824,1995","10.1063/1.531087","U. of Iowa preprint 94-14","hep-lat",,"  We show that the hierarchical model at finite volume has a symmetry group
which can be decomposed into rotations and translations as the familiar
Poincar\'e groups. Using these symmetries, we show that the intricate sums
appearing in the calculation of the high-temperature expansion of the magnetic
susceptibility can be performed, at least up to the fourth order, using
elementary algebraic manipulations which can be implemented with a computer.
These symmetries appear more clearly if we use the 2-adic fractions to label
the sites. We then apply the new algebraic methods to the calculation of
quantities having a random walk interpretation. In particular, we show that the
probability of returning at the starting point after $m$ steps has poles at
$D=-2,-4,....-2m$ , where $D$ is a free parameter playing a role similar to the
dimensionality in nearest neighbor models.
","[{""version"":""v1"",""created"":""Tue, 30 Aug 1994 22:23:36 GMT""}]","2011-08-12"
"hep-ph/9408391",,"A.Bottino, N.Fornengo, G.Mignola and L.Moscoso","Signals of Neutralino Dark Matter from Earth and Sun","14 pages in Plain TeX, 14 figures included in a separate uuencoded
  tarred-compressed Postscript file; Report number: DFTT 34/95; To appear in
  Astroparticle Physics","Astropart.Phys.3:65-76,1995","10.1016/0927-6505(94)00028-2",,"hep-ph astro-ph",,"  We evaluate the fluxes of up--going muons detectable in a neutrino telescope
and due to the annihilation of relic neutralinos in the Earth and in the Sun,
taking realistically into account the fact that neutralinos might provide only
a fraction of the local (solar neighbourhood) dark matter (DM). We determine
the relation between the exposure $A t$ of the neutrino telescope ($A$ being
the telescope area, $t$ the live time) and the explorable range of the
neutralino mass and composition, when the signal--to--background ratio is
optimized by an appropriate angular selection.
","[{""version"":""v1"",""created"":""Tue, 30 Aug 1994 16:12:16 GMT""}]","2011-05-23"
"hep-ph/9408392",,"A.Bottino, C.Favero, N.Fornengo and G.Mignola","Amount of Antiprotons in Cosmic Rays due to Halo Neutralino Annihilation","13 pages in Plain TeX, 7 figures included in a separate uuencoded
  tarred-compressed Postscript file; To appear in Astroparticle Physics; Report
  number: DFTT 35/94","Astropart.Phys.3:77-86,1995","10.1016/0927-6505(94)00027-Z",,"hep-ph astro-ph",,"  We evaluate the antiproton--to--proton flux ratio which can be generated by
neutralino--neutralino annihilation in the galactic halo, considering the most
general compositions for the relic neutralinos and modelling the neutralino
local density according to its relic abundance. We find that in the case of
mixed neutralino compositions this $\bar p/p$ ratio is higher than for pure
higgsinos or gauginos. It is shown how the expected improvements in sensitivity
for the new measurements of the $\bar p/p$ may provide very useful information,
complementary to the one obtainable with other experimental means.
","[{""version"":""v1"",""created"":""Tue, 30 Aug 1994 16:56:30 GMT""}]","2014-11-17"
"hep-ph/9408393","Lyndon Alvero","H. Contopanagos, L. Alvero and G. Sterman","Principal-Value Resummation for Dilepton Production","LaTeX, 6 pages, style file and 1 uuencoded postscript figure are
  included (please follow instructions given at the beginning of the latex
  file), ANL-HEP-CP-94-53, ITP-SB-94-40",,,,"hep-ph",,"  We present a new method of resummation of QCD threshold distributions to the
hard scattering function of the dilepton production cross section in
hadron-hadron collisions. Our formulation by-passes the infrared singularities
of the QCD running coupling through a principal value prescription, and does
not require an explicit infrared cut-off. The resulting large corrections
exponentiate, and we discuss asymptotic properties of the exponent. We present
a closed analytical formula for the resummed hard part in momentum space, and
give predictions, at fixed-target energies, for the resulting cross section
which is a bounded function of its kinematic variables in the entire partonic
phase space.
","[{""version"":""v1"",""created"":""Tue, 30 Aug 1994 18:59:17 GMT""}]","2007-05-23"
"hep-ph/9408394","Christian Schubert","M.G. Schmidt and C. Schubert","Multiloop Calculations in QED by Superparticle Path Integrals","6 pages, uuencoded postscript-file, HD-THEP-94-32","Nucl.Phys.Proc.Suppl. 39BC (1995) 306-308","10.1016/0920-5632(95)00092-N",,"hep-ph",,"  We use the worldline path integral approach to the Bern-Kosower formalism for
extending this formalism to the calculation of higher order corrections to N -
photon scattering. The case of the two-loop QED beta-function is considered in
detail. (Talk given by C. S. at the Workshop QCD 94, Montpellier, France, 7 -
13 July, 1994)
","[{""version"":""v1"",""created"":""Tue, 30 Aug 1994 17:27:25 GMT""}]","2009-10-28"
"hep-ph/9408395",,"A.L. Kataev and V.V. Starshenko","Estimates of the higher-order QCD corrections: Theory and Applications","revised version and improved version of CERN.TH-7400/94, LATEX 10
  pages, six-loop estimates for R(s) in Table 2 are revised, thanks to J. Ellis
  for pointing numerical shortcomings (general formulae are non-affected).
  Details of derivations of six-loop estimates for R_tau are presented","Nucl.Phys.Proc.Suppl. 39BC (1995) 312-317","10.1016/0920-5632(95)00094-P",,"hep-ph",,"  We consider the further development of the formalism of the estimates of
higher-order perturbative corrections in the Euclidean region, which is based
on the application of the scheme-invariant methods, namely the principle of
minimal sensitivity and the effective charges approach. We present the
estimates of the order $O(\alpha^{4}_{s})$ QCD corrections to the Euclidean
quantities: the $e^+e^-$-annihilation $D$-function and the deep inelastic
scattering sum rules, namely the non-polarized and polarized Bjorken sum rules
and to the Gross--Llewellyn Smith sum rule. The results for the $D$-function
are further applied to estimate the $O(\alpha_s^4)$ QCD corrections to the
Minkowskian quantities $R(s) = \sigma_{tot} (e^{+}e^{-} \to {\rm hadrons}) /
\sigma (e^{+}e^{-} \to \mu^{+} \mu^{-})$ and $R_{\tau} = \Gamma (\tau \to
\nu_{\tau} + {\rm hadrons}) / \Gamma (\tau \to \nu_{\tau} \overline{\nu}_{e}
e)$. The problem of the fixation of the uncertainties due to the
$O(\alpha_s^5)$ corrections to the considered quantities is also discussed.
","[{""version"":""v1"",""created"":""Tue, 30 Aug 1994 21:37:21 GMT""},{""version"":""v2"",""created"":""Thu, 15 Sep 1994 16:55:09 GMT""}]","2009-10-28"
"hep-ph/9408396","Hilmar Forkel","Hilmar Forkel and Marina Nielsen","The Electromagnetic Pion Form Factor and Instantons","12 pages, UMPP \#95--035, (2 figures available on request by e-mail
  or FAX)","Phys.Lett. B345 (1995) 55-60","10.1016/0370-2693(94)01596-5",,"hep-ph",,"  We calculate the electromagnetic pion form factor at intermediate space-like
momentum transfer from the QCD sum rule for the correlation function of two
{\it pseudoscalar } interpolating fields and the electromagnetic current. This
correlator receives essential contributions from direct ({\it i.e.}
small-scale) instantons, which we evaluate under the assumption of an instanton
size distribution consistent with instanton liquid and lattice simulations. The
resulting form factor is in good agreement both with the sum rule based on the
axial-current correlator and with experiment.
","[{""version"":""v1"",""created"":""Tue, 30 Aug 1994 22:59:15 GMT""}]","2009-10-28"
"hep-ph/9408397","Stephen Parke, Fermilab","Stephen Parke","Status of the Solar Neutrino Puzzle","Latex, 8 pages + 4 uuencoded figures, minor changes made,
  FERMILAB-PUB/273-T","Phys.Rev.Lett.74:839-841,1995","10.1103/PhysRevLett.74.839",,"hep-ph astro-ph",,"  Using the latest results from the solar neutrino experiments and a few
standard assumptions, I show that the popular solar models are ruled out at the
3$\sigma$ level or at least TWO of the experiments are incorrect.
Alternatively, one of the assumptions could be in error. These assumptions are
spelled out in detail as well as how each one affects the argument.
","[{""version"":""v1"",""created"":""Tue, 30 Aug 1994 23:03:07 GMT""},{""version"":""v2"",""created"":""Wed, 28 Sep 1994 18:22:09 GMT""}]","2008-11-26"
"hep-ph/9408398","Stefan Herrlich","S. Herrlich","Next-to-leading order short distance QCD corrections to the effective
  $\Delta S = 2$ Hamiltonian, implications for the $K_L$-$K_S$ mass difference","4 pages and 2 figures, uses LaTeX espcrc2 documentstyle option (all
  necessary files included in an uuencoded compressed tar file). Invited talk
  at the conference 'QCD94', Montpellier, France, 7-13 July 1994, to appear in
  the proceedings. TUM-T31-72/94","Nucl.Phys.Proc.Suppl. 39BC (1995) 263-265","10.1016/0920-5632(95)00083-L",,"hep-ph",,"  We report on the results of a calculation of next-to leading order short
distance QCD corrections to the coefficient $\eta_1$ of the effective $\Delta S
= 2$ Lagrangian in the standard model and discuss the uncertainties inherent in
such a calculation. As a phenomenological application we comment on the
contributions of short distance physics to the ${\rm K}_{\rm L}$--${\rm K}_{\rm
S}$ mass difference. This report is based on research work done in
collaboration with Ulrich Nierste.
","[{""version"":""v1"",""created"":""Wed, 31 Aug 1994 08:34:23 GMT""}]","2009-10-28"
"hep-ph/9408399","Klaus Kinder-Geiger","K. Geiger","Dynamic Gluon Confinement in High Energy Processes within Effective QCD
  Field Theory","CERN-TH. 7409/94, 9 pages, 4 figures, postscript encoded with uufiles",,,,"hep-ph",,"  An effective Lagrangian approach to describe the dynamics of confinement and
symmetry breaking in the process of quark-gluon to hadron conversion is
proposed. The deconfined quark and gluon degrees of freedom of the perturbative
QCD vacuum are coupled to color neutral condensate fields representing the
non-perturbative vacuum with broken scale and chiral symmetry. As a first
application the evolution of gluons emitted by a fragmenting high energy $q\bar
q$ pair from the perturbative to the non-perturbative regime with confinement
is studied. For reasonable parameter choice the solution of the equations of
motion leads to flux tube configurations with a string tension $t \simeq 1$
GeV/fm.
","[{""version"":""v1"",""created"":""Wed, 31 Aug 1994 11:52:16 GMT""}]","2007-05-23"
"hep-ph/9408400","Erwin Mirkes","J.H. K""uhn and E. Mirkes","Structure Functions and Distributions in Semileptonic Tau Decays","Presented by E. Mirkes at DPF94 Meeting, Albuquerque, New Mexico,
  August 2-6,1994. 5 pages (LaTex), 2 uuencoded figures appended, MAD/PH/848",,,,"hep-ph",,"  Semileptonic decays of polarized $\tau$ leptons are investigated. The most
general angular distribution of three meson final states ($\tau\rightarrow
\pi\pi\nu,\,K\pi\nu,\, \pi\pi\pi\nu,\\ \,K\pi\pi\nu,\, KK\pi\nu,\, KKK\nu,\,
\eta\pi\pi\nu,\,\ldots{}$) is discussed. It is shown, that the most general
distribution can be characterized by 16 structure functions, most of which can
be determined in currently ongoing high statistics experiments. Emphasis is put
on $\tau$ decays in $e^{+}e^{-}$ experiments where the neutrino escapes
detection and the $\tau$ rest frame cannot be reconstructed. The structure of
the hadronic matrix elements, based on CVC and chiral lagrangians, is
discussed.
","[{""version"":""v1"",""created"":""Wed, 31 Aug 1994 15:45:14 GMT""}]","2009-09-25"
"hep-ph/9408403","Luc Marleau","B. Dion, L. Marleau and G. Simon","Skyrmions from a Born-Infeld Action","11 pages, 4 figures (not included), revtex v3, LAVAL-PHY-11-94","Phys.Rev. D53 (1996) 1542-1547","10.1103/PhysRevD.53.1542",,"hep-ph",,"  We consider a geometrically motivated Skyrme model based on a general
covariant kinetic term proposed originally by Born and Infeld. We introduce
this new term by generalizing the Born-Infeld action to a non-abelian $SU(2)$
gauge theory and by using the hidden gauge symmetry formalism. The static
properties of the Skyrmion are then analyzed and compared with other
Skyrme-like models.
","[{""version"":""v1"",""created"":""Wed, 31 Aug 1994 07:32:21 GMT""}]","2009-10-28"
