"alg-geom/9408001","Daniel Huybrechts","Lothar Goettsche, Daniel Huybrechts","Hodge numbers of moduli spaces of stable bundles on K3 surfaces","12 pages, latex",,,,"alg-geom math.AG",,"  We show that the Hodge numbers of the moduli space of stable rank two sheaves
with primitive determinant on a K3 surface coincide with the Hodge numbers of
an appropriate Hilbert scheme of points on the K3 surface. The precise result
is: Theorem: Let $X$ be a K3 surface, $L$ a primitive big and nef line bundle
and $H$ a generic polarization. If the moduli space of rank two $H$ semi-stable
torsion-free sheaves with determiant $L$ and second Chern class $c_2$ has at
least dimension 10 then its Hodge numbers coincide with those of the Hilbert
scheme of $l:=2c_2-\frac{L^2}{2}-3$ points on $X$.
","[{""version"":""v1"",""created"":""Thu, 4 Aug 1994 15:02:20 GMT""}]","2008-02-03"
"cond-mat/9408016","Margaret Gabler","Chetan Nayak and Frank Wilczek","Renormalization Group Approach to Low Temperature Properties of a
  Non-Fermi Liquid Metal","42 pages, 5 figures upon request, uses Phyzzx, IASSNS-HEP 94/61",,"10.1016/0550-3213(94)90158-9",,"cond-mat hep-th",,"  We expand upon on an earlier renormalization group analysis of a non-Fermi
liquid fixed point that plausibly govers the two dimensional electron liquid in
a magnetic field near filling fraction $\nu=1/2$. We give a more complete
description of our somewhat unorthodox renormalization group transformation by
relating both our field-theoretic approach to a direct mode elimination and our
anisotropic scaling to the general problem of incorporating curvature of the
Fermi surface. We derive physical consequences of the fixed point by showing
how they follow from renormalization group equations for finite-size scaling,
where the size may be set by the temperature or by the frequency of interest.
In order fully to exploit this approach, it is necessary to take into account
composite operators, including in some cases dangerous ``irrelevant''
operators. We devote special attention to gauge invariance, both as a formal
requirement and in its positive role providing Ward identities constraining the
renormalization of composite operators. We emphasize that new considerations
arise in describing properties of the physical electrons (as opposed to the
quasiparticles.) We propose an experiment which, if feasible, will allow the
most characteristic feature of our results, that is
","[{""version"":""v1"",""created"":""Thu, 4 Aug 1994 14:03:45 GMT""}]","2009-10-22"
"cond-mat/9408017","Yan Fyodorov","Yan V. Fyodorov","Distribution of ""level velocities"" in quasi 1D disordered or chaotic
  systems with localization","11 pages, REVTEX 3.0",,"10.1103/PhysRevLett.73.2688",,"cond-mat",,"  The explicit analytical expression for the distribution function of
parametric derivatives of energy levels (""level velocities"") with respect to a
random change of scattering potential is derived for the chaotic quantum
systems belonging to the quasi 1D universality class (quantum kicked rotator,
""domino"" billiard, disordered wire, etc.).
","[{""version"":""v1"",""created"":""Thu, 4 Aug 1994 13:38:21 GMT""}]","2009-10-22"
"gr-qc/9408007","Renate Loll","R. Loll","Independent Loop Invariants for 2+1 Gravity","11pp, 2 figures (postscript, compressed and uu-encoded), TeX,
  Pennsylvania State University, CGPG-94/7-1","Class.Quant.Grav.12:1655-1662,1995","10.1088/0264-9381/12/7/008",,"gr-qc",,"  We identify an explicit set of complete and independent Wilson loop
invariants for 2+1 gravity on a three-manifold $M=\R\times\Sigma^g$, with
$\Sigma^g$ a compact oriented Riemann surface of arbitrary genus $g$. In the
derivation we make use of a global cross section of the $PSU(1,1)$-principal
bundle over Teichm\""uller space given in terms of Fenchel-Nielsen coordinates.
","[{""version"":""v1"",""created"":""Wed, 3 Aug 1994 22:47:43 GMT""}]","2010-04-06"
"hep-lat/9408005","Klaus Pinn","M. Hasenbusch, M. Marcu, and K. Pinn","The Sine Gordon Model: Perturbation Theory and Cluster Monte Carlo","compressed and uuencoded PostScript file, 25 pages, preprints CERN
  TH.7374/94, MS-TPI-94-9","Physica A211 (1994) 255","10.1016/0378-4371(94)00196-0",,"hep-lat",,"  We study the expansion of the surface thickness in the 2-dimensional lattice
Sine Gordon model in powers of the fugacity z. Using the expansion to order
z**2, we derive lines of constant physics in the rough phase. We describe and
test a VMR cluster algorithm for the Monte Carlo simulation of the model. The
algorithm shows nearly no critical slowing down. We apply the algorithm in a
comparison of our perturbative results with Monte Carlo data.
","[{""version"":""v1"",""created"":""Thu, 4 Aug 1994 12:05:07 GMT""}]","2009-10-22"
"hep-ph/9408224",,"Anjan S. Joshipura and Marek Nowakowski","Just so oscillations in supersymmetric standard model","LATEX file, two figures (available on request)","Phys.Rev. D51 (1995) 2421-2427","10.1103/PhysRevD.51.2421",,"hep-ph",,"  We analyze the spectrum and mixing among neutrinos in the minimal
supersymmetric standard model with explicit breaking of R parity. It is shown
that ({\em i}) the mixing among neutrinos is naturally large and ({\em ii}) the
non zero neutrino mass is constrained to be $\leq 10^{-5}$ eV from arguments
based on baryogenesis. Thus vacuum oscillations of neutrinos in this model may
offer a solution of the solar neutrino problem. The allowed space of the
supersymmetric parameters consistent with this solution is determined.
","[{""version"":""v1"",""created"":""Wed, 3 Aug 1994 18:12:00 GMT""}]","2009-10-28"
"hep-ph/9408225","Tony Gherghetta","Tony Gherghetta","Regularization in the Gauged Nambu--Jona-Lasinio Model","12 pages, LaTeX with 3 uuencoded tar-compressed figures submitted
  separately, requires epsf.tex, EFI-93-67. Complete postscript file also
  available by anonymous ftp at rainbow.uchicago.edu:
  /pt-preprints/efi-93-67.ps.Z","Phys.Rev. D50 (1994) 5985-5992","10.1103/PhysRevD.50.5985",,"hep-ph",,"  Various prescriptions employed for regulating gauged Nambu--Jona-Lasinio type
models such as the top-quark condensate model are discussed. The use of
dimensional regularization maintains gauge invariance but destroys the
quadratic divergence in the gap equation. If instead a simple ultraviolet
momentum cutoff is used to regulate loop integrals, then gauge invariance is
destroyed by a quadratically divergent term as well as by ambiguities
associated with arbitrary routing of loop momenta. Finally it is shown that one
can use dispersion relations to regulate the top-quark condensate model. This
prescription maintains gauge invariance and does not depend on arbitrary shifts
in loop momenta.
","[{""version"":""v1"",""created"":""Wed, 3 Aug 1994 18:17:55 GMT""}]","2009-10-28"
"hep-ph/9408226",,"R. Arnowitt and Pran Nath","Neutralino Event Rates In Dark Matter Detectors","Plain Tex file, 14 pages, 4 figures avalaible upon request","Mod.Phys.Lett.A10:1257-1268,1995","10.1142/S021773239500137X","CERN-TH.7362/94-CTP-TAMU-37/94-NUB-TH-3098/94","hep-ph",,"  The expected event rates for ${\tilde Z_{1}}$ dark matter for a variety of
dark matter detectors are studied over the full parameter space with tan
$\beta\leq$ 20 for supergravity grand unified models. Radiative breaking
constraints are implemented and effects of the heavy netural Higgs included as
well as loop corrections to the neutral Higgs sector. The parameter space is
restricted so that the ${\tilde Z_{1}}$ relic density obeys 0.10
$\leq\Omega_{\tilde Z_{1}}h^2\leq 0.35$, consistent with the COBE data and
astronomical determinations of the Hubble constant. It is found that the best
detectors sensitive to coherrent ${\tilde Z_{1}}$ scattering (e.g. Pb) is about
5-10 more sensitive than those based on incoherrent spin dependent scattering
(e.g. CaF). In general, the dark matter detectors are most sensistive to the
large tan $\beta$ and small $m_o$ and $m_{\tilde g}$ sector of the parameter
space.
","[{""version"":""v1"",""created"":""Wed, 3 Aug 1994 18:59:52 GMT""}]","2009-09-25"
"hep-ph/9408227",,"E.M. Henley and G.A. Miller","A Proposed Test of Charge Symmetry in $\Sigma$ Decay","6 pages, submitted to Physical Review D, Brief Reports, Report #
  DOE/ER/40427-14-N94","Phys.Rev. D50 (1994) 7077-7078","10.1103/PhysRevD.50.7077",,"hep-ph",,"  The semi-leptonic decays of $\Sigma^\pm$ offer a vehicle for observing charge
symmetry-breaking. The effect is expected to be about 6\%, enhanced due to the
replacement of two u quarks by d quarks. We propose that present experimental
data be improved to search for this effect.
","[{""version"":""v1"",""created"":""Wed, 3 Aug 1994 20:09:58 GMT""}]","2009-10-28"
"hep-ph/9408228","Christopher Kolda","James D. Wells, Chris Kolda, and G.L. Kane","Implications of the Partial Width Z->bb for Supersymmetry Searches and
  Model-Building","15 pages, University of Michigan preprint UM-TH-94-23. LaTeX file
  with 4 uuencoded figures sent separately. Compressed PS file (114Kb)
  available by anonymous FTP from 141.211.96.66 in
  /pub/preprints/UM-TH-94-23.ps.Z","Phys.Lett. B338 (1994) 219-228","10.1016/0370-2693(94)91369-2",,"hep-ph",,"  Assuming that the actual values of the top quark mass at FNAL and of the
ratio of partial widths Z->bb/Z->hadrons at LEP are within their current
one-sigma reported ranges, we present a No-Lose Theorem for superpartner
searches at LEP II and an upgraded Tevatron. We impose only two theoretical
assumptions: the Lagrangian is that of the Minimal Supersymmetric Standard
Model with arbitrary soft-breaking terms, and all couplings remain perturbative
up to scales of order 10^16 GeV; there are no assumptions about the soft SUSY
breaking parameters, proton decay, cosmology, etc. In particular, if the LEP
and FNAL values hold up and supersymmetry is responsible for the discrepancy
with the SM prediction of the partial width of Z->bb, then we must have
charginos and/or top squarks observable at the upgraded machines. Furthermore,
little deviation from the SM is predicted within ""super-unified"" SUSY. Finally,
it appears to be extremely difficult to find any unified MSSM model, regardless
of the form of soft SUSY breaking, that can explain the partial width for large
tan(beta); in particular, no model with top-bottom-tau Yukawa coupling
unification appears to be consistent with the experiments.
","[{""version"":""v1"",""created"":""Thu, 4 Aug 1994 01:54:58 GMT""}]","2009-10-28"
"hep-ph/9408229","Yoshiki Kizukuri","G. C. Branco, G. C. Cho, Y. Kizukuri, and N. Oshimo","Supersymmetric Contributions to $\BB$ and $\KK$ Mixings","Plain TeX 11 Pages plus 4 figures appended in a uuencoded compressed
  PostScript file, CERN-TH.7345/94, TKU-HEP 94/04, CFIF-UTL/IST 2/94","Phys.Lett.B337:316-323,1994","10.1016/0370-2693(94)90981-4",,"hep-ph",,"  We show that in the supersymmetric standard model (SSM) box diagrams mediated
by charginos and up-type squarks may give large contributions to $\BB$ and
$\KK$ mixings. This is due to the fact that a heavy top quark mass allows large
mass differences among the up-type squarks, which leads to a less efficient
cancellation among the different squark diagrams. If the ratio of the vacuum
expectation values of the Higgs bosons is of order of unity, box diagrams
mediated by charged Higgs bosons also contribute appreciably. For sizable
regions of the SSM parameter space, the SSM contributions could be sufficiently
large to affect significantly the evaluation of the CKM matrix from the
experimental values of the mixing parameter $x_d$ and the $CP$ violation
parameter $\epsilon$.
","[{""version"":""v1"",""created"":""Thu, 4 Aug 1994 09:01:31 GMT""}]","2010-11-01"
"hep-ph/9408230",,"Diego J. Castano and Stephen P. Martin","Discrete symmetries and isosinglet quarks in low-energy supersymmetry","13 pages, MIT-CTP-2345, NUB-3097-94TH","Phys.Lett. B340 (1994) 67-73","10.1016/0370-2693(94)91299-8",,"hep-ph",,"  Many extensions of the minimal supersymmetric standard model contain
superfields for quarks which are singlets under weak isospin with electric
charge -1/3. We explore the possibility that such isosinglet quarks have low or
intermediate scale masses, but do not mediate rapid proton decay because of a
discrete symmetry. By imposing the discrete gauge anomaly cancellation
conditions, we show that the simplest way to achieve this is to extend the Z_3
""baryon parity"" of Ibanez and Ross to the isosinglet quark superfields. This
can be done in three distinct ways. This strategy is not consistent with grand
unification with a simple gauge group, but may find a natural place in
superstring-inspired models, for example. An interesting feature of this
scenario is that proton decay is absolutely forbidden.
","[{""version"":""v1"",""created"":""Thu, 4 Aug 1994 13:34:26 GMT""}]","2009-10-28"
"hep-th/9408019","Eduardo Ramos","E. Ramos and J. Roca","W-symmetry and the rigid particle","14 pages, plain TeX (macros included). QMW-PH-94-23","Nucl.Phys. B436 (1995) 529-544","10.1016/0550-3213(94)00507-B",,"hep-th",,"  We prove that $\W_3$ is the gauge symmetry of the scale-invariant rigid
particle, whose action is given by the integrated extrinsic curvature of its
world line. This is achieved by showing that its equations of motion can be
written in terms of the Boussinesq operator. The $\W_3$ generators $T$ and $W$
then appear respectively as functions of the induced world line metric and the
extrinsic curvature. We also show how the equations of motion for the standard
relativistic particle arise from those of the rigid particle whenever it is
consistent to impose the ``zero-curvature gauge'', and how to rewrite them in
terms of the $\KdV$ operator. The relation between particle models and
integrable systems is further pursued in the case of the spinning particle,
whose equations of motion are closely related to the $\SKdV$ operator. We also
partially extend our analysis in the supersymmetric domain to the scale
invariant rigid particle by explicitly constructing a supercovariant version of
its action. Comment: This is an expanded version of hep-th/9406072 (to be
published in the Proceedings of the Workshop on the Geometry of Constrained
Dynamical Systems, held at the Isaac Newton Institute for Mathematical
Sciences, Cambridge, June 14-18, 1994.).
","[{""version"":""v1"",""created"":""Wed, 3 Aug 1994 16:24:12 GMT""}]","2009-10-28"
"hep-th/9408020",,"A. Jadczyk","On Quantum Jumps, Events and Spontaneous Localization Models","18 pages; This paper has been removed because it is identical to
  hep-th/9408021",,,,"hep-th",,"  We propose a definite meaning to the concepts of ""experiment"", ""measurement""
and ""event"" in the event-enhanced formalism of quantum theory. A minimal
piecewise deterministic process is given that can be used for a computer
simulation of real time series of experiments on single quantum objects. As an
example a generalized cloud chamber is described, including multiparticle case.
Relation to the GRW spontaneous localization model is discussed.
","[{""version"":""v1"",""created"":""Thu, 4 Aug 1994 00:14:52 GMT""}]","2016-09-06"
"hep-th/9408021",,"A. Jadczyk","On Quantum Jumps, Events and Spontaneous Localization Models","20 pages",,"10.1007/BF02059126",,"hep-th cond-mat gr-qc",,"  We propose a definite meaning to the concepts of ""experiment"", ""measurement""
and ""event"" in the event-enhanced formalism of quantum theory. A minimal
piecewise deterministic process is given that can be used for a computer
simulation of real time series of experiments on single quantum objects. As an
example a generalized cloud chamber is described, including multiparticle case.
Relation to the GRW spontaneous localization model is discussed. The second
revised version of the paper contains references to papers by other authors
that are are aiming in the same direction: to enhance quantum theory in such a
way that it will provide stochastic description of events triggered by
individual quantum systems.
","[{""version"":""v1"",""created"":""Thu, 4 Aug 1994 00:15:28 GMT""},{""version"":""v2"",""created"":""Mon, 29 Aug 1994 23:40:46 GMT""}]","2016-09-06"
"hep-th/9408022","Asim Gangopadhyaya","A. Gangopadhyaya, A. Pagnamenta and U. Sukhatme","Quantum Mechanics of Multi-Prong Potentials","17 pages. LATEX. On request, TOP_DRAW files or hard copies available
  for 7 figures","J.Phys. A28 (1995) 5331-5347","10.1088/0305-4470/28/18/022","UICHEP-TH/94-5","hep-th",,"  We describe the bound state and scattering properties of a quantum mechanical
particle in a scalar $N$-prong potential. Such a study is of special interest
since these situations are intermediate between one and two dimensions. The
energy levels for the special case of $N$ identical prongs exhibit an
alternating pattern of non-degeneracy and $(N-1)$ fold degeneracy. It is shown
that the techniques of supersymmetric quantum mechanics can be used to generate
new solutions. Solutions for prongs of arbitrary lengths are developed.
Discussions of tunneling in $N$-well potentials and of scattering for piecewise
constant potentials are given. Since our treatment is for general values of
$N$, the results can be studied in the large $N$ limit. A somewhat surprising
result is that a free particle incident on an $N$-prong vertex undergoes
continuously increased backscattering as the number of prongs is increased.
","[{""version"":""v1"",""created"":""Wed, 3 Aug 1994 23:10:15 GMT""}]","2009-10-28"
"hep-th/9408023","Andrei Linde","Juan Garcia-Bellido and Andrei Linde","Stationarity of Inflation and Predictions of Quantum Cosmology","30 pages, Stanford preprint SU-ITP-94-24, LaTeX","Phys.Rev.D51:429-443,1995","10.1103/PhysRevD.51.429",,"hep-th astro-ph gr-qc hep-ph",,"  We describe several different regimes which are possible in inflationary
cosmology. The simplest one is inflation without self-reproduction of the
universe. In this scenario the universe is not stationary. The second regime,
which exists in a broad class of inflationary models, is eternal inflation with
the self-reproduction of inflationary domains. In this regime local properties
of domains with a given density and given values of fields do not depend on the
time when these domains were produced. The probability distribution to find a
domain with given properties in a self-reproducing universe may or may not be
stationary, depending on the choice of an inflationary model. We give examples
of models where each of these possibilities can be realized, and discuss some
implications of our results for quantum cosmology. In particular, we propose a
new mechanism which may help solving the cosmological constant problem.
","[{""version"":""v1"",""created"":""Thu, 4 Aug 1994 02:45:51 GMT""}]","2009-09-29"
"hep-th/9408024",,"Rainer Dick","Non-Standard Fermion Propagators from Conformal Field Theory","15 pages, Latex, LMU-TPW 94-10",,"10.1007/3-540-59163-X_261",,"hep-th",,"  It is shown that Weyl spinors in 4D Minkowski space are composed of primary
fields of half-integer conformal weights. This yields representations of
fermionic 2-point functions in terms of correlators of primary fields with a
factorized transformation behavior under the Lorentz group. I employ this
observation to determine the general structure of the corresponding Lorentz
covariant correlators by methods similar to the methods employed in conformal
field theory to determine 2- and 3-point functions of primary fields. In
particular, the chiral symmetry breaking terms resemble fermionic 2-point
functions of 2D CFT up to a function of the product of momenta. The
construction also permits for the formulation of covariant meromorphy
constraints on spinors in 3+1 dimensions.
","[{""version"":""v1"",""created"":""Thu, 4 Aug 1994 09:05:44 GMT""}]","2015-06-26"
"hep-th/9408025","Sekretariat Phil. weg16","Christoph Wetterich","The cosmon model for an asymptotically vanishing time-dependent
  cosmological ``constant''","19 pages, LaTeX","Astron.Astrophys.301:321-328,1995",,"HD-THEP-94-16","hep-th astro-ph",,"  We investigate the coupled system of gravity and a scalar with exponential
potential. The energy momentum tensor of the scalar field induces a
time-dependent cosmological ``constant''. This adjusts itself dynamically to
become in the ``late'' universe (including today) proportional to the energy
density of matter and radiation. Possible consequences for the present
cosmology are shortly discussed. We also address the question of naturalness of
the cosmon model.
","[{""version"":""v1"",""created"":""Thu, 4 Aug 1994 10:43:03 GMT""}]","2011-05-23"
