"adap-org/9408001","Toshio Aoyagi","Toshio Aoyagi (Department of Applied Mathematics and Physics, Kyoto
  University, Japan)","A Network of Oscillators for Retrieving Phase Information","9 pages (Revtex source file) including 2 figures (postscript)",,"10.1103/PhysRevLett.74.4075",,"adap-org nlin.AO",,"  We propose a network of oscillators to retrieve given patterns in which the
oscillators keep a fixed phase relationship with one another. In this
description, the phase and the amplitude of the oscillators can be regarded as
the timing and the strength of the neuronal spikes, respectively. Using the
amplitudes for encoding, we enable the network to realize not only oscillatory
states but also non-firing states. In addition, it is shown that under suitable
conditions the system has a Lyapunov function ensuring a stable retrieval
process. Finally, the associative memory capability of the network is
demonstrated numerically.
","[{""version"":""v1"",""created"":""Mon, 22 Aug 1994 05:02:17 GMT""},{""version"":""v2"",""created"":""Fri, 26 Aug 1994 10:11:20 GMT""}]","2009-10-22"
"hep-ph/9408337","Yuri Makeenko","Yu. Makeenko","Threshold Multiparticle Amplitudes in Phi^4 Theories at Large N","20pp., Latex, YM-5-94 [Talk at Quarks-94]",,,,"hep-ph hep-th",,"  I review some recent work on the problem of multiparticle production in a
phi^4-theory with an O(N) symmetry. Threshold amplitudes with fixed number of
produced particles are exactly calculated at large-N to all loops and vanish on
mass shell for 2->n when n>2 due to a dynamical symmetry. I consider an
extension to the cases when the O(N) symmetry is softly broken by masses
including spontaneous breaking of a remaining reflection symmetry. The exact
solutions are obtained by the Gelfand--Dikii technique of finding the diagonal
resolvent of the Schrodinger operator which emerges due to factorization at
large N. I report also some new results on the diagonal resolvent for a general
Poschl--Teller potential, which could be useful for calculations of
multiparticle amplitudes in the standard model.
","[{""version"":""v1"",""created"":""Mon, 22 Aug 1994 07:08:58 GMT""}]","2007-05-23"
"hep-ph/9408338","Katsuhiko Suzuki","Katsuhiko Suzuki and Hiroshi Toki","Heavy Quarkonium in the dual Ginzburg-Landau theory of QCD","16 pages with 5 figures as uuencoded PostScript files, TMU-NT940803","Int.J.Mod.Phys. A11 (1996) 2677-2688","10.1142/S0217751X96001292",,"hep-ph",,"  We study the masses and the leptonic decay widths of heavy quarkonium in the
dual Ginzburg-Landau (DGL) theory of QCD, in which the abelian monopole
condensation plays an essential role for color confinement. The effect of color
screening due to the light quark pair creation is introduced by the infrared
momentum cutoff in the gluon propagator. We find that the color screening
effect is important to reproduce the properties of the heavy quarkonium, in
particular the leptonic decay width. We also discuss the underlying systematics
of the heavy quark spectroscopy in the DGL theory.
","[{""version"":""v1"",""created"":""Mon, 22 Aug 1994 09:53:30 GMT""}]","2015-06-25"
"hep-ph/9408339","Tomislav Prokopec","Michael Joyce, Tomislav Prokopec, and Neil Turok","Electroweak Baryogenesis from a Classical Force","11 pages, revtex, no figures, version published in Phys. Rev. Lett.,
  with one minor numerical correction and updated references. Texing problems
  fixed","Phys.Rev.Lett.75:1695-1698,1995; Erratum-ibid.75:3375,1995","10.1103/PhysRevLett.75.1695","PUP-TH-1494 (1994)","hep-ph",,"  We describe a new effect which produces baryons at a first order electroweak
phase transition. It operates when there is a CP-violating field present on
propagating bubble walls. The novel aspect is that it involves a purely
classical force, which alters the motion of particles across the wall and
through diffusion creates a chiral asymmetry in front of the wall. We develop a
technique for computing the baryon asymmetry using the Boltzmann equation, and
a fluid approximation which allows us to model strong scattering effects. The
final formula for the baryon asymmetry has a remarkably simple form.
","[{""version"":""v1"",""created"":""Mon, 22 Aug 1994 11:55:15 GMT""},{""version"":""v2"",""created"":""Wed, 25 Oct 1995 10:40:26 GMT""},{""version"":""v3"",""created"":""Thu, 26 Oct 1995 17:17:27 GMT""}]","2010-11-01"
"hep-ph/9408340","Hans-Guenter Kohrs","B.A. Kniehl, H.-G. Kohrs and G. Kramer","Diffractive Photoproduction of Jets with a Direct Pomeron Coupling at
  HERA","21 pages, Latex file, 7 figures (uuencoded) enclosed, Preprint DESY
  94-140, KEK-TH-407 and KEK Preprint 94-77","Z.Phys.C65:657-666,1995","10.1007/BF01578673",,"hep-ph",,"  We investigate in detail the effect of a direct pomeron coupling to quarks on
the production of jets in $ep$ scattering with almost real photons. Jet
production via a direct pomeron coupling is compared with the resolved--pomeron
mechanism. We consider both direct and resolved photoproduction. Rapidity and
transverse momentum distributions are calculated and compared with preliminary
H1 and ZEUS data.
","[{""version"":""v1"",""created"":""Mon, 22 Aug 1994 13:43:40 GMT""}]","2011-07-19"
"hep-ph/9408341","Ed Yao","Kassa Adel and York-Peng Yao","Renormalization of four-quark operators, effective theory, and the role
  of evanescent operators","39 pages plain TeX and 10 Postscript figures available upon request,
  McGill/ 94-14 and UM-TH-94-29","Phys.Rev. D53 (1996) 374-388","10.1103/PhysRevD.53.374",,"hep-ph",,"  We present, in the context of dimensional regularization, a prescription to
renormalize Feynman diagrams with an arbitrary number of external fermions.
This prescription, which is based on the original t'Hooft-Veltman proposal to
keep external particles in four dimensions, is particularly useful to define
the 'renormalization' (in the context of effective Lagrangian) of physical
four-quark operators without introducing any evanescent operator. The results
obtained for $b\rightarrow s$ processes agree with those from the so-called
naive prescription, but disagree with the ones with the introduction of
evanescent operators in a renormalization group analysis. We also present an
explicit two loop calculation of the mixing of the evanescent operators with
the physical dimension five operators for the same processes. Particular
attention is paid to the unboundedness nature of such mixing and how a formal
finite transformation is effected to decouple. The inevitable mass dependence
of one of these schemes in the literature is pointed out as the cause for the
difference mentioned.
","[{""version"":""v1"",""created"":""Mon, 22 Aug 1994 15:43:27 GMT""}]","2009-10-28"
"hep-ph/9408342",,"Alan R. White","Higher-Order Lipatov Kernels and the QCD Pomeron","8 pages. ANL-HEP-CP-94-49",,,,"hep-ph",,"  Three closely related topics are covered. The derivation of $O(g^4)$ Lipatov
kernels in pure glue QCD. The significance of quarks for the physical Pomeron
in QCD. The possible inter-relation of Pomeron dynamics with Electroweak
symmetry breaking.
","[{""version"":""v1"",""created"":""Mon, 22 Aug 1994 11:14:42 GMT""},{""version"":""v2"",""created"":""Tue, 23 Aug 1994 17:17:01 GMT""}]","2009-09-25"
"hep-th/9408115","Washington Taylor","M. Crescimanno and W. Taylor","Large $N$ Phases of Chiral QCD_2","24 pgs., with 4 (postscript) figures included. MIT-CTP-2303","Nucl.Phys. B437 (1995) 3-24","10.1016/0550-3213(94)00561-R",,"hep-th",,"  A matrix model is constructed which describes a chiral version of the large
$N$ $U(N)$ gauge theory on a two-dimensional sphere of area $A$. This theory
has three separate phases. The large area phase describes the associated chiral
string theory. An exact expression for the free energy in the large area phase
is used to derive a remarkably simple formula for the number of topologically
inequivalent covering maps of a sphere with fixed branch points and degree $n$.
","[{""version"":""v1"",""created"":""Sun, 21 Aug 1994 16:44:03 GMT""}]","2009-10-28"
"hep-th/9408116","Neil Marcus","Neil Marcus and Shimon Yankielowicz","The B model as a twisted spinning particle","25/17 Pages big/little (LaTeX), TAUP-2192-94, CERN-TH.7402/94","Nucl.Phys.B432:225-245,1994","10.1016/0550-3213(94)90601-7",,"hep-th",,"  The B-twisted topological sigma model coupled to topological gravity is
supposed to be described by an ordinary field theory: a type of holomorphic
Chern-Simons theory for the open string, and the Kodaira-Spencer theory for the
closed string. We show that the B model can be represented as a PARTICLE
theory, obtained by reducing the sigma model to one dimension, and replacing
the coupling to topological gravity by a coupling to a twisted one-dimensional
supergravity. The particle can be defined on ANY Kahler manifold--it does not
require the Calabi-Yau condition--so it may provide a more generalized setting
for the B model than the topological sigma model. The one-loop partition
function of the particle can be written in terms of the Ray-Singer torsion of
the manifold, and agrees with that of the original B model. After showing how
to deform the Kahler and complex structures in the particle, we prove the
independence of this partition function on the Kahler structure, and
investigate the origin of the holomorphic anomaly. To define other amplitudes,
one needs to introduce interactions into the particle. The particle will then
define a field theory, which may or may not be the Chern-Simons or
Kodaira-Spencer theories.
","[{""version"":""v1"",""created"":""Sun, 21 Aug 1994 18:54:31 GMT""}]","2010-11-01"
"hep-th/9408117","Niegawa","A. Ni\'egawa","Production of soft photons from the quark-gluon plasma in hot QCD-
  Screening of mass singularities","15 pages, LaTex","Mod.Phys.Lett.A10:379-389,1995","10.1142/S0217732395000417","OCU-PHYS.153","hep-th",,"  It has been reported that, within the hard-thermal-loop resummation scheme,
the production rate of soft real photons from a hot quark-gluon plasma exhibits
unscreened mass singularities. We show that still higher-order resummations
screen the mass singularities and obtain the finite soft-photon production rate
to leading order at logarithmic accuracy ${\cal O} (\alpha \alpha_s \ln^2
\alpha_s)$.
","[{""version"":""v1"",""created"":""Mon, 22 Aug 1994 07:01:13 GMT""}]","2016-08-14"
"hep-th/9408118",,"J. Ambjorn, Z. Burda, J. Jurkiewicz and B. Petersson","A Random Surface Theory with Non-Trivial $\gamma_{string}$","11 pages+4 figures, ordinary uncompressed ps-file. NBI-HE-94-39","Phys.Lett. B341 (1995) 286-292","10.1016/0370-2693(94)01281-G",,"hep-th hep-lat",,"  We measure by Monte Carlo simulations $\g_{string}$ for a model of random
surfaces embedded in three dimensional Euclidean space-time. The action of the
string is the usual Polyakov action plus an extrinsic curvature term. The
system undergoes a phase transition at a finite value $\l_c$ of the extrinsic
curvature coupling and at the transition point the numerically measured value
of $\g_{string}(\l_c) \approx 0.27\pm 0.06$. This is consistent with
$\g_{string}(\l_c)=1/4$, i.e. equal to the first of the non-trivial values of
$\g_{string}$ between 0 and $1/2$.
","[{""version"":""v1"",""created"":""Mon, 22 Aug 1994 12:58:01 GMT""}]","2009-10-28"
"hep-th/9408119","Terry Gannon","Terry Gannon","The Classification of SU(m)_{k} Automorphism Invariants","8 pp. (plain tex)",,,,"hep-th",,"  In this paper we find all permutations of the level k weights of the affine
algebra A_r^{(1)} which commute with both its S and T modular matrices. We find
that all of these are simple current automorphisms and their conjugations.
Previously, the A_{r,k}^{(1)} automorphism invariants were known only for r=1,2
\forall k, and k=1 \forall r. This is a major step toward the full
classification of all A_{r,k}^{(1)} modular invariants; the simplicity of this
proof strongly suggests that the full classification should be accomplishable.
In an appendix we collect some new results concerning the A_{r,k}^{(1)} fusion
ring.
","[{""version"":""v1"",""created"":""Mon, 22 Aug 1994 13:40:50 GMT""}]","2007-05-23"
