"adap-org/9410006","Bernardo Huberman","Bernardo A. Huberman, and Tad Hogg (Dynamics of Computation, Xerox
  Palo Alto Research Center, Palo Alto, CA. 94304)","Communities of Practice: Performance and Evolution","23 pages, postcript, uuencoded",,,,"adap-org nlin.AO",,"  We present a detailed model of collaboration in communities of practice and
we examine its dynamical consequences for the group as a whole. We establish
the existence of a novel mechanism that allows the community to naturally adapt
to growth, specialization, or changes in the environment without the need for
central controls. This mechanism relies on the appearance of a dynamical
instability that initates an exploration of novel interactions, eventually
leading to higher performance for the community as a whole.
","[{""version"":""v1"",""created"":""Wed, 26 Oct 1994 22:39:16 GMT""},{""version"":""v2"",""created"":""Fri, 28 Oct 1994 17:53:38 GMT""}]","2008-02-03"
"cond-mat/9410099",,"Manfred Sigrist and Yong Baek Kim","Test Experiment for Time-Reversal Symmetry Breaking Superconductivity","4 pages, 2 figures available upon request, Revtex, MIT-CMT-OCT",,"10.1143/JPSJ.63.4314",,"cond-mat",,"  A new experiment is proposed to probe the time-reversal symmetry of a
superconductor. It is shown that a time-reversal symmetry breaking
superconductor can be identified by the observation of a fractional flux in
connection with a Josephson junction in a special geometry.
","[{""version"":""v1"",""created"":""Wed, 26 Oct 1994 18:59:59 GMT""}]","2009-10-22"
"cond-mat/9410100","Bruno Nachtergaele","Elliott Lieb and Bruno Nachtergaele","The Stability of the Peierls Instability for Ring-Shaped Molecules","32 pages, Plain TeX, 3 figures appended as postscript files,
  EHLBN26/June/94","Phys. Rev. B, 51 (1995) 4777-4791","10.1103/PhysRevB.51.4777",,"cond-mat",,"  We investigate the conventional tight-binding model of $L$ $\pi$-electrons on
a ring-shaped mol\-e\-cule of $L$ atoms with nearest neighbor hopping. The
hopping amplitudes, $t(w)$, depend on the atomic spacings, $w$, with an
associated distortion energy $V(w)$. A Hubbard type on-site interaction as well
as nearest-neighbor repulsive potentials can also be included. We prove that
when $L=4k+2$ the minimum energy $E$ occurs either for equal spacing or for
alternating spacings (dimerization); nothing more chaotic can occur. In
particular this statement is true for the Peierls-Hubbard Hamiltonian which is
the case of linear $t(w)$ and quadratic $V(w)$, i.e., $t(w)=t_0-\alpha w$ and
$V(w)=k(w-a)^2$, but our results hold for any choice of couplings or functions
$t(w)$ and $V(w)$. When $L=4k$ we prove that more chaotic minima {\it can\/}
occur, as we show in an explicit example, but the alternating state is always
asymptotically exact in the limit $L\to\infty$. Our analysis suggests three
interesting conjectures about how dimerization stabilizes for large systems. We
also treat the spin-Peierls problem and prove that nothing more chaotic than
dimerization occurs for $L=4k+2$ {\it and\/} $L=4k$.
","[{""version"":""v1"",""created"":""Wed, 26 Oct 1994 20:16:38 GMT""}]","2009-10-22"
"cond-mat/9410101","Zachary Ha","Z. N. C. Ha (School of Natural Sciences, IAS Princeton)","Fractional Statistics in One-Dimension: View From An Exactly Solvable
  Model","42 Revtex pages + 5 separate postscript figures + Some minor
  corrections",,"10.1016/0550-3213(94)00537-O","IASSNS-HEP-94/90","cond-mat hep-th",,"  One-dimensional fractional statistics is studied using the
Calogero-Sutherland model (CSM) which describes a system of non-relativistic
quantum particles interacting with inverse-square two-body potential on a ring.
The inverse-square exchange can be regarded as a pure statistical interaction
and this system can be mapped to an ideal gas obeying the fractional exclusion
and exchange statistics. The details of the exact calculations of the dynamical
correlation functions for this ideal system is presented in this paper. An
effective low-energy one-dimensional ``anyon'' model is constructed; and its
correlation functions are found to be in agreement with those in the CSM; and
this agreement provides an evidence for the equivalence of the first- and the
second-quantized construction of the 1D anyon model at least in the long
wave-length limit. Furthermore, the finite-size scaling applicable to the
conformally invariant systems is used to obtain the complete set of correlation
exponents for the CSM.
","[{""version"":""v1"",""created"":""Wed, 26 Oct 1994 21:02:57 GMT""},{""version"":""v2"",""created"":""Thu, 3 Nov 1994 22:37:52 GMT""},{""version"":""v3"",""created"":""Thu, 26 Jan 1995 20:21:52 GMT""}]","2009-10-22"
"cond-mat/9410102","Andrea Crisanti","F Cecconi, A Crisanti, M Falcioni A Vulpiani","Sporadicity and synchronization in one-dimensional asymmetrically
  coupled maps","9 pages + 3 figures (postscript appended uuencoded tar), IOP style
  (appended uuencoded compress)",,"10.1088/0305-4470/28/17/008","TNT 94-6","cond-mat",,"  A one-dimensional chain of sporadic maps with asymmetric nearest neighbour
couplings is numerically studied. It is shown that in the region of strong
asymmetry the system becomes spatially fully synchronized, even in the
thermodinamic limit, while the Lyapunov exponent is zero. For weak asymmetry
the synchronization is no more complete, and the Lyapunov exponent becomes
positive. In addition one has a clear relation between temporal and spatial
chaos, {\it i.e.}: a positive effective Lyapunov exponent corresponds to a lack
of synchronization and {\it vice versa}
","[{""version"":""v1"",""created"":""Thu, 27 Oct 1994 09:42:19 GMT""}]","2009-10-22"
"gr-qc/9410036",,"Lajos Diosi","Quantum Particle As Seen In Light Scattering","3pp PlainTeX",,,,"gr-qc",,"  A possible mathematical model has been proposed for motion of illuminated
quantum particles seen by eyes or similar devices mapping the scattered light.
","[{""version"":""v1"",""created"":""Wed, 26 Oct 1994 16:24:00 GMT""}]","2007-05-23"
"gr-qc/9410037",,"Lajos Diosi","Continuously Diagonalized Density Operatorof Open Systems","5pp PlainTeX",,,,"gr-qc",,"  We showed several years ago that the density operator of Markovian open
systems can be diagonalized continuously in time. The resulting pure state jump
processes correspond to quantum trajectories proposed in recent quantum optics
calculations or, at fundamental level, to exact consistent histories.
","[{""version"":""v1"",""created"":""Wed, 26 Oct 1994 16:25:00 GMT""}]","2007-05-23"
"hep-lat/9410019","Stefan Kappler","Wolfhard Janke and Stefan Kappler","Correlation Function at $\beta_t$ in the Disordered Phase of 2D Potts
  Models","18 pages, LATEX + 7 postscript files as uuencoded compressed tar
  file, Mainz preprint JOGU-COMA 2/94",,"10.1016/0375-9601(94)00904-4",,"hep-lat cond-mat",,"  We use Monte Carlo simulations to measure the spin-spin correlation function
in the disordered phase of two-dimensional $q$-state Potts models with
$q=10,15$, and $20$ at the first-order transition point $\beta_t$. To extract
the correlation length $\xi_d$ from the exponential decay of the correlation
function over several decades with the desired accuracy we make extensively use
of cluster-update techniques and improved estimators. Our results for $\xi_d$
are compatible with an analytic formula. As a byproduct we also measure the
energy moments in the disordered phase and find very good agreement with a
recent large $q$ expansion at $\beta_t$.
","[{""version"":""v1"",""created"":""Wed, 26 Oct 1994 21:36:31 GMT""}]","2009-10-22"
"hep-lat/9410020","Stefan Boettcher","S. Boettcher","Random Walk Model on a Hyper-Spherical Lattice","to appear in NPB Proc. Suppl. of LATTICE'94, 3 pages, ps-file
  uuencoded, 2 figures included, NO-NUM-0",,"10.1016/0920-5632(95)00418-9",,"hep-lat",,"  We use a one-dimensional random walk on $D$-dimensional hyper-spheres to
determine the critical behavior of statistical systems in hyper-spherical
geometries. First, we demonstrate the properties of such walk by studying the
phase diagram of a percolation problem. We find a line of second and first
order phase transitions separated by a tricritical point. Then, we analyze the
adsorption-desorption transition for a polymer growing near the attractive
boundary of a cylindrical cell membrane. We find that the fraction of adsorbed
monomers on the boundary vanishes exponentially when the adsorption energy
decreases towards its critical value. We observe a crossover phenomenon to an
area of linear growth at energies of the order of the inverse cell radius.
","[{""version"":""v1"",""created"":""Wed, 26 Oct 1994 21:47:21 GMT""}]","2009-10-22"
"hep-ph/9410383",,"G.M. Shore","Target independence of the `proton spin' effect","6 pages, SWAT 94-48","Nucl.Phys.Proc.Suppl. 39BC (1995) 101-105","10.1016/0920-5632(95)00051-A",,"hep-ph",,"  Recent work by the author in collaboration with S. Narison and G. Veneziano
on the EMC-SMC-SLAC `proton spin' effect is reviewed. This uses a novel
approach to deep inelastic scattering in which the matrix elements arising from
the OPE are factorised into composite operator propagators and proper vertices.
For polarised $\mu p$ scattering, the composite operator propagator is equated
to the square root of the first moment of the QCD topological susceptibility,
$\sqrt{\chi^\prime(0)}$. We evaluate $\chi^\prime(0)$ using QCD spectral sum
rules and find a significant suppression relative to its OZI expectation. This
is identified as the source of the violation of the Ellis-Jaffe sum rule for
the first moment of the polarised proton structure function $g_1^p$. Our
predictions, $\int_0^1 dx g_1^p(x;Q^2=10GeV^2) = 0.143\pm 0.005$ and
$\Delta\Sigma =0.353\pm 0.052$, are in excellent agreement with the new SMC
data. This supports our earlier conjecture that the suppression in the flavour
singlet component of the first moment of $g_1^p$ is a target-independent
feature of QCD related to the $U(1)$ anomaly and is not a special property of
the proton structure.
","[{""version"":""v1"",""created"":""Wed, 26 Oct 1994 21:02:33 GMT""}]","2009-10-28"
"hep-ph/9410384","Ed Stoeffhaas","T.K.Gaisser, F.Halzen and T.Stanev","Particle Physics with High Energy Neutrinos","To be published by Physics Reports. Latex file, 66 pages. One large
  ""uufiled"" postscript file containing 18 figures included. Compressed
  postscript file of text and figures available by anonymous ftp at
  phenom.physics.wisc.edu, directory pub/preprints/1994, file
  madph-94-847.ps.Z. Hardcopies available upon request. MAD/PH/847","Phys.Rept.258:173-236,1995; ERRATUM-ibid.271:355-356,1996","10.1016/0370-1573(95)00003-Y",,"hep-ph",,"  The topic of this review is the particle astrophysics of high energy
neutrinos. High energy is defined as $E_{\nu} > 100$~MeV. Main topics include:
-- atmospheric neutrinos and muons from $\pi$, $K$ and charm decay. They probe
uncharted territory in neutrino oscillations and constitute both the background
and calibration of high energy neutrino telescopes, -- sources of high energy
neutrino beams: the galactic plane, the sun, X-ray binaries, supernova remnants
and interactions of extra-galactic cosmic rays with background photons, -- an
extensive review of the mechanisms by which active galaxies may produce high
energy particle beams, -- high energy neutrino signatures of cold dark matter
and, -- a brief review of detection techniques (water and ice Cherenkov
detectors, surface detectors, radio- and acoustic detectors, horizontal
airshower arrays) and the instruments under construction.
","[{""version"":""v1"",""created"":""Wed, 26 Oct 1994 20:42:19 GMT""}]","2010-11-30"
"hep-ph/9410385","Joannis Papavassiliou","Joannis Papavassiliou","On the connection between the pinch technique and the background field
  method","13 pages and 3 figures, all included in a uuencoded file, to appear
  in Physical Review D","Phys.Rev. D51 (1995) 856-861","10.1103/PhysRevD.51.856",,"hep-ph",,"  The connection between the pinch technique and the background field method is
further explored. We show by explicit calculations that the application of the
pinch technique in the framework of the background field method gives rise to
exactly the same results as in the linear renormalizable gauges. The general
method for extending the pinch technique to the case of Green's functions with
off-shell fermions as incoming particles is presented. As an example, the
one-loop gauge independent quark self-energy is constructed. We briefly discuss
the possibility that the gluonic Green's functions, obtained by either method,
correspond to physical quantities.
","[{""version"":""v1"",""created"":""Wed, 26 Oct 1994 20:55:24 GMT""}]","2009-10-28"
"hep-ph/9410386","Ed Stoeffhaas","F.Halzen","The Case for a Kilometer-Scale High Energy Neutrino Detector","Talk presented at Neutrino '94, XVI International Conference on
  Neutrino Physics and Astrophysics, Eilat, Israel, May 29--June 3, 1994. Latex
  file, 12 pages, uses epsf.sty (available from hep-ph). Three uufiled
  postscript figures included. MAD/PH/845","Nucl.Phys.Proc.Suppl. 38 (1995) 472-483","10.1016/0920-5632(94)00783-R",,"hep-ph",,"  Doing astronomy with photons of energies in excess of a GeV has turned out to
be extremely challenging. Efforts are underway to develop instruments that may
push astronomy to wavelengths smaller than $10^{-14}$~cm by mapping the sky in
high energy neutrinos instead. Neutrino astronomy, born with the identification
of thermonuclear fusion in the sun and the particle processes controlling the
fate of a nearby supernova, will reach outside the galaxy and make measurements
relevant to cosmology. The field is immersed in technology in the domains of
particle physics to which many of its research goals are intellectually
connected. To mind come the search for neutrino mass, cold dark matter
(supersymmetric particles?) and the monopoles of the Standard Model. While a
variety of collaborations are pioneering complementary methods by building
telescopes with effective area in excess of 0.01~km$^2$, we show here that the
natural scale of a high energy neutrino telescope is 1~km$^2$. With several
thousand optical modules and a price tag unlikely to exceed 100 million
dollars, the scope of a kilometer-scale instrument is similar to that of
experiments presently being commissioned such as the SNO neutrino observatory
in Canada and the Superkamiokande experiment in Japan.
","[{""version"":""v1"",""created"":""Wed, 26 Oct 1994 21:15:56 GMT""}]","2009-10-28"
"hep-ph/9410387","Michael Luke","Michael Luke, Martin J. Savage and Mark B. Wise","Charm Mass Dependence of the $\CO(\alpha_s^2 n_f)$ Correction to
  Inclusive $B\rightarrow X_c e\bar\nu_e$ Decay","12 pages, 4 uuencoded figures included, uses harvmac and epsf, UTPT
  94-27, CMU-HEP 94-32, CALT-68-1955","Phys.Lett.B345:301-306,1995","10.1016/0370-2693(94)01573-U",,"hep-ph",,"  We compute the $\alpha_s^2 n_f$ perturbative QCD contribution to semileptonic
B decay, including the finite mass of the charm quark. This result provides an
estimate of the size of the two-loop correction, which is found to be about
50\% of the one-loop correction. We use these results to set the scale for the
one-loop correction using the scheme of Brodsky, Lepage and Mackenzie and find
a BLM scale of $\mu_{\rm BLM} = 0.13\, m_b$, when the inclusive semileptonic
rate is expressed in terms of the $b$ and $c$ quark pole masses and the \msbar
strong coupling. The two loop correction lies roughly midway between that
obtained at $m_c=0$ and that obtained in the Shifman-Voloshin limit $m_b,
m_c\gg m_b-m_c\gg\Lambda_{\rm QCD}$ while the corresponding BLM scale is
somewhat closer to that obtained in the former case.
","[{""version"":""v1"",""created"":""Wed, 26 Oct 1994 21:34:30 GMT""}]","2011-01-25"
"hep-ph/9410388","PostDoc Its","Deshpande, He and Trampetic","Unique Signature of Electroweak Penguin In Pure Hadronic $B$ Decays","Revtex, 11pages, Preprint, OITS-560. New references added","Phys.Lett. B345 (1995) 547-552","10.1016/0370-2693(94)01645-S",,"hep-ph",,"  We study elelctroweak penguin contributions in pure hadronic $B$ decays in
the Standard and two-Higgs-doublet models. We find that in $B_s\rightarrow
\pi^0 (\eta\;, \phi)$ and $B_s\rightarrow \rho^0 (\eta\;, \phi)$ decays, the
electroweak penguin contributions dominate over all other contribuitons. These
processes provide unique signatures of electroweak penguin in pure hadronic
processes. These modes could be in measureable range of future $B$ facilities.
","[{""version"":""v1"",""created"":""Wed, 26 Oct 1994 23:32:06 GMT""},{""version"":""v2"",""created"":""Mon, 31 Oct 1994 20:50:42 GMT""}]","2009-10-28"
"hep-ph/9410389","Nunokawa","C. S. Lim and H. Nunokawa","A Natural Explanation of All Solar Neutrino Data by Resonant Spin-Flavor
  Precession Scenario","Latex, 10 pages + 6 uuencoded postscript figures, KEK-TH-416,
  KOBE-TH-94-02 (KEK-TH number was corrected from 417 to 416)","Astropart.Phys.4:63-70,1995","10.1016/0927-6505(95)00011-5",,"hep-ph",,"  It is emphasized that the $E_{\nu}$ (neutrino energy) spectrum of the $\nu_e$
survival probability in the Resonant Spin-Flavor Precession (RSFP) scenario has
very desirable shape to reconcile all existing solar neutrino data. As the
result, the RSFP scenario is shown to have rather broad allowed region to
reconcile the data in the ($B,\ \Delta m^2$) plane, with $B$ being the magnetic
field strength inside the Sun. The sensitivity of the allowed region on the
different choices of the $B$ profile, and the time variations of the solar
neutrino event rates in the RSFP scenario are also discussed in some detail.
","[{""version"":""v1"",""created"":""Thu, 27 Oct 1994 01:02:21 GMT""},{""version"":""v2"",""created"":""Sun, 20 Nov 1994 18:38:29 GMT""}]","2009-09-25"
"hep-ph/9410390",,"A. Harindranath","Parton Model From Field Theory via Light-Front Current Algebra: The
  Good, the Bad, and the Terrible","5 pages",,,,"hep-ph",,"  The emergence of parton model from field theory in the context of light-front
current algebra and naive canonical manipulations is reviewed. Shortcomings of
the naive canonical picture, especially concerning renormalization issues are
discussed. To illustrate the novel aspects of the renormalization problem in
light-front dynamics, the scaling behavior of different components of currents
under the dual power counting is stressed. It is noted that the application of
dual power counting to deep inelastic phenomena may provide a simple intuitive
understanding of twist. Talk Presented at the Fourth International Workshop on
Light Cone Quantization and Non-Perturbative Dynamics, Polana Zgorzelisko,
Poland.
","[{""version"":""v1"",""created"":""Wed, 26 Oct 1994 16:33:57 GMT""}]","2007-05-23"
"hep-ph/9410391",,"Bernd A. Kniehl","Standard Model of the Electroweak Interaction: Theoretical Developments","16 pages, Latex, no figures, to appear in the Proceedings of the
  Tennessee International Symposium on Radiative Corrections: Status and
  Outlook, Gatlinburg, Tennessee, June 27-July 1, 1994, ed. by B.F.L. Ward
  (World Scientific, Singapore)",,,,"hep-ph",,"  We review recent theoretical progress in the computation of radiative
corrections beyond one loop within the standard model of electroweak
interactions, both in the gauge and Higgs sectors. In the gauge sector, we
discuss universal corrections of $\O(G_F^2M_H^2M_W^2)$, $\O(G_F^2m_t^4)$,
$\O(\alpha_sG_FM_W^2)$, and those due to virtual $t\bar t$ threshold effects,
as well as specific corrections to $\Gamma\left(Z\to b\bar b\right)$ of
$\O(G_F^2m_t^4)$, $\O(\alpha_sG_Fm_t^2)$, and $\O(\alpha_s^3)$ including
finite-$m_b$ effects. We also present an update of the hadronic contributions
to $\Delta\alpha$. Theoretical uncertainties, other than those due to the lack
of knowledge of $M_H$ and $m_t$, are estimated. In the Higgs sector, we
concentrate on $\Gamma\left(H\to f\bar f\,\right)$ and consider in
$\O(\alpha_sG_Fm_t^2)$ the universal corrections and those which are specific
for the $\scriptstyle b\bar b$ mode, as well as $\O(\alpha_s^2)$ corrections in
the $q\bar q$ channels including the finite-$m_q$ terms.
","[{""version"":""v1"",""created"":""Thu, 27 Oct 1994 10:43:10 GMT""}]","2007-05-23"
