"alg-geom/9410001","Victor Batyrev","Victor V. Batyrev and Dimitrios I. Dais","Strong McKay Correspondence, String-theoretic Hodge Numbers and Mirror
  Symmetry","42 pages, Latex",,,,"alg-geom hep-th math.AG",,"  In the revised version of the paper, we correct misprints and add some new
statements.
","[{""version"":""v1"",""created"":""Tue, 4 Oct 1994 20:42:03 GMT""},{""version"":""v2"",""created"":""Tue, 22 Nov 1994 22:27:36 GMT""}]","2008-02-03"
"cond-mat/9410009","Yves Trudeau","Y. Trudeau, M. L. Plumer (Centre de Recherche en Physique du Solide et
  D\'epartement de Physique Universit\'e de Sherbrooke, Sherbrooke, Qu\'ebec,
  Canada)","Mean-field transfer-matrix study of the magnetic phase diagram of
  CsNiF$_{\bf 3}$","J1K 2R1 14 pages (RevTex 3.0 preprint), 7 Postscript figures
  uuencoded at the end, Report# CRPS-94-20",,"10.1103/PhysRevB.51.5868",,"cond-mat",,"  A method for treating ferromagnetic chains coupled with antiferromagnetic
interactions on an hexagonal lattice is presented in this paper. The solution
of the $1D$ part of the problem is obtained by classical transfer-matrix while
the coupling between the chains is processed by mean-field theory. This method
is applied with success to the phase diagram and angular dependence of the
critical field of CsNiF$_3$. Results concerning the general influence of
single-ion anisotropy on the magnetic ordering of such systems are also
presented.
","[{""version"":""v1"",""created"":""Tue, 4 Oct 1994 18:39:35 GMT""}]","2009-10-22"
"cond-mat/9410011","Yuli V. Nazarov","Yuli Nazarov","Generalized Ohm's law","20 pp., plain LaTeX",,,,"cond-mat",,"  A small review on scattering approach to electric transport. Transmission
distribution can be gotten from Ohm's law and/or circuit theory. Send me a
postcard if you read it all and enjoy.
","[{""version"":""v1"",""created"":""Wed, 5 Oct 1994 13:54:13 GMT""}]","2007-05-23"
"cond-mat/9410012","Oguz Gulseren","O. Gulseren, F. Ercolessi and E. Tosatti (Scuola Internazionale
  Superiore di Studi Avanzati (SISSA), Via Beirut 2-4, I-34014 Trieste, Italy)","Premelting of Thin Wires","10 pages, 4 postscript figures are appended, RevTeX, SISSA Ref.
  131/94/CM/SS",,"10.1103/PhysRevB.51.7377",,"cond-mat",,"  Recent work has raised considerable interest on the nature of thin metallic
wires. We have investigated the melting behavior of thin cylindrical Pb wires
with the axis along a (110) direction, using molecular dynamics and a
well-tested many-body potential. We find that---in analogy with cluster
melting---the melting temperature $T_m (R)$ of a wire with radius $R$ is lower
than that of a bulk solid, $T_m^b$, by $T_m (R) = T_m^b -c/R$. Surface melting
effects, with formation of a thin skin of highly diffusive atoms at the wire
surface, is observed. The diffusivity is lower where the wire surface has a
flat, local (111) orientation, and higher at (110) and (100) rounded areas. The
possible relevance to recent results on non-rupturing thin necks between an STM
tip and a warm surface is addressed.
","[{""version"":""v1"",""created"":""Wed, 5 Oct 1994 14:15:02 GMT""}]","2015-06-25"
"cond-mat/9410013","Alex Hewson","A.C. Hewson","Renormalization Group and Fermi Liquid Theory","37 pages, postscript, Imperial College preprint 1994. Latex file plus
  separate figures available on request",,"10.1080/00018739400101525",,"cond-mat",,"  We give a Hamiltonian based interpretation of microscopic Fermi liquid theory
within a renormalization group framework. We identify the fixed point
Hamiltonian of Fermi liquid theory, with the leading order corrections, and
show that this Hamiltonian in mean field theory gives the Landau
phenomenological theory. A renormalized perturbation theory is developed for
calculations beyond the Fermi liquid regime. We also briefly discuss the
breakdown of Fermi liquid theory as it occurs in the Luttinger model, and the
infinite dimensional Hubbard model at the Mott transition.
","[{""version"":""v1"",""created"":""Wed, 5 Oct 1994 15:53:03 GMT""}]","2015-06-25"
"cond-mat/9410035","Lian Zheng","Lian Zheng and H. A. Fertig (Univ. Kentucky)","Wigner crystal states for the two-dimensional electron gas in a double
  quantum well system","RevTex 3.0, 22pages, 3figures available upon request. ukcm-xxxx",,"10.1103/PhysRevB.52.12282",,"cond-mat",,"  Using the Hartree-Fock approximation, we calculate the energy of different
Wigner crystal states for the two-dimensional electron gas of a double quantum
well system in a strong magnetic field. Our calculation takes interlayer
hopping as well as an in-plane magnetic field into consideration. The ground
The ground state at small layer separations is a one-component triangular
lattice Wigner state. As the layer separation is increased, the ground state
first undergoes a transition to two stacked square lattices, and then undergoes
another transition at an even larger layer separation to a two-component
triangular lattice. The range of the layer separation at which the
two-component square lattice occurs as the ground state shrinks, and eventually
disappears, as the interlayer hopping is increased. An in-plane magnetic field
induces another phase transition from a commensurate to a incommensurate state,
similar to that of $\nu=1$ quantum Hall state observed recently. We calculate
the critical value of the in-plane field of the transition and find that the
anisotropy of the Wigner state, {\it i.e.,}, the relative orientation of the
crystal and the in-plane magnetic field, has a negligible effect on the
critical value for low filling fractions. The effect of this anisotropy on the
low-lying phonon energy is discussed. A novel exerimental geometry is proposed
in which the parallel magnetic field is used to enhance the orientational
correlations in the ground state when the crystal is subject toa random
potential.
","[{""version"":""v1"",""created"":""Tue, 4 Oct 1994 17:13:31 GMT""}]","2009-10-22"
"dg-ga/9410002","Bernhard Leeb","Bernhard Leeb","3-manifolds with(out) metrics of nonpositive curvature","16 pages",,"10.1007/BF01231445",,"dg-ga math.DG",,"  In the context of Thurstons geometrisation program we address the question
which compact aspherical 3-manifolds admit Riemannian metrics of nonpositive
curvature. We show that non-geometric Haken manifolds generically, but not
always, admit such metrics. More precisely, we prove that a Haken manifold
with, possibly empty, boundary of zero Euler characteristic admits metrics of
nonpositive curvature if the boundary is non-empty or if at least one atoroidal
component occurs in its canonical topological decomposition. Our arguments are
based on Thurstons Hyperbolisation Theorem. We give examples of closed
graph-manifolds with linear gluing graph and arbitrarily many Seifert
components which do not admit metrics of nonpositive curvature.
","[{""version"":""v1"",""created"":""Tue, 4 Oct 1994 21:08:33 GMT""}]","2009-10-22"
"dg-ga/9410003",,"Zhong Ge","On Rumin's Complex and Adiabatic Limits","18 pages",,,,"dg-ga math.DG",,"  This paper shows that when the Riemannian metric on a contact manifold is
blown up along the direction orthogonal to the contact distribution, the
corresponding harmonic forms rescaled and normalized in the $L^2$-norms will
converge to Rumin's harmonic forms. This proves a conjecture in Gromov ``
Carnot-Caratheodory spaces seen from within '', IHES preprint, 1994. This
result can also be reformulated in terms of spectral sequences, after Forman,
Mazzeo-Melrose. A key ingredient in the proof is the fact that the curvatures
become unbounded in a controlled way.
","[{""version"":""v1"",""created"":""Wed, 5 Oct 1994 14:43:28 GMT""}]","2008-02-03"
"gr-qc/9410003","S. Husa","Robert Beig and Sascha Husa","Initial Data for General Relativity with Toroidal Conformal Symmetry","REVTEX, 9 pages, ESI Preprint 126","Phys.Rev.D50:7116-7118,1994","10.1103/PhysRevD.50.R7116",,"gr-qc",,"  A new class of time-symmetric solutions to the initial value constraints of
vacuum General Relativity is introduced. These data are globally regular,
asymptotically flat (with possibly several asymptotic ends) and in general have
no isometries, but a $U(1)\times U(1)$ group of conformal isometries. After
decomposing the Lichnerowicz conformal factor in a double Fourier series on the
group orbits, the solutions are given in terms of a countable family of
uncoupled ODEs on the orbit space.
","[{""version"":""v1"",""created"":""Tue, 4 Oct 1994 16:10:51 GMT""}]","2009-12-30"
"gr-qc/9410004",,"P.T. Chrusciel, R.M. Wald","On the topology of stationary black holes","7 pages, Latex","Class.Quant.Grav.11:L147-L152,1994","10.1088/0264-9381/11/12/001",,"gr-qc",,"  We prove that the domain of outer communication of a stationary, globally
hyperbolic spacetime satisfying the null energy condition must be simply
connected. Under suitable additional hypotheses, this implies, in particular,
that each connected component of a cross-section of the event horizon of a
stationary black hole must have spherical topology.
","[{""version"":""v1"",""created"":""Wed, 5 Oct 1994 09:28:12 GMT""}]","2010-04-06"
"hep-ex/9410003",,"Sharon Hagopian (Florida State University), D0 Collaboration","Search for Supersymmetry and Leptoquark States at FNAL","4, FERMILAB-Conf94/331-E",,,,"hep-ex",,"  Searches have been made for first generation scalar and vector leptoquarks by
the D0 collaboration and for second generation scalar leptoquarks by the CDF
collaboration. Lower leptoquark mass limits were set. A search for squarks and
gluinos, predicted by Supersymmetric models, was made by D0 in the three or
more jets plus missing Et channel. The number of events observed was consistent
with background. Squark and gluino mass limits were set.
","[{""version"":""v1"",""created"":""Tue, 4 Oct 1994 18:08:39 GMT""},{""version"":""v2"",""created"":""Wed, 5 Oct 1994 13:54:34 GMT""},{""version"":""v3"",""created"":""Mon, 10 Oct 1994 14:57:47 GMT""}]","2008-02-03"
"hep-ex/9410004","David Gerdes","David Gerdes, the CDF Collaboration","New Shower Maximum Trigger for Electrons and Photons at CDF","4 pages, Latex (uses the world_sci and epsf macros). 4 uuencoded
  postscript figures appended. Talk presented at DPF '94",,,"FERMILAB-CONF-94/243-E","hep-ex",,"  For the 1994 Tevatron collider run, CDF has upgraded the electron and photon
trigger hardware to make use of shower position and size information from the
central shower maximum detector. For electrons, the upgrade has resulted in a
50\% reduction in backgrounds while retaining approximately 90\% of the signal.
The new trigger also eliminates the background to photon triggers from
single-phototube discharge.
","[{""version"":""v1"",""created"":""Wed, 5 Oct 1994 14:34:21 GMT""}]","2007-05-23"
"hep-ex/9410005","David Gerdes","David Gerdes, the CDF Collaboration","Measurement of Correlated $b$ Quark Cross Sections at CDF","4 pages, Latex (uses the world_sci and epsf macros). 3 uuencoded
  postscript figures appended. Talk presented at DPF '94",,,"FERMILAB-CONF-94/328-E","hep-ex",,"  Using data collected during the 1992-93 collider run at Fermilab, CDF has
made measurements of correlated $b$ quark cross section where one $b$ is
detected via a muon from semileptonic decay and the second $b$ is detected with
secondary vertex techniques. We report on measurements of the cross section as
a function of the momentum of the second $b$ and as a function of the azimuthal
separation of the two $b$ quarks, for transverse momentum of the initial $b$
quark greater than 15 GeV. Results are compared to QCD predictions.
","[{""version"":""v1"",""created"":""Wed, 5 Oct 1994 14:52:01 GMT""}]","2007-05-23"
"hep-ph/9410212","Shigemitsu Junko","Junko Shigemitsu","Lattice Gauge Theory: Status Report 1994","12 pages, 2 postscript figures, uuencoded compressed tar file",,,,"hep-ph",,"  We report on recent developments and results from Lattice Gauge Theory. These
include determinations of the strong coupling constant $\alpha_s$ and the
b-quark mass $M_b$ and an update on the Kaon B parameter $B_K$. Lattice results
for heavy meson decay constants and semileptonic B and D meson decay form
factors are reviewed. The first attempts to study the Isgur-Wise function and
the radiative Penguin decay process, $B \rightarrow K^*\,\gamma$, on the
lattice are discussed. (Review talk presented ICHEP 94, Glasgow, July 1994)
OHSTPY-HEP-T-94-016
","[{""version"":""v1"",""created"":""Tue, 4 Oct 1994 16:05:32 GMT""}]","2007-05-23"
"hep-ph/9410213",,"Joseph Schechter and Anand Subbaraman","Excited Heavy Baryons in the Bound State Picture","LaTex, 23 pages, SU-4240-586/UCI-TR 94-38","Phys.Rev.D51:2311-2321,1995","10.1103/PhysRevD.51.2311",,"hep-ph",,"  The orbitally excited heavy quark baryons are studied in the Callan Klebanov
bound state model with heavy spin symmetry. First, a compact description of the
large $N_c$, infinite heavy quark mass bound state wavefunctions and the
collective quantization is given. In order to study the kinematical corrections
due to finite masses we motivate an approximate Schrodinger-like equation for
the bound state. The effective potential in this equation is compared with the
quadratic approximation (spherical harmonic oscillator) to it. This oscillator
approximation is seen to be not very accurate. It is noted that the present
experimental information cannot be even qualitatively understood with the usual
light sector chiral Lagrangian containing only light pseudoscalar mesons. The
addition of light vector mesons helps to overcome this problem.
","[{""version"":""v1"",""created"":""Tue, 4 Oct 1994 18:04:48 GMT""}]","2010-11-01"
"hep-ph/9410214","Peter Cho","Peter Cho and Mark Wise","Gluon fragmentation to $^1D_2$ quarkonia","10 pages with 4 uuencoded figures, CALT-68-1954","Phys.Rev. D51 (1995) 3352-3356","10.1103/PhysRevD.51.3352",,"hep-ph",,"  Gluon fragmentation to heavy $J^{PC}=2^{-+}$ quarkonia is studied herein. We
compute these D-wave states' polarized fragmentation functions and find that
they are enhanced by large numerical prefactors. The prospects for detecting
the lowest lying $^1D_2$ charmonium state at the Tevatron are discussed.
","[{""version"":""v1"",""created"":""Tue, 4 Oct 1994 18:26:49 GMT""}]","2009-10-28"
"hep-ph/9410215","Murray Moinester","Murray A. Moinester","Pion Polarizability, Radiative Transitions, and Quark Gluon Plasma
  Signatures","3 pages text (latex), Tel Aviv U. Preprint TAUP 2207-94, Presented at
  the Workshop on Chiral Dynamics, Massachusetts Institute of Technology, July
  1994",,,,"hep-ph nucl-th",,"  Can one expect gamma rays rates from the QGP to be higher than from the hot
hadronic gas phase? Xiong, Shuryak, Brown (XSB) calculate photon production
from a hot hadronic gas via the reaction $\pi^- + \rho^0 \rightarrow \pi^- +
\gamma$. They assume that this reaction proceeds through the a$_1$(1260). They
also use their estimated a$_1$ radiative width to calculate the pion
polarizability; following a connection noted previously by Holstein. However,
for a$_1$(1260) $\rightarrow \pi \gamma$, the experimental radiative width is
more than two times less than the value 1.4 MeV estimated and used by XSB. We
describe how the gamma production reaction can be studied in Fermilab E781 (via
the inverse reaction, with detailed balance) via the Primakoff reaction $\pi^-
+ \gamma \rightarrow \pi^- + \rho^0$. Such a study can provide the data base
for evaluations of the utility of gamma production experiments in QGP searches.
One can experimentally check the a$_1$ dominance assumption of XSB. A
remeasurement of the a$_1(1260)$ radiative width and of the pion polarizability
in Fermilab E781 will also allow us to reevaluate the consistency of their
expected relationship.
","[{""version"":""v1"",""created"":""Tue, 4 Oct 1994 19:45:28 GMT""}]","2007-05-23"
"hep-ph/9410216","Ngee-Pong Chang","Ngee Pong Chang","Chiral Restoration in the Early Universe: Pion Halo in the Sky","4 pages, LaTeX, CCNY-HEP-94-9 To appear in Proceedings of ""Trends in
  Astroparticle Physics Workshop"", Stockholm, Sweden, 22-25 September, 1994,
  Nuclear Physics B, Proceedings Supplement, edited by L. Bergstrom, P.
  Carlson, P.O. Hulth, and H. Snellman. (Only revision is in the header
  citation)",,,,"hep-ph",,"  < \psibarpsi > vanishing above $T_c$ indicates chiral symmetry restoration at
high $T$. But is it the old $T=0$ chiral symmetry that is `restored'? In this
talk, I report on the spacetime quantization of the BPFTW effective action for
quarks in a hot environ. The fermion propagator is known to give a
pseudo-Lorentz invariant particle pole as well as new spacelike cuts. Our
quantization shows that the spacelike cuts directly lead to a thermal vacuum
that is a generalized NJL state, with a curious $90^{o}$ phase. This $90^{o}$
is responsible for < \psibarpsi > vanishing at high $T$. The thermal vacuum is
invariant under a new chiral charge, but continues to break the old zero
temperature chirality. Our quantization suggests a new class of order
parameters that probe the physics of these spacelike cuts. In usual scenario,
the pion dissociates in the early alphabet soup. With this new understanding of
the thermal vacuum, the pion remains a Nambu-Goldstone particle at high $T$,
and will not dissociate. It propagates at the speed of light but with a halo.
","[{""version"":""v1"",""created"":""Tue, 4 Oct 1994 20:07:42 GMT""},{""version"":""v2"",""created"":""Wed, 5 Oct 1994 13:55:38 GMT""},{""version"":""v3"",""created"":""Thu, 13 Oct 1994 01:18:37 GMT""}]","2008-02-03"
"hep-ph/9410217","Ngee Pong Chang","Ngee-Pong Chang","Spacetime Quantization of BPFTW Action: Spacelike Plasmon Cut \& New
  Phase of the Thermal Vacuum","9 pages, LaTeX, CCNY-HEP-94-8","Phys.Rev.D51:4512-4517,1995","10.1103/PhysRevD.51.4512",,"hep-ph",,"  In this paper, we perform the quantization of the nonlocal BPFTW effective
action in coordinate space. The action is made local by using a conjugate set
of auxiliary fields. The action summarizes the properties of quark propagation
through a hot environ. The fermion propagator shows a pseudo-Lorentz invariant
particle pole as well as a pair of conjugate spacelike plasmon cut. We relate
the cuts to the homogeneous solutions of the local equations of motion for
auxiliary fields. Our quantization shows how the spacelike cut produces a
$90^{o}$ phase factor in the thermal vacuum at high $T$. This phase factor is
responsible for the vanishing of $ \psibarpsi $ at high $T$.
","[{""version"":""v1"",""created"":""Tue, 4 Oct 1994 20:11:48 GMT""},{""version"":""v2"",""created"":""Wed, 5 Oct 1994 13:57:59 GMT""}]","2008-11-26"
"hep-ph/9410218","Agustin Nieto","Eric Braaten and Agustin Nieto","Asymptotic Behavior of the Correlator for Polyakov Loops","10 pages, NUHEP-TH-94-21","Phys.Rev.Lett.74:3530-3533,1995","10.1103/PhysRevLett.74.3530",,"hep-ph hep-lat",,"  The asymptotic behavior of the correlator for Polyakov loop operators
separated by a large distance $R$ is determined for high temperature QCD. It is
dominated by nonperturbative effects related to the exchange of magnetostatic
gluons. To analyze the asymptotic behavior, the problem is formulated in terms
of the effective field theory of QCD in 3 space dimensions. The Polyakov loop
operator is expanded in terms of local gauge-invariant operators constructed
out of the magnetostatic gauge field, with coefficients that can be calculated
using resummed perturbation theory. The asymptotic behavior of the correlator
is $\exp(-MR)/R$, where $M$ is the mass of the lowest-lying glueball in
$(2+1)$-dimensional QCD. This result implies that existing lattice calculations
of the Polyakov loop correlator at the highest temperatures available do not
probe the true asymptotic region in $R$.
","[{""version"":""v1"",""created"":""Tue, 4 Oct 1994 22:47:50 GMT""}]","2010-11-01"
"hep-ph/9410219",,"Matthias Burkardt","How to Measure the $Q\overline{Q}$ Potential in a Light-Front
  Calculation","7 pages, LATEX",,,,"hep-ph nucl-th",,"  A scheme is developed which shows how one would, given a light-front
Hamiltonian for QCD, extract the $Q\overline{Q}$ potential, i.e. the quantity
which corresponds to the potential between two infinitely heavy quarks in a
rest frame, from a light-front calculation. The resulting potential will in
general depend on the direction along which the infinitely heavy sources are
separated and thus provides a direct probe of violations of rotational
invariance in a physical observable. Furthermore, easy comparison to data from
$c\overline{c}$ and $b\overline{b}$ spectroscopy and to lattice data is
possible. The scheme may thus be very helpful in constructing a light-front
Hamiltonian through an iterative procedure.
","[{""version"":""v1"",""created"":""Tue, 4 Oct 1994 22:54:34 GMT""}]","2016-09-01"
"hep-ph/9410220","Kenzo Inoue","Kenzo Inoue","Generations of Quarks and Leptons from Noncompact Horizontal Symmetry","22 pages, e-mail: inoue@yukawa.kyoto-u.ac.jp , Plain Tex, YITP/K-1089","Prog.Theor.Phys. 93 (1995) 403-416","10.1143/PTP.93.403",,"hep-ph",,"  The three chiral generations of quarks and leptons may be generated through a
spontaneous breakdown of the noncompact horizontal gauge symmetry $G_{H}$ which
governs, together with the standard gauge symmetry ${SU(3) \times SU(2) \times
U(1)}$, the world in a vectorlike manner. In a framework of supersymmetric
theory, the simplest choice ${G_{H}=SU(1,1)}$ works quite well for this
scenario in which quarks, leptons and Higgses belong to infinite dimensional
unitary representation of $SU(1,1)$. The relevance of the scenario to the
hierarchical structure of their Yukawa coupling matrices are discussed.
","[{""version"":""v1"",""created"":""Wed, 5 Oct 1994 01:07:15 GMT""},{""version"":""v2"",""created"":""Wed, 12 Oct 1994 03:36:18 GMT""}]","2009-10-28"
"hep-ph/9410221","Wolfgang Lucha","Wolfgang Lucha and Franz F. SCH\""Oberl","All Around the Spinless Salpeter Equation","17 pages, LaTeX, HEPHY-PUB 610/94",,,,"hep-ph hep-th",,"  We review some important topics related to the semirelativistic description
of bound states by the spinless Salpeter equation: the special case of the
Coulomb interaction, numerical approximation methods, and a way to avoid the
problematic square-root operator of the relativistic kinetic energy.
","[{""version"":""v1"",""created"":""Wed, 5 Oct 1994 09:29:51 GMT""}]","2007-05-23"
