"adap-org/9409003","Denis Juriev","Denis Juriev (Mathematical Division, Research Institute for System
  Studies, Russian Academy of Sciences, Moscow)","Towards A Description Of Interactive Psychoinformation Systems.
  Preliminary Remarks. (K Opisaniyu Interaktivnyh Psihoinformatsionnyh Sistem.
  Predvaritel'Nye Zamechaniya)","the text is written in Russian in AmSTeX with cyrillic fonts, 3 pp",,,,"adap-org nlin.AO",,"  An approach to description of interactive psychoinformation systems, based on
the concept of ""virtualization"" and essentially using the technique of the
""secondary image synthesis"" (adap-org/9409002), is sketched. The article has a
rather discussional character and maybe considered as a comment to some
statements of the introduction to the author's paper ""Complex projective
geometry and quantum projective field theory"" (Theor. Math. Phys., 1994).
","[{""version"":""v1"",""created"":""Wed, 14 Sep 1994 11:37:06 GMT""},{""version"":""v2"",""created"":""Thu, 22 Sep 1994 13:45:00 GMT""},{""version"":""v3"",""created"":""Mon, 7 Nov 1994 08:33:30 GMT""}]","2008-02-03"
"cond-mat/9409058","Uwe Ritschel Phy350","Z.-B. Li, U. Ritschel, and B. Zheng","Monte Carlo Simulation of Universal Short-Time Behavior in Critical
  Relaxation","9 pages, 4 figures, uuencoded postscript file, Si-94-11","J. Phys. A: Math. Gen. 27 (1994) L837","10.1088/0305-4470/27/21/009",,"cond-mat",,"  The time evolution of the three-dimensional critical Ising model relaxing
from a nonequilibrium initial state is studied by means of Monte Carlo
simulation. We observe the characteristic initial increase of the (spatially)
averaged magnetization predicted by Janssen et al. The exponent theta' that
governs the initial behavior is determined, and the dependence of the long-time
linear decay on the initial magnetization analyzed. Our simulation corroborates
earlier results derived from continuum models.
","[{""version"":""v1"",""created"":""Wed, 14 Sep 1994 12:47:55 GMT""}]","2009-10-22"
"cond-mat/9409059","Uwe Ritschel Phy350","S. Gnutzmann and U. Ritschel","Analytic Solution of Emden-Fowler Equation and Critical Adsorption in
  Spherical Geometry","(to be published in Z. Phys. B), 7 pages, 1 figure, uuencoded
  postscript file, 8-94","Z. Phys. B 96 (1995) 391","10.1007/BF01313061",,"cond-mat",,"  In the framework of mean-field theory the equation for the order-parameter
profile in a spherically-symmetric geometry at the bulk critical point reduces
to an Emden-Fowler problem. We obtain analytic solutions for the surface
universality class of extraordinary transitions in $d=4$ for a spherical shell,
which may serve as a starting point for a pertubative calculation. It is
demonstrated that the solution correctly reproduces the Fisher-de Gennes effect
in the limit of the parallel-plate geometry.
","[{""version"":""v1"",""created"":""Wed, 14 Sep 1994 13:20:24 GMT""}]","2009-10-22"
"gr-qc/9409026",,"Juan Garcia-Bellido","Quantum Fluctuations of Planck Mass as Mutation Mechanism in a Theory of
  Evolution of the Universe","3 pages, Stanford University preprint SU-ITP-94-32, IEM-FT-92/94",,,,"gr-qc astro-ph",,"  Contributed talk at the Seventh Marcel Grossman Meeting on Gravity, June
24-30. A theory of evolution of the universe requires both a mutation mechanism
and a selection mechanism. We believe that both can be encountered in the
stochastic approach to quantum cosmology. In Brans-Dicke chaotic inflation, the
quantum fluctuations of Planck mass behave as mutations, such that new
inflationary domains may contain values of Planck mass that differ slightly
from their parent's. The selection mechanism establishes that the value of
Planck mass should be such as to increase the proper volume of the inflationary
domain, which will then generate more offsprings. This mechanism predicts that
the effective Planck scale at the end of inflation should be much larger than
any given scale in the model.
","[{""version"":""v1"",""created"":""Tue, 13 Sep 1994 21:06:00 GMT""}]","2007-05-23"
"gr-qc/9409027","Benni Reznik","Benni Reznik","Gravitational Analog of the Aharonov-Casher Effect","15 pages, Latex, TP-94-009","Phys.Rev. D51 (1995) 3108-3112","10.1103/PhysRevD.51.3108",,"gr-qc",,"  The gravitational interaction between a massive particle and a spinning
particle in the weak-field limit is studied. We show that a system of a
spinning point-like particle and a massive rod exhibit a topological effect
analogous to the electromagnetic Aharonov-Casher effect. We discuss the effect
also for systems with a cosmic string instead of a massive rod and in the
context of 2+1-dimensional gravity.
","[{""version"":""v1"",""created"":""Tue, 13 Sep 1994 22:18:38 GMT""}]","2009-10-22"
"gr-qc/9409028",,"Lajos Diosi","On maximum number of decoherent histories","5 pages LaTeX (2nd version, new ref. included)","Phys.Lett. 203A (1995) 267-268","10.1016/0375-9601(95)00440-E",,"gr-qc",,"  It is shown that $N^2$ is the upper limit for the number of histories in a
decohering family of $N$-state quantum system. Simple criterion is found for a
family of $N^2$ fine grained decohering histories of Gell-Mann and Hartle to be
identical with a family of Griffiths' consistent quantum trajectories.
","[{""version"":""v1"",""created"":""Wed, 14 Sep 1994 11:27:00 GMT""},{""version"":""v2"",""created"":""Thu, 20 Oct 1994 14:44:00 GMT""},{""version"":""v3"",""created"":""Thu, 20 Oct 1994 14:49:00 GMT""}]","2008-02-03"
"gr-qc/9409029","P. Huebner","Peter Huebner","A Method for Calculating the Structure of (Singular) Spacetimes in the
  Large","29 pages, AGG21","Phys.Rev.D53:701-721,1996","10.1103/PhysRevD.53.701",,"gr-qc",,"  A formalism and its numerical implementation is presented which allows to
calculate quantities determining the spacetime structure in the large directly.
This is achieved by conformal techniques by which future null infinity
($\Scri{}^+$) and future timelike infinity ($i^+$) are mapped to grid points on
the numerical grid. The determination of the causal structure of singularities,
the localization of event horizons, the extraction of radiation, and the
avoidance of unphysical reflections at the outer boundary of the grid, are
demonstrated with calculations of spherically symmetric models with a scalar
field as matter and radiation model.
","[{""version"":""v1"",""created"":""Wed, 14 Sep 1994 14:06:45 GMT""}]","2010-11-01"
"gr-qc/9409030","Denis Pollney","T. Zannias","Black holes cannot support conformal scalar hair","15 pages, TeX","J.Math.Phys.36:6970-6980,1995","10.1063/1.531201",,"gr-qc",,"  It is shown that the only static asymptotically flat non-extrema black hole
solution of the Einstein-conformally invariant scalar field equations having
the scalar field bounded on the horizon, is the Schwarzschild one. Thus black
holes cannot be endowed with conformal scalar hair of finite length.
","[{""version"":""v1"",""created"":""Wed, 14 Sep 1994 13:44:59 GMT""}]","2014-11-17"
"hep-lat/9409010","Howard Trottier","Howard D. Trottier, R. M. Woloshyn","Exploring Lattice Quantum Chromodynamics by Cooling","11 pages (REVTEX 3.0). TRI-PP-94-22, SFU HEP-114-94. 14 Figures
  (hardcopies available by request from trottier@sfu.ca). Accepted for
  publication in Physical Review D","Phys.Rev.D50:6939-6948,1994","10.1103/PhysRevD.50.6939",,"hep-lat",,"  The effect of cooling on a number of observables is calculated in SU(2)
lattice gauge theory. The static quark-antiquark potential and spin-dependent
interactions are studied, and the topological charge is monitored. The chiral
symmetry breaking order parameter $\langle \overline{\chi}\chi \rangle$ and
meson correlators are calculated using staggered fermions. Interactions on the
distance scale of a few lattice spacings are found to be essentially eliminated
by cooling, including the spin-dependent potentials. $\langle
\overline{\chi}\chi \rangle$ and meson correlators up to time separations of
several lattice spacings relax very quickly to their free-field values. At
larger times, there is evidence of a difference between the pseudoscalar and
vector channels. A fit to the pseudoscalar correlation function yields ``mass''
values about $2/3$ (in lattice units) of the uncooled masses. These results
raise the question of how to reconcile the large-time behavior of the hadron
correlators with the fact that the spin-dependent potentials and $\langle
\overline{\chi}\chi \rangle$ essentially disappear (in lattice units) after
only a small amount of cooling.
","[{""version"":""v1"",""created"":""Tue, 13 Sep 1994 17:22:29 GMT""}]","2010-11-01"
"hep-lat/9409011","Yoshio Kikukawa","Shunji Miyazaki and Yoshio Kikukawa","Boundary condition for Staggered Fermion in Lattice Schr\""odinger
  Functional of QCD","23 pages, using REVTeX, KUNS-1288",,,,"hep-lat",,"  The fermionic part of the Schr\""odinger functional of QCD is formulated in
the lattice regularization with the staggered fermion. The boundary condition
imposed on the staggered fermion field are examined in terms of the
four-component Dirac spinor. The boundary terms are different from those of the
Symanzik's theory in the flavor structure due to the species doubling. It is
argued that, in the case of the homogeneous Dirichlet boundary condition,
surface divergence does not occur if the link variables of gauge field are
introduced on the original lattice, not on the blocked one. Its application to
the numerical calculation of the running coupling constant in QCD is discussed.
","[{""version"":""v1"",""created"":""Wed, 14 Sep 1994 11:59:45 GMT""}]","2007-05-23"
"hep-ph/9409301",,"Pran Nath and R.Arnowitt","Event Rates in Dark Matter Detectors For Neutralinos Including
  Constraints From The $b\rightarrow s\gamma$ Decay","9 pages Latex+1page of figs(hard copy available on
  request),CERN-TH.7363/94, NUB-TH-3099/94,CTP-TAMU-38/94","Phys.Rev.Lett.74:4592-4595,1995","10.1103/PhysRevLett.74.4592",,"hep-ph",,"  Event rates for dark matter detectors in neutralino--nucleus scattering are
studied for supergravity unified models, including the constraint arising from
the $b\rightarrow s\gamma$ experiment. The recent experimental measurement of
this decay by the CLEO Collaboration leads to strong constraints on the SUSY
particle spectrum,and also significantly affects the event rates in dark matter
detectors. The analysis given here uses the accurate method for the computation
of the relic density and leads to a dip in the event rate when the neutralino
mass is $\sim M_Z/2$ due to the $Z$-pole, and similar results hold when the
neutralino mass is $\sim m_h/2$ due to the Higgs pole . Implication of these
results for dark matter detectors are discussed.
","[{""version"":""v1"",""created"":""Tue, 13 Sep 1994 17:03:44 GMT""}]","2009-09-25"
"hep-ph/9409302","Rachel Jeannerot","Anne-Christine DAVIS and Rachel JEANNEROT","Scattering off an SO(10) cosmic string","20 pages","Phys.Rev. D52 (1995) 1944-1954","10.1103/PhysRevD.52.1944","DAMTP 94-52","hep-ph",,"  The scattering of fermions from the abelian string arising during the phase
transition $SO(10) \rightarrow SU(5) \times Z_2$ induced by the Higgs in the
126 representation is studied. Elastic cross-sections and baryon number
violating cross-sections due to the coupling to gauge fields in the core of the
string are computed by both a first quantised method and a perturbative second
quantised method. The elastic cross-sections are found to be Aharonov-Bohm
type. However, there is a marked asymmetry between the scattering
cross-sections for left and right handed fields. The catalysis cross-sections
are small, depending on the grand unified scale. If cosmic strings were
observed our results could help tie down the underlying gauge group.
","[{""version"":""v1"",""created"":""Tue, 13 Sep 1994 18:26:56 GMT""}]","2009-10-28"
"hep-ph/9409303","Gambino","Alberto Sirlin","Considerations Concerning the QCD Corrections to $\Delta\rho$","11 pages plain LaTeX including 2 tables","Phys.Lett. B348 (1995) 201-206; Addendum-ibid. B352 (1995) 498","10.1016/0370-2693(95)00079-Z",,"hep-ph",,"  Using recent results of Avdeev et al. and an expansion for $\mu_t/\mms$
($M_t$ is the pole mass and $\mu_t\equiv \hat{m_t}(\mu_t)$ ), it is shown that
when deltarho is expressed in terms of $\hat{m_t}^2(M_t)$, the QCD correction
is only $(2-3)\times 10^{-3}$ in the NLO approximation. As a consequence, in
terms of $M_t^2$ the correction to $\dr$ is almost entirely contained in
$\mmss/M_t^2$, a pure QCD effect.
  The latter is studied using various optimization procedures, and the results
compared with the expansion proposed by Avdeev et al.. Implications for \ew
physics are discussed. Threshold effects are analyzed on the basis of a simple
sum rule.
","[{""version"":""v1"",""created"":""Tue, 13 Sep 1994 20:27:57 GMT""}]","2009-10-28"
"hep-ph/9409304",,"Kenneth Lane","Technicolor and Precision Tests of the Electroweak Interactions","(Invited talk given at ICHEP, Glasgow, July 1994) 5 pages in LATEX
  (ichep style file appended to end of latex file). Boston University Preprint
  BUHEP--94-24",,,,"hep-ph",,"  Precision electroweak measurements have been claimed to eliminate almost all
models of technicolor. We show that the assumptions made to calculate the
oblique parameters $S$,$T$,$U$ apply to QCD--like technicolor models which were
ruled out long ago on much firmer grounds. These assumptions are invalid in
modern ``walking'' technicolor models.
","[{""version"":""v1"",""created"":""Tue, 13 Sep 1994 21:33:44 GMT""}]","2007-05-23"
"hep-ph/9409305",,"Kenneth Lane","Top-Production and Flavor Physics--The Talk","(Invited talk given at ICHEP, Glasgow, July 1994) 4 pages in LATEX
  (ichep style file appended to end of latex file). Boston University Preprint
  BUHEP--94-25",,,,"hep-ph",,"  Because of the top quark's very large mass, about 175~GeV, it now provides
the best window into flavor physics. Thus, pair--production of top quarks at
the Tevatron Collider is the most incisive probe of this physics until the
Large Hadron Collider turns on in the next century. In this talk I discuss how
moments of the $\ttb$ invariant mass distribution can be used to distinguish
among standard and alternative mechanisms of $\ttb$ production.
","[{""version"":""v1"",""created"":""Tue, 13 Sep 1994 21:24:05 GMT""}]","2007-05-23"
"hep-ph/9409306","Matthias Neubert","Matthias Neubert","Theoretical Uncertainties in the Extraction of $|V_{cb}|$ from $\bar
  B\to D^*\ell\,\bar\nu$ Decays near Zero Recoil","invited talk presented at the 27th International Conference on High
  Energy Physics, Glasgow, Scotland, July 1994, 9 pages LaTeX, 1 figure
  appended after \end{document}, CERN-TH.7396/94",,,,"hep-ph",,"  I discuss the theoretical uncertainties in the extraction of $|\,V_{cb}|$
from a measurement of the $\bar B\to D^*\ell\,\bar\nu$ decay rate close to zero
recoil. In particular, I combine previous estimates of the $1/m_Q^2$
corrections to the normalization of the hadronic form factor at zero recoil
with sum rules derived by Shifman {\it et al}.\ to obtain a new prediction with
less uncertainty. I also give a prediction for the slope of the form factor
$\widehat\xi(w)$ at zero recoil: $\widehat\varrho^2=0.7\pm 0.2$. Using the most
recent experimental results, I obtain the model-independent value
$|\,V_{cb}|=0.0395\pm 0.0030$.
","[{""version"":""v1"",""created"":""Wed, 14 Sep 1994 12:09:35 GMT""},{""version"":""v2"",""created"":""Fri, 16 Sep 1994 15:50:46 GMT""}]","2008-02-03"
"hep-ph/9409307","Murray Moinester","Murray A. Moinester","Chiral Anomaly Tests","4 pages text (latex) uses ws-art.sty file (appended, following
  anomaly.tex), which requires extracting and setting ws-art.sty in your
  directory, in addition to the tex file, TAUP-2176-94, revision for minor
  proofreading correction, submitted to Proceedings of the Conference on
  Physics with GeV-Particle Beams, Juelich, Germany, Aug. 1994, World
  Scientific, Eds. H. Machner and K. Sistemich",,,,"hep-ph nucl-th",,"  For the gamma-pion interaction, the perturbative expansion of the effective
chiral Lagrangian (chi-PT) can be limited to terms quartic in momenta and
masses (O(p4)), or to higher order. The abnormal intrinsic parity (chiral
anomaly) component of the lagrangian leads to interesting predictions for the
processes pi0 -----> 2 gamma and gamma ----->3 pi. These are described by the
amplitudes F_{pi} and F_{3pi}, respectively. We demonstrate that the O(p4)
value of F_{3pi} disagrees with existing data, while the O(p6) value is nearly
consistent. We describe how Fermilab experiment E781 can get improved data for
tests of the chiral anomaly.
","[{""version"":""v1"",""created"":""Wed, 14 Sep 1994 11:18:42 GMT""},{""version"":""v2"",""created"":""Fri, 16 Sep 1994 12:33:19 GMT""}]","2008-02-03"
"hep-ph/9409309","Andrzej J. Buras","A.J. Buras","QCD Factors a1 and a2 Beyond Leading Logarithms Versus Factorization in
  Non-Leptonic Heavy Meson Decays","17 pages, MPI-PhT/94-60, TUM-T31-75/94. (LATEX FILE) (no figures)","Nucl.Phys. B434 (1995) 606-618","10.1016/0550-3213(94)00482-T",,"hep-ph",,"  We calculate the QCD factors $a_1$ and $a_2$, entering the tests of
factorization in non-leptonic heavy meson decays, beyond the leading
logarithmic approximation in three renormalization schemes (NDR, HV, DRED). We
investigate their $\mu$--dependence and the renormalization scheme dependence.
We point out that $a_1$ for B-decays depends very weakly on $\Lms$, $\mu$ and
the choice of the renormalization scheme. For $\Lms^{(5)}=225\pm85~MeV$ and
$4~GeV\leq\mu\leq 8~GeV$ we find $a_1=1.01\pm0.02$ in accordance with
phenomenology. The $\Lms$, $\mu$ and scheme dependences of $a_2$ are on the
other hand sizable. Interestingly, for the NDR scheme we find
$a_2^{NDR}=0.20\pm0.05$, in the ball park of recent phenomenological results
and substantially larger than leading order estimates. However
$a_2^{HV}=0.16\pm0.05$ and $a_2^{DRED}=0.15\pm0.05$. Implications of these
findings for the tests of factorization in B-decays and D-decays are critically
discussed.
","[{""version"":""v1"",""created"":""Wed, 14 Sep 1994 13:04:04 GMT""}]","2009-10-28"
