"alg-geom/9409005","Alexei Gorodentsev","A.L.Gorodentsev","Non-symmetric orthogonal geometry of Grothendieck rings of coherent
  sheaves on projective spaces","30 pages, LATEX (version 2.01), 12pt, twoside, font families ""eufm""
  and ""msbm"" are used",,,,"alg-geom math.AG",,"  In this paper we consider orthogonal geometry of the free
$\protect\ZZ$-module $K_0(\protect\PP_n)$ with respect to the non-symmetric
unimodular bilinear form $$\chi(E,F)=\sum (-1)^\nu\dim\ext^\nu(E,F). $$ We
calculate the isometry group of this form and describe invariants of its
natural action on $K_0(\protect\PP_n)$. Also we consider some general
constructions with non-symmetric unimodular forms. In particular, we discuss
orthogonal decomposition of such forms and the action of the braid group on a
set of semiorthonormal bases. We formulate a list of natural arithmetical
conjectures about semiorthogonal bases of the form $\chi$.
","[{""version"":""v1"",""created"":""Tue, 27 Sep 1994 17:25:27 GMT""}]","2008-02-03"
"cond-mat/9409115",,"J. Diehl, H. Davideit, S. Klimm and S. Horn (Lehrstuhl fuer
  Experimentalphysik II, Uni-Augsburg, 86135 Augsburg, Germany) U.Tegel, C.
  Geibel and F. Steglich (Institut fuer Festkoerperphysik, TH Darmstadt, 64289
  Darmstadt, Germany)","Magnetic properites of the Heavy Fermion Antiferromagnets YbNiAl and
  YbPtAl","12 pages including 5 figures (submitted to the SCES 94 Conference,
  Ansterdam)",,"10.1016/0921-4526(94)00454-4",,"cond-mat",,"  Measurements of electrical resistivity and Hall effect as a function of
magnetic field on the Heavy Fermion Systems YbNiAl and YbPtAl are presented.
Both compounds order antiferro magnetically and show metamagnetic behavior in a
magnetic field. Scaling behavior of the magnetoresistance above TN suggests
that the paramagnetic regime for YbNiAl can be described in terms of a single
ion Kondo effect.
","[{""version"":""v1"",""created"":""Wed, 28 Sep 1994 07:15:42 GMT""}]","2009-10-22"
"dg-ga/9409005","Jan Slovak","Andreas Cap, Jan Slovak","On multilinear operators commuting with Lie derivatives","Preprint ESI56",,,,"dg-ga math.DG",,"  Let $E_1,\dots ,E_k$ and $E$ be natural vector bundles defined over the
category $\Cal Mf_m^+$ of smooth oriented $m$--dimensional manifolds and
orientation preserving local diffeomorphisms, with $m\geq 2$. Let $M$ be an
object of $\Cal Mf_m^+$ which is connected. We give a complete classification
of all separately continuous $k$--linear operators $D\:\Ga
_c(E_1M)\x\dots\x\Ga_c(E_kM)\to \Ga (EM)$ defined on sections with compact
supports, which commute with Lie derivatives, i\.e\. which satisfy $$ \Cal
L_X(D(s_1,\dots ,s_k))=\sum _{i=1}^kD(s_1,\dots ,\Cal L_Xs_i,\dots,s_k), $$ for
all vector fields $X$ on $M$ and sections $s_j\in\Ga_c(E_jM)$, in terms of
local natural operators and absolutely invariant sections. In special cases we
do not need the continuity assumption. We also present several applications in
concrete geometrical situations, in particular we give a completely algebraic
characterization of some well known Lie brackets.
","[{""version"":""v1"",""created"":""Wed, 28 Sep 1994 13:16:35 GMT""}]","2016-08-31"
"funct-an/9409004","Dana Williams","Alexander Kumjian, Iain Raeburn, and Dana P. Williams","The equivariant Brauer groups of commuting free and proper actions are
  isomorphic","10 pages, AMS-LaTeX v1.1, KRW94",,,,"funct-an math.FA math.RT",,"  If $X$ is a locally compact space which admits commuting free and proper
actions of locally compact groups $G$ and $H$, then the Brauer groups
$\Br_H(G/X)$ and $\Br_G(X/H)$ are naturally isomorphic.
","[{""version"":""v1"",""created"":""Tue, 27 Sep 1994 18:22:32 GMT""}]","2008-02-03"
"gr-qc/9409056","Dalia Goldwirth","Nathalie Deruelle and Dalia S. Goldwirth","Conditions for inflation in an initially inhomogeneous universe","9 pages, plain Tex, gr-qc/yymmnnn","Phys.Rev. D51 (1995) 1563-1568","10.1103/PhysRevD.51.1563",,"gr-qc astro-ph",,"  Using a long wavelength iteration scheme to solve Einstein's equations near
the Big-Bang singularity of a universe driven by a massive scalar field, we
find how big initial quasi-isotropic inhomogeneities can be before they can
prevent inflation to set in.
","[{""version"":""v1"",""created"":""Tue, 27 Sep 1994 16:04:41 GMT""}]","2009-10-22"
"gr-qc/9409057","Dr. Scott C. Smith","J. L. Houser, J. M. Centrella, and S. C. Smith","Gravitational Radiation from Nonaxisymmetric Instability in a Rotating
  Star","16 pages, LaTeX with REVTEX macros, reprints available - send mailing
  address to scott@eagle.drexel.edu. Published: PRL 72, 1314 (1994)","Phys.Rev.Lett.72:1314-1317,1994","10.1103/PhysRevLett.72.1314",,"gr-qc astro-ph",,"  We present the first calculations of the gravitational radiation produced by
nonaxisymmetric dynamical instability in a rapidly rotating compact star. The
star deforms into a bar shape, shedding $\sim 4\%$ of its mass and $\sim 17\%$
of its angular momentum. The gravitational radiation is calculated in the
quadrupole approximation. For a mass $M \sim 1.4$ M$_{\odot}$ and radius $R
\sim 10$ km, the gravitational waves have frequency $\sim 4$ kHz and amplitude
$h \sim 2 \times 10^{-22}$ at the distance of the Virgo Cluster. They carry off
energy $\Delta E/M \sim 0.1\%$ and radiate angular momentum $\Delta J/J \sim
0.7\%$.
","[{""version"":""v1"",""created"":""Tue, 27 Sep 1994 21:33:53 GMT""}]","2009-01-23"
"hep-ph/9409424","Frank Close","F.E.Close and G.J.Gounaris","Searching for Exotic Mesons in e^+e^- Annihilation at Dafne","RAL-94-107,THES-TP 94/12; 11 pages;0figs","Phys.Lett. B343 (1995) 392-398","10.1016/0370-2693(94)01413-7",,"hep-ph",,"  $DA{\Phi}NE$ should be useful for testing the nature of the vector mesons
directly produced in $e^-e^+$ annihilation, as well as the nature of the $C=+$
states produced in the radiative decays of these vector mesons. In the
$DA{\Phi}NE$ energy range, these latter states may have spin up to two and any
parity. Provided the background can be handled and the spin of the produced
state is known, the study of the angular distributions in these decays can
measure the parity of the produced meson as well as the ratios of the
independent production helicity amplitudes. These ratios provide sensitive
tests for quark model classification of the states, in particular the enigmatic
$f_1(1420)$. Thus, they can be used to indicate whether the mesons involved are
consistent with the usual $q \bar q$ interpretation, or whether other
interpretations like \eg\,hybrid, glueball or multiquark, are more favorable
for some of them.
","[{""version"":""v1"",""created"":""Tue, 27 Sep 1994 16:02:00 GMT""}]","2009-10-28"
"hep-ph/9409425",,"Paula J. Franzini","Physics at DAPHNE","17 pages TeX, macros at end of TeX file, 8 figures appended, also
  available directly as http://pss058.psi.ch/doc/preprints/zuoz.ps,
  PSI-PR-94-30",,,,"hep-ph",,"  Proceedings of invited lecture at the Zuoz summer school on hadronic aspects
of collider physics, August 23-31, 1994, Zuoz, Switzerland. Describes the PHI
factory DAPHNE being built at Frascati, Italy, and the physics that can be done
there, with emphasis on its potential for studying CP violation.
","[{""version"":""v1"",""created"":""Tue, 27 Sep 1994 16:09:25 GMT""}]","2007-05-23"
"hep-ph/9409426",,"M.R. Pennington, J. Portoles","The Chiral Lagrangian parameters, $\overline{\ell}_1$,
  $\overline{\ell}_2$, are determined by the $\rho$--resonance","Plain LaTeX file, 13 pages, 3 figures not included (available from
  the Authors under request). A comparison of our procedure with Chiral
  Perturbation Theory has been included. Results have not changed. Accepted for
  publication in Phys. Lett. B","Phys.Lett. B344 (1995) 399-406","10.1016/0370-2693(94)01551-M","DTP-94/54","hep-ph",,"  The all--important consequence of Chiral Dynamics for $\pi \pi$ scattering is
the Adler zero, which forces $\pi \pi$ amplitudes to grow asymptotically. The
continuation of this subthreshold zero into the physical regions requires a
$P$--wave resonance, to be identified with the $\rho$. It is a feature of $\pi
\pi$ scattering that convergent dispersive integrals for the $I=1$ channel are
essentially saturated by the $\rho$--resonance and are much larger than those
with $I=2$ quantum numbers. These facts predict the parameters
$\overline{\ell}_1$, $\overline{\ell}_2$ of the Gasser--Leutwyler Chiral
Lagrangian, as well as reproducing the well--known KSFR relation and
self-consistently generating the $\rho-$resonance.
","[{""version"":""v1"",""created"":""Tue, 27 Sep 1994 22:18:57 GMT""},{""version"":""v2"",""created"":""Mon, 28 Nov 1994 17:05:15 GMT""}]","2009-10-28"
"hep-ph/9409427",,"Stephan Narison","Heavy Quarks from QCD Spectral Sum Rules","11 pages, CERN-TH.7444/94, 11 pages, Talk given at QCD 94,
  Montpellier 7-13th July 1994 (F)","Nucl.Phys.Proc.Suppl.39BC:446-456,1995","10.1016/0920-5632(95)00116-Q",,"hep-ph hep-lat",,"  We summarize the recent developments on the extraction of the dynamical
properties of the heavy quarks from QCD spectral sum rules.
","[{""version"":""v1"",""created"":""Tue, 27 Sep 1994 20:46:35 GMT""}]","2010-11-01"
"hep-ph/9409428",,"S. Narison","{$K^0$}-{$\overline{K}^0$} mixing and the CKM parameters $(\rho,\eta)$
  from the Laplace sum rules","6 pages in latex file + 3 figure in ps files (sent by requests),
  CERN-TH.7441/94 (1994) (some missprints in the previous version may lead to
  some confusion)","Phys.Lett.B351:369-374,1995","10.1016/0370-2693(95)00295-V",,"hep-ph hep-lat",,"  Using the Laplace sum rule (LSR) approach, which is less affected by the
contribution of the higher mass hadronic states than the Finite Energy Sum Rule
(FESR), we test the reliability of the existing estimate of the
$K^0$-$\overline {K}^0$ mixing parameter from the four-quark two-point
correlator. We obtain, for the renormalization group invariant $B$-parameter
$\Big[ f_K/(1.2f_\pi)\Big]^2 \hat {B}_K$, the upper bound: 0.83 and the $best$
estimate: $0.55 \pm 0.09$. Combining the previous estimate with the updated
value of $f_B\sqrt{B_B}=(1.49\pm 0.14)f_\pi$ obtained from the same LSR method,
one can deduce the $best$ fitted values $(\rho,\eta)\approx (0.41,0.09)$ of the
CKM parameters.
","[{""version"":""v1"",""created"":""Tue, 27 Sep 1994 20:47:29 GMT""},{""version"":""v2"",""created"":""Wed, 28 Sep 1994 20:43:31 GMT""}]","2010-11-01"
"hep-ph/9409429","Layssac Jacques","J. Layssac, F.M. Renard, C. Verzegnassi","A Probe of New Resonant Structures with Four Fermion Processes at a 1
  TeV $e^+e^-$ Collider","4 pages, Latex file + figures in a postscript file. PM/94/34 e-mail
  layssac@lpm.univ-montp2.fr",,,,"hep-ph",,"  Oblique contributions from vector particles that are strongly coupled to the
known gauge bosons are calculated for the case of various observables at a 1
TeV $e^+e^-$ collider. Constraints provided by LEP 1 results are taken into
account in a model-independent way through a dispersion relation technique.
Depending on the assumed theoretical properties, mass limits of several TeV
should be observable.
","[{""version"":""v1"",""created"":""Wed, 28 Sep 1994 09:36:00 GMT""},{""version"":""v2"",""created"":""Thu, 29 Sep 1994 09:01:21 GMT""}]","2019-08-17"
"hep-ph/9409430","Thomas Gasenzer","Hildegard Meyer-Ortmanns and Bernd-Jochen Schaefer","How sharp is the chiral crossover phenomenon for realistic meson masses?","LaTeX, HD--TVP--94--16, Please contact authors via email for figures","Phys.Rev.D53:6586-6601,1996","10.1103/PhysRevD.53.6586",,"hep-ph",,"  The mass dependence of the chiral phase transition is studied in the linear
$SU(3)\times SU(3)$ sigma-model to leading order in a $1/N_f$-expansion, $N_f$
denoting the number of flavours. For realistic meson masses we find a smooth
crossover between $T\sim181.5$ to 192.6~[MeV]. The crossover looks more rapid
in the light quark condensate than in thermodynamic quantities like the energy
and entropy densities. The change in the light quark condensate in this
temperature interval is $\sim$~50\% of the zero-temperature condensate value,
while the entropy density increases by ($5.5\pm0.8)\cdot10^{-3}$~[GeV$^3$].
Since the numerical error is particularly large in this region, we cannot rule
out a finite latent heat smaller than 0.2~[GeV/fm$^3$]. The chiral transition
is washed out for an average pseudoscalar meson octet mass of 203~[MeV]. This
gives an upper bound on the first-order transition region in the meson mass
parameter space. The corresponding ratio of critical to realistic light current
quark masses $m^{crit}_{u,d}/m_{u,d}$ is estimated as $0.26\pm0.08$. This
result is by an order of magnitude larger than the corresponding mean-field
value. Therefore the
","[{""version"":""v1"",""created"":""Wed, 28 Sep 1994 09:40:03 GMT""}]","2010-11-01"
"hep-ph/9409431","Zpli","Zhenping Li, Yubing Dong and Weihsing Ma","Longitudinal Transitions Of Baryon Resonances in Constituent Quark Model","13 pages with 5 figures in ps. file can be obtained from author","J.Phys.G23:151-162,1997","10.1088/0954-3899/23/2/003",,"hep-ph nucl-th",,"  A longitudinal transition operator that satisfies the gauge invariance
requirement is introduced in constituent quark model. The corresponding
longitudinal transitions between the nucleon and baryon resonances are
calculated. We show that the study of the longitudinal coupling plays an
important role in understanding the structure of baryons.
","[{""version"":""v1"",""created"":""Wed, 28 Sep 1994 15:35:42 GMT""}]","2008-11-26"
"hep-th/9409165","Annemarie Blobel","K.-H.Rehren, Ya.S.Stanev, I.T.Todorov","Characterizing Invariants for Local Extensions of Current Algebras","LaTeX-file, 26 pages, no figures","Commun.Math.Phys. 174 (1995) 605-634","10.1007/BF02101529","Vienna preprint ESI 132 (1994), DESY 94-164","hep-th",,"  Pairs $\aa \subset \bb$ of local quantum field theories are studied, where
$\aa$ is a chiral conformal \qft and $\bb$ is a local extension, either chiral
or two-dimensional. The local correlation functions of fields from $\bb$ have
an expansion with respect to $\aa$ into \cfb s, which are non-local in general.
Two methods of computing characteristic invariant ratios of structure constants
in these expansions are compared: $(a)$ by constructing the monodromy \rep of
the braid group in the space of solutions of the Knizhnik-Zamolodchikov
differential equation, and $(b)$ by an analysis of the local subfactors
associated with the extension with methods from operator algebra (Jones theory)
and algebraic quantum field theory. Both approaches apply also to the reverse
problem: the characterization and (in principle) classification of local
extensions of a given theory.
","[{""version"":""v1"",""created"":""Tue, 27 Sep 1994 16:30:06 GMT""}]","2015-06-26"
"hep-th/9409166","Michele Bourdeau","Michele Bourdeau","Grassmannian Sigma Models and Topological-Antitopological Fusion","20 pages (LaTeX), OUTP-94-22P","Nucl.Phys. B439 (1995) 421-440","10.1016/0550-3213(95)95691-8",,"hep-th",,"  We study the topological-antitopological fusion equations for supersymmetric
sigma models on Grassmannian manifolds G(k,N). We find a basis in which the
metric becomes diagonal and the $tt^*$ equations become tractable. The solution
for the metric of G(k,N) can then be described in terms of the metric for the
$CP^{N-1}$ models. The IR expansion helps clarify the picture of the vacua and
gives the soliton numbers and masses. We also show that the $tt^*$ equation for
G(k,N) in the large N limit is solvable, for any k.
","[{""version"":""v1"",""created"":""Tue, 27 Sep 1994 17:59:15 GMT""}]","2009-10-28"
"hep-th/9409167","David N. Yetter","Louis Crane, Louis H. Kauffman, David N. Yetter","State-Sum Invariants of 4-Manifolds I","46 pages",,,,"hep-th math.QA",,"  We provide, with proofs, a complete description of the authors' construction
of state-sum invariants announced in [CY], and its generalization to an
arbitrary (artinian) semisimple tortile category. We also discuss the
relationship of these invariants to generalizations of Broda's surgery
invariants [Br1,Br2] using techniques developed in the case of the semi-simple
sub-quotient of $Rep(U_q(sl_2))$ ($q$ a principal $4r^{th}$ root of unity) by
Roberts [Ro1]. We briefly discuss the generalizations to invariants of
4-manifolds equipped with 2-dimensional (co)homology classes introduced by
Yetter [Y6] and Roberts [Ro2], which are the subject of the sequel. (citations
refer to bibliography in the paper)
","[{""version"":""v1"",""created"":""Tue, 27 Sep 1994 19:12:00 GMT""}]","2008-02-03"
