"alg-geom/9409001",,"Paul Meurer","The Number of Rational Quartics on Calabi-Yau hypersurfaces in Weighted
  Projective Space P(2,1^4)","28 pages, AMSLaTeX 1.1",,,,"alg-geom math.AG",,"  We compute the number of rational quartics on a general Calabi-Yau
hypersurface in weighted projective space P(2,1^4). The result agrees with the
prediction made by mirror symmetry.
","[{""version"":""v1"",""created"":""Fri, 2 Sep 1994 00:32:16 GMT""}]","2008-02-03"
"hep-ph/9409202","Igor Tkachev","D. Semikoz and I. Tkachev","Kinetics of Bose-Condensation","12 pages, LaTeX RevTeX 3.0, includes 4 eps figures","Phys.Rev.Lett. 74 (1995) 3093-3097","10.1103/PhysRevLett.74.3093","Fermilab-Pub-94/295-A","hep-ph cond-mat",,"  The process of condensation in the system of scalar Bosons with weak $\lambda
\phi^4$ interaction is considered. Boltzmann kinetic equation is solved
numerically. Bose condensation proceeds in two stages: At the first stage
condensate is still absent but there is non-zero inflow of particles towards
$\vec{{\bf p}} = 0$ and the distribution function at $\vec{{\bf p}} = 0$ grows
from finite values to infinity. At the second stage there are two components,
condensate and particles, reaching their equilibrium values. We show that the
evolution in both stages proceeds in a self - similar way and find the time
needed for condensation, which is finite.
","[{""version"":""v1"",""created"":""Thu, 1 Sep 1994 16:05:40 GMT""}]","2009-10-28"
"hep-ph/9409203","Frank Close","Frank Close","New Metastable Charmonium and the $\psi '$ Anomaly at CDF","11 pages, no figures. RAL-94-093","Phys.Lett. B342 (1995) 369-374","10.1016/0370-2693(94)01360-O",,"hep-ph",,"  Production of metastable charmonium states more massive than the $\psi(3685)$
is expected in models and could be the source of up to $50\%$ of the $\psi$
observed at large $p_T$ at the Tevatron.Narrow $2^{-+},2^{--} c\bar{c}$ are
predicted at around 3.8GeV and radially excited $2^3P_{1,2}$ may also have
suppressed hadronic widths making these states potentially extra sources of
$\psi(3685)$. Colour octet components are believed to dominate $\psi$
production at the Tevatron which suggests that hybrid charmonium production may
also be prominent. Estimates of hybrid production rates and branching ratios
into charmonium suggest that metastable hybrids with mass $\approx$ 4GeV may
play an important role in generating the observed $\psi(3685),\psi(3095)$
","[{""version"":""v1"",""created"":""Thu, 1 Sep 1994 16:54:00 GMT""}]","2009-10-28"
"hep-ph/9409205","Ed Stoeffhaas","D. Zeppenfeld","Gluon Radiation Patterns in Pomeron Exchange Events","Talk given at the XXVII International Conference on High Energy
  Physics, Glasgow, Scotland, July 21--27, 1994. Latex file, uses ichep.sty,
  appended after ""\end{document}"". Three uufiled postscript figures included.
  Hardcopies available upon request. MAD/PH/846",,,,"hep-ph",,"  Color singlet two gluon exchange provides a perturbative model for the
pomeron. This mechanism is thought to explain the production of rapidity gaps
in hard dijet events at the Tevatron. It is shown that in $qQ$ scattering via
two gluon color singlet exchange the emission of soft gluons follows closely
the pattern found for $t$-channel photon exchange. Gluon emission is strongly
suppressed between the two quark jets. After hadronization this leads to a
depressed level of hadronic activity between the jets and thus allows the
formation of rapidity gaps.
","[{""version"":""v1"",""created"":""Thu, 1 Sep 1994 16:26:30 GMT""}]","2009-09-25"
"hep-ph/9409206",,"L. Lavoura (Carnegie-Mellon University)","CP violation in the two-Higgs-doublet model: an example","13 pages LATEX, a bunch of figures that I can mail to you if you ask
  me as soon as you finish reading this (because afterwards I'll be in
  vacation)","Phys.Rev.D51:5256-5262,1995","10.1103/PhysRevD.51.5256",,"hep-ph",,"  In a general two-scalar-doublet model without fermions, there is a unique
source of CP violation, $ J_1 $, in the gauge interactions of the scalars. It
arises in the mixing of the three neutral physical scalars $ X_1 $, $ X_2 $ and
$ X_3 $. CP violation may be observed via different decay rates for $ X_1
\rightarrow H^+ W^- $ and $ X_1 \rightarrow H^- W^+ $ (or, alternatively, for $
H^+ \rightarrow X_1 W^+ $ and $ H^- \rightarrow X_1 W^- $ --- depending on
which decays are kinematically allowed). I compute the part of those
CP-violating decay-rate differences which is proportional to $ J_1 $. The
CP-invariant final-state-interaction phase is provided by the absorptive parts
of the one-loop diagrams. I check the gauge invariance of the whole
calculation.
","[{""version"":""v1"",""created"":""Thu, 1 Sep 1994 18:37:52 GMT""}]","2010-11-01"
"hep-ph/9409207",,"S. Chernyshev, M. A. Nowak and I. Zahed","Heavy Mesons in a Random Instanton Gas","13 pages, SUNY-NTG-94-37","Phys.Lett.B350:238-244,1995","10.1016/0370-2693(95)00330-N",,"hep-ph hep-lat hep-th",,"  We analyze the correlation function of a meson with one heavy and one light
quark in inverse powers of the heavy quark mass $m_Q$ using a succession of
Foldy-Wouthuysen-type transformations prior to radiative corrections. We
evaluate the correlator to order $m_Q^0$ in a random and dilute gas of
instantons, using the planar approximation. We show, in leading order in the
density, that the heavy quark mass is shifted to the order $m_Q^0$ and that the
induced interaction between the heavy and light quarks is attractive. We also
find it to be an order of magnitude smaller than the 't Hooft interaction
between two light quarks. The shift in the heavy quark mass is related to the
perimeter law of large Wilson loops. The relevance of these results for general
hadronic correlators with heavy quarks is discussed.
","[{""version"":""v1"",""created"":""Thu, 1 Sep 1994 23:16:44 GMT""}]","2010-11-01"
"hep-ph/9409208","Fredrick Olness","Fredrick I. Olness and Stephan T. Riemersma","Leptoproduction of Heavy Quarks in the Fixed and Variable Flavor Schemes","LaTeX format, 19 pages, 20 figures in uuencoded format. Postscript
  file available at ftp://smuphy.physics.smu.edu/usr/ftpdir/pub/papers","Phys.Rev.D51:4746-4755,1995","10.1103/PhysRevD.51.4746","SMU-HEP/94-21, CTEQ 94-07","hep-ph",,"  We compare the results of the fixed-flavor scheme calculation of Laenen,
Riemersma, Smith and van Neerven with the variable-flavor scheme calculation of
Aivazis, Collins, Olness and Tung for the case of neutral-current
(photon-mediated) heavy-flavor (charm and bottom) production. Specifically, we
examine the features of both calculations throughout phase space and compare
the structure function $F_2(x,Q^2)$. We also analyze the dependence of $F_2$ on
the mass factorization scale $\mu$. We find that the former is most applicable
near threshold, while the latter works well for asymptotic $Q^2$. The validity
of each calculation in the intermediate region is dependent upon the $x$ and
$Q^2$ values chosen.
","[{""version"":""v1"",""created"":""Fri, 2 Sep 1994 00:49:43 GMT""}]","2011-01-25"
"hep-ph/9409209","Robert Thews","R. L. Thews","Formation Time Scales for Quarkonia in a Deconfining Medium","5 pages, presented at DPF '94, Albuquerque, NM, August 1994",,,,"hep-ph",,"  Production of heavy quark antiquark systems in high energy heavy ion
collisions must involve relativistic momentum components in a quantum
mechanical approach. If the color forces are screened in a deconfining medium,
one can define the analog of a formation or separation time by an overlap
integral in the nonrelativistic bound state rest frame. This time parameter has
some interesting properties which depend on the momentum spectrum of the
initial quarks. Consequences of these properties for the phenomenology of
deconfinement signals are discussed.
","[{""version"":""v1"",""created"":""Fri, 2 Sep 1994 00:17:23 GMT""}]","2007-05-23"
"hep-ph/9409210","Fredrick Olness","Fredrick I. Olness and Stephan T. Riemersma","Leptoproduction of Heavy Quarks in the Fixed and Variable Flavor Schemes
  (CONFERENCE Version)","LaTeX format, 4 pages, 2 figures in uuencoded format. Postscript file
  available from ftp://smuphy.physics.smu.edu/usr/ftpdir/pub/papers .
  **Presented at the Eighth DPF Meeting, Albuquerque, NM, August, 1994**
  (Conference version of SMU-HEP/94-21.)",,,"SMU-HEP/94-22","hep-ph",,"  We compare the results of the fixed-flavor scheme calculation of Laenen,
Riemersma, Smith and van Neerven with the variable-flavor scheme calculation of
Aivazis, Collins, Olness and Tung for neutral-current (photon-mediated)
heavy-flavor (charm and bottom) production. We compare the structure function
$F_2(x,Q^2)$ throughout phase space, and also analyze the $\mu$-dependenceWe
find that the former calculation is most applicable near threshold, while the
latter works well for asymptotic $Q^2$.
","[{""version"":""v1"",""created"":""Fri, 2 Sep 1994 01:14:31 GMT""}]","2007-05-23"
"hep-ph/9409211","Aaron Keith Grant","Tatsu Takeuchi, Aaron K. Grant and Jonathan L. Rosner","An Analysis of Non-Oblique Corrections to the $Z b \bar b$ Vertex","5 pages, with 4 PostScript figures",,,"FERMILAB-CONF-94/279-T; EFI 94-44","hep-ph",,"  We present a model--independent analysis of the $Z b \bar b$ vertex, with the
aim of constraining contributions of new physics to the left- and right--handed
couplings of the $b$. We find that the left--handed coupling of the $b$ is
quite narrowly constrained by present data, but that the right--handed coupling
is still largely unconstrained.
","[{""version"":""v1"",""created"":""Fri, 2 Sep 1994 03:57:01 GMT""}]","2007-05-23"
"hep-ph/9409212","Eckart Stein","E. Stein, P. Gornicki, L. Mankiewicz, A. Schaefer, W. Greiner","QCD Sum Rule Calculation of Twist-3 Contributions to Polarized Nucleon
  Structure Functions","16pp. , 2 figures (uuencoded eps-files), LateX. Some misprints
  corrected, results unchanged","Phys.Lett.B343:369-376,1995","10.1016/0370-2693(94)01443-G","UFTP preprint 366/199","hep-ph",,"  Using the framework of QCD sum rules we predict the twist-3 contribution to
the second moment of the polarized nucleon structure function $g_2(x)$. As the
relevant local operator depends explicitely on the gluon field, we employ a
recently studied interpolating nucleon current which contains three quark field
and one gluon field operator. Despite the fact that our calculation is based on
the analysis of a completely different correlation function, our estimates are
consitent with those of Balitsky, Braun and Kolesnichenko who used a
three-quark current.
","[{""version"":""v1"",""created"":""Fri, 2 Sep 1994 12:51:38 GMT""},{""version"":""v2"",""created"":""Mon, 14 Nov 1994 13:35:22 GMT""}]","2011-08-11"
"hep-ph/9409213","Herbert Nachbagauer","Herbert Nachbagauer","Finite Temperature Effective Potential for Spontaneously Broken $\lambda
  \Phi^4$ Theory","5 pages, Talk held at the 'Workshop on Quantum Infrared Physics', 6-8
  June at Paris",,,,"hep-ph",,"  We present a self-consistent calculation of the finite temperature effective
potential for $\lambda \Phi^4$ theory in four dimensions using a composite
operator effective action. We find that in a spontaneously broken theory not
only the so-called daisy and superdaisy graphs contribute to the
next-to-leading order thermal mass, but also resummed non-local diagrams are of
the same order, thus altering the effective potential at small effective mass.
","[{""version"":""v1"",""created"":""Fri, 2 Sep 1994 14:32:15 GMT""},{""version"":""v2"",""created"":""Sat, 3 Sep 1994 06:33:06 GMT""}]","2008-02-03"
"hep-th/9409006","Bum-Hoon Lee","Bum-Hoon Lee(Hanyang U.) and Hyunsoo Min(Seoul City U.)","Quantum Aspects of Supersymmetric Maxwell Chern-Simons Solitons","40 pages, ReVTeX, HYUPT-94/04 SNUTP 94-64","Phys.Rev.D51:4458-4473,1995","10.1103/PhysRevD.51.4458",,"hep-th",,"  We study the various quantum aspects of the $N=2$ supersymmetric Maxwell
Chern-Simons vortex systems. The fermion zero modes around the vortices will
give rise the degenerate states of vortices. We analyze the angular momentum of
these zero modes and apply the result to get the supermultiplet structures of
the vortex. The leading quantum correction to the mass of the vortex coming
from the mode fluctuations is also calculated using various methods depending
on the value of the coefficient of the Chern-Simons term $\kappa$ to be zero,
infinite and finite, separately. The mass correction is shown to vanish for all
cases. Fermion numbers of vortices are also discussed.
","[{""version"":""v1"",""created"":""Fri, 2 Sep 1994 03:24:41 GMT""}]","2011-07-19"
"hep-th/9409007","Sergei Ketov","Sergei V. Ketov","BRST Charge for the Orthogonal Series of Bershadsky-Knizhnik
  Quasi-Superconformal Algebras","11 pages, LaTeX, Hannover preprint ITP-UH-11/94, September 1994",,,,"hep-th",,"  The quantum BRST charges for the Bershadsky-Knizhnik orthogonal
quasi-superconformal algebras are constructed. These two-dimensional
superalgebras have the $N$-extended non-linearly realised supersymmetry and the
$SO(N)$ internal symmetry. The BRST charge nilpotency conditions are shown to
have a unique solution at $N>2$, namely, $N=4$ and $k=-2$, where $k$ is central
extension parameter of the Ka\v{c}-Moody subalgebra. We argue about the
existence of a new string theory with the non-linearly realised $N=4$
world-sheet supersymmetry and negative `critical dimension'.
","[{""version"":""v1"",""created"":""Thu, 1 Sep 1994 19:58:05 GMT""}]","2007-05-23"
"hep-th/9409008","Liu Qing-ping","Q.P. Liu","Darboux Transformations for Supersymmetric Korteweg - de Vries Equations","Latex, 8 pages AS-ITP-94-41","Lett.Math.Phys. 35 (1995) 115-122","10.1007/BF00750761",,"hep-th",,"  \hspace{.2in}We consider the Darboux type transformations for the spectral
problems of supersymmetric KdV systems. The supersymmetric analogies of Darboux
and Darboux-Levi transformations are established for the spectral problems of
Manin-Radul-Mathieu sKdV and Manin-Radul sKdV. Several B\""acklund
transformations are derived for the MRM sKdV and MR sKdV systems.
","[{""version"":""v1"",""created"":""Fri, 2 Sep 1994 13:44:47 GMT""}]","2009-10-28"
"hep-th/9409009","Sabro Higuchi","Saburo Higuchi, Chigak Itoi, Shinsuke Nishigaki and Norisuke Sakai","Renormalization group flow in one- and two-matrix models","34 pages in LaTeX, 4 eps figures included in uufiled form, with a few
  minor but helpful corrections","Nucl.Phys. B434 (1995) 283-318; Erratum-ibid. B441 (1995) 405",,"TIT/HEP-261, NUP-A-94-16","hep-th",,"  Large-$N$ renormalization group equations for one- and two-matrix models are
derived. The exact renormalization group equation involving infinitely many
induced interactions can be rewritten in a form that has a finite number of
coupling constants by taking account of reparametrization identities. Despite
the nonlinearity of the equation, the location of fixed points and the scaling
exponents can be extracted from the equation. They agree with the spectrum of
relevant operators in the exact solution. A linearized $\beta$-function
approximates well the global phase structure which includes several nontrivial
fixed points. The global renormalization group flow suggests a kind of
$c$-theorem in two-dimensional quantum gravity.
","[{""version"":""v1"",""created"":""Fri, 2 Sep 1994 13:08:52 GMT""},{""version"":""v2"",""created"":""Wed, 14 Sep 1994 15:31:48 GMT""},{""version"":""v3"",""created"":""Thu, 23 Feb 1995 17:20:22 GMT""}]","2014-03-25"
"hep-th/9409010","J. Adams","J.A. Adams and N. Tetradis","High Temperature Phase Transitions in Two-Scalar Theories with Large $N$
  Techniques","11 pages, LaTex, includes 5 uuencoded postscript figures, OUTP-94-11
  P","Phys.Lett.B347:120-130,1995","10.1016/0370-2693(95)00044-L",,"hep-th",,"  We consider a theory of a scalar one-component field $\phi$ coupled to a
scalar $N$-component field $\chi$. Using large $N$ techiques we calculate the
effective potential in the leading order in $1/N$. We show that this is
equivalent to a resummation of an infinite subclass of graphs in perturbation
theory, which involve fluctuations of the $\chi$ field only. We study the
temperature dependence of the expectation value of the $\phi$ field and the
resulting first and second order phase transitions.
","[{""version"":""v1"",""created"":""Fri, 2 Sep 1994 13:17:43 GMT""}]","2010-11-01"
"hep-th/9409011",,"S. Elitzur, A. Giveon, E. Rabinovici, A. Schwimmer and G. Veneziano","Remarks on Non-Abelian Duality","33 pages, CERN-TH.7414/94, RI-9-94, WIS-7-94","Nucl.Phys. B435 (1995) 147-171","10.1016/0550-3213(94)00426-F",,"hep-th",,"  A class of two-dimensional globally scale-invariant, but not conformally
invariant, theories is obtained. These systems are identified in the process of
discussing global and local scaling properties of models related by duality
transformations, based on non-semisimple isometry groups. The construction of
the dual partner of a given model is followed through; non-local as well as
local versions of the former are discussed.
","[{""version"":""v1"",""created"":""Fri, 2 Sep 1994 14:25:34 GMT""}]","2009-10-28"
"math/9409201","Thomas Jech","Thomas Jech","OTTER Experiments in a System of Combinatory Logic",,,,"Logic E-prints September 02, 1994","math.LO",,"  This paper describes some experiments involving the automated theorem-proving
program OTTER in the system TRC of illative combinatory logic. We show how
OTTER can be steered to find a contradiction in an inconsistent variant of TRC,
and present some experimentally discovered identities in TRC.
","[{""version"":""v1"",""created"":""Fri, 2 Sep 1994 00:00:00 GMT""}]","2008-02-03"
"math/9409202","Thomas Jech","Qi Feng and Thomas Jech","Projective Stationary Sets and Strong Reflection Principle",,,,"Logic E-prints September 02, 1994","math.LO",,"  We study projective stationary sets. The Projective Stationary Reflection
principle is the statement that every projective stationary set contains an
increasing continuous $\in$--chain of length $\omega_1$. We show that if
Martin's Maximum holds, then the Projective Stationary Reflection Principle
holds. Also it is equivalent to the Strong Reflection Principle. We show that
the saturation of the nonstationary ideal on $\omega_1$ is equivalent to a
certain kind of reflection.
","[{""version"":""v1"",""created"":""Fri, 2 Sep 1994 00:00:00 GMT""}]","2009-09-25"
"math/9409203","Jindrich Zapletal","Jind\v{r}ich Zapletal","Small forcings and Cohen reals",,,,"Logic E-prints September 02, 1994","math.LO",,"  We prove it consistent relative to ZFC that all nontrivial forcings of size
$\aleph _1$ add a Cohen real.
","[{""version"":""v1"",""created"":""Fri, 2 Sep 1994 00:00:00 GMT""}]","2009-09-25"
"nucl-th/9409001","HG Miller 3175","B. J. Cole (Department of Physics, University of the Witwatersrand,
  WITS 2050, South Africa), N. J. Davidson, H. G. Miller","The Determination of Nuclear Level Densities from Experimental
  Information -","7 pages + 6 eps figures, REVTEX 3.0","Phys.Rev.C50:1913-1916,1994","10.1103/PhysRevC.50.1913",,"nucl-th",,"  A novel Information Theory based method for determining the density of states
from prior information is presented. The energy dependence of the density of
states is determined from the observed number of states per energy interval and
model calculations suggest that the method is sufficiently reliable to
calculate the thermal properties of nuclei over a reasonable temperature range.
","[{""version"":""v1"",""created"":""Fri, 2 Sep 1994 14:42:44 GMT""}]","2009-09-25"
"nucl-th/9409002","HG Miller 3175","B. J. Cole, H. G. Miller and R. M. Quick (Department of Physics,
  University of Pretoria, Pretoria 0002, South Africa)","Comment on ``Specific Heat and Shape Transitions in Light sd Nuclei''","7pages, REVTEX 3.0",,,,"nucl-th",,"  This comment re-examines the origin of structure seen in the computed
specific heat of finite nuclei. In a recent paper, Civitarese and Schvellinger
suggest that such structure is due to model-space truncation in the
calculations. We reaffirm our conclusion that the structure is caused by a
collective-to-non-collective phase transformation at low temperatures, signaled
by a change in the nuclear level density below 10 MeV excitation energy.
","[{""version"":""v1"",""created"":""Fri, 2 Sep 1994 14:52:31 GMT""}]","2007-05-23"
