"adap-org/9409002","Denis Juriev","Denis Juriev (Mathematical Division, Research Institute for System
  Studies, Russian Academy of Sciences, Moscow)","Secondary Image Synthesis In Electronic Computer Photography (Vtorichnyj
  Sintez Izobrazhenij V Elektronnoj Komp'Yuternoj Fotografii)","the text is written in Russian in AMSTEX with cyrillic fonts, 3 pages",,,,"adap-org nlin.AO",,"  The principal scheme of the secondary image synthesis in electronic computer
photography is described. The crucial role of the Clebsch-Gordan coefficient
calculus is pointed out.
","[{""version"":""v1"",""created"":""Thu, 8 Sep 1994 10:01:48 GMT""},{""version"":""v2"",""created"":""Fri, 9 Sep 1994 08:51:10 GMT""},{""version"":""v3"",""created"":""Thu, 22 Sep 1994 14:05:44 GMT""}]","2008-02-03"
"cond-mat/9409033","Dongzi Liu","D.Z. Liu, X.C. Xie, S. Das Sarma and S.C. Zhang","Electron Localization in a 2D System with Random Magnetic Flux","4 pages, RevTex 3.0, 5 figures(PS files available upon request),
  #phd11",,"10.1103/PhysRevB.52.5858",,"cond-mat",,"  Using a finite-size scaling method, we calculate the localization properties
of a disordered two-dimensional electron system in the presence of a random
magnetic field. Below a critical energy $E_c$ all states are localized and the
localization length $\xi$ diverges when the Fermi energy approaches the
critical energy, {\it i.e.} $\xi(E)\propto |E-E_c|^{-\nu}$. We find that $E_c$
shifts with the strength of the disorder and the amplitude of the random
magnetic field while the critical exponent ($\nu\approx 4.8$) remains unchanged
indicating universality in this system. Implications on the experiment in
half-filling fractional quantum Hall system are also discussed.
","[{""version"":""v1"",""created"":""Thu, 8 Sep 1994 15:30:47 GMT""}]","2009-10-22"
"cond-mat/9409034","Jun Zang","Jun Zang, Joseph L Birman and Zhao-Bin Su","Theory of Second Order Optical Processes from A Luttinger Liquid","13 pages (REVTEX 3.0), CCNY-CMT-94-901, (to be published in Solid
  State Communication)",,"10.1016/0038-1098(94)00648-2",,"cond-mat",,"  We develop a theory for the total optical secondary emission from a 1D
interacting electron system modelled as a Tomonaga-Luttinger liquid. We
separate the emission into two parts which may originate in {\em hot
luminescence} (HL) and {\em Raman Scattering} (RS) respectively when we neglect
the {\em interference} effect. We find a peak around $\Delta \omega = v_f |q|$
in the RS part which does not come from a structure factor peak. In general the
total emission cannot be separated into HL and RS. However at resonance, and
taking into account the $k$ dependence of the optical matrix element, a part of
the RS is proportional to the structure factor $S(q_1-q_2, \omega_1-\omega_2)$.
","[{""version"":""v1"",""created"":""Thu, 8 Sep 1994 15:49:47 GMT""}]","2009-10-22"
"funct-an/9409001","N. Christopher Phillips","Huaxin Lin and N. Christopher Phillips","Approximate unitary equivalence of homomorphisms from O_{\infty}","LaTeX version 2.09, run on top of TeX C version 3.1415. 21 pages",,,,"funct-an math.OA",,"  We prove that if two homomorphisms from O_{\infty} to a purely infinite
simple C*-algebra have the same class in KK-theory, and if either both are
unital or both are nonunital, then they are approximately unitarily equivalent.
It follows that O_{\infty} is classifiable in the sense of Rordam. In
particular, Rordam's classification theorem for direct limits of matrix
algebras over even Cuntz algebras extends to direct limits involving both
matrix algebras over even Cuntz algebras and corners of O_{\infty}, for which
the K_0-group can be an arbitrary countable abelian group with no even torsion.
","[{""version"":""v1"",""created"":""Wed, 7 Sep 1994 22:17:25 GMT""}]","2008-02-03"
"gr-qc/9409013","Gary Horowitz","S. W. Hawking, Gary T. Horowitz, and Simon F. Ross","Entropy, Area, and Black Hole Pairs","25 pages; DAMTP/R 94-26, UCSBTH-94-25 (minor errors and references
  corrected)","Phys.Rev.D51:4302-4314,1995","10.1103/PhysRevD.51.4302",,"gr-qc hep-th",,"  We clarify the relation between gravitational entropy and the area of
horizons. We first show that the entropy of an extreme Reissner-Nordstr\""om
black hole is $zero$, despite the fact that its horizon has nonzero area. Next,
we consider the pair creation of extremal and nonextremal black holes. It is
shown that the action which governs the rate of this pair creation is directly
related to the area of the acceleration horizon and (in the nonextremal case)
the area of the black hole event horizon. This provides a simple explanation of
the result that the rate of pair creation of non-extreme black holes is
enhanced by precisely the black hole entropy. Finally, we discuss black hole
$annihilation$, and argue that Planck scale remnants are not sufficient to
preserve unitarity in quantum gravity.
","[{""version"":""v1"",""created"":""Thu, 8 Sep 1994 00:21:02 GMT""},{""version"":""v2"",""created"":""Thu, 22 Sep 1994 17:56:52 GMT""}]","2008-11-26"
"gr-qc/9409014",,"D. Giulini and C. Kiefer","Consistency of Semiclassical Gravity","12 pages, LATEX, Report Freiburg THEP-94/20","Class.Quant.Grav.12:403-412,1995","10.1088/0264-9381/12/2/009",,"gr-qc",,"  We discuss some subtleties which arise in the semiclassical approximation to
quantum gravity. We show that integrability conditions prevent the existence of
Tomonaga-Schwinger time functions on the space of three-metrics but admit them
on superspace. The concept of semiclassical time is carefully examined. We
point out that central charges in the matter sector spoil the consistency of
the semiclassical approximation unless the full quantum theory of gravity and
matter is anomaly-free. We finally discuss consequences of these considerations
for quantum field theory in flat spacetime, but with arbitrary foliations.
","[{""version"":""v1"",""created"":""Thu, 8 Sep 1994 08:00:42 GMT""}]","2010-04-06"
"gr-qc/9409015","Jacob D. Bekenstein","Jacob D. Bekenstein","Do We Understand Black Hole Entropy ?","plain TeX, 18 pages, Plenary talk at Seventh Marcel Grossman meeting
  at Stanford University, gr-qc/9409015, revised to include a figure",,,,"gr-qc astro-ph hep-th",,"  I review various proposals for the nature of black hole entropy and for the
mechanism behind the operation of the generalized second law. I stress the
merits of entanglement entropy {\tenit qua\/} black hole entropy, and point out
that, from an operational viewpoint, entanglement entropy is perfectly finite.
Problems with this identification such as the multispecies problem and the
trivialization of the information puzzle are mentioned. This last leads me to
associate black hole entropy rather with the multiplicity of density operators
which describe a black hole according to exterior observers. I relate this
identification to Sorkin's proof of the generalized second law. I discuss in
some depth Frolov and Page's proof of the same law, finding it relevant only
for scattering of microsystems by a black hole. Assuming that the law is
generally valid I make evident the existence of the universal bound on entropy
regardless of issues of acceleration buoyancy, and discuss the question of why
macroscopic objects cannot emerge in the Hawking radiance.
","[{""version"":""v1"",""created"":""Thu, 8 Sep 1994 14:15:00 GMT""},{""version"":""v2"",""created"":""Mon, 12 Sep 1994 14:56:00 GMT""}]","2009-09-25"
"hep-lat/9409005","Gunnar Bali","G.S. Bali, K. Schilling, C. Schlichter","Observing Long Colour Flux Tubes in SU(2) Lattice Gauge Theory","66 pages, 29 figures, uuencoded latex file with epsfigures (450 K),
  supplementary full colour figures are available via ftp, CERN-TH.7413/94
  (extended version)","Phys.Rev. D51 (1995) 5165-5198","10.1103/PhysRevD.51.5165",,"hep-lat",,"  We present results of a high statistics study of the chromo field
distribution between static quarks in SU(2) gauge theory on lattices of volumes
16^4, 32^4, and 48^3*64, with physical extent ranging from 1.3 fm up to 2.7 fm
at beta=2.5, beta=2.635, and beta=2.74. We establish string formation over
physical distances as large as 2 fm. The results are tested against Michael's
sum rules. A detailed investigation of the transverse action and energy flux
tube profiles is provided. As a by-product, we obtain the static lattice
potential in unpreceded accuracy.
","[{""version"":""v1"",""created"":""Wed, 7 Sep 1994 17:13:56 GMT""}]","2009-10-22"
"hep-lat/9409006",,"S.Furui, A.M.Green and B.Masud","An Analysis of Four-quark Energies in SU(2) Lattice Monte Carlo using
  the Flux-tube Symmetry:","(19 pages of Latex - 1 page of figures not included - sent on
  request). Preprint HU-TFT-94-28","Nucl.Phys. A582 (1995) 682-696","10.1016/0375-9474(94)00483-4",,"hep-lat",,"  Energies of four-quark systems calculated by the static quenched SU(2)
lattice Monte Carlo method are analyzed in $2\times 2$ bases for square,
rectangle, tilted rectangle, linear and quadrilateral geometry configurations
and in $3\times 3$ bases for a non-planar geometry configuration. For small
interquark distances, a lattice effect is taken into account by considering
perimeter dependent terms which are characterized by the cubic symmetry. It is
then found that a parameter $f$ - that can be identified as a gluon field
overlap factor - is rather well described by the form $exp(-[b_sE{\cal
A}+\sqrt{b_s}F{\cal P}])$, where ${\cal A}$ and ${\cal P}$ are the area and
perimeter mainly defined by the positions of the four quarks, $b_s$ is the
string constant in the 2-quark potentials and $E,F$ are constants.
","[{""version"":""v1"",""created"":""Thu, 8 Sep 1994 12:07:54 GMT""}]","2009-10-22"
"hep-ph/9409241","Neville Jones","N. Jones and R. Delbourgo","Meson Supermultiplet Decay Constants","18 pages, UTAS-PHYS-94-26, Latex","Austral.J.Phys.48:55-69,1995","10.1071/PH950055",,"hep-ph",,"  We use a covariant supermultiplet theory to determine the primary coupling
constant associated with several types of two-body meson decay. Despite the
diverse range of decays considered the primary coupling constant is
surprisingly uniform. We envisage the extension of the techniques to heavy
quark cases, including as preliminary examples the calculation of the $D^{*+}$
and $D^{*0}$ total decay widths with results $57.7 \pm 1.5$ KeV and $42.5 \pm
2.6$ KeV respectively, as well as some predictions about $D^*$ and $B^*$
radiative decays. (3 uuencoded Postscript Files are appended at the end of the
TexFile.)
","[{""version"":""v1"",""created"":""Wed, 7 Sep 1994 20:46:08 GMT""}]","2015-06-25"
"hep-ph/9409248",,"Hans-Thomas Elze and Peter A. Carruthers","About Entropy and Thermalization - a Miniworkshop Perspective","16 pages, CERN-TH.7431/94","Proc. NATO Adv. Res. Workshop on Hot Hadronic Matter,eds. J.
  Letessier et al. (Plenum Press, New York 1995) p. 241",,,"hep-ph adap-org nlin.AO nucl-th",,"  We present a summary and perspective view of the Miniworkshop on ``{\it
Entropy and Thermalization}'' in strong interactions (convener J. Rafelski),
which was part of the NATO Advanced Research Workshop on ``{\it Hot Hadronic
Matter}'' that took place in Divonne, 27 June to 1 July 1994. To appear in the
Proceedings (Plenum Press).
","[{""version"":""v1"",""created"":""Wed, 7 Sep 1994 16:33:48 GMT""}]","2008-02-03"
"hep-ph/9409249","Stefano Forte","Stefano Forte and Richard D. Ball (CERN, Geneva)","Anomalous Evolution of Nonsinglet Structure Functions","7 pages, 5 figures included as three compressed .ps files, plain
  LATEX, CERN-TH.7436/94 technical glitch fixed","Nucl.Phys.Proc.Suppl. 39BC (1995) 28-31","10.1016/0920-5632(95)00037-A",,"hep-ph",,"  We review a formalism that includes the effects of nonperturbative U(1)
symmetry breaking on the QCD evolution of nonsinglet structure functions. We
show that a strong scale dependence is generated in an intermediate energy
range $0.5 \lsim Q^2 \lsim 5$~GeV$^2$ for all values of $x$. We show that this
explains naturally the observed violation of the Gottfried sum, and allows a
determination of the shape of the nonsinglet structure function, in excellent
agreement with experiment. We argue that these effects may affect the
determination of $\alpha_s$ from deep--inelastic scattering.
","[{""version"":""v1"",""created"":""Wed, 7 Sep 1994 16:09:14 GMT""},{""version"":""v2"",""created"":""Thu, 29 Sep 1994 14:09:46 GMT""},{""version"":""v3"",""created"":""Fri, 30 Sep 1994 18:54:04 GMT""}]","2009-10-28"
"hep-ph/9409250","Sangyong Jeon","Sangyong Jeon","Hydrodynamic Transport Coefficients in Relativistic Scalar Field Theory","116 pages. An error in printing the figures file is corrected. The
  bulk viscosity sections are corrected and entirely rewritten. 38 figures in
  post-script format. One style file is included","Phys.Rev. D52 (1995) 3591-3642","10.1103/PhysRevD.52.3591","UW/PT-94","hep-ph",,"  Hydrodynamic transport coefficients may be evaluated from first principles in
a weakly coupled scalar field theory at arbitrary temperature. In a theory with
cubic and quartic interactions, the infinite class of diagrams which contribute
to the leading weak coupling behavior are identified and summed. The resulting
expression may be reduced to a single linear integral equation, which is shown
to be identical to the corresponding result obtained from a linearized
Boltzmann equation describing effective thermal excitations with temperature
dependent masses and scattering amplitudes. The effective Boltzmann equation is
valid even at very high temperature where the thermal lifetime and mean free
path are short compared to the Compton wavelength of the fundamental particles.
Numerical results for the shear and the bulk viscosities are presented.
","[{""version"":""v1"",""created"":""Thu, 8 Sep 1994 02:01:15 GMT""},{""version"":""v2"",""created"":""Wed, 26 Apr 1995 09:06:38 GMT""},{""version"":""v3"",""created"":""Thu, 27 Apr 1995 23:30:41 GMT""}]","2009-10-28"
"hep-ph/9409251","Ariel R. Zhitnitsky","Ryszard Stroynowski and Ariel R. Zhitnitsky","Axion search with optical technique","LATEX, 16 pgs. with 8 Figures as uuencoded compressed tar file at the
  end. SMU-HEP-94-12",,,,"hep-ph astro-ph",,"  A brief review of particle physics motivations for axion existence is
followed by a discussion of optical observables that can be used for axion
detection. It is emphasised that the resonant photon - axion transition can
occur in the presence of low density gas bringing the experimentally accessible
quantities within the reach of the present day technology.
","[{""version"":""v1"",""created"":""Wed, 7 Sep 1994 19:36:28 GMT""}]","2009-09-25"
"hep-ph/9409252","Erwin Mirkes","V. Barger, E. Mirkes, R.J.N. Phillips and T. Stelzer","Z Plus Four Jets Production in Hadronic Collisions","Presented by E. Mirkes at DPF94 Meeting, Albuquerque, New Mexico,
  August 2-6,1994. 4 pages (LaTex)",,,,"hep-ph",,"  We present first results of $Z+4$ jet cross sections at the Tevatron $p\bar
p$ collider with heavy quark flavor identification. The $Z + 4$ jet channel is
of particular interest as a normalizer for the $W +4$ jet background to top
quark signals, as a background to a possible $t\to cZ$ flavor-changing
neutral-current (FCNC) decay signal, and as a background to missing-$p_T$
signals from gluino pairs. We also calculate the different heavy flavor
contributions to $W+4$ jet production. The MADGRAPH program is used to generate
all leading order subprocess helicity amplitudes. We present Monte Carlo
studies with separation and acceptance criteria suitable for the Tevatron
experimental analyses.
","[{""version"":""v1"",""created"":""Wed, 7 Sep 1994 20:56:40 GMT""}]","2007-05-23"
"hep-ph/9409253",,"Ina Sarcevic","Charm Production at RHIC and LHC to $O(\alpha_{s}^3)$","Presented at Annual Meeting of Division of Particles and Fields of
  the APS (DPF'94), Albuquerque, NM, August 2-6, 1994; University of Arizona
  preprint, Latex, 6 pages, 4 figs.(not included, (available upon request),
  AZPH-TH/94-21","Phys. Lett. B338 (1994) 426",,,"hep-ph",,"  We present results on rapidity and transverse momentum distributions of
inclusive charm quark production in hadronic and heavy-ion collisions at RHIC
and LHC energies, including the next-to-leading order, $O(\alpha_s^3)$,
radiative corrections and the nuclear shadowing effect. We determine hadronic
and nuclear K-factor for the differential and total inclusive cross sections
for the charm production. We discuss theoretical uncertainties inherent in our
calculation. In particular, we find that different extrapolations of gluon
density to low-$x$ region introduce large theoretical uncertainty in the
calculation of charm production at LHC energies. Finally, we comment on the
possibility of detecting the quark-gluon plasma signal as an enhanced charm
production in heavy-ion collisions at RHIC.
","[{""version"":""v1"",""created"":""Wed, 7 Sep 1994 22:06:32 GMT""}]","2009-09-25"
"hep-ph/9409254","Jean-Bruno Erismann","J. Soffer","Positivity Constraints for Spin-Dependent Parton Distributions","8 pages,CPT-94/P.3059,LaTex,3 fig available on cpt.univ-mrs.fr
  directory pub/preprints/94/fundamental-interactions/94-P.3059","Phys.Rev.Lett.74:1292-1294,1995","10.1103/PhysRevLett.74.1292",,"hep-ph",,"  We derive new positivity constraints on the spin-dependent structure
functions of the nucleon. These model independent results reduce conside\-rably
their domain of allowed values, in particular for the chiral-odd parton
distribution $h_1 (x)$.
","[{""version"":""v1"",""created"":""Thu, 8 Sep 1994 08:44:47 GMT""},{""version"":""v2"",""created"":""Wed, 19 Oct 1994 08:14:45 GMT""}]","2010-11-01"
"hep-ph/9409255","Johan Bijnens","Johan Bijnens and Joaquim Prades","$B_K$ and Explicit Chiral Symmetry Breaking","15 pages, 4 postscript figures included, NORDITA-94/44 N,P. Mistake
  in the numerics discovered which changed some of the conclusions. One figure
  also changed","Phys.Lett. B342 (1995) 331-338","10.1016/0370-2693(94)01350-L",,"hep-ph",,"  The $B_K$ parameter is discussed in the general context of calculating beyond
the factorization approximation for hadronic matrix elements. A variant of the
$1/N_c$ method of Bardeen et al. is used. We present calculations within a low
energy approach and a calculation within the Nambu--Jona-Lasinio model.
Matching with the QCD behaviour and dependence on non-zero current quark masses
is studied.
","[{""version"":""v1"",""created"":""Thu, 8 Sep 1994 10:16:15 GMT""},{""version"":""v2"",""created"":""Thu, 6 Oct 1994 10:31:26 GMT""}]","2009-10-28"
"hep-ph/9409256","Kiselev","V.V.Kiselev","Lambda-bar from QCD sum rules for heavy quarkonium","Preprint IHEP 94-89, 4 LATEX pages","JETP Lett. 60 (1994) 509-512; Pisma Zh.Eksp.Teor.Fiz. 60 (1994)
  498-500",,,"hep-ph",,"  Using a specific scheme of the QCD sum rules for heavy quarkonium in the
leading approximation over the inverse heavy quark mass, one gets the estimate
of the difference between the masses of the heavy meson and heavy quark $\bar
\Lambda = 0.59\pm 0.02$ GeV.
","[{""version"":""v1"",""created"":""Thu, 8 Sep 1994 14:27:36 GMT""},{""version"":""v2"",""created"":""Fri, 9 Sep 1994 15:09:53 GMT""}]","2008-02-03"
"hep-ph/9409257","Rachel Lumpkin","A.D. Martin, R.G. Roberts, and W.J. Stirling","MRS(1994): parton distributions of the proton","(Invited talk given at ICHEP, Glasgow, July 1994) 3 pages in LATEX
  with 5 figures (ichep style file appended to latex file) Figures included as
  tar compressed uuencoded file",,,,"hep-ph",,"  To obtain improved parton densities of the proton, we present a new global
analysis of deep-inelastic and related hard scattering data including, in
particular, the recent measurements of F2 at HERA, of the asymmetry of the
rapidity distributions of W+- production at the FNAL pbar p collider and of the
asymmetry in Drell-Yan production in pp and pn collisions. We discuss the
evolution of the new partons to low values of Q2.
","[{""version"":""v1"",""created"":""Thu, 8 Sep 1994 11:55:41 GMT""}]","2009-09-25"
