"adap-org/9411001","Christian H. Borgs","C. Borgs (Freie Universitaet Berlin and IAS) and J.T. Chayes (UCLA and
  IAS)","The covariance matrix of the potts model: A random cluster analysis","52 pages, amstex, no figures",,,"UCLA-Math-Phys 9/94","adap-org cond-mat hep-lat nlin.AO",,"  We consider the covariance matrix $G^{mn}(x-y)$ of the d-dimensional q-states
Potts model, rewriting it in terms of the connectivity, the finite-cluster
connectivity and the infinite-cluster covariance in the random cluster repre-
sentation of Fortuin and Kasteleyn. In any of the $q$ ordered phases, we show
that the matrix $G^{mn}(x-y)$ has one tivial eigenvalue 0, one simple eigen-
value $G_{\wir}^{(1)}(x-y)$ and one ($q-2$)-fold degenerate eigenvalue
$G_{\wir}^{(2)}(x-y)$. Furthermore, we identify the eigenvalues both in terms
of representations of the unbroken symmetry group of the model, and in terms of
connectivities and cluster covariances, thereby attributing algebraic signifi-
cance to these stochastic geometric quantities. In addition to establishing the
existence of the correlation lengths $\xi_{\wir}^{(1)}$ and $\xi_{\wir}^{(2)}$
corresponding to $G_{\wir}^{(1)}(x-y)$ and $G_{\wir}^{(2)}(x-y)$, we show that
$\xi_{\wir}^{(1)}(\beta)\geq \xi_{\wir}^{(2)}(\beta)$ for all inverse tempera-
tures $\beta$. For dimension $d=2$ and $q \geq 1$, we establish a duality
relation between $\xi_{\wir}^{(2)}$ and $\xi_{\free}$, the correlation length
of the two-point function with free boundary conditions: We show
$\xi_{\wir}^{(2)}(\beta) = \frac{1}{2} \xi_{\free}(\beta^\ast)$ for all $\beta
\geq \beta_o$, where $\beta^\ast$ is the dual inverse temperature and $\beta_o$
is the self-dual point. In order to prove the above results, we introduce two
new inequalities. The first is similar to the FKG inequality, but holds for
events which are neither increasing nor decreasing, and replaces independence
in the standard percolation model; the second replaces the van den Berg -
Kesten inequality.
","[{""version"":""v1"",""created"":""Mon, 14 Nov 1994 19:39:56 GMT""}]","2008-02-03"
"cond-mat/9411053",,"J.R.L. de Almeida and S.Coutinho","Spin-Glass: An Unfinished Story","Short Review, to be published in Brazilian Journal of Physics (1994).
  Latex, 9 pages, no figures",,,,"cond-mat",,"  In this work a short overview of the development of spin glass theories,
mainly long and short range Ising models, are presented.
","[{""version"":""v1"",""created"":""Mon, 14 Nov 1994 17:22:16 GMT""}]","2007-05-23"
"cond-mat/9411054","Albert Diaz-Guilera","A. Corral, C.J. Perez, A. Diaz-Guilera, A. Arenas","Self-organized criticality and synchronization in a lattice model of
  integrate-and-fire oscillators","4 pages, Revtex 3.0, 3 PostScript figures available upon request to
  albert@ulyses.ffn.ub.es",,"10.1103/PhysRevLett.74.118",,"cond-mat adap-org nlin.AO",,"  We introduce two coupled map lattice models with nonconservative interactions
and a continuous nonlinear driving. Depending on both the degree of
conservation and the convexity of the driving we find different behaviors,
ranging from self-organized criticality, in the sense that the distribution of
events (avalanches) obeys a power law, to a macroscopic synchronization of the
population of oscillators, with avalanches of the size of the system.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 1994 09:10:40 GMT""},{""version"":""v2"",""created"":""Wed, 23 Nov 1994 09:52:46 GMT""}]","2009-10-22"
"cond-mat/9411055","Rainer Hegger","Peter Grassberger and Rainer Hegger","Monte Carlo Simulations of Off-Lattice Polymers","12 pages uuencoded, compressed tar file, containing the LaTeX sources
  and three postscript figures. Submitted to JPCM",,"10.1088/0953-8984/7/16/005","WUB 94-33","cond-mat",,"  We point out that a newly introduced recursive algorithm for lattice polymers
has a much wider range of applicability. In particular, we apply it to the
simulation of off-lattice polymers with Lennard-Jones potentials between
non-bonded monomers and either delta or harmonic potentials between bonded
monomers. Our algorithm allows particularly easy calculations of the free
energy, and seems in general more efficient than other existing algorithms.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 1994 15:11:26 GMT""},{""version"":""v2"",""created"":""Wed, 23 Nov 1994 11:02:48 GMT""}]","2009-10-22"
"gr-qc/9411037","Carlos O. Lousto","Carlos O. Lousto","The Energy Spectrum of the Membrane effective Model for Quantum Black
  Holes","13 pages, RevTEX. Paper rewritten; energy levels and entropy
  recomputed","Physics Letters B352 (1995) 228-234","10.1016/0370-2693(95)00536-T","UAB-FT-351","gr-qc astro-ph hep-th",,"  We study first order fluctuations of a relativistic membrane in the curved
background of a black hole. The zeroth-order solution corresponds to a
spherical membrane tightly covering the event horizon. We obtain a massive
Klein-Gordon equation for the fluctuations of the membrane's radial coordinate
on the 2+1 dimensional world-volume. We finally suggest that quantization of
the fluctuations can be related to black hole's mass quantization and the
corresponding entropy is computed. This entropy is proportional to the membrane
area and is related to the one-loop correction to the thermodynamical entropy
$A_H/4$. With regards to the membrane model for describing effectively a
quantum black hole, we connect these results with previous work on critical
phenomena in black hole thermodynamics.
","[{""version"":""v1"",""created"":""Mon, 14 Nov 1994 19:15:04 GMT""},{""version"":""v2"",""created"":""Tue, 25 Apr 1995 17:55:47 GMT""}]","2009-10-22"
"gr-qc/9411038",,"Roumen Borissov","Regularization of the Hamiltonian constraint and the closure of the
  constraint algebra","23 pages, epsfig.sty","Phys.Rev. D55 (1997) 2059-2068","10.1103/PhysRevD.55.2059","TU-94-11","gr-qc",,"  In the paper we discuss the process of regularization of the Hamiltonian
constraint in the Ashtekar approach to quantizing gravity. We show in detail
the calculation of the action of the regulated Hamiltonian constraint on Wilson
loops. An important issue considered in the paper is the closure of the
constraint algebra. The main result we obtain is that the Poisson bracket
between the regulated Hamiltonian constraint and the Diffeomorphism constraint
is equal to a sum of regulated Hamiltonian constraints with appropriately
redefined regulating functions.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 1994 03:27:41 GMT""}]","2009-10-22"
"gr-qc/9411039","Massar Serge","S. Massar","The Semi-Classical Back Reaction to Black Hole Evaporation","10 pages, LATEX","Phys.Rev.D52:5857-5864,1995","10.1103/PhysRevD.52.5857","ULB-TH 94/19","gr-qc",,"  The semi-classical back reaction to black hole evaporation (wherein the
renormalized energy momentum tensor is taken as source of Einstein's equations)
is analyzed in detail. It is proven that the mass of a Schwarzshild black hole
decreases according to Hawking's law $dM/dt = - C/ M^2$ where $C$ is a constant
of order one and that the particles are emitted with a thermal spectrum at
temperature $1/8\pi M(t)$.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 1994 11:41:34 GMT""}]","2010-11-01"
"gr-qc/9411040","David Langlois","N. Deruelle and D. Langlois","Long wavelength iteration of Einstein's equations near a spacetime
  singularity","35 pages, revtex, no figures","Phys.Rev. D52 (1995) 2007-2019","10.1103/PhysRevD.52.2007",,"gr-qc",,"  We clarify the links between a recently developped long wavelength iteration
scheme of Einstein's equations, the Belinski Khalatnikov Lifchitz (BKL) general
solution near a singularity and the antinewtonian scheme of Tomita's. We
determine the regimes when the long wavelength or antinewtonian scheme is
directly applicable and show how it can otherwise be implemented to yield the
BKL oscillatory approach to a spacetime singularity. When directly applicable
we obtain the generic solution of the scheme at first iteration (third order in
the gradients) for matter a perfect fluid. Specializing to spherical symmetry
for simplicity and to clarify gauge issues, we then show how the metric behaves
near a singularity when gradient effects are taken into account.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 1994 10:50:45 GMT""}]","2009-10-22"
"hep-ph/9411290","Chun Eung Jin","E. J. Chun","Natural $\mu$-term with Peccei-Quinn Symmetry","8 pages, Latex, replaced with minor corrections in text and addition
  of more references","Phys.Lett.B348:111-114,1995","10.1016/0370-2693(95)00102-Q","IC/94/358","hep-ph",,"  The generalized Higgs mass term $NH_1H_2$ of the supersymmetric standard
model is used to implement the Peccei-Quinn Symmetry to solve the strong-CP
problem. Then supersymmetry breaking can generate the Higgs mass parameter
$\mu$ of order $m_{3/2}$ through soft-breaking parameters. This kind of
extension contains extra light fields of the axion supermultiplet whose
dominant coupling may come from the supersymmetric axion-Higgs-Higgs coupling.
We present a working example and discuss the cosmological implications of the
model.
","[{""version"":""v1"",""created"":""Mon, 14 Nov 1994 16:26:17 GMT""},{""version"":""v2"",""created"":""Thu, 17 Nov 1994 11:26:05 GMT""}]","2010-11-01"
"hep-ph/9411291",,"A.Deandrea","The Bess Model at Future Colliders","13 pages, LaTeX (uses epsf), 5 figures (included as uufile)","in Future Physics and Accelerators, World Scientific",,"UGVA-DPT 1994/11-867","hep-ph",,"  The BESS model consists of an effective lagrangian parametrization with
dynamical symmetry breaking, describing scalar, vector and axial-vector bound
states in a rather general framework. After a brief description of the model
and its generalizations, predictions for physics at future accelerators are
given both for LHC and e+e- machines. Contribution to the proceedings of the
First Arctic Workshop on Future Physics and Accelerators, Saariselk\""a,
Finland, August 1994.
","[{""version"":""v1"",""created"":""Mon, 14 Nov 1994 18:16:47 GMT""}]","2007-05-23"
"hep-ph/9411292","Ed Yao","York-Peng Yao","${1\over m_b}$ and ${1\over m_t}$ Expansion of the Weak Mixing Matrix","A set of references has been added to ealier related work","Phys.Rev.D51:5240-5244,1995","10.1103/PhysRevD.51.5240","UM-TH-94-33","hep-ph",,"  We perform a $1/m_b$ and $1/m_t$ expansion of the Cabibbo-Kobayashi- Maskawa
mixing matrix. Data suggest that the dominant parts of the Yukawa couplings are
factorizable into sets of numbers $\vert r>$, $\vert s>$, and $\vert s'>$,
associated, respectively, with the left-handed doublets, the right-handed up
singlets, and the right- handed down singlets. The first order expansion is
consistent with Wolfenstein parameterization, which is an expansion in $sin
\theta _c$ to third order. The mixing matrix elements in the present approach
are partitioned into factors determined by the relative orientations of $\vert
r>$, $\vert s>$, and $\vert s'>$ and the dynamics provided by the subdominant
mass matrices. A short discussion is given of some experimental support and a
generalized Fritzsch model is used to contrast our approach.
","[{""version"":""v1"",""created"":""Mon, 14 Nov 1994 19:26:31 GMT""},{""version"":""v2"",""created"":""Sun, 20 Nov 1994 20:01:47 GMT""}]","2010-11-01"
"hep-ph/9411293","Marcello Lissia","Suzhou Huang and Marcello Lissia","The Relevant Scale Parameter in the High Temperature Phase of QCD","13 pages, RevTeX 3.0, no figures. Full postscript version available
  via anonymous ftp (192.84.132.4) at
  ftp://risc0.ca.infn.it/pub/private/lissia/infnca-th-94-24.ps","Nucl.Phys.B438:54-66,1995","10.1016/0550-3213(95)00007-F","MIT-CTP#2360 and INFNCA-TH-94-24","hep-ph hep-lat nucl-th",,"  We introduce the running coupling constant of QCD in the high temperature
phase, $\tilde{g}^2(T)$, through a renormalization scheme where the dimensional
reduction is optimal at the one-loop level. We then calculate the relevant
scale parameter, $\Lambda_T$, which characterizes the running of
$\tilde{g}^2(T)$ with $T$, using the background field method in the static
sector. It is found that $\Lambda_T/\Lambda_{\overline{\text{MS}}}
=e^{(\gamma_E+1/22)}/(4\pi)\approx 0.148$. We further verify that the coupling
$\tilde{g}^2(T)$ is also optimal for lattice perturbative calculations. Our
result naturally explains why the high temperature limit of QCD sets in at
temperatures as low as a few times the critical temperature. In addition, our
$\Lambda_T$ agrees remarkably well with the scale parameter determined from the
lattice measurement of the spatial string tension of the SU(2) gauge theory at
high $T$.
","[{""version"":""v1"",""created"":""Mon, 14 Nov 1994 19:32:19 GMT""}]","2010-11-01"
"hep-ph/9411294","Lyndon Alvero","Lyndon Alvero (ITP, SUNY at Stony Brook; Physics Dept, PSU) and Harry
  Contopanagos (Argonne National Lab.)","The Dilepton-Production Cross Section in Principal Value Resummation","23 pages, LaTeX. 15 figures. Replaced with final version that will
  appear in Nucl. Phys. B. Changes consist of the inclusion of an additional
  term in the resummed hard part and revised sets of tables and figures","Nucl.Phys. B456 (1995) 497-530","10.1016/0550-3213(95)00102-7","ITP-SB-94-41, ANL-HEP-PR-94-59","hep-ph",,"  Using a recent calculation of the perturbative hard part for dilepton
production that sums large threshold corrections to all orders in perturbative
QCD, we compute the corresponding cross sections. The hard part has been
evaluated using principal value resummation and contains all singular
momentum-dependent corrections. We also include a resummation of large Sudakov
terms, which are independent of parton momenta. We give predictions for the
dilepton-mass distribution, the rapidity distribution and the
rapidity-integrated $K$-factor at fixed-target energies and compare with
various experimental results in several kinematic regimes. We find that
principal value resummation produces cross sections that are finite and
well-behaved. For both protons and anti-protons on fixed targets, the resummed
cross sections are, in general, in excellent agreement with the data.
","[{""version"":""v1"",""created"":""Mon, 14 Nov 1994 23:07:38 GMT""},{""version"":""v2"",""created"":""Wed, 18 Oct 1995 21:03:44 GMT""}]","2009-10-28"
"hep-ph/9411295","Lisa Randall","Erich Poppitz and Lisa Randall","The '3-1' model: the minimal model of calculable dynamical sypersymmetry
  breaking","paper is withdrawn - the model lacks a stable ground state",,,"EFI-94-57, MIT-CTP-2379","hep-ph hep-th",,"  paper is withdrawn - the model lacks a stable ground state
","[{""version"":""v1"",""created"":""Mon, 14 Nov 1994 23:26:09 GMT""},{""version"":""v2"",""created"":""Mon, 15 May 1995 01:21:07 GMT""}]","2008-02-03"
"hep-ph/9411296",,"Mikhail Voloshin","Moments of lepton spectrum in B decays and the $m_b - m_c$ quark mass
  difference","10 pages, LaTeX. (3 references added, corrected numerical data in
  Table 1)","Phys.Rev.D51:4934-4938,1995","10.1103/PhysRevD.51.4934","TPI-MINN-94/38-T, UMN-TH-1320-94","hep-ph",,"  It is argued that the quark mass difference $m_b-m_c$ can be extracted with a
high accuracy from experimental data on ratia of moments of lepton energy
spectrum in semileptonic decays of $B$ mesons. Theoretical expressions for the
moments are presented, which include perturbative as well as non-perturbative
corrections.
","[{""version"":""v1"",""created"":""Mon, 14 Nov 1994 23:41:08 GMT""},{""version"":""v2"",""created"":""Fri, 18 Nov 1994 02:22:02 GMT""}]","2011-01-25"
"hep-ph/9411297","Ken-ichi Hikasa","T. Asaka and Ken-ichi Hikasa","Four-fermion decay of Higgs bosons","12 pages, 4 figures, uses an obsolete version of phyzzx with
  modification (included in the file). Missing preprint no. added","Phys.Lett.B345:36-41,1995","10.1016/0370-2693(94)01599-8","TU-471","hep-ph",,"  We calculate four-fermion decays of a Higgs boson via $WW$ and/or $ZZ$
intermediate states for Higgs masses below $m_W$. We examine models with a
doubly-charged Higgs boson $H^{++}$ and show that the four-fermion decay is the
dominant mode for a wide range of parameter space. Existing searches for
$H^{++}$ in $Z$ decays have not looked for this mode. We also derive
four-fermion decay rate for a neutral Higgs boson.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 1994 06:36:13 GMT""},{""version"":""v2"",""created"":""Fri, 18 Nov 1994 09:17:57 GMT""}]","2009-09-25"
"hep-ph/9411298","Kazuhiro Tobe","J. Hisano, T. Moroi, K. Tobe, and T. Yanagida","Limit on the Color-Triplet Higgs Mass in the Minimum Supersymmetric
  SU(5) Model",,"Mod.Phys.Lett. A10 (1995) 2267-2278","10.1142/S0217732395002428","TU-470","hep-ph",,"  In the minimum supersymmetric SU(5) GUT, we derive the upper limit on the
mass of the color-triplet Higgs multiplets as $\mhc\leq 2.4\times 10^{16}~\GEV$
(90 \% C.L.) taking all possible corrections into account in a renormalization
group analysis. If the above upper limit is compared with a limit on $\mhc$
from the negative search for the proton decay; $\mhc \geq 2.0\times
10^{16}~\GEV$ (in which effects of the larger top-quark mass are included), the
minimum supersymmetric SU(5) GUT is severely constrained.
","[{""version"":""v1"",""created"":""Tue, 15 Nov 1994 07:20:15 GMT""},{""version"":""v2"",""created"":""Thu, 17 Nov 1994 09:42:46 GMT""}]","2009-10-28"
