"acc-phys/9411004",,"C. Travier","High-Brightness Photocathode Electron Sources","PostScript uuencoded file, 18 pages, 5 figures","AIPConf.Proc.335:57-74,1995","10.1063/1.48251","LAL/RT/94-15","acc-phys physics.acc-ph",,"  Most present and future electron accelerators require bright sources.
Invented less than ten years ago, the photo-injector the principle of which is
briefly recalled, has already demonstrated that it can provide very bright
beams. In this paper, the most advanced photo-injector projects are reviewed,
their specific features are outlined, and their major issues are examined. The
state-of-the-art in photocathode and laser technologies is presented. Beam
dynamics issues are also considered since they are essential in the production
of bright beams. Finally, the question of the maturity of photo-injector
technology is addressed.
","[{""version"":""v1"",""created"":""Wed, 23 Nov 1994 13:59:11 GMT""}]","2008-11-26"
"dg-ga/9411007","Johannes Huebschmann","Johannes Huebschmann (Max Planck I. f. Math., Bonn)","The singularities of Yang-Mills connections for bundles on a surface.
  II. The stratification","10 pages","Math. Z. 221 (1996), 83-92",,,"dg-ga math.DG",,"  Let $\Sigma$ be a closed surface, $G$ a compact Lie group, not necessarily
connected, with Lie algebra $g$, endowed with an adjoint action invariant
scalar product, let $\xi \colon P \to \Sigma$ be a principal $G$-bundle, and
pick a Riemannian metric and orientation on $\Sigma$ so that the corresponding
Yang-Mills equations are defined. In an earlier paper we determined the local
structure of the moduli space $N(\xi)$ of central Yang-Mills connections on
$\xi$ near an arbitrary point. Here we show that the decomposition of $N(\xi)$
into connected components of orbit types of central Yang-Mills connections is a
stratification in the strong (i.~e. Whitney) sense; furthermore each stratum,
being a smooth manifold, inherits a finite volume symplectic structure from the
given data. This complements, in a way, results of {\smc Atiyah-Bott} in that
it will in general decompose further the critical sets of the corresponding
Yang-Mills functional into smooth pieces.
","[{""version"":""v1"",""created"":""Tue, 22 Nov 1994 22:37:33 GMT""}]","2008-02-03"
"dg-ga/9411008","Johannes Huebschmann","Johannes Huebschmann (Max Planck I. f. Math., Bonn)","Smooth structures on certain moduli spaces for bundles on a surface","36 pages, AMSTeX 2.1","J. of Pure and Applied Algebra 128 (1998), 183-221",,,"dg-ga math.DG",,"  Let $\Sigma$ be a closed surface, $G$ a compact Lie group, with Lie algebra
$g$, $\xi \colon P \to \Sigma$ a principal $G$-bundle, let $N(\xi)$ denote the
moduli space of central Yang-Mills connections on $\xi$, for suitably chosen
additional data, and let $\roman{Rep}_{\xi}(\Gamma,G)$ be the space of
representations of the universal central extension $\Gamma$ of the fundamental
group of $\Sigma$ in $G$ that corresponds to $\xi$. We construct smooth
structures on $N(\xi)$ and $\roman{Rep}_{\xi}(\Gamma,G)$ and show that the
assignment to a smooth connection $A$ of its holonomies with reference to
suitable closed paths yields a diffeomorphism from $N(\xi)$ onto
$\roman{Rep}_{\xi}(\Gamma,G)$; moreover we show that the derivative of the
latter at the non-singular points of $N(\xi)$ amounts to a certain twisted
integration mapping. Finally we examine the infinitesimal geometry of these
moduli spaces with reference to the smooth structures and, for illustration, we
show that, on the moduli space of flat $\roman{SU}(2)$-connections for a
surface of genus two which, as a space, is just complex projective 3-space, our
smooth structure looks rather different from the standard structure.
","[{""version"":""v1"",""created"":""Wed, 23 Nov 1994 09:51:18 GMT""}]","2008-02-03"
"dg-ga/9411009","Johannes Huebschmann","Johannes Huebschmann (Max Planck I. f. Math., Bonn)","Poisson structures on certain moduli spaces for bundles on a surface","22 pages, AMSTeX 2.1","Ann. Inst. Fourier 45 (1995) 65-91",,,"dg-ga math.DG",,"  Let $\Sigma$ be a closed surface, $G$ a compact Lie group, with Lie algebra
$g$, and $\xi \colon P \to \Sigma$ a principal $G$-bundle. In earlier work we
have shown that the moduli space $N(\xi)$ of central Yang- Mills connections,
for appropriate additional data, is stratified by smooth symplectic manifolds
and that the holonomy yields a diffeomorphism from $N(\xi)$ onto a certain
representation space $\roman{Rep}_{\xi}(\Gamma,G)$, with reference to suitable
smooth structures $C^{\infty}(N(\xi))$ and
$C^{\infty}(\roman{Rep}_{\xi}(\Gamma,G))$ where $\Gamma$ denotes the universal
central extension of the fundamental group of $\Sigma$. Given an invariant
symmetric bilinear form on $g^*$, we construct here Poisson structures on
$C^{\infty}(N(\xi))$ and $C^{\infty}(\roman{Rep}_{\xi}(\Gamma,G))$ in such a
way that the mentioned diffeomorphism identifies them. When the form on $g^*$
is non-degenerate the Poisson structures are compatible with the
stratifications where $\roman{Rep}_{\xi}(\Gamma,G)$ is endowed with the
corresponding stratification and, furthermore, yield structures of a {\it
stratified symplectic space\/}, preserved by the induced action of the mapping
class group of $\Sigma$.
","[{""version"":""v1"",""created"":""Wed, 23 Nov 1994 10:03:51 GMT""}]","2008-02-03"
"dg-ga/9411010",,"F. Burstall, U. Hertrich-Jeromin, F. Pedit and U. Pinkall","Curved Flats and Isothermic Surfaces","9 pages, AmSLaTeX 1.1, no figures","Math. Z. 255 1997 199-209",,,"dg-ga math.DG",,"  We show how pairs of isothermic surfaces are given by curved flats in a
pseudo Riemannian symmetric space and vice versa. Calapso's fourth order
partial differential equation is derived and, using a solution of this
equation, a M\""obius invariant frame for an isothermic surface is built.
","[{""version"":""v1"",""created"":""Wed, 23 Nov 1994 11:56:24 GMT""}]","2008-02-03"
"funct-an/9411007","Juriev Denis","Denis Juriev","Characteristics of pairs of operators, Lie hybrids, Poisson brackets and
  nonlinear geometric algebra","8 pp, AMSTEX, in Russian",,,,"funct-an math.OA",,"  Some algebraic, geometric and geometroalgebraic characteristics of pairs of
operators are discussed.
","[{""version"":""v1"",""created"":""Tue, 22 Nov 1994 17:21:42 GMT""}]","2008-02-03"
"gr-qc/9411059","J. D. E. Grant","James D.E. Grant","Lsdiff M and the Einstein Equations","5 pages, no figures, Latex, uses amsfonts, amssym.def and amssym.tex.
  Note added on more direct connection with Yang-Mills equations","Class.Quant.Grav.13:L1-L6,1996","10.1088/0264-9381/13/1/001",,"gr-qc hep-th",,"  We give a formulation of the vacuum Einstein equations in terms of a set of
volume-preserving vector fields on a four-manifold ${\cal M}$. These vectors
satisfy a set of equations which are a generalisation of the Yang-Mills
equations for a constant connection on flat spacetime.
","[{""version"":""v1"",""created"":""Tue, 22 Nov 1994 22:53:00 GMT""},{""version"":""v2"",""created"":""Tue, 28 Mar 1995 20:05:57 GMT""},{""version"":""v3"",""created"":""Thu, 2 May 1996 16:05:31 GMT""},{""version"":""v4"",""created"":""Fri, 10 May 1996 12:46:38 GMT""}]","2010-04-06"
"hep-lat/9411040","Erich Focht","W. Bietenholz, E. Focht and U.-J. Wiese","Perfect Lattice Actions for the Gross-Neveu Model","6 pages, 2 eps figs, encoded with uufiles (Contribution to Lattice
  94)","Nucl.Phys.Proc.Suppl. 42 (1995) 790-795","10.1016/0920-5632(95)00383-K",,"hep-lat",,"  We apply the method of Hasenfratz and Niedermayer to analytically construct
perfect lattice actions for the Gross--Neveu model. In the large $N$ limit
these actions display an exactly perfect scaling, i.e. cut-off artifacts are
completely eliminated even at arbitrarily short correlation length. Also the
energy spectrum coincides with the spectrum in the continuum and continuous
translation and rotation symmetries are restored in physical observables. This
is the first (analytic) construction of an exactly perfect lattice action at
finite correlation length.
","[{""version"":""v1"",""created"":""Tue, 22 Nov 1994 16:29:08 GMT""}]","2016-08-31"
"hep-lat/9411041","Urs M. Heller","M. Wingate, T. DeGrand, S. Collins and U. Heller","P-wave meson properties with Wilson quarks","Poster presented at Lattice '94, September 27--October 1, 1994,
  Bielefeld, Germany (no changes to manuscript, but correction of Authors list
  above)","Nucl.Phys.Proc.Suppl.42:373-375,1995","10.1016/0920-5632(95)00254-7","FSU-SCRI-94C-116, COLO-HEP-346","hep-lat",,"  We describe two calculations involving P-wave mesons made of Wilson quarks:
the strong coupling constant $\alpha_s$ in the presence of two flavors of light
dynamical fermions and the mass and decay constant of the $a_1$ meson.
","[{""version"":""v1"",""created"":""Tue, 22 Nov 1994 21:47:36 GMT""},{""version"":""v2"",""created"":""Wed, 23 Nov 1994 16:48:12 GMT""}]","2010-01-18"
"hep-lat/9411042","Klaus Pinn","M. Caselle, F. Gliozzi, R. Fiore, M. Hasenbusch, K. Pinn, S. Vinti","Rough Interfaces Beyond the Gaussian Approximation","Contribution to LATTICE 94. 3 pages, PostScript file","Nucl.Phys.Proc.Suppl. 42 (1995) 755","10.1016/0920-5632(95)00372-G",,"hep-lat",,"  We compare predictions of the Capillary Wave Model with Monte Carlo results
for the energy gap and the interface energy of the 3D Ising model in the
scaling region. Our study reveals that the finite size effects of these
quantities are well described by the Capillary Wave Model, expanded to two-loop
order (one order beyond the Gaussian approximation).
","[{""version"":""v1"",""created"":""Wed, 23 Nov 1994 09:00:44 GMT""}]","2009-10-22"
"hep-lat/9411043","Klaus Pinn","M. Hasenbusch, K. Pinn, C. Wieczerkowski","Canonical Demon Monte Carlo Renormalization Group","Contribution to LATTICE 94. 3 pages, PostScript file","Nucl.Phys.Proc.Suppl. 42 (1995) 808","10.1016/0920-5632(95)00388-P",,"hep-lat",,"  We describe a method to compute renormalized coupling constants in a Monte
Carlo renormalization group calculation. It can be used, e.g., for lattice spin
or gauge models. The basic idea is to simulate a joint system of block spins
and canonical demons. Unlike the Microcanonical Renormalization Group of Creutz
et al. it avoids systematical errors in small volumes. We present numerical
results for the O(3) nonlinear sigma-model.
","[{""version"":""v1"",""created"":""Wed, 23 Nov 1994 09:08:09 GMT""}]","2009-10-28"
"hep-lat/9411044",,"L. Del Debbio, A. Di Giacomo and G. Paffuti","Monopole condensation in the ground state of gauge theories: a disorder
  parameter","3 pages, contribution to the Lattice '94 conference, shell archive
  containing uuencoded LATEX file + 2 figures","Nucl.Phys.Proc.Suppl. 42 (1995) 231-233","10.1016/0920-5632(95)00210-Z","IFUP-TH 67/94","hep-lat hep-th",,"  We construct a disorder parameter for dual superconductivity of the ground
state of $U(1)$ gauge theory.
","[{""version"":""v1"",""created"":""Wed, 23 Nov 1994 15:23:16 GMT""}]","2009-10-28"
"hep-ph/9411360","Khalil Shaaban","S.S.Khalil","Supersymmetric Magnetic Moments Sum Rules and Spontaneous Supersymmetry
  Breaking","10 pages, 3 figures ( not included )","J.Phys. G21 (1995) 261-266","10.1088/0954-3899/21/3/003","IC/94/280","hep-ph",,"  In supersymmetry the anomalous magnetic moment of particles belonging to the
same supermultiplet is related by simple sum rules. We study the modification
of these sum rules in the case of spontaneously broken N=1 global
supersymmetry.
","[{""version"":""v1"",""created"":""Tue, 22 Nov 1994 17:25:11 GMT""}]","2009-10-28"
"hep-ph/9411361",,"Stefano Catani (INFN Firenze)","Jet Physics at LEP and SLC","32 pages (+14 figs. available in hard copy upon request to
  catani@fi.infn.it), LateX",,,"DFF 211/10/94","hep-ph",,"  Experimental results on jet physics at LEP and SLC are reviewed and compared
with perturbative QCD predictions. The discussion includes determinations of
the strong coupling $\as$, measurements of event shape distributions and jet
cross sections, studies of subjet multiplicities and tests of QCD coherence.
","[{""version"":""v1"",""created"":""Tue, 22 Nov 1994 16:41:30 GMT""}]","2007-05-23"
"hep-ph/9411362","Claudio Coriano","C. Coriano' and A. R. White","Scale-Invariant Lipatov Kernels from t-Channel Unitarity","11 pages in latex (ANH-HEP-CP-94-79), 14 figures uuencoded. Problems
  with the ps-encoding fixed",,,,"hep-ph",,"  The Lipatov equation can regarded as a reggeon Bethe-Salpeter equation in
which higher-order reggeon interactions give higher-order kernels. Infra-red
singular contributions in a general kernel are produced by t-channel nonsense
states and the allowed kinematic forms are determined by unitarity. Ward
identity and infra-red finiteness gauge invariance constraints then determine
the corresponding scale-invariant part of a general higher-order kernel.
","[{""version"":""v1"",""created"":""Wed, 23 Nov 1994 05:51:38 GMT""},{""version"":""v2"",""created"":""Wed, 23 Nov 1994 17:08:17 GMT""},{""version"":""v3"",""created"":""Fri, 25 Nov 1994 21:30:16 GMT""},{""version"":""v4"",""created"":""Sat, 26 Nov 1994 18:41:02 GMT""}]","2008-02-03"
"hep-ph/9411363","Paolo Gambino","Alberto Sirlin","On the QCD corrections to $\Delta\rho$","14 pages, LaTeX, 2 tables, no figure",,,"NYU--TH--94/11/02","hep-ph",,"  We discuss some recent developments in the evaluation of the QCD corrections
to $\Delta\rho$, their interpretation, an estimate of the theoretical error,
and its effect on electroweak physics.
","[{""version"":""v1"",""created"":""Tue, 22 Nov 1994 23:44:32 GMT""}]","2007-05-23"
"hep-ph/9411364","Lee Chang-Hwan","Chang-Hwan Lee and Mannque Rho","Kaon Condensation in Dense Stellar Matter","16 pages, epsfig.sty, 1 figure(uuencoded)",,,"SNUTP-94-121","hep-ph nucl-th",,"  This talk is based on work done in collaboration with G.E. Brown and D.-P.
Min on kaon condensation in dense baryonic medium treated in chiral
perturbation theory using heavy-baryon formalism. It contains, in addition to
what was recently published, some new results based on the analysis on kaonic
atoms by Friedman, Gal and Batty and a discussion on a renormalization-group
analysis to meson condensation made together with H.K. Lee and Sin. Negatively
charged kaons are predicted to condense at the critical density $2\lsim
\rho/\rho_0\lsim 4$, in the range to allow all the intriguing new phenomena
predicted by Brown and Bethe to take place in compact star matter.
","[{""version"":""v1"",""created"":""Wed, 23 Nov 1994 04:30:48 GMT""}]","2007-05-23"
"hep-ph/9411365","Sean Fleming Northwestern Univ.","Eric Braaten and Sean Fleming","Color-Octet Fragmentation and the psi' Surplus at the Tevatron","9 pages, LaTex","Phys. Rev. Lett. 74, 3327 (1995)","10.1103/PhysRevLett.74.3327","NUHEP-TH-94-26","hep-ph",,"  The production rate of prompt $\psi'$'s at large transverse momentum at the
Tevatron is larger than theoretical expectations by about a factor of 30. As a
solution to this puzzle, we suggest that the dominant $\psi'$ production
mechanism is the fragmentation of a gluon into a $c \bar c$ pair in a pointlike
color-octet S-wave state, which subsequently evolves nonperturbatively into a
$\psi'$ plus light hadrons. The contribution to the fragmentation function from
this process is enhanced by a short-distance factor of $1/\alpha_s^2$ relative
to the conventional color-singlet contribution. This may compensate for the
suppression by $v^4$, where $v$ is the relative momentum of the charm quark in
the $\psi'$. If this is indeed the dominant production mechanism at large
$p_T$, then the prompt $\psi'$'s that are observed at the Tevatron should
almost always be associated with a jet of light hadrons.
","[{""version"":""v1"",""created"":""Wed, 23 Nov 1994 00:20:59 GMT""}]","2016-08-24"
"hep-ph/9411366",,"Marion Flanz, Emmanuel A. Paschos and Utpal Sarkar","Baryogenesis from a Lepton Asymmetric Universe","12 pages (Latex file with one attached postscript figure)","Phys.Lett.B345:248-252,1995; ERRATUM-ibid.B382:447,1996","10.1016/0370-2693(94)01555-Q","DO-TH 94/15","hep-ph",,"  We demonstrate that $CP-$violation in the Majorana mass matrices of the heavy
neutrinos can generate a $CP-$asymmetric universe. The subsequent decay of the
Majorana particles generates a lepton number asymmetry. During the electroweak
phase transition the lepton asymmetry is converted into a baryon asymmetry,
which survives down to this time.
","[{""version"":""v1"",""created"":""Wed, 23 Nov 1994 09:03:05 GMT""}]","2010-11-01"
"hep-ph/9411367",,"D. Atwood, G. Eilam, A. Soni","Pure Leptonic Radiative Decays $B^\pm, D_s\to\ell\nu\gamma$ and the
  Annihilation Graph","7 pages, LaTeX, 3 figures","Mod.Phys.Lett. A11 (1996) 1061-1968","10.1142/S0217732396001090","SLAC-PUB-6716","hep-ph",,"  Pure leptonic radiative decays of heavy-light mesons are calculated using a
very simple non-relativistic model. Dominant contribution originates from
photon emission from light initial quark. We find
$BR(B^\pm\to\ell\nu\gamma)\sim3.5\times10^{-6}$ and $BR(D_s\to
\ell\nu\gamma)\sim1.7 \times10^{-4}$. The importance of these reactions to
clarify the dynamics of the annihilation graph is emphasized.
","[{""version"":""v1"",""created"":""Wed, 23 Nov 1994 08:06:08 GMT""}]","2015-06-25"
"hep-ph/9411368","Peter Landshoff","A Donnachie and P V Landshoff","Exclusive vector meson production at HERA","12 pages, uuencoded postscript, including 5 figures","Phys.Lett. B348 (1995) 213-218","10.1016/0370-2693(95)00115-2","M/C-TH 94/26 DAMTP 94/99","hep-ph",,"  Exclusive vector meson production from real and virtual photons is, for the
most part, described well by soft pomeron exchange. However, there are some
unsolved normalisation problems, and just a hint that an additional
contribution from hard pomeron exchange may be needed.
","[{""version"":""v1"",""created"":""Wed, 23 Nov 1994 09:29:40 GMT""}]","2009-10-28"
