"astro-ph/9411107","Robert Crittenden","R.G. Crittenden, D. Coulson and N.G. Turok","Temperature-Polarization Correlations from Tensor Fluctuations","5 pages, revtex, 5 figures, compressed and uuencoded","Phys.Rev.D52:5402-5406,1995","10.1103/PhysRevD.52.5402","PUPT 94-1514","astro-ph hep-ph",,"  We study the polarization-temperature correlations on the cosmic microwave
sky resulting from an initial scale invariant spectrum of tensor (gravity wave)
fluctuations, such as those which might arise during inflation. The correlation
function has the opposite sign to that for scalar fluctuations on large scales,
raising the possibility of a direct determination of whether the microwave
anisotropies have a significant tensor component. We briefly discuss the
important problem of estimating the expected foreground contamination.
","[{""version"":""v1"",""created"":""Mon, 28 Nov 1994 17:56:39 GMT""}]","2010-12-13"
"cond-mat/9411122","Hans Kroha","Johann Kroha, Andrea Huck, and Thilo Kopp","Quantum Interference of Coulomb Interaction and Disorder: Phase Shift of
  Friedel Oscillations and an Instability of the Fermi Sea","11 pages, 4 PostScript figures appended as a self-extracting tar
  archive; includes output instructions","Phys. Rev. Lett. 75, 4278 (1995)","10.1103/PhysRevLett.75.4278",,"cond-mat",,"  We investigate the influence of interference between Coulomb interaction and
impurity scattering on the static electronic response $\chi (0,q)$ in
disordered metals to leading order in the effective Coulomb interaction. When
the transport relaxation time $\tau _{tr}$ is much shorter than the
quasiparticle life time, we find a $\mbox{sgn}(2p_F-q)/\sqrt{|2p_F-q|}$
divergence of the polarization function at the Fermi surface ($q=2p_F$). It
causes a phase shift of the Friedel oscillations as well as an enhancement of
their amplitude. Our results are consistent with experiments and may be
relevant for understanding the stability of the amorphous state of certain
alloys against crystallization.
","[{""version"":""v1"",""created"":""Mon, 28 Nov 1994 20:57:32 GMT""}]","2009-10-22"
"cond-mat/9411123",,"J.D. Brock, A.C. Finnefrock, K.L. Ringland, E. Sweetland (Cornell
  University)","Detailed Structure of a CDW in a Quenched Random Field","revtex 3.0, 3 postscript uuencoded figures",,"10.1103/PhysRevLett.73.3588",,"cond-mat",,"  Using high resolution x-ray scattering, we have measured the structure of the
Q_1 CDW in Ta-doped NbSe_3. Detailed line shape analysis of the data
demonstrates that two length scales are required to describe the phase-phase
correlation function. Phase fluctuations with wavelengths less than a new
length scale $a$ are suppressed and this $a$ is identified with the amplitude
coherence length. We find that xi_a* = 34.4 \pm 10.3 angstroms. Implications
for the physical mechanisms responsible for pinning are discussed.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 1994 00:57:25 GMT""}]","2009-10-22"
"cond-mat/9411124","Gu Yan","Gu Yan","Non-Fermi Liquid Behavior in 3+1 Dimensions with PT Invariant Gauge
  Field: An Renormalization Group Approach","8 pages,Plain Tex, 1 figure available upon request",,,,"cond-mat",,"  We introduce a Hamiltonian coupled between a normal Fermi surface and a
polarized Maxwell type gauge field.We adopt a {\it calibrated scaling }
approach in order to be consistent with the results obtained at $2+1$
dimensions as well as the Weinberg's theo rem. Renormalization group equations
are calculated by using a dimension regulator. It turns out that the gauge
interaction is controlled by a non-trivial fixed point. The two-point Green's
function can thus be calculated accurately in the low temperature limit and
possesses a non-quasi particle pole which signals the break down of the Landau
Fermi liquid theory. In addition,we show that the anomalous dimension of
fermion field is in general gauge dependent. But it will survive under generic
gauge choice due to the renormalization of the gauge fixing parameter.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 1994 01:21:16 GMT""}]","2007-05-23"
"cond-mat/9411125",,"Krzysztof Byczuk and Jozef Spalek","Universality Classes, Statistical Exclusion Principle and Properties of
  Interacting Fermions","11 pages, RevTex, 3 figures available upon request","Phys. Rev. B 51, 7934 (1995)","10.1103/PhysRevB.51.7934",,"cond-mat supr-con",,"  We point to the possibility of existence of the statistical-spin-liquid state
as the state which differs from either Fermi or Luttinger liquid states. In the
statistical spin liquid the double occupancies are excluded from the physical
space. Each of the above three cases (Fermi, Luttinger and spin liquids)
represents an universality class for the interacting many-particle fermion
systems. The properties of the spin liquid such as the chemical potential, the
entropy, and the magnetization curve, as well as the quasiparticle structure
are briefly discussed.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 1994 14:02:56 GMT""}]","2009-10-22"
"cond-mat/9411126","Harald Kinzelbach","Harald Kinzelbach and Michael Lassig","Fermions in a random medium","12 pages, latex, no figures",,,,"cond-mat",,"  We study the continuum field theory for an ensemble of directed polymers r_i
(t) in 1+d' dimensions that live in a medium with quenched point disorder and
interact via short-ranged pair forces g \Psi (r_i - r_j). In the
strong-disorder (or low-temperature) regime, such forces are found to be
relevant in any dimension d' below the upper critical dimension for a single
line. Attractive forces generate a bound state with localization length
\xi_\perp \sim |g|^{-\nu_\perp}; repulsive forces lead to mutual avoidance with
a pair distribution function P(r_i - r_j) \sim |r_i - r_j|^\theta reminiscent
of interacting fermions. In the experimentally important dimension d' = 2, we
obtain \nu_\perp \approx 0.8 and \theta \approx 2.4 .
","[{""version"":""v1"",""created"":""Tue, 29 Nov 1994 15:23:32 GMT""}]","2007-05-23"
"gr-qc/9411067","Donald Marolf","Donald Marolf","Diffeomorphism Invariant Actions for Partial Systems","5 pages (10 preprint pages) ReVTeX","Phys.Lett. B349 (1995) 89-93","10.1016/0370-2693(95)00195-Q","UCSBTH-94-45","gr-qc hep-th",,"  Local action principles on a manifold $\M$ are invariant (if at all) only
under diffeomorphisms that preserve the boundary of $\M$. Suppose, however,
that we wish to study only part of a system described by such a principle;
namely, the part that lies in a bounded region $R$ of spacetime where $R$ is
specified in some diffeomorphism invariant manner. In this case, a description
of the physics within $R$ should be invariant under {\it all} diffeomorphisms
regardless of whether they preserve the boundary of this region. The following
letter shows that physics in such a region can be described by an action
principle that $i$) is invariant under both diffeomorphisms which preserve the
boundary of $R$ and those that do not, $ii$) leaves the dynamics of the part of
the system {\it outside} the region $R$ completely undetermined, and $iii$) can
be constructed without first solving the original equations of motion.
","[{""version"":""v1"",""created"":""Mon, 28 Nov 1994 18:00:44 GMT""}]","2009-10-22"
"gr-qc/9411068","Ysfujii","Yasunori Fujii","Induced Violation of Weak Equivalence Principle in the Brans-Dicke
  Theory","7 pages, LaTex","Mod.Phys.Lett. A9 (1994) 3685-3690","10.1142/S021773239400352X",,"gr-qc",,"  A quantum correction to the Brans-Dicke theory due to interactions among
matter fields is calculated, resulting in violation of WEP, hence giving a
constraint on the parameter $\omega$ far more stringent than accepted so far.
The tentative estimate gives the lower bounds $\gsim 10^{6}$ and $\gsim 10^{8}$
for the assumed force-range $\gsim 1$m and $\gsim 1$AU, respectively.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 1994 04:16:13 GMT""}]","2015-06-25"
"gr-qc/9411069","Thibault Damour","T. Damour, A.M. Polyakov","String theory and gravity","5 pages, PLAIN TEX","Gen.Rel.Grav. 26 (1994) 1171-1176","10.1007/BF02106709","IHES/P/94/1","gr-qc hep-th",,"  It is pointed out that string-loop effects may generate matter couplings for
the dilaton allowing this scalar partner of the tensorial graviton to stay
massless while contributing to macroscopic gravity in a way naturally
compatible with existing experimental data. Under a certain assumption of
universality of the dilaton coupling functions (possibly realized through a
discrete symmetry such as S-duality), the cosmological evolution drives the
dilaton towards values where it decouples from matter. At the present
cosmological epoch, the coupling to matter of the dilaton should be very small,
but non zero. This provides a new motivation for improving the experimental
tests of Einstein's Equivalence Principle.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 1994 11:55:58 GMT""}]","2009-10-22"
"hep-ex/9411002","Ryoji Enomoto","R. Enomoto, et al. (TOPAZ collaboration)","A Measurement of the $D^{*\pm}$ Cross Section in Two-Photon Processes","8 pages, Latex format (article), figures corrected, published in
  Phys. Rev. D 50 (1994) 1879","Phys.Rev.D50:1879-1883,1994","10.1103/PhysRevD.50.1879","KEK-preprint 93-107, Aug. 1993","hep-ex",,"  We have measured the inclusive $D^{*\pm}$ production cross section in a
two-photon collision at the TRISTAN $e^+e^-$ collider. The mean $\sqrt{s}$ of
the collider was 57.16 GeV and the integrated luminosity was 150 $pb^{-1}$. The
differential cross section ($d\sigma(D^{*\pm})/dP_T$) was obtained in the $P_T$
range between 1.6 and 6.6 GeV and compared with theoretical predictions, such
as those involving direct and resolved photon processes.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 1994 06:14:39 GMT""},{""version"":""v2"",""created"":""Wed, 30 Nov 1994 06:51:09 GMT""},{""version"":""v3"",""created"":""Thu, 1 Dec 1994 01:14:27 GMT""}]","2010-11-01"
"hep-lat/9411061","Arjan van der Sijs","J.L. Alonso, Ph. Boucaud, F. Lesmes and A.J. van der Sijs","Roma versus Zaragoza","Contribution to Lattice '94 by A.J. van der Sijs, 3 pages PostScript
  in uufiles format","Nucl.Phys.Proc.Suppl.42:595-597,1995","10.1016/0920-5632(95)00321-Y","Zaragoza DFTUZ/94/22, Orsay LPTHE 94-103","hep-lat",,"  The Roma and Zaragoza actions for chiral fermions on the lattice are shown to
be essentially equivalent. The auxiliary fermion fields in the Roma model can
be integrated out, and the resulting action is a special case of the Zaragoza
approach. We use this result to perform a mean-field study of the phase diagram
of chiral Yukawa models in the Roma formulation.
","[{""version"":""v1"",""created"":""Mon, 28 Nov 1994 17:30:35 GMT""}]","2010-03-19"
"hep-lat/9411062","Alan Sokal","Sergio Caracciolo, Robert G. Edwards, Sabino J. Ferreira, Andrea
  Pelissetto and Alan D. Sokal","New Method for the Extrapolation of Finite-Size Data to Infinite Volume","3 pages, 76358 bytes Postscript, contribution to Lattice '94; see
  also hep-lat/9409004, hep-lat/9405015 and hep-lat/9411009","Nucl.Phys.Proc.Suppl. 42 (1995) 749-751","10.1016/0920-5632(95)00370-O","NYU-TH-94/11/04","hep-lat",,"  We present a simple and powerful method for extrapolating finite-volume Monte
Carlo data to infinite volume, based on finite-size-scaling theory. We discuss
carefully its systematic and statistical errors, and we illustrate it using
three examples: the two-dimensional three-state Potts antiferromagnet on the
square lattice, and the two-dimensional $O(3)$ and $O(\infty)$ $\sigma$-models.
In favorable cases it is possible to obtain reliable extrapolations (errors of
a few percent) even when the correlation length is 1000 times larger than the
lattice.
","[{""version"":""v1"",""created"":""Mon, 28 Nov 1994 16:43:37 GMT""}]","2009-10-28"
"hep-lat/9411063","Stefan Sint","Stefan Sint","The Schr\""odinger functional in QCD","3 pages in postscript (no figures), talk presented at Lattice '94 in
  Bielefeld 9/27--10/1/94","Nucl.Phys.Proc.Suppl. 42 (1995) 835-837","10.1016/0920-5632(95)00396-Q",,"hep-lat",,"  The Schr\""odinger functional in Wilson's lattice QCD leads to a sensible
classical continuum theory which can be taken as starting point for a
perturbative analysis. In dimensional regularization, the saddle point
expansion of the Schr\""odinger functional is performed to one-loop order of
perturbation theory. The divergences are partly cancelled by the usual coupling
constant and quark mass renormalization. An additional divergence can be
absorbed in a multiplicative renormalization of the quark boundary fields. The
corresponding boundary counterterm being a local polynomial in the fields we
confirm the general expectation expressed by Symanzik~\cite{Symanzik}.
","[{""version"":""v1"",""created"":""Mon, 28 Nov 1994 16:45:10 GMT""}]","2009-10-28"
"hep-lat/9411064","Alan Sokal","Sergio Caracciolo, Robert G. Edwards, Andrea Pelissetto and Alan D.
  Sokal","Two-Dimensional $O(3)$ $\sigma$-Model up to Correlation Length $10^5$","3 pages including 3 figures, 170894 bytes Postscript, contribution to
  Lattice '94; see also hep-lat/9409004 and hep-lat/9411009","Nucl.Phys.Proc.Suppl. 42 (1995) 752-754","10.1016/0920-5632(95)00371-F","NYU-TH-94/11/05","hep-lat",,"  We carry out a high-precision Monte Carlo simulation of the two-dimensional
$O(3)$-invariant $\sigma$-model at correlation lengths $\xi$ up to $\sim 10^5$.
Our work employs a new and powerful method for extrapolating finite-volume
Monte Carlo data to infinite volume, based on finite-size-scaling theory. We
compare the extrapolated data to the renormalization-group predictions. The
deviation from asymptotic scaling, which is $\approx 25\%$ at $\xi \sim 10^2$,
decreases to $\approx 4\%$ at $\xi \sim 10^5$.
","[{""version"":""v1"",""created"":""Mon, 28 Nov 1994 16:44:20 GMT""}]","2009-10-28"
"hep-lat/9411065","Beat Jegerlehner","B. Jegerlehner","Study of a new simulation algorithm for dynamical quarks on the APE-100
  parallel computer","3 pages, compressed ps-file (uufiles), Contribution to Lattice 94","Nucl.Phys.Proc.Suppl. 42 (1995) 879-881","10.1016/0920-5632(95)00409-3",,"hep-lat",,"  First results on the autocorrelation behaviour of a recently proposed fermion
algorithm by M. L\""uscher are presented and discussed. The occurence of
unexpected large autocorrelation times is explained. Possible improvements are
discussed.
","[{""version"":""v1"",""created"":""Mon, 28 Nov 1994 17:21:13 GMT""}]","2009-10-28"
"hep-lat/9411066",,"A. Ali Khan, S. Collins, C. T. H. Davies, U. M. Heller, J. Shigemitsu,
  J. H. Sloan","B Physics From NRQCD With Dynamical Fermions","3 pages, contribution to the Lattice '94 conference, selfunwrapping
  postscript file","Nucl.Phys.Proc.Suppl.42:394-396,1995","10.1016/0920-5632(95)00260-G",,"hep-lat",,"  We present {\it preliminary} results for the spectrum and decay constants of
B mesons using NRQCD heavy and Wilson light quarks on configurations at
$\beta=5.6$ with two dynamical flavours of staggered fermions. All terms to
order $1/M_Q$ are included in the NRQCD action; matrix elements are corrected
to this order by calculating the small components of the heavy quark
propagator.
","[{""version"":""v1"",""created"":""Mon, 28 Nov 1994 19:27:13 GMT""}]","2010-11-01"
"hep-lat/9411067","Keh-Fei Liu","Keh-Fei Liu and Shao-Jing Dong","Quark Model from Lattice QCD","Talk presented at Int. Conf. High Energy Phys., Glasgow, July, 1994;
  5 pages Latex, 4 figs. in uuencoded ps-file",,,"UK/94-03","hep-lat hep-ph",,"  We study the valence approximation in lattice QCD of hadrons where the cloud
quarks and antiquarks are deleted by truncating the backward time propagation
(Z graphs) in the connected insertions. Whereas, the sea quarks are eliminated
via the quenched approximation and in the disconnected insertions. It is shown
that the ratios of isovector to isoscalar matrix elements in the nucleon
reproduce the SU(6) quark model predictions in a lattice QCD calculation. We
also discuss how the hadron masses are affected.
","[{""version"":""v1"",""created"":""Mon, 28 Nov 1994 21:34:34 GMT""}]","2009-09-25"
"hep-lat/9411068","Ruedi","M. Blatter, R. Burkhalter, P. Hasenfratz and F. Niedermayer","Perfect topological charge for asymptotically free theories","Contribution to Lattice'94, 3 pages PostScript, uuencoded compressed","Nucl.Phys.Proc.Suppl. 42 (1995) 799-801","10.1016/0920-5632(95)00385-M",,"hep-lat",,"  The classical equations of motion of the perfect lattice action in
asymptotically free $d=2$ spin and $d=4$ gauge models possess scale invariant
instanton solutions. This property allows the definition of a topological
charge on the lattice which is perfect in the sense that no topological defects
exist. The basic construction is illustrated in the $d=2$ O(3) non--linear
$\sigma$--model and the topological susceptibility is measured to high
precision in the range of correlation lengths $\xi \in (2 - 60)$. Our results
strongly suggest that the topological susceptibility is not a physical quantity
in this model.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 1994 08:13:59 GMT""}]","2009-10-28"
"hep-lat/9411069","Sergei Zenkin","Sergei V. Zenkin","Which Higgs-Yukawa systems can possess non-trivial fixed points","3 pages, 2 figures (not appended), LaTeX, espcrc2.sty, contribution
  to ""Lattice '94""","Nucl.Phys.Proc.Suppl. 42 (1995) 645-647","10.1016/0920-5632(95)00338-A","report of INR","hep-lat",,"  We argue that non-trivial fixed points bordering on the paramagnetic and
ferromagnetic phases are most likely to exist in the Higgs-Yukawa systems that
have a connected domain with the paramagnetic phase and no ferrimagnetic phase.
We find three examples of such systems; among them is the U(1) system with
naive fermions.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 1994 13:43:00 GMT""}]","2009-10-28"
"hep-lat/9411070","Bas de Bakker","Bas V. de Bakker","Absence of barriers in dynamical triangulation","8 pages, LaTeX2e source with postscript result","Phys.Lett. B348 (1995) 35-38","10.1016/0370-2693(95)00122-2","ITFA-94-35","hep-lat gr-qc",,"  Due to the unrecognizability of certain manifolds there must exist pairs of
triangulations of these manifolds that can only be reached from each other by
going through an intermediate state that is very large. This might reduce the
reliability of dynamical triangulation, because there will be states that will
not be reached in practice. We investigate this problem numerically for the
manifold $S^5$, which is known to be unrecognizable, but see no sign of these
unreachable states.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 1994 13:12:19 GMT""}]","2009-10-28"
"hep-lat/9411071","Wolfgang Franzki","Wolfgang Franzki and Xiang-Qian Luo","Spectrum and scaling in a strongly coupled fermion-gauge-scalar model","3 pages, 2 eps figs, encoded with uufiles (Contribution to Lattice
  94)","Nucl.Phys.Proc.Suppl. 42 (1995) 609-612","10.1016/0920-5632(95)00326-5","HLRZ 56/94","hep-lat",,"  The strongly coupled lattice gauge models show an interesting mechanism of
dynamical mass generation. If a suitable continuum limit can be found, one may
think of it as an alternative to the Higgs mechanism. We present data on the
spectrum, obtained in the model with U(1) gauge symmetry with dynamical
fermions. They indicate that the fermion mass scales in the vicinity of the
whole chiral phase transition line. In contrast to this, the composite scalar
boson mass seems to get small only in the region near the endpoint E of the
Higgs phase transition. Thus this point is the most interesting candidate for
approaching the continuum limit. The masses of fermion--antifermion bound
states are also discussed.
","[{""version"":""v1"",""created"":""Tue, 29 Nov 1994 14:54:54 GMT""}]","2016-08-31"
