"chao-dyn/9412003","Pierre Collet","P. Collet (Centre de Physique Th'eorique Laboratoire CNRS, Ecole
  Polytechnique, Palaiseau, France.), J. Xin (Department of Mathematics
  University of Arizona Tucson, AZ)","Global Existence and Large Time Asymptotic Bounds of $L^{infty}$
  Solutions of Thermal Diffusive Combustion Systems on $R^{n}$","15 pages, dvi uuencoded",,,"Mittag-Leffler 1994/1995 No 9","chao-dyn nlin.CD",,"  We consider the initial value problem for the thermal-diffusive combustion
systems of the form:
  $u_{1,t}= Delta_{x}u_1 - u_1 u_2^m$, $u_{2,t}= d Delta_{x} u_2 + u_1 u_2^m$,
  $x in R^{n}$, $n geq 1$, $m geq 1$, $d > 1$,
  with bounded uniformly continuous nonnegative initial data. For such initial
data, solutions can be simple traveling fronts or complicated domain walls. Due
to the well-known thermal-diffusive instabilities when $d$, the Lewis number,
is sufficiently away from one, front solutions are potentially chaotic. It is
known in the literature that solutions are uniformly bounded in time in case $d
leq 1$ by a simple comparison argument. In case $d >1$, no comparison principle
seems to apply. Nevertheless, we prove the existence of global classical
solutions and show that the $L^{infty}$ norm of $u_2$ can not grow faster than
$O(log log t)$ for any space dimension. Our main tools are local $L^{p}$
a-priori estimates and time dependent spatially decaying test functions. Our
results also hold for the Arrhenius type reactions.
","[{""version"":""v1"",""created"":""Mon, 5 Dec 1994 10:59:26 GMT""}]","2016-08-31"
"hep-lat/9412023",,"J.-F. Lagae and K.-F. Liu","Finite ma corrections for sea quark matrix elements","3 pages, contribution to LATTICE'94, uuencoded compressed tar file
  (square root removed in equation (1))","Nucl.Phys.Proc.Suppl. 42 (1995) 355-357","10.1016/0920-5632(95)00248-8","UK/94-05","hep-lat",,"  We discuss the finite $ma$ corrections associated with the computation of sea
quark matrix elements. We find them to differ from the standard normalization
used for valence quarks and to depend strongly on the Lorentz structure of the
current under consideration. Phenomenological implications of these results are
briefly discussed in two examples. We also mention how the magnitude of the
correction factors can be reduced by using a 2-link improved action.
","[{""version"":""v1"",""created"":""Mon, 5 Dec 1994 04:51:12 GMT""},{""version"":""v2"",""created"":""Tue, 6 Dec 1994 03:42:50 GMT""}]","2009-10-28"
"hep-lat/9412024",,"J.B. Kogut and J.-F. Lagae","Quenched QED on a momentum space lattice","3 pages, contribution to LATTICE'94, uuencoded compressed tar file","Nucl.Phys.Proc.Suppl. 42 (1995) 681-683","10.1016/0920-5632(95)00349-E","ILL-(TH)-94-25","hep-lat",,"  We discuss the advantages of using the momentum space lattice method for
studying the phase diagram of quenched QED_4. Preliminary results of a
numerical simulation are presented. They indicate that the method avoids the
contamination by 4-fermi interactions which plagues the conventional position
space non-compact formulation.
","[{""version"":""v1"",""created"":""Mon, 5 Dec 1994 04:52:51 GMT""}]","2009-10-28"
"hep-lat/9412025","Yoshinobu Kuramashi","M. Fukugita, Y. Kuramashi, M. Okawa and A. Ukawa","Scalar and axial vector matrix elements of proton in quenched QCD:
  Calculation of both connected and disconnected contributions","3 pages. Latex source file with two figures as epsf-file. Style file
  is appended at the end. Contribution to Lattice 94",,"10.1016/0920-5632(95)00243-3",,"hep-lat",,"  $\pi$-$N$ $\sigma$ term and proton axial vector matrix elements are
calculated including disconnected contributions with a variant wall source
method using the Wilson quark action at $\beta=5.7$ in quenched QCD. For the
$\sigma$ term, we find $\sigma_{disc}/\sigma_{conn}=2.35(46)$ and
$\sigma=44(6)$MeV--60(9)MeV. The fraction of proton spin carried by quarks is
$\Delta\Sigma=\Delta{u}+\Delta{d}+\Delta{s}=+0.638(54)-0.347(46)-0.109(30)=
+0.18(10)$.
","[{""version"":""v1"",""created"":""Mon, 5 Dec 1994 04:45:39 GMT""}]","2009-10-28"
"hep-lat/9412026","Shinji Ejiri","Shinji Ejiri, Shun-ichi Kitahara, Yoshimi Matsubara and Tsuneo Suzuki","String tension and monopoles in $T \neq 0$ SU(2) QCD","3pages (6 figures), Latex, Contribution to Lattice 94","Nucl.Phys.Proc.Suppl. 42 (1995) 481-483","10.1016/0920-5632(95)00286-I","KANAZAWA 94-28","hep-lat",,"  Monopole and photon contributions to abelian Wilson loops are calculated
using Monte-Carlo simulations of finite-temperature $SU(2)$ QCD in the
maximally abelian gauge. The string tension is reproduced by monopole
contribution alone also in finite temperature SU(2) QCD. The spatial string
tension scales as $\sqrt{\sigma} \propto g^{2}(T)T$ and is reproduced almost by
monopole contribution alone. Each configuration has one long monopole loop, and
the long monopole loops alone are responsible for the string tension in the
confinement phase. On the other hand, the spatial string tension in the
deconfinement phase is reproduced by wrapped monopole loops alone.
","[{""version"":""v1"",""created"":""Mon, 5 Dec 1994 07:20:26 GMT""}]","2009-10-28"
"hep-lat/9412027","Bornyakov","G.S. Bali, V. Bornyakov, M. M\""uller-Preussker and F. Pahl","New algorithm for gauge fixing in SU(2) lattice gauge theory","Talk given at the LATTICE '94 International Symposium on Lattice
  Field Theory, Bielefeld, Germany, September 27 -- October 1, 1994. 4 pages,
  uuencoded","Nucl.Phys.Proc.Suppl. 42 (1995) 852-854","10.1016/0920-5632(95)00401-T","HUB--IEP--94/29, WUB 94-35","hep-lat",,"  An overrelaxed variant of simulated annealing is applied to the problem of
maximally abelian gauge fixing. The superiority of this algorithm over the
commonly used relaxation procedure is demonstrated. Biases on non gauge
invariant quantities due to gauge fixing ambiguities are discussed.
","[{""version"":""v1"",""created"":""Mon, 5 Dec 1994 10:47:45 GMT""}]","2009-10-28"
"hep-lat/9412028","J. Westphalen","M. Gockeler, H.A. Kastrup, J. Viola and J. Westphalen","Fermion-Fermion Scattering in the Gross-Neveu Model - a Status Report","4 pages, uuencoded compressed Postscript, contribution to Lattice 94,
  also available at ftp://thphys.physik.rwth-aachen.de/pub/scat/Lat94proc.ps.Z
  and http://thphys.physik.rwth-aachen.de/thphys/papers","Nucl.Phys.Proc.Suppl. 42 (1995) 782-784","10.1016/0920-5632(95)00381-I","HLRZ-94-47","hep-lat",,"  Encouraged by the successful applications of L\""uscher's method to
boson--boson scattering we discuss the possibility of extracting scattering
phase shifts from finite--volume energies for fermion--fermion scattering in
the Gross--Neveu model.
","[{""version"":""v1"",""created"":""Mon, 5 Dec 1994 11:36:24 GMT""}]","2009-10-28"
"hep-lat/9412029",,"A.M.Green, J. Lukkarinen, P. Pennanen, C.Michael and S.Furui","Four-quark energies in SU(2) lattice Monte Carlo using a tetrahedral
  geometry","3 pages, latex, no figures, contribution to Lattice 94","Nucl.Phys.Proc.Suppl.42:249-251,1995","10.1016/0920-5632(95)00216-V","HU-TFT-94-49","hep-lat",,"  This contribution -- a continuation of earlier work -- reports on recent
developments in the calculation and understanding of 4-quark energies generated
using lattice Monte Carlo techniques.
","[{""version"":""v1"",""created"":""Mon, 5 Dec 1994 11:51:27 GMT""}]","2008-11-26"
"hep-lat/9412030","Arjan Hulsebos","Arjan Hulsebos and Peer Ueberholz","Topological Updating Schemes: A Case Study In 3-d U(1)","3 pages as PostScript file. To appear in the proceedings of
  Lattice'94, held in Bielefeld, Germany","Nucl.Phys.Proc.Suppl. 42 (1995) 873-875","10.1016/0920-5632(95)00407-Z",,"hep-lat",,"  We study a topological updating scheme in three dimensional U(1) gauge
theory. Some expectations for four dimensional SU(N) gauge theories are
discussed.
","[{""version"":""v1"",""created"":""Mon, 5 Dec 1994 12:02:47 GMT""}]","2009-10-28"
"hep-lat/9412031","Arjan Hulsebos","Arjan Hulsebos","Anisotropic Gauge Theories: A Numerical Study of the Fu-Nielsen Model","To appear in the proceedings of Lattice'94, held in Bielefeld,
  Germany","Nucl.Phys.Proc.Suppl. 42 (1995) 618-620","10.1016/0920-5632(95)00329-8",,"hep-lat",,"  We study numerically 4+1 dimensional pure gauge theory.
","[{""version"":""v1"",""created"":""Mon, 5 Dec 1994 11:59:35 GMT""}]","2016-08-31"
"hep-ph/9412226","Alexander Khodjamirian","Alexander Khodjamirian and Reinhold R\""uckl","Heavy-to-Light Form Factors from QCD Sum Rules on the Light-Cone","presented by A. Khodjamirian at the Workshop ""Theory of Hadrons and
  Light-Front QCD"", Zakopane, Poland, August 1994, 7 pages, latex, 4 figures in
  uuencoded .ps file",,,"MPI-PhT/94-79, LMU 19/94","hep-ph",,"  We discuss the calculation of the $B \rightarrow \pi$ and $D \rightarrow \pi$
form factors based on an expansion in terms of pion wave functions on the
light-cone with increasing twist and QCD sum rule methods. The results are
compared with predictions of conventional QCD sum rules and other approaches.
","[{""version"":""v1"",""created"":""Sun, 4 Dec 1994 19:11:31 GMT""},{""version"":""v2"",""created"":""Tue, 6 Dec 1994 08:23:44 GMT""}]","2009-09-25"
"hep-ph/9412227",,"I.I. Bigi","The Expected, The Promised and The Conceivable -- On CP Violation in
  Beauty and Charm Decays","Invited Talk given at HQ 94; LATEX, 14 pages, 3 figures, 3 EPS files
  -- 7207FG1.EPS, 7207FG4.EPS, 7207FG5.EPS -- attached at end ofdocument","Frascati Phys.Ser.3:235-248,1994",,"UND-HEP-94-BIG11","hep-ph",,"  the KM expectations of large CP asymmetries in $B$ decays are reviewed. I
describe some observable signatures for the intervention of New Physics and
list benchmarks defining the `ultimate' measurements in beauty physics. I also
stress the need for dedicated searches for CP asymmetries in $D$ decays;
attaining a sensitivity level of $10^{-3}$ could well reveal New Physics and
thus lead to a new paradigm.
","[{""version"":""v1"",""created"":""Mon, 5 Dec 1994 04:59:30 GMT""}]","2010-11-01"
"hep-ph/9412228","Michael Booth","Michael J. Booth","Quenched Chiral Corrections to Heavy-Light Decay Constants at Order 1/M","14 pages, Latex, 6 postscript figures (included separately). Complete
  ps available at http://www.phys.ufl.edu/~booth/papers/quenched2.ps.gz . Minor
  changes to text in revised version",,,"IFT-94-10","hep-ph",,"  Quenched chiral perturbation is used to study the decay constants for
heavy-light mesons beyond the leading order in 1/M. The results are used to
estimate the error in quenched lattice calculations of the decay constants. For
the double ratio $R_1 = ( f_{D_s}/f_D) / (f_{B_s}/f_B)$ we find that the error
is small, conservatively 6%, but likely smaller. We also find that quenching
decreases the ratio $f_{D_s}/f_D$ relative to the unquenched theory.
","[{""version"":""v1"",""created"":""Mon, 5 Dec 1994 03:21:32 GMT""},{""version"":""v2"",""created"":""Thu, 8 Dec 1994 02:43:03 GMT""}]","2008-02-03"
"hep-ph/9412229","Olivier Pene","R. Aleksan, A. Le Yaouanc, L. Oliver, O. P\`ene and J.-C. Raynal","The $B \to K^\ast \psi$ Polarization Puzzle","LATEX 15 pages, Contribution to the First Arctic Workshop on Future
  Physics and Accelarators, Saariselk\""a, Finland, August 1994",,,"LPTHE Orsay-94/105","hep-ph",,"  We point out that current estimates of form factors fail to explain the
non-leptonic decays $B \to \psi K(K^{\ast})$ and that the combination of data
on the semi-leptonic decays $D \to K(K^{\ast})\ell \nu$ and on the non-leptonic
decays $B \to \psi K(K^{\ast})$ (in particular recent po\-la\-ri\-za\-tion
data) severely constrain the form (normalization and $q^2$ dependence) of the
heavy-to-light meson form factors, if we assume the factorization hypothesis
for the latter. From a simultaneous fit to \bpsi and \dk data we find that
strict heavy quark limit scaling laws applied to the form factors do not hold
when going from $D$ to $B$ and must have large corrections that make softer the
dependence on the masses. This is in contrast with the matrix elements
themselves which are found to need smaller $1/m_Q$ corrections to the
asymptotic heavy quark scaling laws. We also find that $A_1(q^2)$ should
increase slower with \qq than $A_2, V, f_+$. We propose a simple
parametrization of these corrections based on a quark model or on an extension
of the \hhs laws to the \hl case, complemented with an approximately constant
$A_1(q^2)$. This model may be viewed as assuming a precocious validity of
strict heavy quark scaling laws for the current matrix elements. Although this
model reproduces qualitatively the wanted features for mass and $q^2$
dependence, and thus reduces the discrepancy with data, it is insufficient to
reach a full agreement with the experiment. In our opinion the puzzle is still
there.
","[{""version"":""v1"",""created"":""Mon, 5 Dec 1994 08:53:40 GMT""}]","2007-05-23"
"hep-ph/9412230",,"E.L. Bratkovskaya, E.A. Kuraev, Z.K. Silagadze, O.V. Teryaev","Spin-Momentum Correlation (Handedness) in the Process of Four Pions
  Production in the Electron-Positron Collisions","9 pages, Latex, without figures. To appear in Phys. Lett. B","Phys.Lett. B338 (1994) 471","10.1016/0370-2693(94)90802-8","E4-94-234 (Dubna)","hep-ph",,"  We discuss special type of polarization asymmetry (``handedness"") in the
process $e^+e^-\to 4\pi$, when one of initial particles is longitudinally
polarized. The asymmetry is proportional to the degree of polarization and to
the width to mass ratio of rho-meson. It can reach 4-5\% in some kinematical
region. Both channels $2 \pi^+ 2 \pi^-$ and $2 \pi^0 \pi^+ \pi^-$ are
considered in the framework of the effective chiral lagrangian with vector
mesons, in the energy range $\sim 1$ GeV. The corresponding total cross
sections are also calculated.
","[{""version"":""v1"",""created"":""Mon, 5 Dec 1994 14:19:42 GMT""}]","2009-10-28"
"hep-ph/9412231",,"L.Ya.Glozman, D.O.Riska","Systematics of the Light and Strange Baryons and the Symmetries of QCD","The SU(3) flavor breaking Lambda-N, Sigma-Lambda and Xi-Sigma
  splittings derived and shown to agree well with the empirical values",,,"HU-TFT-94-48","hep-ph",,"  The spectra of the nucleons and the strange hyperons are well described by a
harmonic confinement potential for the constituent quarks and an SU(3)
flavor-symmetric interaction mediated by the pseudoscalar octet that is
associated with the hidden approximate chiral symmetry of QCD. The spectrum is
formed of multiplets of $SU(6)_{FS}\times U(6)_{conf}$, which are mixed by the
octet interaction. With 4 matrix elements of the octet mediated interaction
determined by the lowest mass splittings in the nucleon spectrum the resulting
mass formula predicts the whole spectrum with an accuracy of $\sim$ 5\%.
","[{""version"":""v1"",""created"":""Mon, 5 Dec 1994 11:38:19 GMT""},{""version"":""v2"",""created"":""Fri, 16 Dec 1994 13:43:11 GMT""},{""version"":""v3"",""created"":""Thu, 23 Feb 1995 23:32:16 GMT""}]","2008-02-03"
"hep-ph/9412232","Ruth Gregory","Ruth Gregory","A Note on the Finiteness of Curvature at Cosmic String Cusps","7 pages, plain TeX",,,"DTP/94/51, DAMTP/R-94/59","hep-ph gr-qc hep-th",,"  We examine a Nambu-Goto string trajectory in the neighbourhood of a cusp and
determine the extrinsic curvature invariants. These are demonstrated to be
finite, in contradiction with naive expectation. Thus the Nambu action is a
valid approximation for the motion of a cosmic string vortex even at cusps.
This suggests that cusp annihilation is not a feasible mechanism for particle
radiation from cosmic strings.
","[{""version"":""v1"",""created"":""Mon, 5 Dec 1994 15:40:20 GMT""}]","2007-05-23"
"hep-ph/9412239","""V. A."" Khoze","Valery A. Khoze","Chromo- and Electrodynamics of Heavy Unstable Particle","28 pages, LATEX, figures are not included (the hard copies are
  available from the Author)","Surveys High Energ.Phys.11:145-167,1997",,"DTP/94-114","hep-ph",,"  In this talk I attempt to survey some selected physics issues on radiative
interference phenomena in the production of heavy unstable particles. A special
emphasis is placed on the reactions $e^+e^- \rightarrow W^+W^- \rightarrow 4$
jets and $e^+e^- \rightarrow t\bar{t} \rightarrow bW^+\bar{b}W^-$. A
transparent recipe is given for quantifying the level of suppression of the
interference effects in the inclusive production processes. The influence of
the $W$ width on the Coulomb corrections to the threshold $W^+W^-$ production
is briefly addressed.
","[{""version"":""v1"",""created"":""Mon, 5 Dec 1994 15:45:54 GMT""}]","2011-03-02"
"hep-th/9412030","Barry McCoy","Alexander Berkovich and Barry M. McCoy","Continued Fractions and Fermionic Representations for Characters of
  M(p,p') minimal models","Several references, one further explicit result and several
  discussion remarks added","Lett.Math.Phys. 37 (1996) 49-66","10.1007/BF00400138","BONN-TH-94-28 and ITPSB 94-060","hep-th",,"  We present fermionic sum representations of the characters
$\chi^{(p,p')}_{r,s}$ of the minimal $M(p,p')$ models for all relatively prime
integers $p'>p$ for some allowed values of $r$ and $s$. Our starting point is
binomial (q-binomial) identities derived from a truncation of the state
counting equations of the XXZ spin ${1\over 2}$ chain of anisotropy
$-\Delta=-\cos(\pi{p\over p'})$. We use the Takahashi-Suzuki method to express
the allowed values of $r$ (and $s$) in terms of the continued fraction
decomposition of $\{{p'\over p}\}$ (and ${p\over p'}$) where $\{x\}$ stands for
the fractional part of $x.$ These values are, in fact, the dimensions of the
hermitian irreducible representations of $SU_{q_{-}}(2)$ (and $SU_{q_{+}}(2)$)
with $q_{-}=\exp (i \pi \{{p'\over p}\})$ (and $q_{+}=\exp ( i \pi {p\over
p'})).$ We also establish the duality relation $M(p,p')\leftrightarrow
M(p'-p,p')$ and discuss the action of the Andrews-Bailey transformation in the
space of minimal models. Many new identities of the Rogers-Ramanujan type are
presented.
","[{""version"":""v1"",""created"":""Mon, 5 Dec 1994 03:43:44 GMT""},{""version"":""v2"",""created"":""Mon, 5 Dec 1994 20:52:51 GMT""},{""version"":""v3"",""created"":""Mon, 19 Dec 1994 03:53:37 GMT""},{""version"":""v4"",""created"":""Mon, 19 Dec 1994 18:36:39 GMT""}]","2009-10-28"
"hep-th/9412033","Maximilian Kreuzer","M. Kreuzer, H. Skarke","Landau-Ginzburg orbifolds with discrete torsion","12 pages, LaTeX","Mod.Phys.Lett. A10 (1995) 1073-1086","10.1142/S0217732395001198","ITP-UH-16/94, TUW-94/20","hep-th",,"  We complete the classification of (2,2) vacua that can be constructed from
Landau--Ginzburg models by abelian twists with arbitrary discrete torsions.
Compared to the case without torsion the number of new spectra is surprisingly
small. In contrast to a popular expectation mirror symmetry does not seem to be
related to discrete torsion (at least not in the present compactification
framework): The Berglund-H""ubsch construction naturally extends to orbifolds
with torsion; for more general potentials, on the other hand, the new spectra
neither have nor provide mirror partners in our class of models.
","[{""version"":""v1"",""created"":""Mon, 5 Dec 1994 13:38:49 GMT""}]","2009-10-28"
