"alg-geom/9412017","V. Batyrev","Victor V. Batyrev and Lev A. Borisov","On Calabi-Yau Complete Intersections in Toric Varieties","27 pages, Latex",,,,"alg-geom hep-th math.AG",,"  We investigate Hodge-theoretic properties of Calabi-Yau complete
intersections $V$ of $r$ semi-ample divisors in $d$-dimensional toric Fano
varieties having at most Gorenstein singularities. Our main purpose is to show
that the combinatorial duality proposed by second author agrees with the
duality for Hodge numbers predicted by mirror symmetry. It is expected that the
complete verification of mirror symmetry predictions for singular Calabi-Yau
varieties $V$ of arbitrary dimension demands considerations of so called {\em
string-theoretic Hodge numbers} $h^{p,q}_{\rm st}(V)$. We restrict ourselves to
the string-theoretic Hodge numbers $h^{0,q}_{\rm st}(V)$ and $h^{1,q}_{\rm
st}(V)$ $(0 \leq q \leq d-r) which coincide with the usual Hodge numbers
$h^{0,q}(\widehat{V})$ and $h^{1,q}(\widehat{V})$ of a $MPCP$-desingularization
$\widehat{V}$ of $V$.
","[{""version"":""v1"",""created"":""Sun, 18 Dec 1994 20:21:14 GMT""}]","2008-02-03"
"hep-ph/9412315","Norbert Ligterink","N.E. Ligterink and B.L.G. Bakker (Vrije Universiteit, Amsterdam, The
  Netherlands)","Equivalence of Light-Front and Covariant Field Theory","47 Pages, LaTeX with LaTeX figures included in the text","Phys.Rev. D52 (1995) 5954-5979","10.1103/PhysRevD.52.5954",,"hep-ph nucl-th",,"  In this paper we discuss the relation between the standard covariant quantum
field theory and light-front field theory. We define covariant theory by its
Feynman diagrams, whereas light-front field theory is defined in terms of
light-cone time-ordered diagrams. A general algorithm is proposed that produces
the latter from any Feynman diagram. The procedure is illustrated in several
cases. Technical problems that occur in the light-front formulation and have no
counterpart in the covariant formulation are identified and solved.
","[{""version"":""v1"",""created"":""Mon, 19 Dec 1994 12:34:48 GMT""}]","2009-10-28"
"hep-ph/9412316","Jes Madsen","Jes Madsen (Institute of Physics and Astronomy, Univ. of Aarhus)","Physics of Strangelets","15 pages, LaTeX, figures available on request. Invited review to
  appear in Proceedings of Strangeness and Quark Matter, Krete, Sep. 1--5 1994
  (World Scientific)",,,"IFA-94/43, AARHUS-ASTRO-1994-17","hep-ph nucl-th",,"  After a brief introduction to the physics of bulk strange quark matter (SQM)
this review focuses on the properties of low baryon number strangelets
presently searched for in ultra-relativistic heavy-ion experiments at CERN and
Brookhaven. Shell-model calculations reveal interesting (meta)stability
properties in the experimentally accessible regime. A liquid drop model
(Fermi-gas model) is shown to explain the overall behavior of the mode-filling
calculations, leading to a physical understanding of strangelet properties,
which can be generalized to non-zero temperature and pressure.
","[{""version"":""v1"",""created"":""Mon, 19 Dec 1994 15:05:02 GMT""}]","2007-05-23"
"hep-ph/9412317","Ester Ruiz","M.J. Herrero and E. Ruiz Morales","The electroweak chiral Lagrangian as an effective field theory of the
  standard model with a heavy Higgs","Talk presented by M.J.H. at the ""Workshop on Electroweak Symmetry
  Breaking"", Budapest, July 1994. Proceedings Ed. World Scientific. 17 pages,
  no figures, uses worldsci.sty",,,"FTUAM94/32 (U. Autonoma, Madrid)","hep-ph",,"  Using effective field theory methods, we integrate out the standard model
Higgs boson to one loop and represent its non-decoupling effects by a set of
gauge invariant effective operators of the electroweak chiral Lagrangian. We
briefly discuss the relation between the renormalization of both the standard
model and the effective theory, which is crucial for a correct understanding
and use of the electroweak chiral Lagrangian. Some examples have been chosen to
show the applicability of this effective Lagrangian approach in the calculation
of low energy observables in electroweak theory.
","[{""version"":""v1"",""created"":""Mon, 19 Dec 1994 14:54:07 GMT""}]","2007-05-23"
"hep-ph/9412318","Eletsky dec94","V.L. Eletsky","Baryon masses from QCD current correlators at $T\neq 0$","10 pages, latex, 2 figures included in the file","Phys.Lett. B352 (1995) 440-444","10.1016/0370-2693(95)00539-W","CPT-94/P.3139","hep-ph",,"  Correlation functions of QCD currents with quantum numbers of nucleon and
$\Delta$-isobar are considered at finite temperatures. Corrections of order
$T^4$ to the correlators are calculated and interpreted in terms of thermal
mass shifts using a QCD sum rules type of argument. In both cases the masses
decrease with $T$.
","[{""version"":""v1"",""created"":""Mon, 19 Dec 1994 15:19:12 GMT""}]","2009-10-28"
"hep-ph/9412320","Kim Milton","Kimball A. Milton","Absence of Species Doubling in Finite-Element Quantum Electrodynamics","13 pages, revtex, 1 uuencoded figure","Lett.Math.Phys. 34 (1995) 285-294","10.1007/BF01872782","OKHEP-94-13","hep-ph hep-lat",,"  In this letter it will be demonstrated explicitly that the finite-element
formulation of quantum electrodynamics is free from fermion doubling. We do
this by (1) examining the lattice fermion propagator and using it to compute
the one-loop vacuum polarization on the lattice, and (2) by an explict
computation of vector and axial-vector current anomalies for an arbitrary
rectangular lattice in the Schwinger model. There it is shown that requiring
that the vector current be conserved necessitates the use of a square lattice,
in which case the axial-vector current is anomalous.
","[{""version"":""v1"",""created"":""Mon, 19 Dec 1994 07:41:36 GMT""}]","2009-10-28"
"hep-th/9412156",,"S. Graffi, V.R. Manfredi, L. Salasnich","Quantal Overlapping Resonance Criterion in the Pullen Edmonds Model","12 pages, LATEX, 2 figures available upon request to the Authors,
  submitted to Mod. Phys. Lett. B","Mod.Phys.Lett. B7 (1995) 747-753","10.1142/S0217984995000693","DFPD/93/TH/08, University of Padova","hep-th",,"  In order to highlight the onset of chaos in the Pullen-Edmonds model a
quantal analog of the resonance overlap criterion has been examined. A quite
good agreement between analytical and numerical results is obtained.
","[{""version"":""v1"",""created"":""Sun, 18 Dec 1994 16:09:12 GMT""}]","2015-06-26"
"hep-th/9412157",,"I.Ya. Aref'eva, K.S. Viswanathan and I.V.Volovich","Planckian Energy Scattering, Colliding Plane Gravitational Waves and
  Black Hole Creation","26 pages, LATEX, 5 figures","Nucl.Phys.B452:346-368,1995; Erratum-ibid.B462:613,1996","10.1016/0550-3213(95)00394-8","SFU-HEP-10-94","hep-th gr-qc",,"  In a series of papers Amati, Ciafaloni and Veneziano and 't Hooft conjectured
that black holes occur in the collision of two light particles at planckian
energies. In this paper we discuss a possible scenario for such a process by
using the Chandrasekhar-Ferrari-Xanthopoulos duality between the Kerr black
hole solution and colliding plane gravitational waves. We clarify issues
arising in the definition of transition amplitude from a quantum state
containing only usual matter without black holes to a state containing black
holes. Collision of two plane gravitational waves producing a space-time region
which is locally isometric to an interior of black hole solution is considered.
The phase of the transition amplitude from plane waves to white and black hole
is calculated by using the Fabbrichesi, Pettorino, Veneziano and Vilkovisky
approach. An alternative extension beyond the horizon in which the space-time
again splits into two separating gravitational waves is also discussed. Such a
process is interpreted as the scattering of plane gravitational waves through
creation of virtual black and white holes.
","[{""version"":""v1"",""created"":""Sun, 18 Dec 1994 19:25:31 GMT""}]","2010-11-01"
"hep-th/9412158",,"A. Klemm, W. Lerche, S. Theisen and S. Yankielowicz","On the Monodromies of N=2 Supersymmetric Yang-Mills Theory","15p, harvmac/lanlmac with hyperlinks, 4 uuencoded compressed
  postscript figures appended",,,"CERN-TH.7538/94, LMU-TPW 94/22","hep-th",,"  We review the generalization of the work of Seiberg and Witten on N=2
supersymmetric SU(2) Yang-Mills theory to SU(n) gauge groups. The quantum
moduli spaces of the effective low energy theory parametrize a special family
of hyperelliptic genus n-1 Riemann surfaces. We discuss the massless spectrum
and the monodromies.
","[{""version"":""v1"",""created"":""Sun, 18 Dec 1994 20:39:02 GMT""}]","2007-05-23"
"hep-th/9412159","Steve Giddings","Steven B. Giddings","Why Aren't Black Holes Infinitely Produced?","26 pages (harvmac l mode); also uses epsf.tex","Phys.Rev.D51:6860-6869,1995","10.1103/PhysRevD.51.6860","UCSBTH-94-50","hep-th gr-qc",,"  Unitarity and locality imply a remnant solution to the information problem,
and also imply that Reissner-Nordstrom black holes have infinite numbers of
internal states. Pair production of such black holes is reexamined including
the contribution of these states. It is argued that the rate is proportional to
the thermodynamic quantity Tr e^{-beta H}, where the trace is over the internal
states of a black hole; this is in agreement with estimates from an effective
field theory for black holes. This quantity, and the rate, is apparently
infinite due to the infinite number of states. One obvious out is if the number
of internal states of a black hole is finite.
","[{""version"":""v1"",""created"":""Mon, 19 Dec 1994 01:20:18 GMT""}]","2010-11-01"
"hep-th/9412160",,"Carlos Castro","D=11 Supermembrane Instantons, W(infty) Strings and the Super Toda
  Molecule","16 pages; Latex file","Chaos Solitons Fractals 7 (1996) 711-724",,"IAEC-6-94-R","hep-th",,"  Exact instanton solutions to $D=11$ spherical supermembranes moving in flat
target spacetime backgrounds are construted. Our starting point is Super
Yang-Mills theories, based on the infinite dimensional $SU(\infty)$ group,
dimensionally reduced to one time dimension. In this fashion the super-Toda
molecule equation is recovered preserving only one supersymmetry out of the
$N=16$ that one would have obtained otherwise. It is conjectured that the
expected critical target spacetime dimensions for the (super) membrane,
($D=11$) $D=27$ is closely related to that of the $noncritical$ (super)
$W_{\infty}$ strings. A BRST analysis of these symmetries should yield
information about the quantum consistency of the ($D=11$) $D=27$ dimensional
(super) membrane. Comments on the role that Skyrmions might play in the two
types of Spinning- Membrane actions construted so far is presented at the
conclusion. Finally, the importance that integrability on light-lines in
complex superspaces has in other types of solutions is emphasized.
","[{""version"":""v1"",""created"":""Mon, 19 Dec 1994 06:05:02 GMT""}]","2007-05-23"
"hep-th/9412161",,"D.V. Fursaev","Temperature and Entropy of a Quantum Black Hole and Conformal Anomaly","10 pages, Latex file","Phys.Rev.D51:5352-5355,1995","10.1103/PhysRevD.51.5352","JINR E2-94-484","hep-th",,"  Attention is paid to the fact that temperature of a classical black hole can
be derived from the extremality condition of its free energy with respect to
variation of the mass of a hole. For a quantum Schwarzschild black hole
evaporating massless particles the same condition is shown to result in the
following one-loop temperature $T=(8\pi M)^{-1} (1+\sigma (8\pi M^2)^{-1})$ and
entropy $S = 4\pi M^2 - \sigma\log M$ expressed in terms of the effective mass
$M$ of a hole together with its radiation and the integral of the conformal
anomaly $\sigma$ that depends on the field species. Thus, in the given case
quantum corrections to $T$ and $S$ turn out to be completely provided by the
anomaly. When it is absent ($\sigma=0$), which happens in a number of
supersymmetric models, the one-loop expressions of $T$ and $S$ preserve the
classical form. On the other hand, if the anomaly is negative ($\sigma<0$) an
evaporating quantum hole seems to cease to heat up when its mass reaches the
Planck scales.
","[{""version"":""v1"",""created"":""Mon, 19 Dec 1994 08:54:32 GMT""}]","2009-12-30"
"hep-th/9412162","Klaus Behrndt","Klaus Behrndt","The 10-D chiral null model and the relation to 4-D string solutions","11 pages, latex, no figures","Phys.Lett.B348:395-401,1995","10.1016/0370-2693(95)00137-A","DESY 94-237","hep-th gr-qc",,"  The chiral null model is a generalization of the fundamental string and
gravitational wave background. It is an example of a conformally invariant
model in all orders in $\alpha'$ and has unbroken supersymmetries. In a
Kaluza--Klein approach we start in 10 dimensions and reduce the model down to 4
dimensions without making any restrictions. The 4-D field content is given by
the metric, torsion, dilaton, a moduli field and 6 gauge fields. This model is
self-dual and near the singularities asymptotically free. The relation to known
IWP, Taub-NUT and rotating black hole solutions is discussed.
","[{""version"":""v1"",""created"":""Mon, 19 Dec 1994 07:53:07 GMT""}]","2010-11-01"
"hep-th/9412163",,"E. Sezgin and Y. Tanii","Superconformal Sigma Models in Higher Than Two Dimensions","16 pages, plain tex","Nucl.Phys. B443 (1995) 70-84","10.1016/0550-3213(95)00081-3","CTP TAMU-36/94, STUPP-94-137","hep-th",,"  Rigidly superconformal sigma models in higher than two dimensions are
constructed. These models rely on the existence of conformal Killing spinors on
the $p+1$ dimensional worldvolume $(p\le 5)$, and homothetic conformal Killing
vectors in the $d$--dimensional target space. In the bosonic case, substituting
into the action a particular form of the target space metric admitting such
Killing vectors, we obtain an action with manifest worldvolume conformal
symmetry, which describes the coupling of $d-1$ scalars to a conformally flat
metric on the worldvolume. We also construct gauged sigma models with
worldvolume conformal supersymmetry. The models considered here are
generalizations of the singleton actions on $S^p\times S^1$, constructed
sometime ago by Nicolai and these authors.
","[{""version"":""v1"",""created"":""Mon, 19 Dec 1994 12:13:53 GMT""}]","2009-10-28"
"hep-th/9412164","Sochi","S.A.Frolov, A.A.Slavnov and C.Sochichiu","SO(N) invariant Wess-Zumino action and its quantization","22 pages, LaTex","Theor.Math.Phys. 105 (1996) 1407-1425; Teor.Mat.Fiz. 105N2 (1995)
  270-291","10.1007/BF02070936","SMI-35-94","hep-th",,"  A consistent quantization procedure of anomalous chiral models is discussed.
It is based on the modification of the classical action by adding Wess-Zumino
terms. The $SO(3)$ invariant WZ action for the $SO(3)$ model is constructed.
Quantization of the corresponding modified theory is considered in details.
","[{""version"":""v1"",""created"":""Mon, 19 Dec 1994 11:26:53 GMT""}]","2009-10-28"
"hep-th/9412165","Randjbar Daemi Seif","S. Randjbar-Daemi and J. Strathdee","On the overlap formulation of chiral gauge theory","9 pages, latex","Phys.Lett. B348 (1995) 543-548","10.1016/0370-2693(95)00168-K","IC/94/396","hep-th hep-lat hep-ph",,"  The overlap formula proposed by Narayanan and Neuberger in chiral gauge
theories is examined. The free chiral and Dirac Green's functions are
constructed in this formalism. Four dimensional anomalies are calculated and
the usual anomaly cancellation for one standard family of quarks and leptons is
verified.
","[{""version"":""v1"",""created"":""Mon, 19 Dec 1994 13:00:37 GMT""}]","2009-10-28"
"hep-th/9412166","M. R. Niedermaier","M.R. Niedermaier","An Algebraic Approach to Form Factors","A simplified form of the algebra is used that allows one to dispense
  with the extra generator C. To appear in Nucl. Phys. B","Nucl.Phys. B440 (1995) 603-646; Erratum-ibid. B456 (1995) 755","10.1016/0550-3213(95)00096-B",,"hep-th",,"  An associative $*$-algebra is introduced (containing a $TTR$-algebra as a
subalgebra) that implements the form factor axioms, and hence indirectly the
Wightman axioms, in the following sense: Each $T$-invariant linear functional
over the algebra automatically satisfies all the form factor axioms. It is
argued that this answers the question (posed in the functional Bethe ansatz)
how to select the dynamically correct representations of the $TTR$-algebra.
Applied to the case of integrable QFTs with diagonal factorized scattering
theory a universal formula for the eigenvalues of the conserved charges
emerges.
","[{""version"":""v1"",""created"":""Mon, 19 Dec 1994 14:04:18 GMT""},{""version"":""v2"",""created"":""Wed, 1 Mar 1995 12:23:51 GMT""}]","2009-10-28"
"hep-th/9412167","Robert Bruce Mann","A. Kempf, G. Mangano, R. B. Mann","Hilbert Space Representation of the Minimal Length Uncertainty Relation","21 pages, latex, epsf, 4 figures, final version which appears in
  Physical Review D","Phys.Rev.D52:1108-1118,1995","10.1103/PhysRevD.52.1108",,"hep-th quant-ph",,"  The existence of a minimal observable length has long been suggested, in
quantum gravity, as well as in string theory. In this context a generalized
uncertainty relation has been derived which quantum theoretically describes the
minimal length as a minimal uncertainty in position measurements. Here we study
in full detail the quantum mechanical structure which underlies this
uncertainty relation.
","[{""version"":""v1"",""created"":""Mon, 19 Dec 1994 14:36:09 GMT""},{""version"":""v2"",""created"":""Mon, 9 Jan 1995 17:27:07 GMT""},{""version"":""v3"",""created"":""Thu, 12 Dec 1996 22:07:13 GMT""}]","2009-07-09"
"hep-th/9412168","Kellogg S. Stelle","K.S. Stelle (Imperial College)","Non-critical $d=2$ Gravities and Integrable Models","20 pages, Plain TeX",,,"Imperial/TP/94-95/10","hep-th",,"  We review the origin of anomaly-induced dynamics in theories of $d=2$ gravity
from a BRST viewpoint and show how quantum canonical transformations may be
used to solve the resulting Liouville or Toda models for the anomalous modes.
","[{""version"":""v1"",""created"":""Mon, 19 Dec 1994 14:33:16 GMT""}]","2007-05-23"
"q-alg/9412001",,"Ralf A. Engeldinger","Self-Diagonal Tensor Powers of Quantum Groups and R-Matrices for Tensor
  Products of Representations","8 pages, latex",,,"LMU-TPW 94-20","q-alg math.QA",,"  Twisted tensor powers of quasitriangular Hopf algebras with diagonal
sub-Hopf-algebras (self-diagonal tensor powers) are introduced together with
their duals and their mutual *-structures as generalizations of the Drinfel'd
double as given by Reshetikhin and Semenov-Tian-Shansky. R-Matrices for tensor
products of representations are derived.
","[{""version"":""v1"",""created"":""Mon, 19 Dec 1994 15:00:18 GMT""}]","2008-02-03"
