"alg-geom/9412012","J. M. Landsberg","J.M. Landsberg","On Degenerate Secant and Tangential Varieties and Local Differential
  Geometry","Exposition altered according to the helpful recommendations of the
  referee. AMSTeX",,,,"alg-geom dg-ga math.AG math.DG",,"  We study the local differential geometry of varieties $X^n\subset \Bbb C\Bbb
P^{n+a}$ with degenerate secant and tangential varieties. We show that the
second fundamental form of a smooth variety with degenerate tangential variety
is subject to certain rank restrictions. The rank restrictions imply a slightly
refined version of Zak's theorem on linear normality and a short proof of the
Zak-Fantecchi theorem on the superadditivity of multisecant defects. We show
there is a vector bundle defined over general points of $TX$ whose fibers carry
the structure of a Clifford algebra. This structure implies additional
restrictions of the size of the secant defect. The Clifford algebra structure,
combined with further local computations, yields a new proof of Zak's theorem
on Severi varieties that is substantially shorter than the original. We also
prove local and global results on the dimension of the Gauss image of
degenerate tangential varieties, refining the results in [GH].
","[{""version"":""v1"",""created"":""Tue, 13 Dec 1994 21:11:02 GMT""},{""version"":""v2"",""created"":""Fri, 20 Oct 1995 14:21:07 GMT""}]","2008-02-03"
"cond-mat/9412062","Amaral","Hernan A. Makse and Luis A. Nunes Amaral","Scaling Behavior of Driven Interfaces Above the Depinning Transition","Revtex 3.0, 4 pages in PRL format + 5 figures (available at
  ftp://jhilad.bu.edu/pub/abbhhss/ma-figures.tar.Z ) submitted to Phys Rev Lett",,"10.1209/0295-5075/31/7/007","CPS-94-476","cond-mat",,"  We study the depinning transition for models representative of each of the
two universality classes of interface roughening with quenched disorder. For
one of the universality classes, the roughness exponent changes value at the
transition, while the dynamical exponent remains unchanged. We also find that
the prefactor of the width scales with the driving force. We propose several
scaling relations connecting the values of the exponents on both sides of the
transition, and discuss some experimental results in light of these findings.
","[{""version"":""v1"",""created"":""Tue, 13 Dec 1994 19:00:37 GMT""}]","2009-10-22"
"cond-mat/9412063","Ben Lee","Benjamin P. Lee, John Cardy","Renormalization Group Study of the A+B->0 Diffusion-Limited Reaction","17 pages, REVTeX, 13 compressed figures, included with epsf. Eq.
  (6.12) corrected, and a moderate rewriting of the introduction. Accepted for
  publication in J. Stat. Phys","J. Stat. Phys. 80, 971 (1995)","10.1007/BF02179861",,"cond-mat",,"  The $A + B\to 0$ diffusion-limited reaction, with equal initial densities
$a(0) = b(0) = n_0$, is studied by means of a field-theoretic renormalization
group formulation of the problem. For dimension $d > 2$ an effective theory is
derived, from which the density and correlation functions can be calculated. We
find the density decays in time as $a,b \sim C\sqrt{\D}(Dt)^{-d/4}$ for $d <
4$, with $\D = n_0-C^\prime n_0^{d/2} + \dots$, where $C$ is a universal
constant, and $C^\prime$ is non-universal. The calculation is extended to the
case of unequal diffusion constants $D_A \neq D_B$, resulting in a new
amplitude but the same exponent. For $d \le 2$ a controlled calculation is not
possible, but a heuristic argument is presented that the results above give at
least the leading term in an $\epsilon = 2-d$ expansion. Finally, we address
reaction zones formed in the steady-state by opposing currents of $A$ and $B$
particles, and derive scaling properties.
","[{""version"":""v1"",""created"":""Tue, 13 Dec 1994 18:45:49 GMT""},{""version"":""v2"",""created"":""Thu, 27 Apr 1995 18:13:35 GMT""}]","2009-10-22"
"cond-mat/9412064","Mike Norman","M. R. Norman, M. Randeria, H. Ding, J. C. Campuzano","Phenomenological Models for the Gap Anisotropy of Bi-2212 as Measured by
  ARPES","14 pages, revtex, 9 uuencoded postscript figures","Phys Rev B 52, 615 (1995)","10.1103/PhysRevB.52.615",,"cond-mat supr-con",,"  Recently, high resolution angle-resolved photoemission spectroscopy has been
used to determine the detailed momentum dependence of the superconducting gap
in the high temperature superconductor Bi-2212. In this paper, we first
describe tight binding fits to the normal state dispersion and superlattice
modulation effects. We then discuss various theoretical models in light of the
gap measurements. We find that the simplest model which fits the data is the
anisotropic s-wave gap $\cos(k_x)\cos(k_y)$, which within a one-band BCS frame-
work suggests the importance of next near neighbor Cu-Cu interactions. Various
alternative interpretations of the observed gap are also discussed, along with
the implications for microscopic theories of high temperature superconductors.
","[{""version"":""v1"",""created"":""Tue, 13 Dec 1994 20:02:43 GMT""}]","2009-10-22"
"cond-mat/9412065","Tom Devereaux","T. P. Devereaux","Theory of Electronic Raman Scattering in Disordered $d-$wave
  Superconductors","11 pages, Revtex, 3 figures",,"10.1103/PhysRevLett.74.4313","tpd-94","cond-mat supr-con",,"  A theory for the effect of impurity scattering on electronic Raman scattering
in unconventional superconductors is presented. The impurity dependence of the
the spectra can be used to to distinguish between conventional (anisotropic
$s-$wave) or unconventional ($d$-wave) energy gaps, and excellent agreement
with the data on three cuprate superconductors is shown for $d_{x^{2}-y^{2}}$
pairing. The full frequency dependence of the spectra can be reproduced by
including inelastic scattering due to spin fluctuations and/or Coulomb
scattering on a partially nested Fermi surface.
","[{""version"":""v1"",""created"":""Wed, 14 Dec 1994 00:19:43 GMT""}]","2009-10-22"
"cond-mat/9412066","Gordon Baym","Gordon Baym (Univ. Illinois)","Stability of the vortex lattice in a rotating superfluid","16 pages",,"10.1103/PhysRevB.51.11697",,"cond-mat",,"  We analyze the stability of the vortex lattice in a rotating superfluid
against thermal fluctuations associated with the long-wavelength Tkachenko
modes of the lattice. Inclusion of only the two-dimensional modes leads
formally to instability in infinite lattices; however, when the full
three-dimensional spectrum of modes is taken into account, the
thermally-induced lattice displacements are indeed finite.
","[{""version"":""v1"",""created"":""Wed, 14 Dec 1994 03:27:59 GMT""}]","2009-10-22"
"cond-mat/9412067","Roland Fehrenbacher","R. Fehrenbacher and M.R. Norman (Argonne)","Phenomenological BCS theory of the high-$T_c$ cuprates","13 pages, uuencoded Postscript",,"10.1103/PhysRevLett.74.3884",,"cond-mat supr-con",,"  A BCS model characterized by a phenomenological pair potential with on-site
($V_0$), nearest ($V_1$), and next nearest ($V_2$) neighbour coupling
constants, and an empirical quasiparticle dispersion taken from angle-resolved
photoemission spectra is considered. The model can consistently explain the
experimental data concerning the pair state of the hole doped cuprates. Three
ingredients are required to make the interpretation possible: the existence of
flat bands, a very small effective on-site repulsion, and a slightly dominating
effective nnn attraction $V_2$ of the order of 60-80meV with a ratio $V_2/V_1
\approx 1.5$.
","[{""version"":""v1"",""created"":""Wed, 14 Dec 1994 04:40:33 GMT""}]","2009-10-22"
"cond-mat/9412068","Jan Engelbrecht","Jan R. Engelbrecht and Kevin S. Bedell (Los Alamos National Lab)","Robustness of a local Fermi Liquid against Ferromagnetism and Phase
  Separation","4 pages (twocolumn format), can compile with or without epsf.sty
  latex style file -- Postscript files: fig1.ps and fig2.ps",,"10.1103/PhysRevLett.74.4265","LANL-Preprint","cond-mat",,"  We study the properties of Fermi Liquids with the microscopic constraint of a
local self-energy. In this case the forward scattering sum-rule imposes strong
limitations on the Fermi-Liquid parameters, which rule out any Pomeranchek
instabilities. For both attractive and repulsive interactions, ferromagnetism
and phase separation are suppressed. Superconductivity is possible in an s-wave
channel only. We also study the approach to the metal-insulator transition, and
find a Wilson ratio approaching 2. This ratio and other properties of
Sr_{1-x}La_xTiO_3 are all consistent with the local Fermi Liquid scenario.
","[{""version"":""v1"",""created"":""Wed, 14 Dec 1994 07:16:43 GMT""}]","2009-10-22"
"cond-mat/9412069","David Lancaster","David Lancaster, Enzo Marinari, Giorgio Parisi","Weighted Mean Field Theory for the Random Field Ising Model","15 pages of tex using harvmac. 8 postscript figures (fig3.ps is
  large) in a separate .uu file",,"10.1088/0305-4470/28/14/015","Univ.Roma I, 1078/94","cond-mat",,"  We consider the mean field theory of the Random Field Ising Model obtained by
weighing the many solutions of the mean field equations with Boltzmann-like
factors. These solutions are found numerically in three dimensions and we
observe critical behavior arising from the weighted sum. The resulting
exponents are calculated.
","[{""version"":""v1"",""created"":""Wed, 14 Dec 1994 13:22:49 GMT""}]","2009-10-22"
"cond-mat/9412070",,"Gunter M. Sch\""utz","Reaction-Diffusion Processes of Hard-Core Particles","LATEX, 18 pages, to be published in J. Stat. Phys",,"10.1007/BF02179389","Oxford Report OUTP-94-30S","cond-mat adap-org nlin.AO nlin.SI solv-int",,"  We study a 12-parameter stochastic process involving particles with two-site
interaction and hard-core repulsion on a $d$-dimensional lattice. In this
model, which includes the asymmetric exclusion process, contact processes and
other processes, the stochastic variables are particle occupation numbers
taking values $n_{\vec{x}}=0,1$. We show that on a 10-parameter submanifold the
$k$-point equal-time correlation functions $\exval{n_{\vec{x}_1} \cdots
n_{\vec{x}_k}}$ satisfy linear differential- difference equations involving no
higher correlators. In particular, the average density $\exval{n_{\vec{x}}} $
satisfies an integrable diffusion-type equation. These properties are explained
in terms of dual processes and various duality relations are derived. By
defining the time evolution of the stochastic process in terms of a quantum
Hamiltonian $H$, the model becomes equivalent to a lattice model in thermal
equilibrium in $d+1$ dimensions. We show that the spectrum of $H$ is identical
to the spectrum of the quantum Hamiltonian of a $d$-dimensional, anisotropic
spin-1/2 Heisenberg model. In one dimension our results hint at some new
algebraic structure behind the integrability of the system.
","[{""version"":""v1"",""created"":""Wed, 14 Dec 1994 13:15:44 GMT""}]","2009-10-22"
"cond-mat/9412071",,"N. Dupuis","Mean-field theory of a quasi-one-dimensional superconductor in a high
  magnetic field","35 pages, RevTex, 18 figures available upon request",,"10.1051/jp1:1995219",,"cond-mat",,"  At high magnetic field, the semiclassical approximation which underlies the
Ginzburg-Landau (GL) theory of the mixed state of type II superconductors
breaks down. In a quasi-1D superconductor (weakly coupled chains system) with
an {\it open Fermi surface}, a high magnetic field stabilizes a cascade of
superconducting phases which ends in a strong reentrance of the superconducting
phase. The superconducting state evolves from a triangular Abrikosov vortex
lattice in the semiclassical regime towards a Josephson vortex lattice in the
reentrant phase. We study the properties of these superconducting phases from a
microscopic model in the mean-field approximation. The critical temperature is
calculated in the quantum limit approximation (QLA) where only Cooper
logarithmic singularities are retained while less divergent terms are ignored.
The effects of Pauli pair breaking (PPB) and impurity scattering are taken into
account. The Gor'kov equations are solved in the same approximation but
ignoring the PPB effect. We derive the GL expansion of the free energy. We
obtain the specific heat jump at the transition, the sign of the magnetization
and the quasi-particle excitation spectrum. The calculation is extended beyond
the QLA taking into account all the pairing channels and the validity of the
QLA is discussed in detail.
","[{""version"":""v1"",""created"":""Wed, 14 Dec 1994 15:27:15 GMT""}]","2009-10-22"
"gr-qc/9412039","Peter Breitenlohner","Peter Breitenlohner, Peter Forgacs, and Dieter Maison
  (Max-Planck-Institut fuer Physik)","Gravitating Monopole Solutions II","24 pages, 11 figures (uuencoded compressed tar)","Nucl.Phys.B442:126-156,1995","10.1016/S0550-3213(95)00100-X","MPI-PhT/94-87","gr-qc",,"  We present analytical and numerical results for static, spherically symmetric
solutions of the Einstein Yang-Mills Higgs equations corresponding to magnetic
monopoles and non-abelian magnetically charged black holes. In the limit of
infinite Higgs mass we give an existence proof for these solutions. The
stability of the abelian extremal Reissner-Nordstrom black holes is reanalyzed.
","[{""version"":""v1"",""created"":""Tue, 13 Dec 1994 16:09:59 GMT""},{""version"":""v2"",""created"":""Wed, 14 Dec 1994 15:09:42 GMT""}]","2010-11-01"
"gr-qc/9412040","Miguel Ortiz","Gilad Lifschytz, Samir D. Mathur and Miguel E. Ortiz","A Note on the Semi-Classical Approximation in Quantum Gravity","Latex with 3 figures. About 30 pages","Phys.Rev.D53:766-778,1996","10.1103/PhysRevD.53.766",,"gr-qc hep-th",,"  We re-examine the semiclassical approximation to quantum gravity in the
canonical formulation, focusing on the definition of a quasiclassical state for
the gravitational field. It is shown that a state with classical correlations
must be a superposition of states of the form $e^{iS}$. In terms of a reduced
phase space formalism, this type of state can be expressed as a coherent
superposition of eigenstates of operators that commute with the constraints and
so correspond to constants of the motion. Contact is made with the usual
semiclassical approximation by showing that a superposition of this kind can be
approximated by a WKB state with an appropriately localised prefactor. A
qualitative analysis is given of the effects of geometry fluctuations, and the
possibility of a breakdown of the semiclassical approximation due to
interference between neighbouring classical trajectories is discussed. It is
shown that a breakdown in the semiclassical approximation can be a coordinate
dependent phenomenon, as has been argued to be the case close to a black hole
horizon.
","[{""version"":""v1"",""created"":""Tue, 13 Dec 1994 16:45:31 GMT""},{""version"":""v2"",""created"":""Tue, 20 Jun 1995 16:04:02 GMT""},{""version"":""v3"",""created"":""Fri, 27 Oct 1995 14:02:17 GMT""}]","2010-11-01"
"gr-qc/9412041","Sardanashvily Gennadi","G.Sardanashvily (Moscow State University)","Energy-Momentum Conservation Laws in Hamiltonian Field Theory","21 pp, LaTeX file",,,"TP\94\246","gr-qc hep-th",,"  In the Lagrangian field theory, one gets different identities for different
stress energy-momentum tensors, e.g., canonical energy-momentum tensors.
Moreover, these identities are not conservation laws of the above-mentioned
energy-momentum tensors in general. In the framework of the multimomentum
Hamiltonian formalism, we have the fundamental identity whose restriction to a
constraint space can be treated the energy-momentum conservation law. In
standard field models, this appears the metric energy-momentum conservation
law.
","[{""version"":""v1"",""created"":""Wed, 14 Dec 1994 03:51:37 GMT""}]","2007-05-23"
"hep-ex/9412009",,"F. Abe, et al. (CDF Collaboration)","Kinematic Evidence for Top Quark Pair Production in $W+$ Multijet Events
  in $p \bar p$ Collisions at $\sqrt{s}$~=~1.8 TeV","45 pages (Latex), 17 uuencoded Postscript figures, correction of
  abstract","Phys.Rev.D51:4623-4637,1995","10.1103/PhysRevD.51.4623","FERMILAB-PUB-94/411-E","hep-ex",,"  We present a study of $W+$multijet events that compares the kinematics of the
observed events with expectations from direct QCD $W+$jet production and from
production and decay of top quark pairs. The data were collected in the 1992-93
run with the Collider Detector at Fermilab from 19.3 pb$^{-1}$ of proton-anti
proton collisions at $\sqrt{s}=1.8$ TeV. From the $W+\geq 3$ jet events, a
""signal sample"" with an improved ratio of $t \bar{t}$ to QCD produced $W$
events is selected by requiring each jet to be emitted centrally in the event
center of mass frame. This sample contains 14 events with unusually hard jet
E$_T$ distributions not well described by expectations for jets from direct QCD
$W$ production and other background processes. Using expected jet E$_T$
distributions, a relative likelihood is defined and used to determine if an
event is more consistent with the decay of $t \bar{t}$ pairs, with M$_{top}$~=~
170 GeV/c$^2$, than with direct QCD $W$ production, while only 1.7 such
top--like events are expected in the absence of $t \bar{t}$. Good agreement in
the jet spectra is obtained if jet production from $t \bar{t}$ pair decays is
included. For those events kinematically more consistent with $t \bar{t}$ we
find evidence for a $b$-quark content in their jets to the extent expected from
top decay, and larger than expected for background processes. For events with
four or more jets, the discrepancy with the predicted jet energy distributions
from direct QCD $W$ production, and the associated excess of $b$-quark content
is more pronounced.
","[{""version"":""v1"",""created"":""Wed, 14 Dec 1994 00:57:54 GMT""},{""version"":""v2"",""created"":""Wed, 14 Dec 1994 15:40:08 GMT""}]","2010-05-12"
"hep-ex/9412010","Ryoji Enomoto","R. Enomoto et al","Feasibility Study of Single-Photon Counting Using a Fine-mesh Phototube
  for an Aerogel Readout","8 pages, latex format (article), figures included, published in Nucl.
  Instrm. Meth. A332 (1993) 129","Nucl.Instrum.Meth.A332:129-133,1993","10.1016/0168-9002(93)90749-8","KEK Preprint 93-3","hep-ex",,"  The fine-mesh phototube is one type of photodetector which can be used under
a strong magnetic field. For an aerogel readout, the single-photon detection
efficiency should be close to 100\% in order to identify particle species. We
carried out a feasibility study of single-photon counting using fine-mesh
phototubes, and obtained a possible solution.
","[{""version"":""v1"",""created"":""Wed, 14 Dec 1994 04:57:04 GMT""}]","2010-11-01"
"hep-lat/9412069","Dong Chen","Dong Chen","Hadron masses on a 16^3 x 40 lattice at \beta = 5.7","Contribution to Lattice 94. 3 pages. Latex source followed by
  compressed, uuenocded postscript file of the complete paper. Individual
  figures available from dch@cuphyf.columbia.edu","Nucl.Phys.Proc.Suppl. 42 (1995) 312-314","10.1016/0920-5632(95)00236-3","CU-TP-664","hep-lat",,"  We report on the hadron mass spectrum obtained on a 16^3 x 40 lattice in full
QCD at \beta = 5.7 using two flavors of staggered fermions with m a = 0.01. We
study the effective mass plateaus for different sized sources. Our mass results
are slightly lighter than our earlier 16^3 x 32 calculation. The Landau gauge
\Delta is quite different from the Coulomb gauge \Delta.
","[{""version"":""v1"",""created"":""Tue, 13 Dec 1994 16:15:07 GMT""}]","2009-10-28"
"hep-lat/9412070","Shailesh Chandrasekharan","Shailesh Chandrasekharan","Critical Behavior of the chiral condensate at the QCD phase transition","Contribution to Lattice 94. 3 pages. Latex source followed by
  compressed, uuenocded postscript file of the complete paper. Individual
  figures available from sch@cuphyf.phys.columbia.edu","Nucl.Phys.Proc.Suppl. 42 (1995) 475-477","10.1016/0920-5632(95)00284-G","CU-TP-663","hep-lat",,"  We study the critical behavior of the chiral condensate near the QCD phase
transition in the background of two fixed light dynamical (sea) quarks. We
study the condensate for $5.245 \leq \beta \leq 5.3$ and $10^{-10} \leq m_{val}
\leq 10$
","[{""version"":""v1"",""created"":""Tue, 13 Dec 1994 16:18:28 GMT""}]","2009-10-28"
