"alg-geom/9412001","Wayne Raskind","Wayne M. Raskind","Higher $l$-adic Abel-Jacobi mappings and filtrations on Chow groups","33 pages, Latex. To appear in Duke Math. Journal",,,,"alg-geom math.AG",,"  We define a filtration on the Chow groups of a smooth projective variety X
over a field k by using the cycle map into continuous l-adic etale cohomology.
The main theorem says that if k is a function field in one variable over a
finite field, this filtration for zero cycles is of length at most one modulo
the kernel of the cycle map.
","[{""version"":""v1"",""created"":""Fri, 2 Dec 1994 14:25:23 GMT""}]","2008-02-03"
"cond-mat/9412007","Lisa Wickham","L. K. Wickham and J. P. Sethna (Cornell University)","Fast Domain Growth through Density-Dependent Diffusion in a Driven
  Lattice Gas","18 pages, RevTex3.0","Phys. Rev. B 51, 15017 (1995)","10.1103/PhysRevB.51.15017",,"cond-mat",,"  We study electromigration in a driven diffusive lattice gas (DDLG) whose
continuous Monte Carlo dynamics generate higher particle mobility in areas with
lower particle density. At low vacancy concentrations and low temperatures,
vacancy domains tend to be faceted: the external driving force causes large
domains to move much more quickly than small ones, producing exponential domain
growth. At higher vacancy concentrations and temperatures, even small domains
have rough boundaries: velocity differences between domains are smaller, and
modest simulation times produce an average domain length scale which roughly
follows $L \sim t^{\zeta}$, where $\zeta$ varies from near .55 at 50% filling
to near .75 at 70% filling. This growth is faster than the $t^{1/3}$ behavior
of a standard conserved order parameter Ising model. Some runs may be
approaching a scaling regime. At low fields and early times, fast growth is
delayed until the characteristic domain size reaches a crossover length which
follows $L_{cross} \propto E^{-\beta}$. Rough numerical estimates give $\beta=
>.37$ and simple theoretical arguments give $\beta= 1/3$. Our conclusion that
small driving forces can significantly enhance coarsening may be relevant to
the YB$_2$Cu$_3$O$_{7- \delta}$ electromigration experiments of Moeckly {\it et
al.}(Appl. Phys. Let., {\bf 64}, 1427 (1994)).
","[{""version"":""v1"",""created"":""Thu, 1 Dec 1994 17:31:54 GMT""},{""version"":""v2"",""created"":""Fri, 2 Dec 1994 19:01:01 GMT""}]","2009-10-22"
"cond-mat/9412008","Eunsik Kim","Eunsik Kim, M. S. Makivik and D. L. Cox","Knight Shift Anomalies in Heavy Electron Materials","4 pages, Revtex, 3 figures available upon request from
  eunsik@pacific.mps.ohio-state.edu",,"10.1103/PhysRevLett.75.2015",,"cond-mat",,"  We calculate non-linear Knight Shift $K$ vs. susceptibility $\chi$ anomalies
for Ce ions possessing local moments in metals. The ions are modeled with the
Anderson Hamiltonian and studied within the non-crossing approximation (NCA).
The $K-vs.- \chi$ non-linearity diminishes with decreasing Kondo temperature
$T_0$ and nuclear spin- local moment separation. Treating the Ce ions as an
incoherent array in CeSn$_3$, we find excellent agreement with the observed Sn
$K(T)$ data.
","[{""version"":""v1"",""created"":""Thu, 1 Dec 1994 22:40:05 GMT""}]","2009-10-22"
"cond-mat/9412009","Hans-Benjamin Braun","Hans-Benjamin Braun","Fluctuations and Instabilities of Ferromagnetic Domain Wall pairs in an
  External Magnetic Field","15 pages RevTex 3.0 (twocolumn), 9 figures available on request, to
  appear in Phys Rev B, Dec (1994)",,"10.1103/PhysRevB.50.16485",,"cond-mat",,"  Soliton excitations and their stability in anisotropic quasi-1D ferromagnets
are analyzed analytically. In the presence of an external magnetic field, the
lowest lying topological excitations are shown to be either soliton-soliton or
soliton-antisoliton pairs. In ferromagnetic samples of macro- or mesoscopic
size, these configurations correspond to twisted or untwisted pairs of Bloch
walls. It is shown that the fluctuations around these configurations are
governed by the same set of operators. The soliton-antisoliton pair has exactly
one unstable mode and thus represents a critical nucleus for thermally
activated magnetization reversal in effectively one-dimensional systems. The
soliton-soliton pair is stable for small external fields but becomes unstable
for large magnetic fields. From the detailed expression of this instability
threshold and an analysis of nonlocal demagnetizing effects it is shown that
the relative chirality of domain walls can be detected experimentally in thin
ferromagnetic films. The static properties of the present model are equivalent
to those of a nonlinear sigma-model with anisotropies. In the limit of large
hard-axis anisotropy the model reduces to a double sine-Gordon model.
","[{""version"":""v1"",""created"":""Fri, 2 Dec 1994 07:58:48 GMT""},{""version"":""v2"",""created"":""Fri, 2 Dec 1994 08:51:25 GMT""}]","2009-10-22"
"cond-mat/9412010","Hans-Benjamin Braun","Hans-Benjamin Braun","Statistical Mechanics of Nonuniform Magnetization Reversal","21 pages RevTex 3.0 (twocolumn), 6 figures available on request, to
  appear in Phys Rev B, Dec (1994)",,"10.1103/PhysRevB.50.16501",,"cond-mat",,"  The magnetization reversal rate via thermal creation of soliton pairs in
quasi-1D ferromagnetic systems is calculated. Such a model describes e.g. the
time dependent coercivity of elongated particles as used in magnetic recording
media. The energy barrier that has to be overcome by thermal fluctuations
corresponds to a soliton-antisoliton pair whose size depends on the external
field. In contrast to other models of first order phase transitions such as the
phi^4 model, an analytical expression for this energy barrier is found for all
values of the external field. The magnetization reversal rate is calculated
using a functional Fokker-Planck description of the stochastic magnetization
dynamics. Analytical results are obtained in the limits of small fields and
fields close to the anisotropy field. In the former case the hard-axis
anisotropy becomes effectively strong and the magnetization reversal rate is
shown to reduce to the nucleation rate of soliton-antisoliton pairs in the
overdamped double sine-Gordon model. The present theory therefore includes the
nucleation rate of soliton-antisoliton pairs in the double sine-Gordon chain as
a special case. These results demonstrate that for elongated particles, the
experimentally observed coercivity is significantly lower than the value
predicted by the standard theories of N\'eel and Brown.
","[{""version"":""v1"",""created"":""Fri, 2 Dec 1994 07:59:06 GMT""},{""version"":""v2"",""created"":""Fri, 2 Dec 1994 08:52:06 GMT""}]","2009-10-22"
"cond-mat/9412011","Pere-Anton Bares","P.-A. Bares","Exact results for a one-dmensional t-J model with impurity","13 pages, REVTex, no figures",,,"no number assigned","cond-mat",,"  We propose a simple idea to construct 1D integrable models with impurities.
We illustrate the strategy for a supersymmetric $t-J$ Hamiltonian in
considerable detail. The impurity comprises the local deformation of the
hopping and exchange integrals as well as a three-body charge-current
interactions on neighboring sites. We explore the thermodynamic properties of
the system at low and high temperatures, and obtain results that are beyond
boundary conformal-field theory.
","[{""version"":""v1"",""created"":""Fri, 2 Dec 1994 10:42:54 GMT""}]","2007-05-23"
"cond-mat/9412012",,"Michel Ramin, Bertrand Reulet and Helene Bouchiat","Electron-electron interactions in one- and three-dimensional mesoscopic
  disordered rings: a perturbative approach","7 pages in REVTEX, 4 figures",,"10.1103/PhysRevB.51.5582",,"cond-mat",,"  We have computed persistent currents in a disordered mesoscopic ring in the
presence of small electron-electron interactions, treated in first order
perturbation theory. We have investigated both a contact (Hubbard) and a
nearest neighbour interaction in 1D and 3D. Our results show that a repulsive
Hubbard interaction produces a paramagnetic contribution to the average current
(whatever the dimension) and increases the value of the typical current. On the
other hand, a nearest neighbour repulsive interaction results in a diamagnetic
contribution in 1D and paramagnetic one in 3D, and tends to decrease the value
of the typical current in any dimension. Our study is based on numerical
simulations on the Anderson model and is justified analytically in the presence
of very weak disorder. We have also investigated the influence of the amount of
disorder and of the statistical (canonical or grand-canonical) ensemble.
","[{""version"":""v1"",""created"":""Fri, 2 Dec 1994 11:06:31 GMT""}]","2009-10-22"
"cond-mat/9412013","Diptiman Sen","Diptiman Sen","Dimensional Reduction of Two-Dimensional Anyons to a One-Dimensional
  Interacting Bose Gas","8 pages, plain TeX, no figures",,,,"cond-mat hep-th",,"  We conjecture that a two-dimensional anyon system reduces, when confined to a
narrow channel, to a one-dimensional bose gas with a repulsive two-body
$\delta$-function interaction. We verify this conjecture in first-order
perturbation theory near bosons. If the channel width is reduced to zero, the
one-dimensional system is fermionic for all anyons other than bosons.
","[{""version"":""v1"",""created"":""Fri, 2 Dec 1994 10:38:00 GMT""}]","2007-05-23"
"funct-an/9412001",,"A.V.Karabegov","Berezin's quantization on flag manifolds and spherical modules","20 pages",,,"None","funct-an math.OA math.QA",,"  It is shown that the theory of spherical Harish-Chandra modules naturally
provides the algebras of covariant, contravariant and mixed symbols on
generalized flag manifolds. The general proof of the correspondence principle
for all these symbol algebras is given.
","[{""version"":""v1"",""created"":""Thu, 1 Dec 1994 19:06:03 GMT""}]","2015-04-21"
"gr-qc/9412002","Maria Bento","M. C. Bento and O. Bertolami","Scale Factor Duality: A Quantum Cosmological Approach","10 pages, plain tex, uses panda.tex (appended)","Class.Quant.Grav.12:1919-1926,1995","10.1088/0264-9381/12/8/009","CERN-TH.7488/94, DFTT 43/94","gr-qc",,"  We consider the minisuperspace model arising from the lowest order string
effective action containing the graviton and the dilaton and study solutions of
the resulting Wheeler-Dewitt equation. The scale factor duality symmetry is
discussed in the context of our quantum cosmological model.
","[{""version"":""v1"",""created"":""Thu, 1 Dec 1994 16:59:02 GMT""}]","2010-04-06"
"gr-qc/9412004",,"S. R. Vatsya","Mechanics of a Particle in a Gauge Field","A new Gauge theoretical description of Quantum Mechanics. 30 pages,
  LaTeX, To appear in Can. J. Phys. Corr: 80 Char. lines","Can.J.Phys. 73 (1995) 85-95","10.1139/p95-013",,"gr-qc",,"  The action principle is frequently used to derive the classical equations of
motion. The action may also be used to associate group elements with curves in
the space-time manifold, similar to the gauge transformations. The action
principle is shown here to be an equivalence relation between the infinitesimal
elements so defined for a collection of closed curves and the identity element.
The action principle is then extended by requiring the equivalence of global
elements with the identity and by considering all curves. The resulting
equation is generalized further to include the non-Abelian gauge fields. The
extended equation has an infinite number, but not all, trajectories as
solutions. The properties of these paths are shown to impart wave-like
properties to the particles in motion. These results provide an insight into
the wave-particle duality and lead to a modified path-integral formalism. The
motion of a particle is formulated within the resulting framework which yields
a generalized Schrodinger equation. This equation is shown to reduce to a set
of equations, one of them being the Klein-Gordon equation.
","[{""version"":""v1"",""created"":""Thu, 1 Dec 1994 18:53:26 GMT""},{""version"":""v2"",""created"":""Sun, 4 Dec 1994 00:24:17 GMT""}]","2015-06-25"
"gr-qc/9412005","Laszlo E. Szabo","Laszlo E. Szabo","Is Quantum Mechanics Compatible with a Deterministic Universe? Two
  Interpretations of Quantum Probabilities","REVISED VERSION! ONLY SMALL CHANGES IN THE TEXT! compressed and
  uuencoded postscript, a uuencoded version of a demo program file (epr.exe for
  DOS) is attached as a ""Figure""",,"10.1007/BF02186578",,"gr-qc quant-ph",,"  Two problems will be considered: the question of hidden parameters and the
problem of Kolmogorovity of quantum probabilities. Both of them will be
analyzed from the point of view of two distinct understandings of quantum
mechanical probabilities. Our analysis will be focused, as a particular
example, on the Aspect-type EPR experiment. It will be shown that the quantum
mechanical probabilities appearing in this experiment can be consistently
understood as conditional probabilities without any paradoxical consequences.
Therefore, nothing implies in the Aspect experiment that quantum theory is
incompatible with a deterministic universe.
","[{""version"":""v1"",""created"":""Thu, 1 Dec 1994 19:05:33 GMT""},{""version"":""v2"",""created"":""Wed, 7 Dec 1994 11:40:29 GMT""},{""version"":""v3"",""created"":""Thu, 13 Apr 1995 14:44:45 GMT""}]","2009-10-22"
"gr-qc/9412006","Monica Pierri","A. Corichi and M. Pierri","Gravity and Geometric Phases","11 pages, latex file","Phys.Rev. D51 (1995) 5870-5875","10.1103/PhysRevD.51.5870","CGPG-94/12-1","gr-qc hep-th quant-ph",,"  The behavior of a quantum test particle satisfying the Klein-Gordon equation
in a certain class of 4 dimensional stationary space-times is examined. In a
space-time of a spinning cosmic string, the wave function of a particle in a
box is shown to acquire a geometric phase when the box is transported around a
closed path surrounding the string. When interpreted as an Aharonov-Anandan
geometric phase, the effect is shown to be related to the Aharonov-Bohm effect.
","[{""version"":""v1"",""created"":""Thu, 1 Dec 1994 20:03:50 GMT""}]","2009-10-22"
"gr-qc/9412007","Tct105","T.-C. Toh and M. R. Anderson","Knots and Classical 3-Geometries","14p. type-set in AmS-TeX version 2.1","J.Math.Phys. 36 (1995) 596-604","10.1063/1.531324",,"gr-qc",,"  It has been conjectured by Rovelli that there is a correspondence between the
space of link classes of a Riemannian 3-manifold and the space of 3-geometries
(on the same manifold). An exact statement of his conjecture will be
established and then verified for the case when the 3-manifold is compact,
orientable and closed.
","[{""version"":""v1"",""created"":""Thu, 1 Dec 1994 23:07:24 GMT""}]","2009-10-22"
"gr-qc/9412008","David Garfinkle","David Garfinkle","Choptuik scaling in null coordinates","latex (revtex), 6 figures included in the file","Phys.Rev.D51:5558-5561,1995","10.1103/PhysRevD.51.5558",,"gr-qc",,"  A numerical simulation is performed of the gravitational collapse of a
spherically symmetric scalar field. The algorithm uses the null initial value
formulation of the Einstein-scalar equations, but does {\it not} use adaptive
mesh refinement. A study is made of the critical phenomena found by Choptuik in
this system. In particular it is verified that the critical solution exhibits
periodic self-similarity. This work thus provides a simple algorithm that gives
verification of the Choptuik results.
","[{""version"":""v1"",""created"":""Fri, 2 Dec 1994 00:36:48 GMT""}]","2010-11-01"
"gr-qc/9412009","Jacques Legare","J. Legare and J.W. Moffat","Field Equations and Conservation Laws in the Nonsymmetric Gravitational
  Theory","16 pages, RevTeX. Additional equations supplied",,"10.1007/BF02105322","UTPT-94-36","gr-qc",,"  The field equations in the nonsymmetric gravitational theory are derived from
a Lagrangian density using a first-order formalism. Using the general
covariance of the Lagrangian density, conservation laws and tensor identities
are derived. Among these are the generalized Bianchi identities and the law of
energy-momentum conservation. The Lagrangian density is expanded to
second-order, and treated as an ``Einstein plus fields'' theory. From this, it
is deduced that the energy is positive in the radiation zone.
","[{""version"":""v1"",""created"":""Fri, 2 Dec 1994 14:40:58 GMT""},{""version"":""v2"",""created"":""Thu, 8 Dec 1994 21:20:56 GMT""}]","2009-10-22"
"hep-ex/9412001","Ryoji Enomoto","R. Enomoto, et al. (TOPAZ collaboration)","Measurement of the $D^{*\pm}$ Cross Section using a Soft-Pion Analysis
  in Two-Photon Processes","16 pages, Latex format, figures will be sent by 'figures' command","Phys.Lett.B328:535-546,1994","10.1016/0370-2693(94)91515-6","KEK preprint 93-215","hep-ex",,"  The differential cross section of $d\sigma(e^+e^-\to e^+e^-D^{*\pm}X)/dP_T$
was measured using a soft-pion analysis of $D^{*\pm}\to \pi_s^\pm
D^0(\bar{D^0})$ at TRISTAN. The average $\sqrt{s}$ was 58.1 GeV and the
integrated luminosity used in this analysis was 198 pb$^{-1}$, respectively.
","[{""version"":""v1"",""created"":""Fri, 2 Dec 1994 01:53:12 GMT""}]","2010-11-01"
"hep-lat/9412005","Mitrjushkin","A. Hoferichter, V.K. Mitrjushkin and M. M\""uller-Preussker","Pseudoscalar correlators and the problem of the chiral limit in the
  compact lattice QED with Wilson fermions","3 pages, TALK GIVEN AT THE LATTICE '94 INTERNATIONAL SYMPOSIUM
  LATTICE FIELD THEORY, BIELEFELD, GERMANY, SEPTEMBER 27 -- OCTOBER 1, 1994
  Three figures are included as ps-files. Look for %%%%% FIG1.PS %%%% , etc","Nucl.Phys.Proc.Suppl. 42 (1995) 669-671","10.1016/0920-5632(95)00345-A",,"hep-lat",,"  The phase diagram for the compact lattice QED with Wilson fermions is shown.
We discuss different methods for the calculation of the 'pion' mass $m_{\pi}$
near the chiral transition point $\kappa_c(\beta )$.
","[{""version"":""v1"",""created"":""Thu, 1 Dec 1994 17:15:01 GMT""}]","2009-10-28"
"hep-lat/9412006",,"Jan Ambjorn","Recent progress in the theory of random surfaces and simplicial quantum
  gravity","14 pages, missing csh command added to the tar compressed uuencoded
  ps-file. After removing header use csh file.uu to get ps-file","Nucl.Phys.Proc.Suppl. 42 (1995) 3-16","10.1016/0920-5632(95)00181-8","NBI-HE-94-55","hep-lat gr-qc hep-th",,"  Some of the recent developments in the theory of random surfaces and
simplicial quantum gravity is reviewed. For 2d quantum gravity this includes
the failure of Regge calculus, our improved understanding of the $c>1$ regime,
some surprises for q-state Potts models with $q > 4$, attempts to use
renormalization group techniques, new critical behavior of random surface
models with extrinsic curvature and improved algorithms. For simplicial quantum
gravity in higher dimensions it includes a discussion of the exponential
entropy bound needed for the models to be well defined, the question of
``computational ergodicity'' and the question of how to extract continuum
behavior from the lattice simulations.
","[{""version"":""v1"",""created"":""Thu, 1 Dec 1994 17:03:37 GMT""},{""version"":""v2"",""created"":""Fri, 2 Dec 1994 13:20:39 GMT""}]","2009-10-28"
