"alg-geom/9403005","Ted Shifrin","C. McCrory, T. Shifrin, R. Varley (University of Georgia)","Siegel modular forms generated by invariants of cubic hypersurfaces","24 pages in AMSppt 2.1, preprint Univ. of Georgia 2/94",,,,"alg-geom math.AG",,"  We give a geometric derivation of Schottky's equation in genus four for the
period matrices of Riemann surfaces among all period matrices. The equation
arises naturally from the singularity theory of the Gauss map on the theta
divisor, and thus generalizes for any genus $g \ge 4$ to a certain ideal of
Siegel modular forms vanishing on period matrices of Riemann surfaces. This
ideal is generated by modular forms associated to the invariants of cubic forms
in $g - 1$ variables which vanish on the Fermat cubic.
","[{""version"":""v1"",""created"":""Thu, 3 Mar 1994 20:21:32 GMT""},{""version"":""v2"",""created"":""Fri, 4 Mar 1994 19:46:24 GMT""},{""version"":""v3"",""created"":""Mon, 7 Mar 1994 15:57:52 GMT""}]","2008-02-03"
"gr-qc/9403012","Ralph Scott","Raymond S. Puzio","The Gauss Map and 2+1 Gravity",,"Class.Quant.Grav.11:2667-2676,1994","10.1088/0264-9381/11/11/009",,"gr-qc",,"  We prove that the Gauss map of a surface of constant mean curvature embedded
in Minkowski space is harmonic. This fact will then be used to study 2+1
gravity for surfaces of genus higher than one. By considering the energy of the
Gauss map, a canonical transform between the ADM reduced variables and holonomy
variables can be constructed. This allows one to solve (in principle) for the
evolution in the ADM variables without having to explicitly solve the
constraints first.
","[{""version"":""v1"",""created"":""Fri, 4 Mar 1994 06:53:14 GMT""}]","2010-04-06"
"hep-lat/9403003","Shin-ichi Tominaga","S. Tominaga and S. V. Zenkin","Phase structure of the Higgs-Yukawa systems with chirally invariant
  lattice fermion actions","KEK-TH-390, KYUSHU-HET-17, 34 pages (harvmac) including 17 figures
  (appended in postscript format with uuencoded tar file).(PostScript Files are
  fixed.)","Phys.Rev. D50 (1994) 3387-3398; Addendum-ibid. D53 (1996)
  6674-6677","10.1103/PhysRevD.50.3387",,"hep-lat",,"  We develop analytical technique for examining phase structure of $Z_2$,
$U(1)$, and $SU(2)$ lattice Higgs-Yukawa systems with radially frozen Higgs
fields and chirally invariant lattice fermion actions. The method is based on
variational mean field approximation. We analyse phase diagrams of such systems
with different forms of lattice fermion actions and demonstrate that it
crucially depends both on the symmetry group and on the form of the action. We
discuss location in the diagrams of possible non-trivial fixed points relevant
to continuum physics, and argue that the candidates can exist only in $Z_2$
system with SLAC action and $U(1)$ systems with naive and SLAC actions. [Note:
By a product, missing term in Eq. (3.5) of hep-lat/9309010 is reconstructed,
that, however, affects only the result of Sect. 4.3 (Fig. 3) of that reference
(cf. Fig. 2(c) of this paper).]
","[{""version"":""v1"",""created"":""Fri, 4 Mar 1994 09:23:55 GMT""},{""version"":""v2"",""created"":""Tue, 8 Mar 1994 13:57:58 GMT""}]","2009-10-22"
"hep-lat/9403004","Chris Michael","UKQCD Collaboration, C. Michael and P. W. Stephenson","The Nature of the Hadronic String","11 pages, uu encoded compressed postscript file including 2 figures,
  Liverpool preprint LTH 327, Swansea preprint SWAT/25","Phys.Rev.D50:4634-4638,1994","10.1103/PhysRevD.50.4634",,"hep-lat",,"  We study a closed hadronic string using pure glue lattice simulation. We
measure the energy of the flux state encircling the periodic boundary condition
(the torelon). From these data we deduce the string fluctuation component and
compare with models for the hadronic string. [The TEX source file is also
available by anonymous ftp from suna.amtp.liv.ac.uk in directory pub/cmi ]
","[{""version"":""v1"",""created"":""Fri, 4 Mar 1994 09:51:19 GMT""}]","2008-11-26"
"hep-ph/9403222","Felix Schlumpf","Felix M. Lev","Exact Construction of the Electromagnetic Current Operator for
  Relativistic Composite Systems","(lev@nusun.jinr.dubna.su), 100 pages LaTeX","Annals Phys. 237:355-419,1995","10.1006/aphy.1995.1013",,"hep-ph",,"  The electromagnetic current operator of a composite system must be a
relativistic vector operator satisfying current conservation, cluster
separability and the condition that interactions between the constituents do
not renormalize the total electric charge. Assuming that these interactions are
described in the framework of relativistic quantum mechanics of systems with a
fixed number of particles we explicitly construct the current operators
satisfying the above properties in cases of two and three particles and prove
that solutions exist for any number of particles. The consideration is
essentially based on the method of packing operators in the point form of
relativistic dynamics developed by Sokolov. Using the method developed by
Sokolov and Shatny we also construct the current operators in the instant and
front forms and prove that the corresponding results are physically equivalent.
The paper is self-contained what makes it possible for the reader to learn
both, relativistic quantum mechanics of systems with a fixed number of
particles and the problem of constructing the electromagnetic current operator
for such systems.
","[{""version"":""v1"",""created"":""Thu, 3 Mar 1994 17:59:48 GMT""}]","2015-06-25"
"hep-ph/9403223","Craig Roberts","K. L. Mitchell, P. C. Tandy, C. D. Roberts and R. T. Cahill","Charge symmetry breaking via rho-omega mixing from model quark-gluon
  dynamics","11 Pages, 3 figures uuencoded and appended to this file, REVTEX 3.0.
  ANL-PHY-7718-TH-94, KSUCNR-004-94. [!! PostScript file format corrected.
  Retrieve by anonymous ftp from theory.phy.anl.gov (130.202.20.190), directory
  pub: mget wpfig*.ps Three files.]","Phys.Lett.B335:282-288,1994","10.1016/0370-2693(94)90351-4",,"hep-ph nucl-th",,"  The quark-loop contribution to the $\rho^0-\omega$ mixing self-energy
function is calculated using a phenomenologically successful QCD-based model
field theory in which the $\rho^0$ and $\omega$ mesons are composite $\bar{q}q$
bound states. In this calculation the dressed quark propagator, obtained from a
model Dyson-Schwinger equation, is confining. In contrast to previous studies,
the meson-$\bar{q}q$ vertex functions are characterised by a strength and range
determined by the dynamics of the model; and the calculated off-mass-shell
behaviour of the mixing amplitude includes the contribution from the calculated
diagonal meson self-energies. The mixing amplitude is shown to be very
sensitive to the small isovector component of dynamical chiral symmetry
breaking. The spacelike quark-loop mixing-amplitude generates an insignificant
charge symmetry breaking nuclear force.
","[{""version"":""v1"",""created"":""Thu, 3 Mar 1994 19:38:58 GMT""},{""version"":""v2"",""created"":""Tue, 8 Mar 1994 17:57:06 GMT""}]","2010-03-04"
"hep-ph/9403224","Craig Roberts","C. D. Roberts and A. G. Williams","Dyson-Schwinger Equations and the Application to Hadronic Physics","110 pages, LaTeX. Replaced only to facilitate retrieval. Also
  available at /u/ftp/pub/Review.uu via anonymnous-ftp","Prog.Part.Nucl.Phys.33:477-575,1994","10.1016/0146-6410(94)90049-3",,"hep-ph nucl-th",,"  We review the current status of nonperturbative studies of gauge field theory
using the Dyson-Schwinger equation formalism and its application to hadronic
physics. We begin with an introduction to the formalism and a discussion of
renormalisation in this approach. We then review the current status of studies
of Abelian gauge theories [e.g., strong coupling quantum electrodynamics]
before turning our attention to the non-Abelian gauge theory of the strong
interaction, quantum chromodynamics. We discuss confinement, dynamical chiral
symmetry breaking and the application and contribution of these techniques to
our understanding of the strong interactions.
","[{""version"":""v1"",""created"":""Thu, 3 Mar 1994 22:34:27 GMT""},{""version"":""v2"",""created"":""Mon, 11 Aug 1997 23:07:07 GMT""}]","2008-11-26"
"hep-ph/9403225","Pivovarov","S. Narison and A.A. Pivovarov","QSSR estimate of the $B_B$ parameter at next-to-leading order","8 pages, LaTeX, CERN-TH.7140/94, PM 93/16, and KEK Preprint 93-184,
  two figures appended as a PS file","Phys.Lett.B327:341-346,1994","10.1016/0370-2693(94)90739-0",,"hep-ph",,"  We compute the leading $\alpha_s$ corrections to the two-point correlator of
the $O_{\Delta B=2}$ operator which controls the $B^0 \bar B^0$ mixing. Using
this result within the QCD spectral sum rules approach and some
phenomenologically reasonable assumptions in the parametrization of the
spectral function, we conclude that the vacuum saturation values $B_B\simeq
B_{B^*}\simeq 1$ are satisfied within 15\%.
","[{""version"":""v1"",""created"":""Fri, 4 Mar 1994 01:30:56 GMT""}]","2010-11-01"
"hep-ph/9403226","Bern","Z. Bern, L. Dixon, D.C. Dunbar and D.A. Kosower","One-Loop n-Point Gauge Theory Amplitudes, Unitarity and Collinear Limits","52 pages (including figures), minor typographical errors corrected,
  SLAC-PUB-6415","Nucl.Phys.B425:217-260,1994","10.1016/0550-3213(94)90179-1",,"hep-ph hep-th",,"  We present a technique which utilizes unitarity and collinear limits to
construct ansatze for one-loop amplitudes in gauge theory. As an example, we
obtain the one-loop contribution to amplitudes for $n$ gluon scattering in
$N=4$ supersymmetric Yang-Mills theory with the helicity configuration of the
Parke-Taylor tree amplitudes. We prove that our $N=4$ ansatz is correct using
general properties of the relevant one-loop $n$-point integrals. We also give
the ``splitting amplitudes'' which govern the collinear behavior of one-loop
helicity amplitudes in gauge theories.
","[{""version"":""v1"",""created"":""Fri, 4 Mar 1994 04:55:10 GMT""},{""version"":""v2"",""created"":""Wed, 16 Mar 1994 08:26:14 GMT""}]","2009-09-25"
"hep-ph/9403227","Rik Tangerman","R.D. Tangerman and P.J. Mulders","Intrinsic transverse momentum and the polarized Drell-Yan process","25 pages, REVTEX 3.0 (3 figures included in separate LATEX file using
  feynman.tex), NIKHEF-94-P1 (Revised version)","Phys.Rev.D51:3357-3372,1995","10.1103/PhysRevD.51.3357",,"hep-ph nucl-th",,"  In this paper we study the cross section at leading order in $1/Q$ for
polarized Drell-Yan scattering at measured lepton-pair transverse momentum
$Q_T$. We find that for a hadron with spin $1/2$ the quark content at leading
order is described by six distribution functions for each flavor, which depend
on both the lightcone momentum fraction $x$, and the quark transverse momentum
$\bbox{k}_T^2$. These functions are illustrated for a free-quark ensemble. The
cross sections for both longitudinal and transverse polarizations are expressed
in terms of convolution integrals over the distribution functions.
","[{""version"":""v1"",""created"":""Fri, 4 Mar 1994 14:26:43 GMT""},{""version"":""v2"",""created"":""Tue, 16 Aug 1994 14:57:14 GMT""}]","2011-05-05"
"hep-th/9403016",,"Masoud Alimohammadi","Quantum Chains with $GL_q(2)$ Symmetry","7 pages,latex,this is the completely revised version of my paper
  which is submitted for publication","J.Math.Phys. 37 (1996) 1-5","10.1063/1.531372","IPM-94-28","hep-th",,"  Usually quantum chains with quantum group symmetry are associated with
representations of quantized universal algebras $U_q(g) $ . Here we propose a
method for constructing quantum chains with $C_q(G)$ global symmetry , where
$C_q(G)$ is the algebra of functions on the quantum group. In particular we
will construct a quantum chain with $GL_q(2)$ symmetry which interpolates
between two classical Ising chains.It is shown that the Hamiltonian of this
chain satisfies in the generalised braid group algebra.
","[{""version"":""v1"",""created"":""Thu, 3 Mar 1994 18:38:53 GMT""},{""version"":""v2"",""created"":""Wed, 14 Dec 1994 14:52:45 GMT""}]","2009-10-28"
"hep-th/9403017","Andrei Johansen","A.Johansen","Twisting of N=1 SUSY Gauge Theories and Heterotic Topological Theories","Latex, 35 pages, FERMILAB-PUB-93/062-T. More extended arguments, 7
  references added, some misprints are removed","Int.J.Mod.Phys. A10 (1995) 4325-4358","10.1142/S0217751X9500200X",,"hep-th",,"  It is shown that $D=4$ $N=1$ SUSY Yang-Mills theory with an appropriate
supermultiplet of matter can be twisted on compact K\""ahler manifold. The
conditions of cancellation of anomalies of BRST charge are found. The twisted
theory has an appropriate BRST charge. We find a non-trivial set of physical
operators defined as classes of the cohomology of this BRST \op . We prove that
the physical correlators are independent on external K\""ahler metric up to a
power of a ratio of two Ray-Singer torsions for the Dolbeault cohomology
complex on a K\""ahler manifold. The correlators of local physical \op s turn
out to be independent of anti-holomorphic coordinates defined with a complex
structure on the K\""ahler manifold. However a dependence of the correlators on
holomorphic coordinates can still remain. For a hyperk\""ahler metric the
physical correlators turn out to be independent of all coordinates of
insertions of local physical \op s.
","[{""version"":""v1"",""created"":""Thu, 3 Mar 1994 21:59:10 GMT""},{""version"":""v2"",""created"":""Fri, 18 Mar 1994 11:46:44 GMT""}]","2009-10-28"
"hep-th/9403020",,"Lev Rozansky","Reshetikhin's Formula for the Jones Polynomial of a Link: Feynman
  diagrams and Milnor's Linking Numbers","33 pages, 11 figures","J.Math.Phys. 35 (1994) 5219-5246","10.1063/1.530749","UMTG-175-94","hep-th math.QA",,"  We use Feynman diagrams to prove a formula for the Jones polynomial of a link
derived recently by N.~Reshetikhin. This formula presents the colored Jones
polynomial as an integral over the coadjoint orbits corresponding to the
representations assigned to the link components. The large $k$ limit of the
integral can be calculated with the help of the stationary phase approximation.
The Feynman rules allow us to express the phase in terms of integrals over the
manifold and the link components. Its stationary points correspond to flat
connections in the link complement. We conjecture a relation between the
dominant part of the phase and Milnor's linking numbers. We check it explicitly
for the triple and quartic numbers by comparing their expression through the
Massey product with Feynman diagram integrals.
","[{""version"":""v1"",""created"":""Thu, 3 Mar 1994 18:50:37 GMT""}]","2009-10-28"
"hep-th/9403021",,"Lev Rozansky","A Contribution of the Trivial Connection to the Jones Polynomial and
  Witten's Invariant of 3d Manifolds II","26 pages","Commun.Math.Phys. 175 (1996) 297-318","10.1007/BF02102410","UMTG-176-94","hep-th math.QA",,"  We extend the results of our previous paper from knots to links by using a
formula for the Jones polynomial of a link derived recently by N. Reshetikhin.
We illustrate this formula by an example of a torus link. A relation between
the parameters of Reshetikhin's formula and the multivariable Alexander
polynomial is established. We check that our expression for the Alexander
polynomial satisfies some of its basic properties. Finally we derive a link
surgery formula for the loop corrections to the trivial connection contribution
to Witten's invariant of rational homology spheres.
","[{""version"":""v1"",""created"":""Thu, 3 Mar 1994 19:06:02 GMT""}]","2009-10-28"
"hep-th/9403022","Sergei Skorik","Hubert Saleur and Sergei Skorik","Solution of the Thirring Model with Imaginary Mass and Massless
  Scattering","14 pages, 2 figures, uses harvmac macros. Preprint USC-94-002","Phys.Lett. B336 (1994) 205-212","10.1016/0370-2693(94)90240-2",,"hep-th",,"  The Thirring model with imaginary mass (or the sine-Gordon model with
imaginary coupling) is deeply related to all the flows between minimal
conformal theories. We solve this model explicitely using the Bethe ansatz. We
find that there are Left and Right moving massless excitations with non trivial
LR scattering. We compute the S matrix and recover the result conjectured by
Fendley et al.
","[{""version"":""v1"",""created"":""Thu, 3 Mar 1994 20:20:31 GMT""}]","2009-10-28"
"hep-th/9403023","John Palmer","John Palmer","Deformation analysis of matrix models","23 pages",,"10.1016/0167-2789(94)90113-9",,"hep-th nlin.SI solv-int",,"  The Tracy-Widom equations associated with level spacing distributions are
realized as a special case of monodromy preserving deformations.
","[{""version"":""v1"",""created"":""Thu, 3 Mar 1994 23:10:06 GMT""}]","2009-10-28"
"hep-th/9403024",,"J. Ambjorn, Yu. Makeenko and C.F. Kristjansen","Generalized Penner models to all genera","27 pages, PostScript","Phys.Rev. D50 (1994) 5193-5203","10.1103/PhysRevD.50.5193","NBI-HE-94-14","hep-th",,"  We give a complete description of the genus expansion of the one-cut solution
to the generalized Penner model. The solution is presented in a form which
allows us in a very straightforward manner to localize critical points and to
investigate the scaling behaviour of the model in the vicinity of these points.
We carry out an analysis of the critical behaviour to all genera addressing all
types of multi-critical points. In certain regions of the coupling constant
space the model must be defined via analytical continuation. We show in detail
how this works for the Penner model. Using analytical continuation it is
possible to reach the fermionic 1-matrix model. We show that the critical
points of the fermionic 1-matrix model can be indexed by an integer, $m$, as it
was the case for the ordinary hermitian 1-matrix model. Furthermore the $m$'th
multi-critical fermionic model has to all genera the same value of
$\gamma_{str}$ as the $m$'th multi-critical hermitian model. However, the
coefficients of the topological expansion need not be the same in the two
cases. We show explicitly how it is possible with a fermionic matrix model to
reach a $m=2$ multi-critical point for which the topological expansion has
alternating signs, but otherwise coincides with the usual Painlev\'{e}
expansion.
","[{""version"":""v1"",""created"":""Fri, 4 Mar 1994 09:24:09 GMT""}]","2009-10-28"
"hep-th/9403025","Hiroo Azuma","Hiroo Azuma","$W_{\infty}$ algebra in the integer quantum Hall effects","23 pages, UT-671","Prog.Theor.Phys. 92 (1994) 293-308","10.1143/ptp/92.2.293",,"hep-th cond-mat",,"  We investigate the $W_{\infty}$ algebra in the integer quantum Hall effects.
Defining the simplest vacuum, the Dirac sea, we evaluate the central extension
for this algebra. A new algebra which contains the central extension is called
the $W_{1+\infty}$ algebra. We show that this $W_{1+\infty}$ algebra is an
origin of the Kac-Moody algebra which determines the behavior of edge states of
the system. We discuss the relation between the $W_{1+\infty}$ algebra and the
incompressibility of the integer quantum Hall system.
","[{""version"":""v1"",""created"":""Fri, 4 Mar 1994 11:00:53 GMT""},{""version"":""v2"",""created"":""Mon, 14 Mar 1994 05:02:22 GMT""}]","2017-02-01"
"hep-th/9403026","Jean-Loup Gervais","Jean-Loup Gervais, Jean-Francois Roussel","Solving the Strongly Coupled 2D Gravity: 2. Fractional-Spin Operators,
  and Topological Three-Point Functions","45 pages Latex file, 14 figures (uuencoded)","Nucl.Phys. B426 (1994) 140-186","10.1016/0550-3213(94)90130-9","LPTENS-94/01","hep-th",,"  Progress along the line of a previous article are reported. One main point is
to include chiral operators with fractional quantum group spins (fourth or
sixth of integers) which are needed to achieve modular invariance. We extend
the study of the chiral bootstrap (recently completed by E. Cremmer, and the
present authors) to the case of semi-infinite quantum-group representations
which correspond to positive integral screening numbers. In particular, we
prove the Bidenharn-Elliot and Racah identities for q-deformed 6-j symbols
generalized to continuous spins. The decoupling of the family of physical
chiral operators (with real conformal weights) at the special values
C_{Liouville}= =7, 13, and 19, is shown to provide a full solution of Moore and
Seiberg's equations, only involving operators with real conformal weights.
Moreover, our study confirms the existence of the strongly coupled topological
models. The three-point functions are shown to be given by a product of leg
factors similar to the ones of the weakly coupled models. However, contrary to
this latter case, the equality between the quantum group spins of the
holomorphic and antiholomorphic components is not preserved by the local vertex
operator. Thus the ``c=1'' barrier appears as connected with a deconfinement of
chirality.
","[{""version"":""v1"",""created"":""Fri, 4 Mar 1994 13:57:37 GMT""}]","2009-10-28"
"hep-th/9403027","Annette Holtkamp","Detlev Buchholz and Jakob Yngvason","There are No Causality Problems for Fermi's Two Atom System","6 pages, latex, DESY 94-027","Phys.Rev.Lett. 73 (1994) 613-616","10.1103/PhysRevLett.73.613",,"hep-th",,"  A repeatedly discussed gedanken experiment, proposed by Fermi to check
Einstein causality, is reconsidered. It is shown that, contrary to a recent
statement made by Hegerfeldt, there appears no causality paradoxon in a proper
theoretical description of the experiment.
","[{""version"":""v1"",""created"":""Fri, 4 Mar 1994 11:24:18 GMT""}]","2009-10-28"
"hep-th/9403028","Preitschopf","Martin Cederwall and Christian R. Preitschopf","$S^7$ Current Algebras","11 pages, phyzzx and epsf, HUB-IEP-94/1, G\""oteborg-ITP-94-7",,,,"hep-th",,"  We present $S^7$-algebras as generalized Kac-Moody algebras. A number of
free-field representations is found. We construct the octonionic projective
spaces ${\O}P^N$.
","[{""version"":""v1"",""created"":""Fri, 4 Mar 1994 12:26:04 GMT""}]","2007-05-23"
"hep-th/9403029","Romain Attal","Romain Attal and Laurent Baulieu","From topological quantum mechanics to the physics of spin-one particles","19 pages. PAR LPTHE 94-05",,,,"hep-th",,"  We give an example of topological theory whose Hilbert space contains
physical objects: the N=2 supersymmetric Lagrangian of spin-one particles
moving in D-dimensional space-time equals the Lagrangian of a topological sigma
model in a (D+2)-dimensional target. The equivalence is valid for a curved
space-time. As an application, we calculate the deviation of spin-one particles
in a Schwarzschild background (gravitational Stern-Gerlach effect).
","[{""version"":""v1"",""created"":""Fri, 4 Mar 1994 13:59:53 GMT""}]","2007-05-23"
