"alg-geom/9403014","Charles Walter","A. D. King and Charles H. Walter","On Chow Rings of Fine Moduli Spaces of Modules","8 pages, LATeX","J. reine angew. Math. 461 (1995), 179-187",,,"alg-geom math.AG",,"  Let $M$ be a complete nonsingular fine moduli space of modules over an
algebra $S$. A set of conditions is given for the Chow ring of $M$ to be
generated by the Chern classes of certain universal bundles occurring in a
projective resolution of the universal $S$-module on $M$. This result is then
applied to the varieties $G_T$ parametrizing homogeneous ideals of $k[x,y]$ of
Hilbert function $T$, to moduli spaces of representations of quivers, and
finally to moduli spaces of sheaves on ${\Bbb P}^2$, reinterpreting a result of
Ellingsrud and Str\o mme.
","[{""version"":""v1"",""created"":""Fri, 18 Mar 1994 15:23:41 GMT""}]","2008-02-03"
"hep-lat/9403021","David Brahm","David E. Brahm","The Lattice Cutoff for $\lambda\phi^4_4$ and $\lambda\phi^6_3$","6 pages, LaTeX, 4 figures using epsf.tex. Now auto-generates PS",,,"CMU-HEP94-10","hep-lat hep-ph",,"  We analyze the critical line of $\lambda\phi^4_4$ perturbatively in the bare
coupling $\lambda_0$, by setting the daisy-improved renormalized mass to zero.
By comparing to lattice data, we can then quantify the relation between the
continuum cutoff and the lattice spacing; for the 4-dimensional hypercubic
lattice we find $(\Lambda a)_{C4} = 4.893$. We perform a similar analysis for
$\lambda\phi^6_3$, and find in 3 dimensions $(\Lambda a)_{C3} = 4.67$. We
present two theoretical predictions for $(\Lambda a)$. For small $\lambda_0$,
both the critical line and the renormalized mass near criticality are easily
and accurately calculated from the lattice input parameters.
","[{""version"":""v1"",""created"":""Fri, 18 Mar 1994 04:33:29 GMT""},{""version"":""v2"",""created"":""Fri, 18 Mar 1994 05:09:11 GMT""}]","2008-02-03"
"hep-lat/9403022","Stefano Vinti","M. Caselle, F. Gliozzi and S. Vinti","On the relation between the width of the flux tube and $T_c^{-1}$ in
  lattice gauge theories","3 pages, uuencoded .ps file (Proceeding of Lattice '93 Conference)","Nucl.Phys.Proc.Suppl. 34 (1994) 263-265","10.1016/0920-5632(94)90361-1",,"hep-lat",,"  Within the framework of a quantum flux tube model for the interquark
potential it is possible to predict that in (2+1) dimensions the space-like
string tension must increase with the temperature in the deconfined phase and
that the thickness of the flux tube must coincide with the inverse of the
deconfinement temperature. Both these predictions are in good agreement with
some recent numerical simulations of SU(2) and $Z_2$ gauge models.
","[{""version"":""v1"",""created"":""Fri, 18 Mar 1994 08:32:54 GMT""}]","2009-10-22"
"hep-ph/9403302","Barbara MELE , Roma1","Barbara Mele","Lepton Spectra and the B Polarization at LEP","15 pages + 5 figs (available upon request), LaTex, preprint Rome
  University ""La Sapienza"" n.1009, March 1994","Mod.Phys.Lett. A9 (1994) 1239-1252","10.1142/S0217732394001064",,"hep-ph",,"  I review the present state of knowledge on lepton energy spectra in the
inclusive semileptonic decay of beauty hadrons, as a means to measure b
polarization effects on the Z peak. Charged-lepton as well as neutrino spectra
are considered.
","[{""version"":""v1"",""created"":""Thu, 17 Mar 1994 17:08:00 GMT""}]","2015-06-25"
"hep-ph/9403303",,"Marek Pawlowski and Ryszard Raczka, SINS/SISSA","Mass Generation in the Standard Model without Dynamical Higgs Field","9p, ILAS 2/94, 20kb, Latex",,,,"hep-ph",,"  We call attention to the fact that the gauge symmetry $SU(3)\times
SU(2)_{_L}\times U(1)$ of the Standard Model can be easily and naturally
extended by the local conformal symmetry connected with the possibility of
choosing the local length scale. Restricting the admissible interactions to the
lowest order conformal invariant interactions one gets the unique form of total
lagrangian. It contains all Standard Model fields and gravitational
interaction. Using the unitary and the conformal gauge conditions we can
eliminate all four real components of the Higgs doublet in this model. However
the masses of vector mesons, leptons and quarks are automatically generated and
are given by the same formulas as in the conventional Standard Model. In this
manner one gets the mass generation without the mechanism of spontaneous
symmetry breaking and without the remaining real dynamical Higgs field.
","[{""version"":""v1"",""created"":""Thu, 17 Mar 1994 16:39:26 GMT""}]","2007-05-23"
"hep-ph/9403304",,"R. Escribano and E. Mass\'o","Constraints on Fermion Magnetic and Electric Moments from LEP-I","LaTex, 15 pages, 12 figures (not included), UAB-FT-317","Nucl.Phys. B429 (1994) 19-32","10.1016/S0550-3213(94)80039-1",,"hep-ph",,"  The effective Lagrangian approach allows us to constrain fermion magnetic and
electric moments using LEP-I data. We improve some of the previous limits on
these moments.
","[{""version"":""v1"",""created"":""Thu, 17 Mar 1994 18:50:41 GMT""}]","2009-10-28"
"hep-ph/9403305",,"R. Casalbuoni, P. Chiappetta, A. Deandrea, S. De Curtis, D. Dominici
  and R. Gatto","Pseudo Goldstones at Future Colliders from the Extended Bess Model","17 pages and 12 figures (included as a uuencoded tar file), LaTeX
  (style article), UGVA-DPT 1994/03-845","Z.Phys. C65 (1995) 327-336","10.1007/BF01571890",,"hep-ph",,"  We consider the production of the lightest pseudo-Goldstone bosons at future
colliders through the vector resonances predicted by the extended BESS model,
which consists of an effective lagrangian parametrization with dynamical
symmetry breaking, describing scalar, vector and axial-vector bound states in a
rather general framework. We find that the detection of pseudo-Goldstone pairs
at LHC requires a careful evaluation of backgrounds. For e+e- collisions in the
TeV range the backgrounds can be easily reduced and the detection of
pseudo-Goldstone pairs is generally easier.
","[{""version"":""v1"",""created"":""Thu, 17 Mar 1994 19:45:00 GMT""}]","2009-10-28"
"hep-ph/9403306","Nir Polonsky-3C13-949","Paul Langacker and Nir Polonsky","Implications of Yukawa unification for the Higgs sector in
  supersymmetric grand-unified models","31 pages, UPR-0594T, LaTex + RevTex 3.0, uuencoded postscript file
  (including figures) is attached. Also available via anonymous ftp from
  dept.physics.upenn.edu","Phys.Rev. D50 (1994) 2199-2217","10.1103/PhysRevD.50.2199",,"hep-ph",,"  The SU(5) unification-scale relation h_b=h_tau between the b and tau Yukawa
couplings severely constrains tan beta and m_t (even more so if h_t=h_b= h_tau
holds) in supersymmetric models. We examine the implications of these
constraints for the Higgs sector assuming universal soft breaking terms, and
emphasize that both of these relations impose unique characteristics in terms
of symmetries and of the spectrum. We further study the tan beta near 1
scenario, which is suggested by h_b=h_tau, and, in particular, the loop-
induced mass of the light Higgs boson. We compare the effective potential and
renormalization group methods and stress the two-loop ambiguities in the
calculation of the mass. These and a large enhancement to the loop correction
due to t-scalar left-right mixing considerably weaken the upper bound.
Nevertheless, we find that for this scenario the Higgs boson is probably
lighter than 110 GeV, and typically lighter than 100 GeV. Thus, it is in the
mass range that may be relevant for LEPII. Our numerical results are presented
in a self-contained manner in section V. In separate appendices we discuss the
global symmetries of the Higgs potential, the issue of false (color-breaking)
vacua, two-loop calculations, and the effect of an additional Higgs singlet. We
show that the approximate constraints that are often used to eliminate
color-breaking vacua are not always relevant.
","[{""version"":""v1"",""created"":""Thu, 17 Mar 1994 21:01:05 GMT""}]","2009-10-28"
"hep-ph/9403307",,"H. Baer, M. Drees, C. Kao, M. Nojiri and X. Tata","Supercollider Signatures of Supergravity Models with Yukawa Unification","28 pages Revtex files with 5 PS figures available from
  drees@phenom.physics.wisc.edu, Preprint nos. FSU-HEP-940311, KEK-TH-392,
  MAD/PH/825, UH-511-785-94","Phys.Rev.D50:2148-2163,1994","10.1103/PhysRevD.50.2148",,"hep-ph",,"  We study the predictions of the simplest SU(5) grand unified model within the
framework of minimal supergravity, including constraints from the radiative
breaking of electroweak symmetry. As a consequence of the unification of the
$b$-quark and $\tau$-lepton Yukawa couplings, the top quark mass is predicted
to be close to its fixed point value. We delineate the regions of the
supergravity parameter space allowed by constraints from the non-observation of
proton decay and from the requirement that the LSP does not overclose the
universe. These constraints lead to a definite pattern of sparticle masses: the
feature unique to Yukawa unified models is that some of the third generation
squarks are much lighter than those of the first two generations. Despite the
fact that all sparticle masses and mixings are determined by just four SUSY
parameters at the GUT scale (in addition to $m_t$), we find that the signals
for sparticle production can vary substantially over the allowed parameter
space. We identify six representative scenarios and study the signals from
sparticle production at the LHC. We find that by studying the signal in various
channels, these scenarios may be distinguished from one another, and also from
usually studied ``minimal models'' where squarks and sleptons are taken to be
degenerate. In particular, our studies allow us to infer that some third
generation squarks are lighter than other squarks---a feature that could
provide the first direct evidence of supergravity grand unification.
","[{""version"":""v1"",""created"":""Fri, 18 Mar 1994 06:10:26 GMT""}]","2011-07-19"
"hep-ph/9403308","Choong Sun Kim","C.S. Kim, Daesung Hwang, Pyungwon Ko and Wuk Namgung","Measuring $|V_{ub}|$ at future B-Factories","9 pages (1 fugure not included)","Nucl.Phys.Proc.Suppl.37A:69-74,1994","10.1016/0920-5632(94)90736-6","MAD/PH/817, YUMS 94-03, SNUTP 94-11","hep-ph",,"  We calculate the so--called Fermi motion parameter $p_{_F}$ of ACCMM model
using the variational method in a potential model approach. We also propose
hadronic invariant mass distribution as an alternative experimental observable
to measure $V_{ub}$ at future asymmetric $B$ factories.
","[{""version"":""v1"",""created"":""Fri, 18 Mar 1994 06:09:46 GMT""}]","2015-06-25"
"hep-ph/9403309","Ngee-Pong Chang","Ngee Pong Chang","Chiral Morphing","14 pages, LaTeX, CCNY-HEP-94-6 Invited contribution to the Marshak
  Memorial volume, edited by E.C.G. Sudarshan, to be published by World
  Scientific Publishing Co., Singapore, 1994. **** Earlier version had email
  bug due to transmission problem",,,,"hep-ph",,"  Chiral symmetry undergoes a metamorphosis at $T_c$.
  For $T < T_c$, the usual Noether charge, $\Qa$, is dynamically broken by the
vacuum. Above $T_c$, chiral symmetry undergoes a subtle change, and the Noether
charge \underline{{\em morphs}} into $\Qbeta$, with the thermal vacuum now
becoming invariant under $\Qbeta$.
  This vacuum is however not invariant under the old $\Qa$ transformations.
  As a result, the pion remains strictly massless at high $T$.
  The pion propagates in the early universe with a halo.
  New order parameters are proposed to probe the structure of the new thermal
vacuum.
","[{""version"":""v1"",""created"":""Fri, 18 Mar 1994 11:35:16 GMT""},{""version"":""v2"",""created"":""Mon, 28 Mar 1994 17:07:55 GMT""}]","2008-02-03"
"hep-ph/9403316","Georgios Lazarides","G.Lazarides and C.Panagiotakopoulos","Large $tan \beta$ from $SU(2)_R$ Gauge Symmetry","13 pages, LaTeX, UT-STPD-1-94","Phys.Lett.B337:90-94,1994","10.1016/0370-2693(94)91449-4",,"hep-ph",,"  Sufficient conditions for the relation $tan \beta \simeq m_t/m_b$ to hold in
supersymmetric grand unified theories are formulated. Essential ingredients are
the $SU(2)_R$ gauge symmetry and a discrete matter parity. The applicability of
our conditions is illustrated by specific examples. Implications for neutrino
masses are discussed.
","[{""version"":""v1"",""created"":""Fri, 18 Mar 1994 11:58:04 GMT""}]","2008-11-26"
"hep-ph/9403317","Georgios Lazarides","G. Lazarides and C. Panagiotakopoulos","MSSM from SUSY Trinification","10 pages, LaTeX,UT-STPD-2-93","Phys.Lett.B336:190-193,1994","10.1016/0370-2693(94)00925-2",,"hep-ph",,"  We construct a $SU(3)^3$ supersymmetric gauge theory with a common gauge
coupling g. Spontaneous breaking of this gauge group at a scale
$M_X=1.3\times10^{16} $GeV gives naturally rise exactly to the Minimal
Supersymmetric Standard Model $(MSSM)$ and consequently to the experimentally
favored values of $sin^2\theta_w$ and $\alpha_s$.The gauge hierarchy problem is
naturally solved by a missing-partner-type mechanism which works to all orders
in the superpotential. The baryon asymmetry can be generated in spite of the
(essential) stability of the proton. The solar neutrino puzzle is solved by the
MSW mechanism. The LSP is a natural ""cold"" dark matter candidate and ""hot"" dark
matter might consist of $\tau$-neutrinos. This model could be thought of as an
effective $4d$ theory emerging from a more fundamental theory at a scale
$M_c=M_P/\sqrt{8\pi}$ where $a_G\equiv{g^2\over{4\pi}}$ happens to be equal to
unity.
","[{""version"":""v1"",""created"":""Fri, 18 Mar 1994 12:16:50 GMT""},{""version"":""v2"",""created"":""Fri, 27 May 1994 07:39:35 GMT""}]","2008-11-26"
"hep-th/9403101","Alexeiev Anton","A.G.Bytsko","The zero-curvature representation for nonlinear O(3) sigma-model","Uppsala University preprint, 12 pages, LaTeX file","J.Math.Sci. 85 (1994) 1619-1628; Zap.Nauchn.Semin. 215 (1994)
  100-114",,,"hep-th",,"  We consider O(3) sigma-model as a reduction of the principal chiral field.
This approach allows to introduce the currents with ultralocal
  Poisson brackets and to obtain the zero-curvature equation which admits the
fundamental Poisson bracket.
","[{""version"":""v1"",""created"":""Thu, 17 Mar 1994 16:00:26 GMT""}]","2007-05-23"
"hep-th/9403102","Alexandre Varchenko","A.Varchenko","Asymptotic Solutions to the Knizhnik-Zamolodchikov Equation and Crystal
  Base","43 pages, amstex",,"10.1007/BF02103772",,"hep-th",,"  The Knizhnik-Zamolodchikov equation associated with $s\ell_2$ is considered.
The transition functions between asymptotic solutions to the
Knizhnik-Zamolodchikov equation are described. A connection between asymptotic
solutions and the crystal base in the tensor product of modules over the
quantum group $U_qs\ell_2$ is established, in particular, a correspondence
between the Bethe vectors of the Gaudin model of an inhomogenious magnetic
chain and the $\Bbb Q-$basis of the crystal base.
","[{""version"":""v1"",""created"":""Thu, 17 Mar 1994 20:37:47 GMT""}]","2009-10-28"
"hep-th/9403103","Cho Jin-Ho","Jin-Ho Cho, Seungjoon Hyun and Hyuk-Jae Lee","Polyakov's Spin Factor for a Classical Spinning Particle via BRST
  Invariant Path Integral","8 pages, LaTeX, KAIST-CHEP-94-07, YUMS-94-05","Phys.Lett. B327 (1994) 274-278","10.1016/0370-2693(94)90728-5",,"hep-th",,"  For the `classical' formulation of a massive spinning particle, the
propagator is obtained along with the spin factor. We treat the system with two
kinds of constraints that were recently shown to be concerned with the
reparametrization invariance and `quasi-supersymmetry'. In the path integral,
the BRST invariant Lagrangian is used and the same spin factor is obtained as
in the pseudo-classical formulation.
","[{""version"":""v1"",""created"":""Fri, 18 Mar 1994 06:42:22 GMT""}]","2009-10-28"
"hep-th/9403104","Evan Reidell","Dongsu Bak and Oren Bergman","Perturbative Analysis of Nonabelian Aharonov-Bohm Scattering","12 pages in LaTeX, uses epsf.sty, 5 uuencoded Postscript figures sent
  separately. MIT-CTP-2283","Phys.Rev. D51 (1995) 1994-1999","10.1103/PhysRevD.51.1994",,"hep-th",,"  We perform a perturbative analysis of the nonabelian Aharonov-Bohm problem to
one loop in a field theoretic framework, and show the necessity of contact
interactions for renormalizability of perturbation theory. Moreover at critical
values of the contact interaction strength the theory is finite and preserves
classical conformal invariance.
","[{""version"":""v1"",""created"":""Fri, 18 Mar 1994 00:02:54 GMT""}]","2009-10-28"
"hep-th/9403105","Nicolai Reshetikhin","Nicolai Reshetikhin","Quasitriangularity of quantum groups at roots of 1","23 pages","Commun.Math.Phys. 170 (1995) 79-100","10.1007/BF02099440",,"hep-th math.QA",,"  An important property of a Hopf algebra is its quasitriangularity and it is
useful various applications. This property is investigated for quantum groups
$sl_2$ at roots of 1. It is shown that different forms of the quantum group
$sl_2$ at roots of 1 are either quasitriangular or have similar structure which
will be called autoquasitriangularity. In the most interesting cases this
property means that ""braiding automorphism"" is a combination of some Poisson
transformation and an adjoint transformation with certain element of the tensor
square of the algebra.
","[{""version"":""v1"",""created"":""Fri, 18 Mar 1994 01:54:07 GMT""}]","2009-10-28"
"hep-th/9403106","Hideaki Aoyama","Hideaki Aoyama","Instantons in Large Order of the Perturbative Series","9 pages (without figures), KUCP-66","Phys.Lett.B329:285-288,1994","10.1016/0370-2693(94)90773-0",,"hep-th",,"  Behavior of the Euclidean path integral at large orders of the perturbation
series is studied. When the model allows tunneling, the path-integral
functional in the zero instanton sector is known to be dominated by bounce-like
configurations at large order of the perturbative series, which causes
non-convergence of the series. We find that in addition to this bounce the
perturbative functional has a subleading peak at the instanton and
anti-instanton pair, and its sum reproduces the non-perturbative valley.
","[{""version"":""v1"",""created"":""Fri, 18 Mar 1994 02:26:45 GMT""}]","2010-11-01"
"hep-th/9403107","Anatol Kirillov","Anatol N. Kirillov and Nadejda A. Liskova","Completeness of Bethe's states for generalized $XXZ$ model","20 pages, PlainTEX","J.Phys.A30:1209-1226,1997","10.1088/0305-4470/30/4/022",,"hep-th",,"  We study the Bethe ansatz equations for a generalized $XXZ$ model on a
one-dimensional lattice. Assuming the string conjecture we propose an integer
version for vacancy numbers and prove a combinatorial completeness of Bethe's
states for a generalized $XXZ$ model. We find an exact form for inverse matrix
related with vacancy numbers and compute its determinant. This inverse matrix
has a tridiagonal form, generalizing the Cartan matrix of type $A$.
","[{""version"":""v1"",""created"":""Fri, 18 Mar 1994 10:30:14 GMT""},{""version"":""v2"",""created"":""Wed, 23 Mar 1994 09:19:59 GMT""}]","2008-11-26"
"hep-th/9403108","Erika Zynda","C. Holzhey, F. Larsen and F. Wilczek","Geometric and Renormalized Entropy in Conformal Field Theory","35 pages, 4 figures available on request to zynda@guinness.ias.edu,
  use Phyzzx, PUPT-1454, IASSNS-HEP 93/88","Nucl.Phys. B424 (1994) 443-467","10.1016/0550-3213(94)90402-2",,"hep-th gr-qc",,"  In statistical physics, useful notions of entropy are defined with respect to
some coarse graining procedure over a microscopic model. Here we consider some
special problems that arise when the microscopic model is taken to be
relativistic quantum field theory. These problems are associated with the
existence of an infinite number of degrees of freedom per unit volume. Because
of these the microscopic entropy can, and typically does, diverge for sharply
localized states. However the difference in the entropy between two such states
is better behaved, and for most purposes it is the useful quantity to consider.
In particular, a renormalized entropy can be defined as the entropy relative to
the ground state. We make these remarks quantitative and precise in a simple
model situation: the states of a conformal quantum field theory excited by a
moving mirror. From this work, we attempt to draw some lessons concerning the
``information problem'' in black hole physics
","[{""version"":""v1"",""created"":""Fri, 18 Mar 1994 15:54:30 GMT""}]","2009-10-28"
