"alg-geom/9403016","Christoph Sorger","Christoph Sorger","Groupe de Picard de la vari\'et\e de modules des
  th\^eta-caracteristiques des courbes planes","48 pages, amslatex v1.1, french",,,,"alg-geom math.AG",,"  Nous calculons le groupe de Picard de l'espace des modules
$\Theta_{\planp}(d)$ des th\^eta-caract\'eristiques des courbes planes (non
forc\'ement lisses) de degr\'e $d$. Nous montrons que pour $d\ge 6$, le groupe
de Picard de la composante paire est engendr\'e par le fibr\'e d\'eterminant
${\cal{D}}$ et l'image r\'eciproque ${\cal{L}}$, sous le morphisme support
sch\'ematique, de ${\cal{O}}_{\proj}(1)$ o\`u $\proj$ est l'espace des courbes
de degr\'e $d$ sur $\planp$. Pour $1\le d \le 4$, ce groupe est engendr\'e
uniquement par ${\cal{L}}$, le fibr\'e d\'eterminant \'etant trivial dans ces
cas. Dans le groupe $\Cl$ des diviseurs de Weil, le fibr\'e d\'eterminant admet
une racine: le fibr\'e pfaffien ${\cal{P}}$. De plus, pour $d\geq 4$ pair,
${\cal{L}}$ aussi admet une racine dans $\Cl$. Si $d=5$, le fibr\'e pfaffien
s'\'etend en un fibr\'e inversible et le groupe de Picard est engendr\'e par
${\cal{L}}$ et ${\cal{P}}$. On verra ainsi que la composante paire de
$\Theta_{\planp}(d)$ est localement factoriel si et seulement si $d=1,2,3$ ou
$d=5$. On obtient un r\'esultat analogue pour la composante impaire. Ensuite,
nous \'etudions la question d'existence d'une famille universelle sur un ouvert
de l'ouvert $U$ des th\^eta-caract\'eristiques dont le faisceau sous-jacent est
stable. Nous montrons que pour $d$ pair une telle famille ne peut exister,
tandis que pour $d$ impair une telle famille existe, pas sur $U$ entier, mais
localement dans la topologie de Zariski.
","[{""version"":""v1"",""created"":""Mon, 28 Mar 1994 20:49:01 GMT""}]","2008-02-03"
"gr-qc/9403059","Melnikov Vitaly Nikolaevich","A.D.Alexeev, K.A.Bronnikov, N.I.Kolosnitsyn, M.Yu.Konstantinov,
  V.N.Melnikov and A.G.Radynov","On Possible Measurement of Gravitational Interaction Parameters on Board
  a Satellite","(only two misprints on title page) 7 pages",,,"RGA-CSVR-001/94","gr-qc",,"  The recently suggested SEE (Satellite Energy Exchange) method of measuring
the gravitational constant $G$, possible equivalence principle violation
(measured by the E\""{o}tv\""{o}s parameter $\eta$) and the hypothetic 5th force
parameters $\alpha$ and $\lambda$ on board a drag-free Earth's satellite is
discussed and further developed. Various particle trajectories near a heavy
ball are numerically simulated. Some basic sources of error are analysed. The
$G$ measurement procedure is modelled by noise insertion to a ``true''
trajectory. It is concluded that the present knowledge of $G, \alpha$ (for
$\lambda \geq 1$ m) and $\eta$ can be improved by at least two orders of
magnitude.
","[{""version"":""v1"",""created"":""Tue, 29 Mar 1994 15:24:54 GMT""},{""version"":""v2"",""created"":""Thu, 31 Mar 1994 15:48:17 GMT""}]","2008-02-03"
"hep-lat/9403025","Weber Andreas","Werner Kerler, Claudio Rebbi, and Andreas Weber","Phase structure and monopoles in U(1) gauge theory","22 pages (latex), 14 figures (available upon request), BU-HEP 94-7","Phys.Rev. D50 (1994) 6984-6993","10.1103/PhysRevD.50.6984",,"hep-lat",,"  We investigate the phase structure of pure compact U(1) lattice gauge theory
in 4 dimensions with the Wilson action supplemented by a monopole term. To
overcome the suppression of transitions between the phases in the simulations
we make the monopole coupling a dynamical variable. We determine the phase
diagram and find that the strength of the first order transition decreases with
increasing weight of the monopole term, the transition thus ultimately getting
of second order. After outlining the appropriate topological characterization
of networks of currents lines, we present an analysis of the occurring monopole
currents which shows that the phases are related to topological properties.
","[{""version"":""v1"",""created"":""Tue, 29 Mar 1994 10:01:16 GMT""}]","2009-10-22"
"hep-lat/9403026","Margarita Garcia","Margarita Garcia Perez and Pierre van Baal","Sphalerons and Other Saddles from Cooling","18 p, 6 figs appended (uuencoded) (figs 4 and 6 in Mathematica
  format, containing raw data. If you like movies, replace Show[...] by
  ShowAnimation[Table[Plx[i],{i,1,12}]]. Have fun!)","Nucl.Phys. B429 (1994) 451-474","10.1016/0550-3213(94)00332-7","Leiden preprint INLO-PUB-2/94","hep-lat hep-th",,"  We describe a new cooling algorithm for SU(2) lattice gauge theory. It has
any critical point of the energy or action functional as a fixed point. In
particular, any number of unstable modes may occur. We also provide insight in
the convergence of the cooling algorithms. A number of solutions will be
discussed, in particular the sphalerons for twisted and periodic boundary
conditions which are important for the low-energy dynamics of gauge theories.
For a unit cubic volume we find a sphaleron energy of resp. $\cE_s=34.148(2)$
and $\cE_s=72.605(2)$ for the twisted and periodic case. Remarkably, the
magnetic field for the periodic sphaleron satisfies at all points $\Tr
B_x^2=\Tr B_y^2=\Tr B_z^2$.
","[{""version"":""v1"",""created"":""Tue, 29 Mar 1994 13:31:22 GMT""}]","2015-06-25"
"hep-ph/9403372",,"R. Delbourgo and Dongsheng Liu (University of Tasmania)","Heavy Meson Decays into Light Resonances","20 RevTex pages, Preprint # UTAS-PHYS-94-04","Phys.Rev.D51:118-131,1995","10.1103/PhysRevD.51.118",,"hep-ph",,"  We analyse the Lorentz structures of weak decay matrix elements bewteen meson
states of arbitrary spin. Simplifications arise in the transition amplitudes
for a heavy meson decaying into a light one via a Bethe-Salpeter approach which
incorporates heavy quark symmetry. Phenomenological consequences on several
semileptonic, nonleptonic and FCNC induced decays of heavy flavoured mesons are
derived and discussed.
","[{""version"":""v1"",""created"":""Mon, 28 Mar 1994 20:47:00 GMT""}]","2008-11-26"
"hep-ph/9403376","Zoltan Ligeti","Yuval Grossman and Zoltan Ligeti","The Inclusive $\bar B\to \tau \bar\nu X$ Decay in Two Higgs Doublet
  Models","16 pages RevTeX + 2 postscript figures included (also available upon
  request), WIS-94/16/Mar-PH","Phys.Lett.B332:373-380,1994","10.1016/0370-2693(94)91267-X",,"hep-ph",,"  We calculate in the framework of two Higgs doublet models the differential
decay rate for inclusive $\bar B\to\tau\,\bar\nu\,X$ transitions to order
$1/m_b^2$ in the heavy quark expansion, for both polarized and unpolarized tau
leptons. In contrast to the situation in the standard model, we find sizeable
$1/m_b^2$ corrections. A systematic heavy quark expansion significantly reduces
the theoretical uncertainties in the calculation compared to the existing free
quark decay model results. From the experimental measurement of the branching
ratio, we derive the bound $\tan\beta < 0.51\, m_{H^\pm}\,[{\rm GeV}]$. We
point out that the tau polarization is potentially a more sensitive probe of
multi scalar models than the branching ratio itself.
","[{""version"":""v1"",""created"":""Mon, 28 Mar 1994 18:06:52 GMT""}]","2009-09-25"
"hep-ph/9403378","Joannis Papavassiliou","Joannis Papavassiliou and Alberto Sirlin","Renormalizable W Self-Energy in the Unitary Gauge via the Pinch
  Technique","15 pages in TEXSIS, 1 Figure not included, available by regular mail
  on request","Phys.Rev. D50 (1994) 5951-5957","10.1103/PhysRevD.50.5951",,"hep-ph",,"  We use the S-matrix pinch technique to derive to one loop order an effective
renormalizable self-energy for the W gauge boson, when the theory is quantized
in the unitary gauge. We then show that this amplitude is identical to the
$\xi$-independent W self-energy previously constructed by applying the pinch
technique in the context of the renormalizable $R_{\xi}$ gauges.}
","[{""version"":""v1"",""created"":""Mon, 28 Mar 1994 20:04:10 GMT""}]","2009-10-28"
"hep-ph/9403379","Tom Browder","The CLEO Collaboration","Two-Photon Production of Charged Pion and Kaon Pairs","15 pages (in REVTEX format)","Phys.Rev.D50:3027-3037,1994","10.1103/PhysRevD.50.3027","CLNS94-1274, CLEO 94-9","hep-ph hep-ex",,"  A measurement of the cross section for the combined two-photon production of
charged pion and kaon pairs is performed using 1.2~$\rm fb^{-1}$ of data
collected by the CLEO~II detector at the Cornell Electron Storage Ring. The
cross section is measured at invariant masses of the two-photon system between
1.5 and 5.0 GeV/$c^2$, and at scattering angles more than $53^\circ$ away from
the $\gamma\gamma$ collision axis in the $\gamma\gamma$ center-of-mass frame.
The large background of leptonic events is suppressed by utilizing the CsI
calorimeter in conjunction with the muon chamber system. The reported cross
section is compared with leading order QCD models as well as previous
experiments. In particular, although the functional dependence of the measured
cross section disagrees with leading order QCD at small values of the
two-photon invariant mass, the data show a transition to perturbative behavior
at an invariant mass of approximately 2.5 GeV/$c^2$. hardcopies with figures
can be obtained by writing to to: Pam Morehouse preprint secretary Newman Lab
Cornell University Ithaca, NY 14853 or by sending mail to:
preprints@lns62.lns.cornell.edu
","[{""version"":""v1"",""created"":""Mon, 28 Mar 1994 21:08:33 GMT""}]","2012-08-27"
"hep-ph/9403380","Thomas Meissner","Chuan-Tsung Chan, E.M.Henley and Th.Meissner","Pi- Eta Mixing from QCD Sum Rules","14 pages (written in REVTEX) + 1 fig. (available as hardcopy only on
  request), preprint no.DOE/ER/40561-133-INT94-0053","Phys.Lett. B343 (1995) 7-12","10.1016/0370-2693(94)01461-K",,"hep-ph nucl-th",,"  The $q^2$ dependence of the $\pi$-$\eta$ mixing amplitude is examined with
the use of QCD sum rules. The linear slope of the mixing function $\theta(q^2)$
is found to be much smaller than that for $\rho$-$\omega$ mixing. Thus the
mixing amplitude is approximately the same in the space-like region as in the
time-like one, and one may neglect the $q^2$ dependence of the mixing. A
comparison between a hadron-meson, an effective chiral model, and the QCD sum
rules approaches is made.
","[{""version"":""v1"",""created"":""Mon, 28 Mar 1994 22:45:40 GMT""}]","2009-10-28"
"hep-ph/9403381",,"E.Shuryak and M.Velkovsky (Physics Department, State University of New
  York, Stony Brook, NY)","The Instanton Density at Finite Temperatures",,"Phys.Rev. D50 (1994) 3323-3327","10.1103/PhysRevD.50.3323",,"hep-ph",,"  For {\it low} T new strict results for the instanton density n(T) are
reported. Using the PCAC methods, we express n(T) in terms of {\it vacuum}
average values of certain operators, times their {\it calculated} T-dependence.
At high T, we discuss the {\it applicability} limits of the perturbative
results. We further speculate about possible behaviour of n(T) at $T\sim T_c$.
","[{""version"":""v1"",""created"":""Mon, 28 Mar 1994 23:18:47 GMT""}]","2009-10-28"
"hep-ph/9403382","Tom Browder","The CLEO collaboration","Measurement of the Branching Fraction for D^+ \to K^- \pi^+ \pi^+","6 pages (in REVTEX format). hardcopies with figures can be obtained
  by sending mail to: preprints@lns62.lns.cornell.edu","Phys.Rev.Lett.72:2328-2331,1994","10.1103/PhysRevLett.72.2328","CLNS94-1267, CLEO 94-2","hep-ph hep-ex",,"  Using the CLEO-II detector at CESR we have measured the ratio of branching
fractions, ${\cal B}(D^+\rightarrow K^- \pi^+ \pi^+)/{\cal B}(D^0 \rightarrow
K^-\pi^+) = 2.35 \pm 0.16 \pm 0.16$. Our recent measurement of ${\cal B}(D^0
\rightarrow K^-\pi^+)$ then gives ${\cal B}(D^+\rightarrow K^- \pi^+ \pi^+) =
(9.3 \pm 0.6 \pm 0.8)\%$.
","[{""version"":""v1"",""created"":""Tue, 29 Mar 1994 00:42:33 GMT""}]","2012-08-27"
"hep-ph/9403383",,"S.A. Larin","The next-to-leading QCD approximation to the Ellis-Jaffe sum rule","9 pages, latex, CERN-TH.7208/94","Phys.Lett. B334 (1994) 192-198","10.1016/0370-2693(94)90610-6",,"hep-ph",,"  The \alpha_s^2 correction to the Ellis-Jaffe sum rule for the structure
function g_1 of polarized deep inelastic lepton-nucleon scattering is
calculated.
","[{""version"":""v1"",""created"":""Tue, 29 Mar 1994 08:09:31 GMT""}]","2009-10-28"
"hep-ph/9403384","Markus Lautenbacher","A.J. Buras, M.E. Lautenbacher and G. Ostermaier","Waiting for the Top Quark Mass, K^+ --> \pi^+ \nu \bar\nu,
  B_s^0-\bar{B}_s^0 Mixing and CP Asymmetries in B-Decays","28 pages (with 10 PostScript figures available separately), Munich
  Technical University preprint TUM-T31-57/94, Max-Planck Institute preprint
  MPI-Ph/94-14","Phys.Rev.D50:3433-3446,1994","10.1103/PhysRevD.50.3433",,"hep-ph",,"  Anticipating improved determinations of m_t, |V_ub/V_cb|, B_K and F_B
\sqrt{B_B} in the next five years we make an excursion in the future in order
to find a possible picture of the unitarity triangle, of quark mixing and of
CP-violation around the year 2000. We then analyse what impact on this picture
will have the measurements of four possibly cleanest quantities: BR(K^+ -->
\pi^+ \nu \bar\nu), x_d/x_s, sin(2\alpha) and \sin(2\beta). Our analysis shows
very clearly that there is an exciting time ahead of us. In the course of our
investigations we extend the analysis of the unitarity triangle beyond the
leading order in \lambda and we derive several useful analytic formulae for
quantities of interest.
","[{""version"":""v1"",""created"":""Tue, 29 Mar 1994 09:04:38 GMT""}]","2008-11-26"
"hep-ph/9403385","Markus Finkemeier","Roger Decker and Markus Finkemeier","Short and Long Distance Effects in the Decay $\tau \to \pi \nu_\tau
  (\gamma)$","39 pages, Latex [19 figures, not included]: A complete postscript
  file, including figures, is available via anonymous ftp at
  ttpux2.physik.uni-karlsruhe.de (129.13.102.139) as /pub/ttp94-05/ttp94-05.ps,
  Local preprint# TTP94-5. Revised version: In the previous version of this
  paper we used a relative sign $s = - 1$ between internal bremsstrahlung and
  the structure dependent radiation. However, as explained in TTP93-1A
  (hep-ph/940538), we now believe that $s = + 1$ is the physical choice","Nucl.Phys. B438 (1995) 17-53","10.1016/0550-3213(95)00597-L",,"hep-ph",,"  We calculate the radiative corrections to the decays $\tau\to M \nu_\tau$ and
$\pi \to l \nu_\l$, where the meson $M$ is $M=\pi$ or $K$ and the lepton $l$ is
$l = e$ or $\mu$. We perform a complete calculation, which includes internal
bremsstrahlung and structure dependent radiation in the radiative decays and
point meson, hadronic structure dependent and short distance contributions in
the virtual corrections. Our result for the radiative correction to the ratio
$\Gamma(\tau\to\pi\nu_\tau(\gamma))/ \Gamma(\pi\to\mu\nu_\mu(\gamma))$ is
$\delta R_{\tau/\pi} = \left(0.16_{\T - 0.14}^{\T+0.09}\right) \%$. For the
ratio $\Gamma(\tau\to K\nu_\tau(\gamma)) / \Gamma(K\to \mu\nu_\mu(\gamma))$, we
obtain $\delta R_{\tau/K } = \left(0.90_{\T - 0.26}^{\T + 0.17}\right) \%$. For
completeness we have also calculated the ratio of the electronic and muonic
decay modes of the pion.
","[{""version"":""v1"",""created"":""Tue, 29 Mar 1994 14:43:55 GMT""},{""version"":""v2"",""created"":""Fri, 24 Jun 1994 14:25:33 GMT""}]","2009-10-28"
"hep-ph/9403386","Annette Holtkamp","B.A. Kniehl (FNAL)","Dependence of Electroweak Parameters on the Definition of the Top-Quark
  Mass","27 pages (Latex), 6 figures (uuencoded compressed tarred Postscript).
  Extended and updated version, which incorporates the recently calculated
  next-to-leading-order QCD corrections to Delta rho and Delta r","Z.Phys. C72 (1996) 437-447","10.1007/BF02909172","FERMILAB-PUB-95/247-T, MPI/PhT/95-74, DESY 94-036 (revised)","hep-ph",,"  The QCD corrections to electroweak parameters depend on the renormalization
scheme and scales used to define the top-quark mass. We analyze these
dependences for the W-boson mass predicted via Delta r to O(alpha alpha_s) and
O(alpha alpha_s^2) in the on-shell and MS-bar schemes. These variations provide
us with a hint on the magnitude of the unknown higher-order QCD effects and
contribute to the theoretical error of the prediction.
","[{""version"":""v1"",""created"":""Tue, 29 Mar 1994 14:30:51 GMT""},{""version"":""v2"",""created"":""Wed, 26 Jul 1995 14:18:09 GMT""}]","2015-06-25"
"hep-ph/9403387",,"G.A. Schuler","Quarkonium production and decays","128 pages, compressed ps file available via anonymous ftp to
  darssrv1.cern.ch: cern/9402/th-7170-94.ps.Z, CERN-TH.7170/94",,,,"hep-ph",,"  Quarkonium decays are studied in the charmonium model. Relativistic
corrections, higher-order perturbative QCD corrections and non- perturbative
contributions are discussed. Recent measurements of charmonium annihilation
rates are used to evaluate the strong coupling constant $\alpha_s$
simultaneously with the wave functions (and their derivatives) at the origin.
Further predictions are made for yet unobserved decay rates. The various models
for quarkonium production in hadronic collisions are critically reviewed. Based
on the charmonium model, the cross sections of different quarkonium states are
given in a well-defined QCD perturbation series, including quark--antiquark,
quark--gluon, and gluon--gluon scatterings. Numerical estimates are given for
charmonium production in $\p\p$, $\ppbar$, and $\pi\p$ collisions. The role of
indirect $\JP$ production via $\chi_{\c J}(1P)$, $\eta_{\c}(2S)$, $\psi(2S)$
and $\b$-decays is pointed out. Relativistic effects and non-perturbative
contributions are found to be important. Existing measurements are compiled and
shown to be well explained if all contributions are included. The ${}^1S_0$
cross section is calculated in complete next-to-leading order. Finally, a study
of the high-energy behaviour of quarkonium cross sections is made, based on the
asymptotical behaviour of higher-order QCD corrections.
","[{""version"":""v1"",""created"":""Tue, 29 Mar 1994 15:51:57 GMT""}]","2007-05-23"
