"alg-geom/9406007","Victor Pidstrigatch","Victor Pidstrigatch","Some glueing formulas for spin polynomials and a proof of the Van de Ven
  conjecture","17 pages. AmS-TeX-Version 2.1. A new reference is added (pp.1,15)",,,,"alg-geom math.AG",,"  We deduce some formulas for the spin invariants of the connected sum of an
arbitrary 4-manifold X, b^+ _2(X) > 0 $ with $\overline {CP^2}$ in terms of the
spin invariants of $X$ and apply this to prove the Van de Ven conjecture.
","[{""version"":""v1"",""created"":""Mon, 27 Jun 1994 10:10:03 GMT""},{""version"":""v2"",""created"":""Tue, 5 Jul 1994 10:44:16 GMT""}]","2008-02-03"
"hep-lat/9406019","Klaus Pinn","M. Hasenbusch, K. Pinn, and C. Wieczerkowski","Canonical Demon Monte Carlo Renormalization Group","LaTeX file, 7 pages, preprints CERN TH.7330/94, MS-TPI-7","Phys.Lett. B338 (1994) 308-312","10.1016/0370-2693(94)91383-8",,"hep-lat",,"  We describe a new method to compute renormalized coupling constants in a
Monte Carlo renormalization group calculation. The method can be used for a
general class of models, e.g., lattice spin or gauge models. The basic idea is
to simulate a joint system of block spins and canonical demons. In contrast to
the Microcanonical Renormalization Group invented by Creutz et al. our method
does not suffer from systematical errors stemming from a simultaneous use of
two different ensembles. We present numerical results for the $O(3)$ nonlinear
$\sigma$-model.
","[{""version"":""v1"",""created"":""Mon, 27 Jun 1994 07:22:45 GMT""}]","2009-10-22"
"hep-ph/9406396","Lawrence M. Krauss","Evalyn Gates, Lawrence M. Krauss, Martin White","Treating Solar Model Uncertainties: A Consistent Statistical Analysis of
  Solar Neutrino Models and Data","29 pages (incl figs), latex, 6 figures (appended as separate
  uuencoded file. To embed figures in text, uncomment 6 \epsfysize lines which
  appear before bibliography), CWRU-P5-94, CfPA-94-TTH-29,
  Fermilab-Pub-94/176-A","Phys.Rev.D51:2631-2643,1995","10.1103/PhysRevD.51.2631",,"hep-ph astro-ph nucl-th",,"  We describe how to consistently incorporate solar model uncertainties, along
with experimental errors and correlations, when analyzing solar neutrino data
to derive confidence limits on parameter space for proposed solutions of the
solar neutrino problem. Our work resolves ambiguities and inconsistencies in
the previous literature. As an application of our methods we calculate the
masses and mixing angles allowed by the current data for the proposed MSW
solution using both Bayesian and frequentist methods, allowing purely for solar
model flux variations, to compare with previous work. We consider the effects
of including metal diffusion in the solar models and also discuss implications
for future experiments.
","[{""version"":""v1"",""created"":""Sun, 26 Jun 1994 20:04:27 GMT""}]","2008-11-26"
"hep-ph/9406397","Hitoshi Murayama","Andrea Brignole, Hitoshi Murayama (LBL) and Riccardo Rattazzi (Rutgers
  U.)","Upper bound on Hot Dark Matter Density from $SO(10)$ Yukawa Unification","LBL-35774, RU-94-51, 18 pages, plain LaTeX, two PostScript figures
  appended in uuencoded format","Phys.Lett.B335:345-354,1994","10.1016/0370-2693(94)90362-X",,"hep-ph",,"  We study low-energy consequences of supersymmetric $SO(10)$ models with
Yukawa unification $h_t = h_N$ and $h_b = h_\tau$. We find that it is difficult
to reproduce the observed $m_b/m_\tau$ ratio when the third-generation
right-handed neutrino is at an intermediate scale, especially for small $\tan
\beta$. We obtain a conservative lower bound on the mass of the right-handed
neutrino $M_N > 6 \times 10^{13}$~GeV for $\tan \beta < 10$. This bound
translates into an upper bound on the $\tau$-neutrino mass, and therefore on
its contribution to the hot dark matter density of the present universe,
$\Omega_\nu h^2 < 0.004$. Our analysis is based on the full two-loop
renormalization group equations with one-loop threshold effects. However, we
also point out that physics above the GUT-scale could modify the Yukawa
unification condition $h_b = h_\tau$ for $\tan \beta \lsim 10$. This might
affect the prediction of $m_b/m_\tau$ and the constraint on $M_N$.
","[{""version"":""v1"",""created"":""Sun, 26 Jun 1994 23:46:17 GMT""}]","2009-09-29"
"hep-ph/9406398","Alexander Ignatiev","A.Yu.Ignatiev, G.C.Joshi and M.Matsuda","The Search for the Decay of Z Boson into Two Gammas as a Test of Bose
  Statistics","9 pages, in REVTEX, RCHEP-94/17, UM-P-94/63","Mod.Phys.Lett.A11:871-876,1996","10.1142/S0217732396000874",,"hep-ph quant-ph",,"  We suggest that Bose statistics for photons can be tested by looking for
decays of spin-1 bosons into two photons. The experimental upper limit on the
decay $Z \rightarrow \gamma \gamma $ is used to establish for the first time
the quantitative measure of the validity of Bose symmetry for photons.
","[{""version"":""v1"",""created"":""Mon, 27 Jun 1994 03:09:50 GMT""}]","2011-07-19"
"hep-ph/9406399","Yamawaki","Koichi Yamawaki and V.I. Zakharov","Nambu-Jona-Lasinio Model vs QCD","LaTeX, 9 pages, UM-TH-94-20, DPNU-94-23",,,,"hep-ph",,"  We argue that the extended Nambu-Jona-Lasinio model which introduces
four-quark interactions to describe hadron physics at low energies can be
confronted with fundamental quantum chromodynamics by means of spectral sum
rules. While there arise rather restrictive bounds on the strength of the
effective four-quark interaction in the vector channel, introduction of the
four-quark interaction in the pseudoscalar channel resolves a long standing
puzzle of the sum rules.
","[{""version"":""v1"",""created"":""Mon, 27 Jun 1994 05:40:09 GMT""}]","2007-05-23"
"hep-ph/9406400","Stefan Dittmaier","A.Denner, S.Dittmaier, G.Weiglein","Green functions from a gauge-invariant effective action for the
  electroweak Standard Model","to appear in Nucl. Phys. B Proc. Suppl., proceedings to the 1994
  Zeuthen workshop on elementary particle theory, ""physics at LEP200 and
  beyond"", 6 pages uuencoded postscript, BI-TP 94/22","Nucl.Phys.Proc.Suppl.37B:87,1994","10.1016/0920-5632(94)90664-5",,"hep-ph",,"  Application of the background-field method to the electroweak Standard-Model
yields a gauge-invariant effective action giving rise to simple Ward
identities. We find that in the background-field `t Hooft-Feynman gauge the
resulting vertex functions are exactly those that are obtained using the pinch
technique. Thus, the background-field method provides a general framework that
generalizes the pinch technique directly and uniquely to arbitrary Green
functions and arbitrary orders of perturbation theory. Moreover, the desirable
properties of the pinch-technique vertex functions hold for arbitrary gauge
parameters and have a simple explanation within the background- field method.
","[{""version"":""v1"",""created"":""Mon, 27 Jun 1994 08:17:03 GMT""}]","2009-10-28"
"hep-ph/9406401","Steve King","Stephen F King","Dynamical Electroweak Symmetry Breaking","This revised version contains some minor changes and is somewhat
  shorter than the original.","Rept.Prog.Phys.58:263-310,1995","10.1088/0034-4885/58/3/001",,"hep-ph",,"  We review the status of and recent developments in dynamical electroweak
symmetry breaking, concentrating on the ideas of technicolour and top quark
condensates. The emphasis is on the essential physical ideas and experimental
implications rather than on detailed mathematical formalism.
","[{""version"":""v1"",""created"":""Mon, 27 Jun 1994 10:52:41 GMT""},{""version"":""v2"",""created"":""Mon, 20 Mar 1995 11:00:24 GMT""}]","2010-12-17"
"hep-ph/9406402","Yuhsuke Yoshida","Masayasu Harada and Yuhsuke Yoshida","QCD S Parameter from Inhomogeneous Bethe-Salpeter Equation","22 pages (LaTeX), 6 PostScript figures are included as
  uuencoded-compressed-tar file at the end (need 'epsf.tex' macro package),
  KUNS-1270 HE(TH)94/09","Phys.Rev.D50:6902-6910,1994","10.1103/PhysRevD.50.6902",,"hep-ph",,"  We calculate the low-energy parameter S in QCD, which is also known as
L_{10}, and the pion decay constant f_\pi using inhomogeneous Bethe-Salpeter
equation in improved ladder approximation. To extract these quantities we
calculate the ``V-A'' two-point function, \Pi_{VV}(q^2) - \Pi_{AA}(q^2), in
space-like region. We obtain S = 0.43 \sim 0.48, which is about 30% larger than
the experimental value. The calculated f_\pi is well consistent with the result
by solving the homogeneous Bethe-Salpeter equation for pion. We also evaluate
$S$ parameter in SU(3) gauge theory with N_D doublets of fermions in connection
with walking technicolor model, and find that the value of S/N_D hardly depends
on N_D.
","[{""version"":""v1"",""created"":""Mon, 27 Jun 1994 11:56:14 GMT""}]","2014-11-17"
"hep-ph/9406403",,"Pran Nath and R. Arnowitt","Susy Particles","16 pages+ 6 figs(hard copies available on request)",,,"CERN-TH.7227/94, NUB-TH.3089/94,and CTP-TAMU-28/94","hep-ph",,"  Analysis of the SUSY spectrum in supergravity unified models is given under
the naturalness criterion that the universal scalar mass $(m_0)$ and the gluino
mass $(m_{\tilde g})$ satisfy the constraint $m_0, m_{\tilde g}$ less than or
equal to 1 TeV. The SUSY spectrum is analysed in four different scenarios: (1)
minimal supergravity models ignoring proton decay from dimension five
operators, (2) imposing proton stability constraint in supergravity models with
SU(5) type embedding which allow proton decay via dimension five operators, (3)
with inclusion of dark matter constraints in models of type (1), and (4) with
inclusion of dark matter constraint in models of type (2). It is found that
there is a very strong upper limit on the light chargino mass in models of type
(4), i.e., the light chargino mass is less than or equals 120 GeV.
","[{""version"":""v1"",""created"":""Mon, 27 Jun 1994 11:02:44 GMT""}]","2009-09-25"
"hep-th/9406173","Danny Birmingham","Danny Birmingham and Mark Rakowski","Discrete Quantum Field Theories and the Intersection Form","10 pages, Latex, ITFA-94-19","Mod.Phys.Lett. A9 (1994) 2265-2271","10.1142/S0217732394002124",,"hep-th",,"  It is shown that the standard mod-$p$ valued intersection form can be used to
define Boltzmann weights of subdivision invariant lattice models with gauge
group $Z_{p}$. In particular, we discuss a four dimensional model which is
based upon the assignment of field variables to the $2$-simplices of the
simplicial complex. The action is taken to be the intersection form defined on
the second cohomology group of the complex, with coefficients in $Z_{p}$.
Subdivision invariance of the theory follows when the coupling constant is
quantized and the field configurations are restricted to those satisfying a
mod-$p$ flatness condition. We present an explicit computation of the partition
function for the manifold $\pm CP^{2}$, demonstrating non-triviality.
","[{""version"":""v1"",""created"":""Mon, 27 Jun 1994 10:06:23 GMT""}]","2015-06-26"
"hep-th/9406174","M. Czachor","Marek Czachor","Elements of nonlinear quantum mechanics (Part II): Triple bracket
  generalization of quantum mechanics",,,,,"hep-th",,"  A new version of NLQM is formulated in terms of the generalized Nambu
dynamics. The generalization is free from the difficulties of earlier
approaches. The paper is a second part of ""Elements of NLQM (I): NL Schrodinger
equation and two-level atoms"".
","[{""version"":""v1"",""created"":""Mon, 27 Jun 1994 10:34:28 GMT""}]","2007-05-23"
"hep-th/9406175","R. W. Gebert","R.W. Gebert and H. Nicolai","On $E_{10}$ and the DDF construction","47 pages LATEX, preprint DESY 94-106","Commun.Math.Phys.172:571-622,1995","10.1007/BF02101809",,"hep-th",,"  An attempt is made to understand the root spaces of Kac Moody algebras of
hyperbolic type, and in particular $E_{10}$, in terms of a DDF construction
appropriate to a subcritical compactified bosonic string. While the level-one
root spaces can be completely characterized in terms of transversal DDF states
(the level-zero elements just span the affine subalgebra), longitudinal DDF
states are shown to appear beyond level one. In contrast to previous treatments
of such algebras, we find it necessary to make use of a rational extension of
the self-dual root lattice as an auxiliary device, and to admit non-summable
operators (in the sense of the vertex algebra formalism). We demonstrate the
utility of the method by completely analyzing a non-trivial level-two root
space, obtaining an explicit and comparatively simple representation for it. We
also emphasize the occurrence of several Virasoro algebras, whose interrelation
is expected to be crucial for a better understanding of the complete structure
of the Kac Moody algebra.
","[{""version"":""v1"",""created"":""Mon, 27 Jun 1994 12:09:42 GMT""}]","2010-11-01"
"hep-th/9406176",,"G. Papadopoulos","Global Aspects of Symmetries in Sigma Models with Torsion","11pp",,,,"hep-th",,"  It is shown that non-trivial topological sectors can prevent the quantum
mechanical implementation of the symmetries of the classical field equations of
sigma models with torsion. The associated anomaly is computed, and it is shown
that it depends on the homotopy class of the topological sector of the theory
and the group action on the sigma model manifold that generates the symmetries
of the classical field equations.
","[{""version"":""v1"",""created"":""Mon, 27 Jun 1994 14:31:15 GMT""}]","2007-05-23"
"hep-th/9406177","Gabriele Ferretti","G. Ferretti (Chalmers University, G\""oteborg Sweden)","Regularization and Quantization of Higher Dimensional Current Algebras","(Talk given at the G\""ursey Memorial Conference I on Strings and
  Symmetries, Istanbul, Turkey, June 6-10 1994.) 11 pages, plain TEX. ITP 94-17",,"10.1007/3-540-59163-X_296",,"hep-th",,"  We present some recently discovered infinite dimensional Lie algebras that
can be understood as extensions of the algebra Map(M,g) of maps from a compact
p-dimensional manifold to some finite dimensional Lie algebra g. In the first
part of the paper, we describe the physical motivations for the study of these
algebras. In the second part, we discuss their realization in terms of
pseudo-differential operators and comment on their possible representation
theory.
","[{""version"":""v1"",""created"":""Mon, 27 Jun 1994 15:40:48 GMT""}]","2015-06-26"
"nucl-th/9406031","Saracco Paolo","R. Cenni and P. Saracco","Functional approach to the electromagnetic response function: the
  Longitudinal Channel","RevTeX, 18 figures available upon request - to be published in
  Physical Review C","Phys.Rev.C50:1851-1867,1994","10.1103/PhysRevC.50.1851",,"nucl-th",,"  In this paper we address the (charge) longitudinal electromagnetic response
for a homogeneous system of nucleons interacting via meson exchanges in the
functional framework. This approach warrants consistency if the calculation is
carried on order-by-order in the mesonic loop expansion with RPA-dressed
mesonic propagators. At the 1-loop order and considering pion, rho and omega
exchanges we obtain a quenching of the response, in line with the experimental
results.
","[{""version"":""v1"",""created"":""Mon, 27 Jun 1994 08:00:29 GMT""}]","2008-11-26"
"nucl-th/9406032","Bradley D. Keister","B. D. Keister","Forms of Relativistic Dynamics: What Are the Possibilities?","13 pp",,"10.1063/1.48217",,"nucl-th hep-ph",,"  Various methods of constructing solvable few-body models are reviewed, with
an emphasis on direct interactions with few degrees of freedom, as an
alternative to the use of local quantum field theories. Several applications
are discussed.
","[{""version"":""v1"",""created"":""Mon, 27 Jun 1994 15:00:30 GMT""}]","2015-06-26"
