"astro-ph/9406071","Wayne Hu","Wayne Hu","The Nature versus Nurture of Anisotropies","25 pages including 10 figures, uuencoded tarred postscript, to appear
  in the Proceedings of the Case Western CMB Meeting, CfPA-TH-94-31",,,,"astro-ph",,"  With the rapidly growing number of cosmic microwave background measurements
on various scales, there is real hope that the number of acceptable models for
structure formation will be limited to a very few in the near future. Yet any
given model can always be saved by introducing and tuning extraneous free
parameters. To better understand this question of ``nature versus nurture'' for
temperature fluctuations, it is useful to know not only the general features of
anisotropy predictions but also their causes. Extracting the physical content
of our other works, we present here a {\it simple} account of cosmic microwave
background anisotropies on all scales. In particular, we show that analytic
approximations can trace the structure of the so-called ``Doppler peaks,''
which arise due to the {\it adiabatic} oscillations in the photon-baryon fluid.
We also show how the finite thickness of the last scattering surface and the
Silk damping mechanism can be described in a unified way by photon diffusion.
In order to present a specific example, we focus on comparing the primordial
isocurvature baryon (PIB) model with the standard cold dark matter model (CDM).
In particular, we explain why PIB generically predicts larger {\it
non}-oscillatory anisotropies from the 1$^\circ$ to 10$^\circ$ scale which may
already be in conflict with experiments.
","[{""version"":""v1"",""created"":""Tue, 28 Jun 1994 19:35:18 GMT""}]","2007-05-23"
"hep-ph/9406415",,"Subhendra Mohanty","Solution of the Strong CP problem in the low energy effective Standard
  Model","IP/BBSR/93-79, ReVTeX, 11pages",,,,"hep-ph",,"  We consider the low energy effective chiral theory of QCD mesons and the
electroweak Goldstone bosons. In this effective theory the pion sector
contributes to the gauge boson masses and the Yukawa couplings of the fermions.
Consequently the Yukawa sector of quarks and leptons can have a $SU(2)_L\times
U(1)_Y\times U(1)_A$ global symmetry even with nonvanishing fermion masses. The
extra chiral $U(1)_A$ symmetry can be used to rotate the CP violating $\bar
\theta G\tilde G $ term away which therefore makes no contribution to low
energy CP violating effects like the neutron electric dipole momment. The
Goldstone mode associated with this $U(1)_A$ symmetry may be identified with
the $SU(2)$ singlet meson $\eta_0$.
","[{""version"":""v1"",""created"":""Tue, 28 Jun 1994 16:43:53 GMT""}]","2007-05-23"
"hep-ph/9406416",,"Thomas Appelquist and Guo-Hong Wu","The Electroweak Chiral Lagrangian and CP-Violating Effects in
  Technicolor Theories","34 pages, YCTP-P9-94, LaTex. (minor changes in wording and notation,
  the figures are appended at the end as one postscript file)","Phys.Rev.D51:240-250,1995","10.1103/PhysRevD.51.240",,"hep-ph",,"  We estimate the CP-violating $WW\gamma$ and $WWZ$ anomalous form factors,
arising from CP-violating interactions in extended technicolor theories, and
discuss their future experimental detectability. The electric dipole moment of
the $W$ boson is found to be as large as ${\cal O}(10^{-21}) \; \mbox{$e$ cm}$.
We connect the CP-odd $WW\gamma$ and $WWZ$ couplings to the corresponding
CP-violating electroweak chiral lagrangian operators. The electric dipole
moments of the neutron and the electron in technicolor theories are estimated
to be as large as ${\cal O}(10^{-26}) \; \mbox{$e$ cm}$ and ${\cal O}(10^{-29})
\; \mbox{$e$ cm}$ respectively. We also suggest the potential to observe large
CP-violating technicolor effects in the decay $t \rightarrow b + W^+$.
","[{""version"":""v1"",""created"":""Wed, 29 Jun 1994 02:11:35 GMT""},{""version"":""v2"",""created"":""Sat, 9 Jul 1994 22:36:58 GMT""}]","2010-11-01"
"hep-ph/9406417","Takeo Moroi","J. Hisano, T. Moroi, K. Tobe, and T. Yanagida","Suppression of Proton Decay in the Missing-Partner Model for
  Supersymmetric SU(5) GUT",,"Phys.Lett. B342 (1995) 138-144","10.1016/0370-2693(94)01342-A",,"hep-ph",,"  We construct a missing-partner model for supersymmetric SU(5) GUT assuming
the Peccei-Quinn symmetry, in which the SU(5) gauge coupling constant remains
in the perturbative regime below the gravitational scale $\sim2.4\times
10^{18}\GEV$. The Peccei-Quinn symmetry suppresses the dangerous dimension-five
operators for the nucleon decay much below the limit from the present
proton-decay experiments. We also stress that due to this suppression mechanism
our model can accommodate even the large $\tan\beta_H$ ($\sim$ 60) scenario
which has been recently suggested to explain the observed value of the
$m_b/m_\tau$ ratio.
","[{""version"":""v1"",""created"":""Wed, 29 Jun 1994 03:12:56 GMT""}]","2009-10-28"
"hep-ph/9406418",,"Oscar F. Hernandez and David London","Triangles, Triangles, Triangles: CP Violation in the B System and the
  Measurement of Strong and Weak Phases","(Based on two talks presented at the
  Montreal-Rochester-Syracuse-Toronto Conference, McGill University, May 1994,
  and to appear in the proceedings published World Scientific.), 15 pages and 8
  figures in one simple Postscript file, UdeM-LPN-TH-198",,,,"hep-ph",,"  We present the current wisdom regarding the measurement of the CP-violating
phases of the CKM unitarity triangle in $B$-meson decays. After an introduction
to the SM picture of CP violation, we review direct and indirect CP violation,
the role of penguins and isospin analysis, and $B\to DK$ decays. We also
discuss recent work on how to use SU(3) flavor symmetry, along with some
dynamical approximations, to get at the CKM weak phases. Through
time-independent $B$-decay measurements alone, we show that it is possible to
extract all information: the weak phases, the incalculable strong phase shifts,
and the sizes of the tree, color-suppressed, and penguin contributions to these
decays.
","[{""version"":""v1"",""created"":""Wed, 29 Jun 1994 03:16:52 GMT""}]","2007-05-23"
"hep-ph/9406419","Wim deBoer","V.A. Bednyakov, W. de Boer, S.G. Kovalenko","Bounds on the Ratio of Higgs Vacuum Expectation Values in the Minimal
  Supersymmetric Standard Model from the Top and Bottom Quark Masses","6 pages,IEKP-KA/94-08, latex",,,,"hep-ph",,"  The top quark mass values from the CDF Collaboration and the precision
electroweak data at LEP combined with the bottom mass value allow to establish
bounds on the parameter tan beta in the minimal supersymmetric standard model
(MSSM) independent of the soft supersymmetry breaking parameters. We find: 0.96
< tan beta < 52.2 at the 95 % C.L., which is mostly the region tan beta >1,
where radiative electroweak symmetry breaking is possible. Assuming electroweak
symmetry breaking leads to: tan beta=1.2 +- 0.2, if one neglects the high tan
beta solution, which is unlikely due to proton lifetime limits.
","[{""version"":""v1"",""created"":""Wed, 29 Jun 1994 10:53:17 GMT""}]","2007-05-23"
"hep-ph/9406420","Herbert Weigel","R. Alkofer, H. Reinhardt, J. Schlienz and H. Weigel","Topologically non--trivial chiral transformations: The chiral invariant
  elimination of the axial vector meson","28 pages LaTeX, 4 figures appended as postscript files,
  UNITU-THEP-12/1994","Z.Phys.A354:181-196,1996","10.1007/s002180050031",,"hep-ph",,"  The role of chiral transformations in effective theories modeling Quantum
Chromo Dynamics is reviewed. In the context of the Nambu--Jona--Lasinio model
the hidden gauge and massive Yang--Mills approaches to vector mesons are
demonstrated to be linked by a special chiral transformation which removes the
chiral field from the scalar--pseudoscalar sector. The chirally rotated axial
vector meson field ($\tilde A_\mu$) transforms homogeneously under flavor
rotations and may thus be dropped without violating chiral symmetry. The
fermion determinant for static meson field configurations is computed by
summing the discretized eigenvalues of the Dirac Hamiltonian. It is discussed
how the local chiral transformation loses its unitary character in a finite
model space. This technical issue proves to be crucial for the construction of
the soliton within the Nambu--Jona--Lasinio model when the chirally rotated
axial vector field is neglected. In the background of this soliton the valence
quark is strongly bound, and its eigenenergy turns out to be negative. This
important physical property which is usually generated only by non--vanishing
axial vector is thus carried over by the simplification $\tilde A_\mu=0$.
","[{""version"":""v1"",""created"":""Wed, 29 Jun 1994 13:11:49 GMT""}]","2009-09-25"
"hep-ph/9406421","Christoph Greub","C. Greub, H. Simma and D. Wyler","Branching ratio and direct CP-violating rate asymmetry of the rare
  decays $B \to K^\ast \gamma$ and $B \to \rho \gamma$","17 pages and 4 Figures, DESY 94-089 and ZU-TH 14/94","Nucl.Phys.B434:39-55,1995; ERRATUM-ibid.B444:447,1995","10.1016/0550-3213(94)00463-O",,"hep-ph",,"  We calculate CP-violating rate asymmetries in the rare radiative decays
$B^\pm\rightarrow K^{\ast\pm} \gamma$ and $B^\pm\rightarrow \rho^\pm \gamma$.
They arise because of the interference between leading-order penguin amplitudes
and one-gluon corrections with absorptive phases, and provide unambiguous
evidence for direct CP violation. Complementing earlier studies, we also
investigate gluon exchange with the `spectator' quark. The bound state effects
in the exclusive matrix elements are taken into account by a covariant model,
which yields a branching ratio $BR(B\rightarrow K^\ast \gamma) = (4-5)\times
10^{-5}$ in good agreement with the observed value. The bound state effects
increase the CP asymmetry, which is of order $1 \%$ in the channel
$B\rightarrow K^\ast \gamma$ and $15 \%$ for $B \to \rho \gamma$.
","[{""version"":""v1"",""created"":""Wed, 29 Jun 1994 13:45:42 GMT""}]","2010-11-01"
"hep-th/9406183","Georg-Juettner","G. Juettner and M. Karowski","Completeness of ``Good'' Bethe Ansatz Solutions of a Quantum Group
  Invariant Heisenberg Model","LaTeX file with LaTeX figures, 24 pages, 1 PiCTeX figure","Nucl.Phys.B430:615-632,1994","10.1016/0550-3213(94)90162-7",,"hep-th",,"  The $sl_q(2)$-quantum group invariant spin 1/2 XXZ-Heisenberg model with open
boundary conditions is investigated by means of the Bethe ansatz. As is well
known, quantum groups for $q$ equal to a root of unity possess a finite number
of ``good'' representations with non-zero q-dimension and ``bad'' ones with
vanishing q-dimension. Correspondingly, the state space of an invariant
Heisenberg chain decomposes into ``good'' and ``bad'' states. A ``good'' state
may be described by a path of only ``good'' representations. It is shown that
the ``good'' states are given by all ``good'' Bethe ansatz solutions with roots
restricted to the first periodicity strip, i.e. only positive parity strings
(in the language of Takahashi) are allowed. Applying Bethe's string counting
technique completeness of the ``good'' Bethe states is proven, i.e. the same
number of states is found as the number of all restricted path's on the
$sl_q(2)$-Bratteli diagram. It is the first time that a ``completeness"" proof
for an anisotropic quantum invariant reduced Heisenberg model is performed.
","[{""version"":""v1"",""created"":""Tue, 28 Jun 1994 17:30:09 GMT""}]","2010-11-01"
"hep-th/9406184","Saul Youssef","Saul Youssef","Is Complex Probability Theory Consistent with Bell's Theorem?","Phys.Lett.A204(1995)181-187, uufile encoded postscript",,"10.1016/0375-9601(95)00467-H","FSU-SCRI-94-53","hep-th gr-qc",,"  Bayesian complex probability theory is shown to be consistent with Bell's
theorem and with other recent limitations on local realistic theories which
agree with the predictions of quantum mechanics.
","[{""version"":""v1"",""created"":""Tue, 28 Jun 1994 16:30:21 GMT""},{""version"":""v2"",""created"":""Fri, 15 Sep 1995 18:50:43 GMT""}]","2009-10-28"
"hep-th/9406185","Haisheng Li","Hai-sheng Li","Local Systems of Vertex Operators, Vertex Superalgebras and Modules","68 pages",,,,"hep-th math.QA",,"  We give an analogue for vertex operator algebras and superalgebras of the
notion of endomorphism ring of a vector space by means of a notion of ``local
system of vertex operators'' for a (super) vector space. We first prove that
any local system of vertex operators on a (super) vector space $M$ has a
natural vertex (super)algebra structure with $M$ as a module. Then we prove
that for a vertex (operator) superalgebra $V$, giving a $V$-module $M$ is
equivalent to giving a vertex (operator) superalgebra homomorphism from $V$ to
some local system of vertex operators on $M$. As applications, we prove that
certain lowest weight modules for some well-known infinite-dimensional Lie
algebras or Lie superalgebras have natural vertex operator superalgebra
structures. We prove the rationality of vertex operator superalgebras
associated to standard modules for an affine algebra. We also give an analogue
of the notion of the space of linear homomorphisms from one module to another
for a Lie algebra by introducing a notion of ``generalized intertwining
operators.'' We prove that $G(M^{1},M^{2})$, the space of generalized
intertwining operators from one module $M^{1}$ to another module $M^{2}$ for a
vertex operator superalgebra $V$, is a generalized $V$-module. Furthermore, we
prove that for a fixed vertex operator superalgebra $V$ and
","[{""version"":""v1"",""created"":""Tue, 28 Jun 1994 17:00:44 GMT""}]","2008-02-03"
"hep-th/9406186","J. A. de Azcarraga","J. A. de Azc\'arraga and F. Rodenas (FTUV/IFIC/Valencia)","Differential calculus on q-Minkowski space",,"An. Fisica (Monogr.) 2 (1995) 107-130",,,"hep-th math.QA",,"  We wish to report here on a recent approach to the non-commutative calculus
on $q$-Minkowski space which is based on the reflection equations with no
spectral parameter. These are considered as the expression of the invariance
(under the coaction of the $q$-Lorentz group) of the commutation properties
which define the different $q$-Minkowski algebras. This approach also allows us
to discuss the possible ambiguities in the definition of $q$-Minkowski space
${\cal M}_q$ and its differential calculus. The commutation relations among the
generators of ${\cal M}_q$ (coordinates), ${\cal D}_q$ (derivatives),
$\Lambda_q$ (one-forms) and a few invariant (scalar) operators are established
and compared with earlier results.
","[{""version"":""v1"",""created"":""Tue, 28 Jun 1994 19:00:00 GMT""}]","2008-02-03"
"hep-th/9406187",,"D. Caenepeel and M. Leblanc","Effective potential for nonrelativistic non-Abelian Chern-Simons matter
  system in constant background fields","17 pages in Tex (phyzzx), UdeM-LPN-TH-94-200, CRM-2195","Int.J.Mod.Phys.A10:4187-4202,1995","10.1142/S0217751X95001947",,"hep-th",,"  We present the effective potential for nonrelativistic matter coupled to
non-Abelian Chern-Simons gauge fields. We perform the calculation using a
functional method in constant background fields to satisfy Gauss's law and to
simplify the computation. Both the quantum gauge and matter fields are
integrated over. The gauge fixing is achieved with an $R_\xi$-gauge in the
$\xi\to 0$ limit. Divergences appearing in the matter sector are regulated via
operator regularization. We find no corrections to the Chern-Simons coupling
constant and the system experiences conformal symmetry breaking to one-loop
order except at the known value of self-duality. These results agree with
previous analysis of the non-Abelian Aharonov-Bohm scattering.
","[{""version"":""v1"",""created"":""Tue, 28 Jun 1994 19:31:28 GMT""}]","2011-07-19"
"hep-th/9406188","Laynam","Lay Nam Chang and Chopin Soo","The Standard Model with gravity couplings","Extended, and replaced with LaTex file. 25 Pages","Phys.Rev.D53:5682-5691,1996","10.1103/PhysRevD.53.5682","VPI-IHEP-94-5, CGPG-94/6-2","hep-th gr-qc hep-ph",,"  In this paper, we examine the coupling of matter fields to gravity within the
framework of the Standard Model of particle physics. The coupling is described
in terms of Weyl fermions of a definite chirality, and employs only
(anti)self-dual or left-handed spin connection fields. It is known from the
work of Ashtekar and others that such fields can furnish a complete description
of gravity without matter. We show that conditions ensuring the cancellation of
perturbative chiral gauge anomalies are not disturbed. We also explore a global
anomaly associated with the theory, and argue that its removal requires that
the number of fundamental fermions in the theory must be multiples of 16. In
addition, we investigate the behavior of the theory under discrete
transformations P, C and T; and discuss possible violations of these discrete
symmetries, including CPT, in the presence of instantons and the
Adler-Bell-Jackiw anomaly.
","[{""version"":""v1"",""created"":""Tue, 28 Jun 1994 21:08:00 GMT""},{""version"":""v2"",""created"":""Thu, 21 Sep 1995 00:24:48 GMT""}]","2011-09-09"
"hep-th/9406190","Yi-Zhi Huang","Yi-Zhi Huang","A nonmeromorphic extension of the moonshine module vertex operator
  algebra","26 pages. Final version to appear in the Proceedings of the
  Moonshine, the Monster, and related topics, Summer Research Conference, Mount
  Holyoke, 1994, Contemporary Mathematics",,,,"hep-th math.QA",,"  We describe a natural structure of an abelian intertwining algebra (in the
sense of Dong and Lepowsky) on the direct sum of the untwisted vertex operator
algebra constructed {}from the Leech lattice and its (unique) irreducible
twisted module. When restricting ourselves to the moonshine module, we obtain a
new and conceptual proof that the moonshine module has a natural structure of a
vertex operator algebra. This abelian intertwining algebra also contains an
irreducible twisted module for the moonshine module with respect to the obvious
involution. In addition, it contains a vertex operator superalgebra and a
twisted module for this vertex operator superalgebra with respect to the
involution which is the identity on the even subspace and is $-1$ on the odd
subspace. It also gives the superconformal structures observed by Dixon,
Ginsparg and Harvey.
","[{""version"":""v1"",""created"":""Wed, 29 Jun 1994 02:38:52 GMT""},{""version"":""v2"",""created"":""Fri, 1 Jul 1994 15:17:21 GMT""},{""version"":""v3"",""created"":""Sat, 2 Jul 1994 17:28:22 GMT""},{""version"":""v4"",""created"":""Fri, 8 Jul 1994 04:32:32 GMT""},{""version"":""v5"",""created"":""Sat, 30 Jul 1994 22:54:20 GMT""},{""version"":""v6"",""created"":""Fri, 12 Aug 1994 01:00:39 GMT""},{""version"":""v7"",""created"":""Thu, 15 Jun 1995 03:02:55 GMT""}]","2008-02-03"
"hep-th/9406191","Steven Brumby","S.P.Brumby and G.C.Joshi","Quantum Dynamics in Regions of Quaternionic Curvature","12 pages, REVTeX 3.0, no figures, UM-P-94/24, OZ-94/11",,,,"hep-th",,"  The complex unit appearing in the equations of quantum mechanics is
generalised to a quaternionic structure on spacetime, leading to the
consideration of complex quantum mechanical particles whose dynamical behaviour
is governed by inhomogeneous Dirac and Schr\""{o}dinger equations. Mixing of
hyper-complex components of wavefunctions occurs through their interaction with
potentials dissipative into the extra quaternionic degrees of freedom. An
interferometric experiment is analysed to illustrate the effect.
","[{""version"":""v1"",""created"":""Wed, 29 Jun 1994 06:34:13 GMT""}]","2007-05-23"
