"alg-geom/9406005","Charles Walter","Charles H. Walter","Pfaffian Subschemes","26 pages, AMS-LaTeX",,,,"alg-geom math.AG",,"  A subscheme $X\subset \Bbb P^{n+3}$ of codimension $3$ is {\em Pfaffian} if
it is the degeneracy locus of a skew-symmetric map $f:\cal{E}\spcheck(-t) @>>>
\cal{E}$ with $\cal{E}$ a locally free sheaf of odd rank on $\Bbb P^{n+3}$. It
is shown that a codimension $3$ subscheme $X\subset\Bbb P^{n+3}$ is Pfaffian if
and only if it is locally Gorenstein, subcanonical (i.e.\ $\omega_X\cong\cal
O_X(l)$ for some integer $l$), and the following parity condition holds: if
$n\equiv 0\pmod{4}$ and $l$ is even, then $\chi (\cal O_X (l/2))$ is also even.
The paper includes a modern version of the Horrocks correspondence, stated in
the language of derived categories. A local analogue of the main theorem is
also proved.
","[{""version"":""v1"",""created"":""Fri, 17 Jun 1994 15:28:12 GMT""}]","2008-02-03"
"cond-mat/9406069","Angel Sanchez","Francisco Dominguez-Adame, Enrique Macia, and Angel Sanchez","Optical absorption in paired correlated random lattices","REVTeX 3.0, 8 pages, 4 figures available on request from FD-A
  (fimat02@emducms1.sis.ucm.es), Phys Rev B in press, MA/UC3M/01/94",,"10.1103/PhysRevB.50.6453",,"cond-mat",,"  Optical absorption in a random one-dimensional lattice in the presence of
paired correlated disorder is studied. The absorption line shape is evaluated
by solving the microscopic equations of motion of the Frenkel-exciton problem
in the lattice. We find that paired correlation causes the occurrence of
well-defined characteristic lines in the absorption spectra which clearly
differ from the case of unpaired correlation. The behavior of the absorption
lines as a function of defect concentration is studied in detail. We also show
how exciton dynamics can be inferred from experimental data by deriving an
analytical expression relating the energy and intensity of lines to the model
parameters.
","[{""version"":""v1"",""created"":""Thu, 16 Jun 1994 20:39:44 GMT""}]","2009-10-22"
"cond-mat/9406070","Angel Sanchez","Enrique Macia, Francisco Dominguez-Adame, and Angel Sanchez","Energy spectra of quasiperiodic systems via information entropy","REVTeX 3.0, 8 pages, 3 figures available on request from FD-A
  (fimat02@emducms1.sis.ucm.es), Phys Rev E submitted, MA/UC3M/02/94",,"10.1103/PhysRevE.50.R679",,"cond-mat",,"  We study the relationship between the electronic spectrum structure and the
configurational order of one-dimensional quasiperiodic systems. We take the
Fibonacci case as an specific example, but the ideas outlined here may be
useful to accurately describe the energy spectra of general quasiperiodic
systems of technological interest. Our main result concerns the {\em
minimization} of the information entropy as a characteristic feature associated
to quasiperiodic arrangements. This feature is shown to be related to the
ability of quasiperiodic systems to encode more information, in the Shannon
sense, than periodic ones. In the conclusion we comment on interesting
implications of these results on further developments on the issue of
quasiperiodic order.
","[{""version"":""v1"",""created"":""Thu, 16 Jun 1994 20:39:55 GMT""}]","2009-10-22"
"cond-mat/9406071","Mountain Climber","David J.E. Callaway","Solvent-induced organization: A physical model of folding myoglobin","Rockefeller preprint RU 93-3-B 28 pages, plain LATEX Figures
  available by request to climber@summit.rockefeller.edu",,,,"cond-mat chem-ph hep-lat q-bio",,"  The essential features of the in vitro refolding of myoglobin are expressed
in a solvable physical model. Alpha helices are taken as the fundamental
collective coordinates of the system, while the refolding is assumed to be
mainly driven by solvent-induced hydrophobic forces. A quantitative model of
these forces is developed and compared with experimental and theoretical
results. The model is then tested by being employed in a simulation scheme
designed to mimic solvent effects. Realistic dynamic trajectories of myoglobin
are shown as it folds from an extended conformation to a close approximation of
the native state. Various suggestive features of the process are discussed. The
tenets of the model are further tested by folding the single-chain plant
protein leghemoglobin.
","[{""version"":""v1"",""created"":""Thu, 16 Jun 1994 21:36:25 GMT""}]","2007-05-23"
"cond-mat/9406072","Murray. Batchelor","M.T. Batchelor and C.M. Yung","Integrable su(2)-invariant spin chains and the Haldane conjecture","8 pages, LaTeX, MRR-032-94",,,,"cond-mat",,"  We perform a systematic exact algebraic search for integrable spin-S chains
which are isotropic in spin space, i.e. are su(2)-invariant. The families of
spin chains found for S < 14 support recent arguments in favour of the complete
classification of all such integrable chains. The integrable families of spin
chains are discussed in the light of the conjectured spin-dependent properties
of the Heisenberg chain.
","[{""version"":""v1"",""created"":""Fri, 17 Jun 1994 07:01:23 GMT""}]","2007-05-23"
"cond-mat/9406073","Penc Karlo","K. Penc and F. Mila","Charge gap in the one--dimensional dimerized Hubbard model at
  quarter-filling","33 pages, RevTeX 3.0, figures on request","Phys. Rev. B 50, 11429-11445 (1994)","10.1103/PhysRevB.50.11429",,"cond-mat",,"  We propose a quantitative estimate of the charge gap that opens in the
one-dimensional dimerized Hubbard model at quarter-filling due to dimerization,
which makes the system effectively half--filled, and to repulsion, which
induces umklapp scattering processes. Our estimate is expected to be valid for
any value of the repulsion and of the parameter describing the dimerization. It
is based on analytical results obtained in various limits (weak coupling,
strong coupling, large dimerization) and on numerical results obtained by exact
diagonalization of small clusters. We consider two models of dimerization:
alternating hopping integrals and alternating on--site energies. The former
should be appropriate for the Bechgaard salts, the latter for compounds where
the stacks are made of alternating $TMTSF$ and $TMTTF$ molecules. % $(TMTSF)_2
X$ and $(TMTTF)_2 X$ ($X$ denotes $ClO_4$, $PF_6$, $Br$...).
","[{""version"":""v1"",""created"":""Fri, 17 Jun 1994 09:15:37 GMT""}]","2009-02-27"
"cond-mat/9406074","Enzo Marinari","Enzo Marinari, Giorgio Parisi and Felix Ritort","Replica Field Theory for Deterministic Models (II): A Non-Random Spin
  Glass with Glassy Behavior","35 pages with uu figures, Roma 1027",,"10.1088/0305-4470/27/23/011",,"cond-mat hep-th",,"  We introduce and study a model which admits a complex landscape without
containing quenched disorder. Continuing our previous investigation we
introduce a disordered model which allows us to reconstruct all the main
features of the original phase diagram, including a low $T$ spin glass phase
and a complex dynamical behavior.
","[{""version"":""v1"",""created"":""Fri, 17 Jun 1994 10:24:42 GMT""}]","2009-10-22"
"cond-mat/9406075","T. Xiang","T Xiang and J M Wheatley","Disorder effect in low dimensional superconductors","2 pages, uuencoded compressed postscript file, IRC-9406100",,"10.1016/0921-4534(94)92425-2",,"cond-mat",,"  The quasiparticle density of states (DOS), the energy gap, the superfluid
density $\rho_s$, and the localization effect in the s- and d-wave
superconductors with non-magnetic impurity in two dimensions (2D) are studied
numerically. For strong (unitary) scatters, we find that it is the range of the
scattering potential rather than the symmetry of the superconducting pairing
which is more important in explaining the impurity dependences of the specific
heat and the superconducting transition temperature in Zn doped YBCO. The
localization length is longer in the d-wave superconducting state than in the
normal state, even in the vicinity of the Fermi energy.
","[{""version"":""v1"",""created"":""Fri, 17 Jun 1994 10:26:08 GMT""}]","2009-10-22"
"cond-mat/9406076","R. Bursill","R. J. Bursill, T. Xiang, G. A. Gehring","Density matrix renormalisation group study of the correlation function
  of the bilinear-biquadratic spin-1 chain","13 pages, Standard Latex File + 5 PostScript figures in separate (New
  version with SUBSTANTIAL REVISIONS to appear in J Phys A)","J. Phys. A 28 (1994) 2109-2119","10.1088/0305-4470/28/8/005",,"cond-mat hep-lat",,"  Using the recently developed density matrix renormalization group approach,
we study the correlation function of the spin-1 chain with quadratic and
biquadratic interactions. This allows us to define and calculate the
periodicity of the ground state which differs markedly from that in the
classical analogue. Combining our results with other studies, we predict three
phases in the region where the quadratic and biquadratic terms are both
positive.
","[{""version"":""v1"",""created"":""Fri, 17 Jun 1994 15:40:37 GMT""},{""version"":""v2"",""created"":""Fri, 27 Jan 1995 12:16:38 GMT""}]","2009-10-22"
"cond-mat/9406077","Tsutomu Momoi","Tsutomu Momoi","An Upper Bound for the Spin-Wave Spectrum of the Heisenberg
  Antiferromagnet","7 pages, LaTeX, to appear in J. Phys. Soc. Jpn",,"10.1143/JPSJ.63.2507",,"cond-mat",,"  We study the spin-wave spectrum of the Heisenberg antiferromagnet on a
bipartite lattice. The spin-wave spectrum on a N\'eel-ordered ground state is
bounded as $\varepsilon (k) \le c |k| $, where $c$ gives an upper bound for the
spin-wave velocity. In the large-$S$ limit, the upper bound $c$ coincides with
the result of the spin-wave theory.
","[{""version"":""v1"",""created"":""Fri, 17 Jun 1994 15:10:01 GMT""}]","2009-10-22"
"gr-qc/9406027","Peter Schaller","P.Schaller and T.Strobl","Quantization of Field Theories Generalizing Gravity-Yang-Mills Systems
  on the Cylinder","26, pages, TUW-94-2","Lect.Notes Phys. 436 (1994) 98-122","10.1007/3-540-58453-6_6",,"gr-qc",,"  Pure gravity and gauge theories in two dimensions are shown to be special
cases of a much more general class of field theories each of which is
characterized by a Poisson structure on a finite dimensional target space. A
general scheme for the quantization of these theories is formulated. Explicit
examples are studied in some detail. In particular gravity and gauge theories
with equivalent actions are compared. Big gauge transformations as well as the
condition of metric nondegeneracy in gravity turn out to cause significant
differences in the structure of the corresponding reduced phase spaces and the
quantum spectra of Dirac observables. For $R^2$ gravity coupled to SU(2) Yang
Mills the question of quantum dynamics (`problem of time') is addressed. [This
article is a contribution to the proceedings (to appear in LNP) of the 3rd
Baltic RIM Student Seminar (1993). Importance is attached to concrete examples.
A more abstract presentation of the ideas underlying this article (including
new developments) is found in hep-th/9405110.]
","[{""version"":""v1"",""created"":""Thu, 16 Jun 1994 17:55:16 GMT""}]","2009-10-22"
"gr-qc/9406028","Huw Price","Huw Price","A Neglected Route to Realism About Quantum Mechanics","35 pages, LaTex (forthcoming in MIND, July 1994; written for a
  philosophical audience, but perhaps of some interest here)","Mind 103:303-336,1994","10.1093/mind/103.411.303",,"gr-qc",,"  Bell's Theorem assumes that hidden variables are not influenced by future
measurement settings. The assumption has sometimes been questioned, but the
suggestion has been thought outlandish, even by the taxed standards of the
discipline. (Bell thought that it led to fatalism.) The case for this reaction
turns out to be surprisingly weak, however. We show that QM easily evades the
standard objections to advanced action. And the approach has striking
advantages, especially in avoiding the apparent conflict between Bell's Theorem
and special relativity.
  The second part of the paper considers the broader question as to why
advanced action seems so counterintuitive. We investigate the origins of our
ordinary intuitions about causal asymmetry. It is argued that the view that the
past does not depend on the future is largely anthropocentric, a kind of
projection of our own temporal asymmetry. Many physicists have also reached
this conclusion, but have thought that if causation has no objective direction,
there is no objective content to an advanced action interpretation of QM. This
turns out to be a mistake. From the ordinary subjective perspective, we can
distinguish two sorts of objective world: one ""looks as if"" it contains only
forward causation, the other ``looks as if'' it involves a mix of backward and
forward causation. This clarifies the objective core of an advanced action
interpretation of QM, and shows that there is an independent symmetry argument
in favour of the approach.
","[{""version"":""v1"",""created"":""Fri, 17 Jun 1994 02:42:33 GMT""}]","2010-02-23"
"gr-qc/9406029","John T. Whelan","John T. Whelan","Spacetime alternatives in relativistic particle motion","REVTeX, 30 pages, 9 (compressed) PostScript figures appended in a
  uuencoded tar file","Phys.Rev. D50 (1994) 6344","10.1103/PhysRevD.50.6344",,"gr-qc",,"  One of the reasons we expect a standard quantum mechanics, which predicts
probabilities for alternatives defined on spacelike slices, to be inadequate
for quantum gravity is that the notion of ``spacelike'' is ill-defined in a
theory where the metric itself is behaving quantum-mechanically. Spacetime
coarse grainings--sets of alternatives defined with respect to a region
extended in time as well as space--have previously been considered in the
quantum mechanics of a single nonrelativistic particle. This work examines
spacetime coarse grainings in the quantum mechanics of a free *relativistic*
particle, not as a theory for real particles (which are described by quantum
field theory) but as a simple reparametrization-invariant theory which may
model some features of quantum gravity.
  We use Hartle's sum-over-histories generalized quantum mechanics formalism,
in which probabilities are assigned to a set of alternatives if they decohere,
i.e., if the quantum-mechanical interference between their branches of the
initial state is nearly zero. For one extremely simple set of alternatives, we
calculate these branches. Despite the nonlocality of the positive-definite
version of the Klein-Gordon inner product, some initial conditions are found to
give decoherence and allow the consistent assignment of probabilities.
","[{""version"":""v1"",""created"":""Fri, 17 Jun 1994 13:03:00 GMT""}]","2009-10-22"
"hep-lat/9406012","Thomas Neuhaus","F. Karsch, T. Neuhaus and A. Patkos","Effective Scalar Field Theory for the Electroweak Phase Transition","28 pages and 18 figures","Nucl.Phys.B441:629-657,1995","10.1016/0550-3213(95)00083-5",,"hep-lat",,"  We investigate an effective model for the finite temperature restoration
phase transition of the electroweak theory. It is obtained by dimensional
reduction of the $3+1$ dimensional full theory and by subsequent integration
over all static gauge degrees of freedom. The resulting theory corresponds to a
$3$-dimensional $O(4)$ ferromagnet containing cubic and quartic terms of the
field in its potential function. Possible nonperturbative effects of a magnetic
screening mass are parametrically included in the potential. We analyse the
theory using mean field and numerical Monte Carlo (MC) simulation methods. At
the value of the physical Higgs mass, $m_H=37~{\rm GeV}$, considered in the
present investigation, we find a discontinuous symmetry restoring phase
transition. We determine the critical temperature, order parameter jump,
interface tension and latent heat characteristics of the transition. The Monte
Carlo results indicate a somewhat weaker first order phase transition as
compared to the mean field treatment, demonstrating that non-perturbative
fluctuations of the Higgs field are relevant. This effect is especially
important for the interface tension. Any observation of hard first order
transition could result only from non-perturbative effects related to the gauge
degrees of freedom.
","[{""version"":""v1"",""created"":""Fri, 17 Jun 1994 08:13:43 GMT""}]","2011-07-19"
"hep-ph/9406324",,"S. Dawson and G. Valencia","Bounds on $g_5^Z$ from Precision LEP Measurements","Phys. Lett. B333 (1994) 207. A few minor errors in the table are
  corrected and updated experimental and theoretical numbers are used. The
  conclusions are unchanged. These changes will appear in an erratum to the
  published paper","Phys.Lett. B333 (1994) 207-211","10.1016/0370-2693(94)91031-6",,"hep-ph",,"  The parity violating but CP conserving anomalous three-gauge-boson coupling
$g_5^Z$ induces a universal contribution to the left-handed coupling of the $Z$
boson to fermions. We find that the LEP measurements of the partial $Z$ widths
and lepton forward-backward asymmetries are sufficiently precise to place a
bound of order $|g_5^Z|$ less than $\sim~10\%$. This bound is significantly
better than what can be obtained at present from rare $K$ and $B$ meson decays.
","[{""version"":""v1"",""created"":""Thu, 16 Jun 1994 22:35:32 GMT""},{""version"":""v2"",""created"":""Fri, 28 Oct 1994 15:56:52 GMT""}]","2009-10-28"
"hep-ph/9406328",,"Dae-Gyu Lee and R. N. Mohapatra","Automatically R-Conserving SUSY SO(10) Models and Mixed Light Higgs
  Doublets","UMD-PP-94-166 (some minor misprints corrected; Latex file; one figure
  available on request )","Phys.Rev. D51 (1995) 1353-1361","10.1103/PhysRevD.51.1353",,"hep-ph",,"  In automatic R-parity conserving SO(10) models, the simplest way to
accomodate realistic fermion masses is to demand that that the light Higgs
doublets be linear combinations of the {10} and {126}-bar grand unified Higgs
representations. We study the realization of this mixed light Higgs property
consistent with doublet-triplet splitting in a minimal model and discuss its
predictions for neutrino masses and implications for proton decay.
","[{""version"":""v1"",""created"":""Thu, 16 Jun 1994 20:33:16 GMT""},{""version"":""v2"",""created"":""Fri, 17 Jun 1994 19:03:47 GMT""},{""version"":""v3"",""created"":""Fri, 24 Jun 1994 17:58:56 GMT""}]","2009-10-28"
