"alg-geom/9404009","Gregory Sankaran","v.A. Gritsenko and G.K. Sankaran","Moduli of abelian surfaces with a $(1,p^2)$ polarisation","8 pages, plain TeX",,,,"alg-geom math.AG",,"  We show that the (compactified) moduli space of abelian surfaces with a
polarisation of type $(1,p^2)$ is of general type for $p \ge 11$, improving a
result of O'Grady.
","[{""version"":""v1"",""created"":""Thu, 21 Apr 1994 11:55:00 GMT""}]","2008-02-03"
"hep-ph/9404310","Tom Browder","The CLEO collaboration","A Measurement of the Branching Fraction ${\cal B} \tau^+ \to h^- \pi^0
  \nu_\tau$","9 pages (in REVTEX format) Preprint CLNS94-1281, CLEO 94-11","Phys.Rev.Lett.72:3762-3766,1994","10.1103/PhysRevLett.72.3762",,"hep-ph hep-ex",,"  Using data from the CLEO II detector at CESR, we measure ${\cal
B}(\tau^\pm\rightarrow h^\pm\pi^0\nu_\tau)$ where $h^\pm$ refers to either
$\pi^\pm$ or $K^\pm$. We use three different methods to measure this branching
fraction. The combined result is ${\cal B}(\tau^\pm\rightarrow
h^\pm\pi^0\nu_\tau) = 0.2587 \pm 0.0012 \pm 0.0042$, in good agreement with
Standard Model predictions. This result, in combination with other precision
measurements, reduces the significance of the one-prong problem in tau decays.
A postscript version is available through World-Wide-Web in
http://w4.lns.cornell.edu/public/CLNS/1994/
","[{""version"":""v1"",""created"":""Wed, 20 Apr 1994 23:32:40 GMT""}]","2012-08-27"
"hep-ph/9404311","Kim Jihn E.","Kiwoon Choi, Jihn E. Kim and Hans Peter Nilles","Cosmological Constant and Soft Terms in Supergravity","Latex file, 11 pages plus 1 figure (the figure not included), SNUTP
  94--19","Phys.Rev.Lett. 73 (1994) 1758-1761","10.1103/PhysRevLett.73.1758",,"hep-ph hep-th",,"  Some of the soft SUSY breaking parameters in hidden sector supergravity model
depend on the expectation value of the hidden sector scalar potential, $<V_h>$,
whose tree level value is equal to the tree level cosmological constant. The
current practice of calculating soft parameters assumes that $<V_h>=0$. Quantum
correction to the cosmological constant can differ from the correction to
$<V_h>$ by an amount of order $m^2_{3/2}M_{Pl}^2/8\pi$. This implies that, for
the vanishing cosmological constant, the $<V_h>$--dependent parts of soft terms
can be sizable, and hence the supergravity phenomenology should be accordingly
modified.
","[{""version"":""v1"",""created"":""Thu, 21 Apr 1994 02:18:56 GMT""}]","2009-10-28"
"hep-ph/9404312","Yuri Makeenko","Yu. Makeenko","Exact Multiparticle Amplitudes at Threshold in Large-N Component phi^4
  Theory","18 pp., Latex (6 Latex figures), NBI-HE-94-25","Phys. Rev. D 50, 4137 (1994)","10.1103/PhysRevD.50.4137",,"hep-ph hep-th",,"  I derive the set of recurrence relations between the amplitudes of
multiparticle production at threshold in the standard large-N limit of the
O(N)-symmetric phi^4$ theory which sums all relevant diagrams with arbitrary
number of loops. I find an exact solution to the recurrence relations using the
Gelfand--Dikii representation of the diagonal resolvent of the Schrodinger
operator. The result coincides with the tree amplitudes while the effect of
loops is the renormalization of the coupling constant and mass. The form of the
solution is due to the fact that the exact amplitude of the process 2->n at n>2
vanishes on mass shell when averaged over the O(N)-indices of incoming
particles for dynamical reasons because of the cancellation between diagrams. I
discuss some possible applications of large-N amplitudes, in particular, for
the renormalon problem.
","[{""version"":""v1"",""created"":""Thu, 21 Apr 1994 08:23:39 GMT""}]","2013-11-13"
"hep-ph/9404313","Roberto Pittau","F.A.Berends, R.Kleiss and R.Pittau","All electroweak four fermion processes in electron-positron collisions","INLO-PUB-1/94,NIKHEF-H/94-08, LaTeX, uses axodraw.sty (appended to
  end of TeX file), 45 pages","Nucl.Phys. B424 (1994) 308-342","10.1016/0550-3213(94)90297-6",,"hep-ph",,"  This paper studies the electroweak production of all possible four fermion
states in e+ e- collisions. Since the methods employed to evaluate the complete
matrix elements and phase space are very general, all four fermion final states
in which the charged particles are detected can be considered. Also all kinds
of experimental cuts can be imposed. With the help of the constructed event
generator a large number of illustrative results is obtained, which show the
relevance of backgrounds to a number of signals. For LEP 200 the W-pair signal
and its background are discussed, for higher energies also Z-pair and single W
and Z signals and backgrounds are presented.
","[{""version"":""v1"",""created"":""Thu, 21 Apr 1994 10:19:23 GMT""}]","2009-10-28"
"hep-ph/9404314",,"Thomas E. Browder (University of Hawaii at Manoa), Klaus Honscheid
  (Ohio State University), Stephen Playfer (Syracuse University)","A Review of Hadronic and Rare B Decays","77 pages; CLNS 93/1261, UH-511-778-93, OHSTPY-HEP-E-93-018, HEPSY
  93-10",,"10.1142/9789814503846_0004",,"hep-ph hep-ex",,"  We review recent experimental results on B meson decays. These include
measurements of the inclusive production of charmed and non-charmed mesons and
baryons, the reconstruction of a large number of exclusive hadronic final
states with charmed mesons, the search for exclusive hadronic final states
without charmed mesons, and the first observation of the decay B-> K* gamma
which is described by an electromagnetic penguin diagram. The theoretical
implications of these results will be considered. The figures can be obtained
in postscript format EMAIL from kh@ohstpy.mps.ohio-state.edu.
","[{""version"":""v1"",""created"":""Thu, 21 Apr 1994 14:04:37 GMT""}]","2016-11-03"
"hep-ph/9404318","Sakane","A. Ni\'egawa","Is \lq\lq Heavy Quark Damping Rate Puzzle'' in Hot QCD Really the
  Puzzle?","13pages, OCU-PHYS-154","Phys.Rev.Lett.73:2023-2026,1994","10.1103/PhysRevLett.73.2023",,"hep-ph",,"  Within the framework of perturbative resummation scheme of Pisarski and
Braaten, the decay- or damping-rate of a moving heavy quark (muon) to leading
order in weak coupling in hot QCD (QED) is examined. Although, as is well
known, the conventionally-defined damping rate diverges logarithmically at the
infrared limit, shown is that no such divergence appears in the physically
measurable decay rate. The cancellation occurs between the contribution from
the \lq\lq real'' decay diagram and the contribution from the diagrams with
\lq\lq thermal radiative correction''.
","[{""version"":""v1"",""created"":""Thu, 21 Apr 1994 09:41:30 GMT""}]","2014-11-17"
"hep-ph/9404321","Johannes Bluemlein","Johannes Bl\""umlein, Edward Boos, and Alexander Pukhov","Leptoquark Pair Production at $ep$ Colliders","15 p., postscript encoded with uufiles; DESY 94--072","Mod.Phys.Lett. A9 (1994) 3007-3022","10.1142/S0217732394002847",,"hep-ph",,"  The pair production cross section for scalar and vector leptoquarks at $ep$
colliders is calculated for the case of photon--gluon fusion. In a model
independent analysis we consider the most general $C$ and $P$ conserving
couplings of gluons and photons to both scalar and vector leptoquarks described
by an effective low--energy Lagangian which obeys $U(1)_{em} \times SU(3)_c$
invariance. Numerical predictions are given for the kinematical regime at HERA
and LEP~$\otimes$~LHC.
","[{""version"":""v1"",""created"":""Wed, 20 Apr 1994 17:06:35 GMT""}]","2015-06-25"
"hep-th/9404125",,"Hitoshi Nishino","$~N=2$~ Superstring Theory Generates Supersymmetric Chern-Simons
  Theories","LATEX 13 pages, UMDEPP 94-127","Mod.Phys.Lett. A9 (1994) 3255-3266","10.1142/S0217732394003075",,"hep-th",,"  Abstrct: We show that the action of self-dual supersymmetric Yang-Mills
theory in four-dimensions, which describes the consistent massless background
fields for $~N=2$~ superstring, generates the actions for $~N=1$~ and $~N=2$~
supersymmetric non-Abelian Chern-Simons theories in three-dimensions after
appropriate dimensional reductions. Since the latters play important roles for
supersymmetric integrable models, this result indicates the fundamental
significance of the $~N=2$~ superstring theory controlling (possibly all)
supersymmetric integrable models in lower-dimensions.
","[{""version"":""v1"",""created"":""Wed, 20 Apr 1994 16:28:26 GMT""}]","2015-06-26"
"hep-th/9404126",,"A.Marshakov","String theory and classical integrable systems","lecture given at III Baltic Rim student seminar, Helsinki, September
  1993} 33pp, latex",,"10.1007/3-540-58453-6_11",,"hep-th",,"  We discuss different formulations and approaches to string theory and $ 2d$
quantum gravity. The generic idea to get a unique description of {\it many}
different string vacua altogether is demonstrated on the examples in $ 2d$
conformal, topological and matrix formulations. The last one naturally brings
us to the appearance of classical integrable systems in string theory. Physical
meaning of the appearing structures is discussed and some attempts to find
directions of possible generalizations to ``higher-dimensional"" models are
made. We also speculate on the possible appearence of quantum integrable
structures in string theory.
","[{""version"":""v1"",""created"":""Wed, 20 Apr 1994 18:03:26 GMT""}]","2009-10-28"
"hep-th/9404127",,"J.L. Vazquez-Bello","The Quantum Mechanics of a ""Spinor-twin"" Type II Superparticle","8 pages. TeX-file",,,,"hep-th",,"  Ten dimensional supersymmetric Yang-Mills theory may be described, in the
light-cone gauge, in terms of either a vector or spinor superfield satisfying
certain projection conditions (type I or II). These have been presented in a $
SO(9,1) $ form, and used to construct spinning superparticle theories in
extended spaces. This letter presents the covariant quantisation of a
""spinor-twin"" type II superparticle theory by using the standard techniques of
Batalin and Vilkovisky. The quantum action defines a quadratic field theory,
whose ghost-independent BRST cohomology class gives the spectrum of N=1 super
Yang-Mills.
","[{""version"":""v1"",""created"":""Wed, 20 Apr 1994 21:41:41 GMT""}]","2007-05-23"
"hep-th/9404128","D'Hoker","Eric D'Hoker and D.H. Phong","Dispersion Relations in String Theory","17 pages, COLUMBIA-YITP-UCLA/93/TEP/45 (figures fixed up)","Theor.Math.Phys.98:306-316,1994; Teor.Mat.Fiz.98:442-455,1994","10.1007/BF01102207",,"hep-th",,"  We analyze the analytic continuation of the formally divergent one-loop
amplitude for scattering of the graviton multiplet in the Type II Superstring.
In particular we obtain explicit double and single dispersion relations,
formulas for all the successive branch cuts extending out to plus infinity, as
well as for the decay rate of a massive string state of arbitrary mass 2N into
two string states of lower mass. We compare our results with the box diagram in
a superposition of $\phi^3$-like field theories. The stringy effects are traced
to a convergence problem in this superposition.
","[{""version"":""v1"",""created"":""Thu, 21 Apr 1994 01:03:00 GMT""},{""version"":""v2"",""created"":""Tue, 26 Apr 1994 21:58:52 GMT""}]","2011-04-20"
"hep-th/9404129",,"Aurelian Isar","Wigner distribution function and entropy of the damped harmonic
  oscillator within the theory of open quantum systems","8 pages, Latex (Contribution to the Second Workshop on Harmonic
  Oscillators, Cocoyoc, Mexico, March 23-25, 1994)",,,,"hep-th",,"  The harmonic oscillator with dissipation is studied within the framework of
the Lindblad theory for open quantum systems. By using the Wang-Uhlenbeck
method, the Fokker-Planck equation, obtained from the master equation for the
density operator, is solved for the Wigner distribution function, subject to
either the Gaussian type or the $\delta$-function type of initial conditions.
The obtained Wigner functions are two-dimensional Gaussians with different
widths. Then a closed expression for the density operator is extracted. The
entropy of the system is subsequently calculated and its temporal behaviour
shows that this quantity relaxes to its equilibrium value.
","[{""version"":""v1"",""created"":""Thu, 21 Apr 1994 07:24:00 GMT""}]","2007-05-23"
"hep-th/9404131","Shibaji Roy","Pablo M. Llatas and Shibaji Roy","On N=1 Superconformal Algebra in the Non-Critical Bosonic String Theory","12 pages, Plain tex, UG-2/94","Phys.Lett. B333 (1994) 347-352","10.1016/0370-2693(94)90153-8",,"hep-th",,"  In a recent work it has been shown that the bosonic strings could be embedded
into a special class of $N=1$ fermionic strings. We argue that the
superpartners of any physical state in the spectrum of this fermionic string is
non-physical. So, there is no supersymmetry in the space of physical states and
the embedding is, in this sense, ``trivial''. We here propose two different
constructions as possible candidates of non-trivial embeddings of the
non-critical bosonic strings into some special class of $N=1$ fermionic strings
of which one is the non-critical NSR string. The BRST charge of the $N=1$
fermionic strings in both cases decompose as $Q_{N=1} = Q_B + {\tilde Q}$,
where $Q_B$ is the BRST charge of the bosonic string.
","[{""version"":""v1"",""created"":""Thu, 21 Apr 1994 12:55:01 GMT""}]","2009-10-28"
"hep-th/9404132","Noureddine Mohammedi","Noureddine Mohammedi","Wess-Zumino-Novikov-Witten Models Based on Lie Superalgebras","10 pages, Latexfile, BONN-TH-94-03","Phys.Lett. B331 (1994) 93-98","10.1016/0370-2693(94)90947-4",,"hep-th",,"  The affine current algebra for Lie superalgebras is examined. The bilinear
invariant forms of the Lie superalgebra can be either degenerate or
non-degenerate. We give the conditions for a Virasoro construction, in which
the currents are primary fields of weight one, to exist. In certain cases, the
Virasoro central charge is an integer equal to the super dimension of the group
supermanifold. A Wess-Zumino-Novikov-Witten action based on these Lie
superalgebras is also found.
","[{""version"":""v1"",""created"":""Thu, 21 Apr 1994 15:16:03 GMT""}]","2009-10-28"
"math/9404205","Jiri Witzany","Moti Gitik and Ji\v{r}\'i Witzany","Consistency Strength of the Axiom of Full Reflection at Large Cardinals",,,,"Logic E-prints April 21, 1994","math.LO",,"  The Axiom of Full Reflection at a measurable cardinal has been conjectured to
be equiconsitent with the existence of a coherent sequence of measures with a
repeat point. However we prove that the Axiom of Full Reflection at a
measurable cardinal is surprisingly equiconsistent just with the existence of a
measurable cardinal. We also generalize the result to larger cardinals as
strong or supercompact. Hence we can conclude that the Axiom of Full Reflection
at large cardinals weaker than measurable, e.g. as n-Mahlo, does push the
consistency strength up, but does not push the consistency strength up at
measurable or larger cardinals.
","[{""version"":""v1"",""created"":""Thu, 21 Apr 1994 00:00:00 GMT""}]","2008-02-03"
"math/9404213",,"Mikhail I. Ostrovskii","Subspaces containing biorthogonal functionals of bases of different
  types",,"Teor. Funktsii, Funktsional. Anal. i Prilozhen. 57 (1992),
  115-127; English transl.: J. Math. Sci., 77 (1995), no. 1, 3008-3016",,"Banach Archive 4/20/94","math.FA",,"  The paper is devoted to two particular cases of the following general
problem. Let $\alpha$ and $\beta$ be two types of bases in Banach spaces. Let a
Banach space $X$ has bases of both types and a subspace $M\subset X^*$ contains
the sequence of biorthogonal functionals of some $\alpha$-basis in $X$. Does
$M$ contain a sequence of biorthogonal functionals of some $\beta$-basis in
$X$?
  The following particular cases are considered:
  $(\alpha, \beta)$=(Schauder bases, unconditional bases),
  $(\alpha, \beta)$=(Nonlinear operational bases, linear operational bases).
  The paper contains an investigation of some of the spaces constructed by
S.Belle\-not in ``The $J$-sum of Banach spaces'', J. Funct. Anal. {\bf 48}
(1982), 95--106. (These spaces are used in some examples.)
","[{""version"":""v1"",""created"":""Wed, 20 Apr 1994 17:17:38 GMT""}]","2010-09-07"
"patt-sol/9404004","Vadim R. Kudashev","Ramil' F.Bikbaev, Vadim R.Kudashev (Institute of Mathematics,
  Chernyshevskii 112, Ufa, Russia)","Example of shock wave in unstaible medium: The focusing nonlinear
  Schrodinger equation","4 pages, LaTEX, version 2.09, submitted to Phys. Lett. A",,"10.1016/0375-9601(94)90751-X",,"patt-sol nlin.PS",,"  Dissipationless shock waves in modulational unstable one-dimensional medium
are investigated on the simplest example of integrable focusing nonlinear
Schr\''odinger (NS) equation. Our approach is based on the construction of
special exact solution of the Whitham-NS system, which ''partially saturates''
the modulational instability.
","[{""version"":""v1"",""created"":""Thu, 21 Apr 1994 06:57:10 GMT""}]","2009-10-28"
"solv-int/9404004","Evgeny Doktorov","Evgeny V.Doktorov and Rafael A.Vlasov (Institute of Physics, 220072
  Minsk, Belarus)","Spatial Solitons in Media with Delayed-Response Optical Nonlinearities","7 pages, to be published in Europhys. Lett",,"10.1209/0295-5075/26/7/002",,"solv-int nlin.PS nlin.SI patt-sol",,"  Near-soliton scanning light-beam propagation in media with both
delayed-response Kerr-type and thermal nonlinearities is analyzed. The
delayed-response part of the Kerr nonlinearity is shown to be competitive as
compared to the thermal nonlinearity, and relevant contributions to a
distortion of the soliton form and phase can be mutually compensated. This
quasi-soliton beam propagation regime keeps properties of the incli- ned
self-trapped channel.
","[{""version"":""v1"",""created"":""Wed, 20 Apr 1994 18:15:34 GMT""}]","2009-10-28"
"solv-int/9404005","Evgeny Doktorov","Evgeny V.Doktorov (Institute of Physics, 220072 Minsk, Belarus)","Non-Linear Evolution Equations with Non-Analytic Dispersion Relations in
  2+1 Dimensions. Bilocal Approach","13 pages, to be published in J. Phys. A",,"10.1088/0305-4470/27/10/024",,"solv-int nlin.PS nlin.SI patt-sol",,"  A method is proposed of obtaining (2+1)-dimensional non- linear equations
with non-analytic dispersion relations. Bilocal formalism is shown to make it
possible to represent these equations in a form close to that for their
counterparts in 1+1 dimensions.
","[{""version"":""v1"",""created"":""Wed, 20 Apr 1994 18:14:18 GMT""}]","2009-10-28"
