"cmp-lg/9404007","Gosse Bouma","Gosse Bouma (Alfa-Informatica, Rijksuniversiteit Groningen), Gertjan
  van Noord (Alfa-Informatica, Rijksuniversiteit Groningen)","Constraint-Based Categorial Grammar","8 pages, LaTeX","Proceedings ACL 94",,,"cmp-lg cs.CL",,"  We propose a generalization of Categorial Grammar in which lexical categories
are defined by means of recursive constraints. In particular, the introduction
of relational constraints allows one to capture the effects of (recursive)
lexical rules in a computationally attractive manner. We illustrate the
linguistic merits of the new approach by showing how it accounts for the syntax
of Dutch cross-serial dependencies and the position and scope of adjuncts in
such constructions. Delayed evaluation is used to process grammars containing
recursive constraints.
","[{""version"":""v1"",""created"":""Tue, 19 Apr 1994 10:58:10 GMT""}]","2008-02-03"
"hep-ph/9404283",,"Michael Gronau, Oscar F. Hernandez, David London, Jonathan L. Rosner","Decays of $B$ Mesons to Two Light Pseudoscalars","6 figures available from the authors upon request. 28 pages,
  TECHNION-PH-94-8","Phys.Rev.D50:4529-4543,1994","10.1103/PhysRevD.50.4529",,"hep-ph",,"  The decays $B \to PP$, where $P$ denotes a pseudoscalar meson, are analyzed,
with emphasis on charmless final states. Numerous triangle relations for
amplitudes hold within SU(3) symmetry, relating (for example) the decays $B^+
\to \pi^+ \pi^0,~ \pi^0 K^+$, and $\pi^+ K^0$. Such relations can improve the
possibilities for early detection of $CP$-violating asymmetries. Within the
context of a graphical analysis of decays, relations are analyzed among SU(3)
amplitudes which hold if some graphs are neglected. One application is that
measurements of the rates for the above three $B^+$ decays and their
charge-conjugates can be used to determine a weak CKM phase. With measurements
of the remaining rates for $B$ decays to $\pi \pi,~\pi K$, and $K \bar K$, one
can obtain two CKM phases and several differences of strong phase shifts.
","[{""version"":""v1"",""created"":""Mon, 18 Apr 1994 16:32:29 GMT""}]","2010-11-01"
"hep-ph/9404285","Martin Savage","Martin J. Savage","$\Lambda (1405)$ Contribution to Kaon-Nucleon Scattering Lengths In
  Chiral Perturbation Theory","11 pages, figure not included, uses harvmac, CMU-HEP 94-11,
  NSF-ITP-94-33","Phys.Lett.B331:411-417,1994","10.1016/0370-2693(94)91072-3",,"hep-ph nucl-th",,"  We examine the role of the $\Lambda(1405)$ in kaon-nucleon scattering lengths
using chiral perturbation theory. The leading nonanalytic SU(3) corrections
reduce the coupling of the $\Lambda (1405)$ to $KN$ compared to $\Sigma\pi$.
S-wave $K^-p$ scattering is the only channel significantly affected by the $
\Lambda (1405)$ pole which substantially cancels against the leading term fixed
by the vector current. This cancellation and the close proximity of the
$\Lambda (1405)$ pole makes this SU(3) correction to $a(K^-p)$ large and at
lowest order leaves the sign of $a(K^-p)$ undetermined. We extract two linear
combinations of constants appearing at higher order in the chiral expansion
from measurements of $KN$ scattering lengths. These constants are important for
the offshell behaviour of $KN$ scattering amplitudes that play a central role
in kaon condensation. The recent claims about the calculability of these
constants are discussed.
","[{""version"":""v1"",""created"":""Mon, 18 Apr 1994 21:04:24 GMT""}]","2011-07-19"
"hep-ph/9404286","Kim Milton","Kimball A. Milton (Department of Physics and Astronomy, The University
  of Oklahoma, Norman OK, USA)","Finite-Element Time Evolution Operator for the Anharmonic Oscillator","Contribution to Harmonic Oscillators II, Cocoyoc, Mexico, March
  23-25, 1994, 8 pages, OKHEP-94-01, LaTeX, one uuencoded figure",,,,"hep-ph",,"  The finite-element approach to lattice field theory is both highly accurate
(relative errors $\sim1/N^2$, where $N$ is the number of lattice points) and
exactly unitary (in the sense that canonical commutation relations are exactly
preserved at the lattice sites). In this talk I construct matrix elements for
dynamical variables and for the time evolution operator for the anharmonic
oscillator, for which the continuum Hamiltonian is $H=p^2/2+\lambda q^4/4.$
Construction of such matrix elements does not require solving the implicit
equations of motion. Low order approximations turn out to be extremely
accurate. For example, the matrix element of the time evolution operator in the
harmonic oscillator ground state gives a result for the anharmonic oscillator
ground state energy accurate to better than 1\%, while a two-state
approximation reduces the error to less than 0.1\%.
","[{""version"":""v1"",""created"":""Mon, 18 Apr 1994 23:31:35 GMT""}]","2007-05-23"
"hep-ph/9404287","Erwin Mirkes","T. Brodkorb and E. Mirkes","DISJET 1.2: A Monte Carlo Program for Jet Cross Section Calculations in
  Deep Inelastic Scattering","An error in the finite part of the O(alphas^2) virtual corrections to
  the quark initiated (2+1)-jet subprocess is corrected. An error in the
  labelling of the O(alphas^2) (3+1)-jet subprocesses is corrected. An
  additional kinematical cut has been implemented",,,"MADPH-94-821;","hep-ph",,"  We present a new parton level Monte Carlo program for the calculation of jet
cross sections in Deep Inelastic Scattering based on Born and next-to-leading
order matrix elements. Using a class of invariant jet definition schemes, the
program allows for the calculation of differential distributions of jet cross
sections in the basic kinematical variables (like s, x, y, W^2, Q^2...) as well
as for total jet cross sections. Various kinematical cuts can be chosen from an
input file.
","[{""version"":""v1"",""created"":""Tue, 19 Apr 1994 01:35:44 GMT""},{""version"":""v2"",""created"":""Fri, 28 Apr 1995 02:14:34 GMT""}]","2008-02-03"
"hep-ph/9404288","Department of theoretic physics","N.V.Mikheev and A.Ya.Parkhomenko","Double radiative decay $Z \rightarrow f\bar{f}\gamma\gamma$ in the
  Standard Model","6 pages, LaTeX, (the figures are not included), Yaroslavl, Yaroslavl
  State University preprint YARU-HE-94/01","Mod.Phys.Lett. A9 (1994) 1175-1182","10.1142/S0217732394000988",,"hep-ph",,"  Z-boson decay $Z \rightarrow f\tilde{f}\gamma\gamma$ in the Standard Model is
analysed. The distribution function on the invariant masses of the photon and
fermion pairs is calculated in the leading logarithmic approximation. It is
shown that this distribution function has a specific shape of a ``crest''. (To
be published in Mod.Phys.Lett.A)
","[{""version"":""v1"",""created"":""Tue, 19 Apr 1994 09:19:26 GMT""}]","2015-06-25"
"hep-ph/9404289","Department of theoretic physics","A.A.Gvozdev, N.V.Mikheev and L.A.Vassilevskaya","The radiative decay of a high energy neutrino in the Coulomb field of a
  nucleus","5 pages, LaTeX, Yaroslavl, Yaroslavl State University preprint
  YARU-HE-93/03","Phys.Lett. B323 (1994) 179-181","10.1016/0370-2693(94)90288-7",,"hep-ph",,"  In the framework of the Standard Model with lepton mixing the radiative decay
$\nu_i \rightarrow \nu_j \gamma$ of a neutrino of high ($E_\nu \sim 100 \,
GeV$) and super-high ($E_\nu \ge 1 \, TeV$) energy is investigated in the
Coulomb field of a nucleus. Estimates of the decay probability and ``decay
cross-section'' for neutrinos of these energies in the electric field of a
nucleus permit one to discuss the general possibility of carrying out a
neutrino experiment, subject to the condition of availability in the future of
a beam of neutrinos of these high energies. Such an experiment could give
unique information on mixing angles in the lepton sector of the Standard Model
which would be independent of the specific neutrino masses if only the
threshold factor ($1 - m_j^4 / m_i^4$) was not close to zero. (Published in
Phys.Lett.B 323 (1994) 179).
","[{""version"":""v1"",""created"":""Tue, 19 Apr 1994 09:20:22 GMT""}]","2009-10-28"
"hep-ph/9404290","Department of theoretic physics","A.A.Gvozdev, N.V.Mikheev and L.A.Vassilevskaya","Electromagnetic catalysis of the radiative transitions of $\nu_i
  \rightarrow \nu_j \gamma$ type in the field of an intense monochromatic wave","10 pages, LaTeX (using emlines2.sty), Yaroslavl, Yaroslavl State
  University preprint YARU-HE-93/02","Phys.Lett. B321 (1994) 108-112","10.1016/0370-2693(94)90334-4",,"hep-ph",,"  The radiative decay of the massive neutrino $\nu_i \rightarrow \nu_j \gamma$
in a circularly polarized electromagnetic wave is investigated within the
Standard theory with lepton mixing. The decay probability in the wave field
does not contain a threshold factor $\sim ( 1 - m_i / m_j )$ as opposed to the
decay probability in a vacuum or in a constant uniform external field. The
phenomenon of the gigantic enhancement ( $\sim 10^{33}$ ) of the neutrino decay
probability in external wave field is discovered. The probability of the photon
splitting into the neutrino pair is obtained. (Published in Phys.Lett.B 321
(1994) 108).
","[{""version"":""v1"",""created"":""Tue, 19 Apr 1994 09:19:56 GMT""}]","2009-10-28"
"hep-ph/9404291",,"M. Doser and A. Palano","Exotic Searches","25 pages, LaTex, 22 Figures (available from the authors on request),
  BARI-TH/94-172",,,,"hep-ph",,"  The experimental information on the search for non $q \bar q$ mesons as
glueballs, hybrids and multiquark states is reviewed. Candidate states which
are particularly amenable to detailed study by accumulating large samples of
$J/\psi$, $\eta_c$, $\chi$ decays at a $\tau$-charm factory are discussed.
","[{""version"":""v1"",""created"":""Tue, 19 Apr 1994 13:11:00 GMT""}]","2007-05-23"
"hep-ph/9404292","Anton Kraemmer-Rebhan","A. K. Rebhan","Next-to-Leading Order Debye-Screening in Spontaneously Broken Gauge
  Theories","4 pp., 5 figs., uuencoded compressed postscript file",,,,"hep-ph",,"  The main role of the Debye screening mass in the perturbative treatment of
the electro-weak phase transition is the reduction of the cubic term that
determines the strength of a first-order transition. In this note I point out
that the standard definition of the Debye mass is unphysical. Its
next-to-leading order corrections in resummed perturbation theory are gauge
dependent generally in nonabelian gauge theories, and even in Abelian theories
when in the Higgs phase. A gauge independent definition can be obtained from a
gap equation for the propagator rather than the self-energy, which turns out to
be perturbatively under control in the Higgs phase, but sensitive to the
nonperturbative magnetic mass scale in the symmetric phase of nonabelian
theories. [Contributed talk at the NATO Advanced Research Workshop
``Electroweak Physics and the Early Universe'', 23 - 25 March 1994, Sintra,
Portugal]
","[{""version"":""v1"",""created"":""Tue, 19 Apr 1994 14:55:45 GMT""}]","2007-05-23"
"hep-ph/9404293","Kimyeong Lee","Kimyeong Lee","Quantum tunnelings with global charge","22 paged plus 6 uninclued figures","Phys.Rev. D50 (1994) 5333-5342","10.1103/PhysRevD.50.5333",,"hep-ph cond-mat",,"  We investigate quantum tunneling in the theory of a complex scalar field with
a global $U(1)$ symmetry when the charge density of the initial configuration
does not vanish. We discuss the possible final configurations and set up the
Euclidean path integral formalism to find the bubble nucleation and to study
the bubble evolution. For the stationary path, or the bounce solution, in the
Euclidean time, the phase variable becomes pure imaginary so that the charge
density remains real. We apply this formalism to examples when the initial
charge density is small. While the phase transition considered here occurs in
zero temperature, the bubble dynamics is richly complicated, involving
conserved charge, the sound wave and the supersonic bubble wall.
","[{""version"":""v1"",""created"":""Tue, 19 Apr 1994 14:08:54 GMT""}]","2009-10-28"
"hep-ph/9404294",,"S. D. Bass (Cavendish Laboratory)","Confinement and the Pion Nucleon Sigma Term","4 pages, Cavendish HEP 93/4","Phys.Lett.B329:358-360,1994","10.1016/0370-2693(94)90785-4",,"hep-ph",,"  Gribov's theory of confinement offers a simple explanaton of the value of the
pion nucleon sigma term. There is no need to invoke a large strange quark
component in the nucleon.
","[{""version"":""v1"",""created"":""Tue, 19 Apr 1994 14:19:14 GMT""}]","2008-11-26"
"hep-ph/9404295","Christoph Zecher","C.Zecher, T.Matsuura, J.J.van der Bij","Leptonic Signals from off-shell Z Boson Pairs at Hadron Colliders","18 p., DESY 94-062","Z.Phys. C64 (1994) 219-226","10.1007/BF01557393",,"hep-ph",,"  We study the gluon fusion into pairs of off-shell Z bosons and their
subsequent decay into charged lepton pairs at hadron colliders. We do not
restrict the intermediate state Z bosons to the narrow width approximation but
allow for arbitrary invariant masses. We compare the strength of this process
with the known leading order results for q q_bar -> Z Z -> 4 l and for g g -> H
-> Z Z -> 4 l .
","[{""version"":""v1"",""created"":""Tue, 19 Apr 1994 15:10:37 GMT""}]","2009-10-28"
"hep-ph/9404297","Ed Stoeffhaas","V. Barger, M.S. Berger and P. Ohmann","Implications of Supersymmetric Grand Unification","Talk presented by V. Barger at the International Conference on
  Unified Symmetry --- in the Small and the Large, Coral Gables, Florida,
  January 27--30, 1994. Standard Latex, 21 pages with figures. Uses epsf.sty to
  incorporate 15 postscript figures (uufiled and submitted via figures
  command). Can be texed without figures. Harcopies available by conventional
  mail upon request. MAD/PH/826",,,,"hep-ph",,"  Unification of the interactions of the Standard Model is possible in its
simplest supersymmetric extension. The implications of the $\lambda _t$
fixed-point solution on the top mass and on Higgs phenomenology is discussed.
Expected correlations between the masses of various supersymmetric particles
are detailed.
","[{""version"":""v1"",""created"":""Tue, 19 Apr 1994 15:21:50 GMT""}]","2007-05-23"
"hep-th/9404105",,"Vahid Karimipour (Sharif University of Technology, Tehran, Iran)","Bicovariant Differential Geometry of the Quantum Group $SL_h(2)$",,"Lett.Math.Phys. 35 (1995) 303-311","10.1007/BF00750837",,"hep-th math.QA",,"  There are only two quantum group structures on the space of two by two
unimodular matrices, these are the $SL_q(2)$ and the $SL_h(2)$ [9-13] quantum
groups. One can not construct a differential geometry on $ SL_q(2)$, which at
the same time is bicovariant, has three generators, and satisfies the Liebnitz
rule. We show that such a differential geometry exists for the quantum group
$SL_h(2)$ and derive all of its properties.
","[{""version"":""v1"",""created"":""Mon, 18 Apr 1994 16:50:45 GMT""},{""version"":""v2"",""created"":""Mon, 10 Oct 1994 15:23:29 GMT""}]","2009-10-28"
"hep-th/9404108","Rachel Rietdijk","E. Corrigan, P.E. Dorey, R.H. Rietdijk, R. Sasaki","Affine Toda field theory on a half line","16 pages, TEX (harvmac), DTP-94/7, YITP/U-94-11","Phys.Lett. B333 (1994) 83-91","10.1016/0370-2693(94)91011-1",,"hep-th",,"  The question of the integrability of real-coupling affine toda field theory
on a half-line is addressed. It is found, by examining low-spin conserved
charges, that the boundary conditions preserving integrability are strongly
constrained. In particular, for the $a_n\ (n>1)$ series of models there can be
no free parameters introduced by the boundary condition; indeed the only
remaining freedom (apart from choosing the simple condition $\partial_1\phi
=0$), resides in a choice of signs. For a special case of the boundary
condition, it is argued that the classical boundary bound state spectrum is
closely related to a consistent set of reflection factors in the quantum field
theory.
","[{""version"":""v1"",""created"":""Mon, 18 Apr 1994 17:21:48 GMT""}]","2009-10-28"
"hep-th/9404109","Damiano Anselmi","D. Anselmi, P. Fre', L. Girardello and P. Soriani","Constrained Topological Gravity from Twisted N=2 Liouville Theory","48 pages, LaTex file, SISSA 49/94/EP, IFUM 468/FT","Nucl.Phys. B427 (1994) 351-397","10.1016/0550-3213(94)90281-X",,"hep-th",,"  In this paper we show that there exists a new class of topological field
theories, whose correlators are intersection numbers of cohomology classes in a
constrained moduli space. Our specific example is a formulation of 2D
topological gravity. The constrained moduli-space is the Poincare' dual of the
top Chern-class of the bundle $E_\rightarrow {\cal M}_g$, whose sections are
the holomorphic differentials. Its complex dimension is $2g-3$, rather then
$3g-3$. We derive our model by performing the A-topological twist of N=2
supergravity, that we identify with N=2 Liouville theory, whose rheonomic
construction is also presented. The peculiar field theoretical mechanism,
rooted in BRST cohomology, that is responsible for the constraint on moduli
space is discussed, the key point being the fact that the graviphoton becomes a
Lagrange multiplier after twist. The relation with conformal field theories is
also explored. Our formulation of N=2 Liouville theory leads to a
representation of the N=2 superconformal algebra with $c=6$, instead of the
value $c=9$ that is obtained by untwisting the Verlinde and Verlinde
formulation of topological gravity. The reduced central charge is the shadow,
in conformal field theory, of the constraint on moduli space.
","[{""version"":""v1"",""created"":""Mon, 18 Apr 1994 19:37:40 GMT""}]","2009-10-28"
"hep-th/9404110",,"I. Volovich","Quantum Group Sheaf and Quantum Manifolds","12 pages",,,"SMI-94-2, CVR-94-10","hep-th math.QA",,"  The problem of introducing a dependence of elements of quantum group on
classical parameters is considered. It is suggested to interpret a homomorphism
from the algebra of functions on quantum group to the algebra of sections of a
sheaf of algebras on a classical manifold as describing such a dependence. It
is argued that the functorial point of view of group schemes is more
appropriate in quantum group field theory. A sheaf of the Hopf algebras over
the manifold (quantum sheaf) is constructed by using bosonization formulas for
the algebra of functions on the quantum group $SU_{q}(2)$ and the theory of
repre- sentations of canonical commutation relations. A family of automorphisms
of the Hopf algebra depending on classical variables is described. Quantum
manifolds, i.e. manifolds with commutative and non-commutative coordinates are
discussed as a generalization of supermanifolds. Quantum group chiral fields
and relations with algebraic differential calculus are discussed.
","[{""version"":""v1"",""created"":""Tue, 19 Apr 1994 10:06:00 GMT""}]","2008-02-03"
"hep-th/9404112","Folkert Mueller-Hoissen","A. Dimakis and F. M\""uller-Hoissen","Discrete differential calculus, graphs, topologies and gauge theory","36 pages, revised version, appendix added","J.Math.Phys. 35 (1994) 6703-6735","10.1063/1.530638","GOET-TP 1/94","hep-th gr-qc math.QA",,"  Differential calculus on discrete sets is developed in the spirit of
noncommutative geometry. Any differential algebra on a discrete set can be
regarded as a `reduction' of the `universal differential algebra' and this
allows a systematic exploration of differential algebras on a given set.
Associated with a differential algebra is a (di)graph where two vertices are
connected by at most two (antiparallel) arrows. The interpretation of such a
graph as a `Hasse diagram' determining a (locally finite) topology then
establishes contact with recent work by other authors in which discretizations
of topological spaces and corresponding field theories were considered which
retain their global topological structure. It is shown that field theories, and
in particular gauge theories, can be formulated on a discrete set in close
analogy with the continuum case. The framework presented generalizes ordinary
lattice theory which is recovered from an oriented (hypercubic) lattice graph.
It also includes, e.g., the two-point space used by Connes and Lott (and
others) in models of elementary particle physics. The formalism suggests that
the latter be regarded as an approximation of a manifold and thus opens a way
to relate models with an `internal' discrete space ({\`a} la Connes et al.) to
models of dimensionally reduced gauge fields. Furthermore, also a `symmetric
lattice' is studied which (in a certain continuum limit) turns out to be
related to a `noncommutative differential calculus' on manifolds.
","[{""version"":""v1"",""created"":""Tue, 19 Apr 1994 09:49:59 GMT""},{""version"":""v2"",""created"":""Fri, 23 Sep 1994 20:11:00 GMT""}]","2009-10-28"
