"alg-geom/9404008","Yukari-i","Yukari Ito","Crepant resolution of trihedral singularities","10 pages, Ams-Tex version 2.1, UTMS/94-18 (Dept. of Mathematical
  Science, Univ. of Tokyo)",,,,"alg-geom math.AG",,"  The purpose of this paper is to construct a crepant resolution of quotient
singularities by trihedral groups ( finite subgroups of SL(3,C) of certain type
), and prove that each Euler number of the minimal model is equal to the number
of conjugacy classes. Trihedral singularities are 3-dimensional version of
D_n-singularities, and they are non-isolated and many of them are not complete
intersections. The resolution is similar to one of D_n-singularities. There is
a nice combination of the toric resolution and Calabi-Yau resolution.
","[{""version"":""v1"",""created"":""Fri, 15 Apr 1994 07:28:08 GMT""}]","2008-02-03"
"cond-mat/9404042","George Batrouni","G.G. Batrouni, R.T. Scalettar, G.T. Zimanyi, A.P. Kampf","Supersolids in the Bose-Hubbard Hamiltonian","11 pages, Revtex 3.0, 6 figures (upon request)",,"10.1103/PhysRevLett.74.2527",,"cond-mat",,"  We use a combination of numeric and analytic techniques to determine the
groun d state phase diagram of the Bose--Hubbard Hamiltonian with longer range
repulsi ve interactions. At half filling one finds superfluidity and an
insulating solid phase. Depending on the relative sizes of near--neighbor and
next near--neighbor interactions, this solid either follows a checkerboard or a
striped pattern. In neither case is there a coexistence with superfluidity.
However upon doping ``supersolid'' phases appear with simultaneous diagonal and
off--diagonal long range order.
","[{""version"":""v1"",""created"":""Thu, 14 Apr 1994 20:02:26 GMT""}]","2009-10-22"
"cond-mat/9404043","Daniel Boyanovsky","D. Boyanovsky, C.A.A. de Carvalho and E. S. Fraga","Polarons as Nucleation Droplets in Non-Degenerate Polymers","REVTEX 3.0, 28 PAGES, 3 FIGURES AVAILABLE UPON REQUEST, PITT 94-05",,"10.1103/PhysRevB.50.2889",,"cond-mat",,"  We present a study of the nucleation mechanism that allows the decay of the
metastable phase (trans-cisoid) to the stable phase
  (cis-transoid) in quasi one-dimensional non-degenerate polymers within the
continuum electron-phonon model. The electron-phonon configurations that lead
to the decay, i.e. the critical droplets (or transition state), are identified
as polarons of the metastable phase. We obtain an estimate for the decay rate
via thermal activation within a range of parameters consistent with
experimental values for the gap of the cis-configuration. It is pointed out
that, upon doping, the activation barriers of the excited states are quite
smaller and the decay rate is greatly enhanced. Typical activation energies for
electron or hole polarons are $\approx 0.1$ eV and the typical size for a
critical droplet (polaron) is about $20 \AA$. Decay via quantum nucleation is
also studied and it is found that the crossover temperature between quantum
nucleation and thermal activation is of order $T_c \leq 40 ^oK$. Metastable
configurations of non-degenerate polymers may provide examples for mesoscopic
quantum tunneling.
","[{""version"":""v1"",""created"":""Thu, 14 Apr 1994 22:30:34 GMT""}]","2009-10-22"
"cond-mat/9404044",,"Werner Fischer, Hajo Leschke, and Peter Mu""ller","Dynamics by White-Noise Hamiltonians","4 pages, revtex 3.0","Phys. Rev. Lett. 73, 1578 (1994)","10.1103/PhysRevLett.73.1578",,"cond-mat",,"  A new class of random quantum--dynamical systems in continuous space is
introduced and studied in some detail. Each member of the class is
characterized by a Hamiltonian which is the sum of two parts. While one part is
deterministic, time--independent, and quadratic, the Weyl--Wigner symbol of the
other part is a homogeneous Gaussian random field which is delta correlated in
time and arbitrary, but smooth in position and momentum. Exact expressions for
the time evolution of both(mixed) states and observables averaged over
randomness are obtained.The differences between the quantum and the classical
behavior are clearly exhibited.As a special case it is shown that, if the
deterministic part corresponds to a particle subjected to a constant magnetic
field,the spatial variance of the averaged state grows diffusively for long
times independent of the initial state.
","[{""version"":""v1"",""created"":""Fri, 15 Apr 1994 11:43:40 GMT""}]","2009-10-22"
"cond-mat/9404045","Claudius Gros","Claudius Gros, Roser Valenti","Spin-charge separation at small lengthscales in the 2D t-J model","REVTEX, 5 pages, 5 figures hardcopies available",,"10.1103/PhysRevB.50.11313",,"cond-mat",,"  We consider projected wavefunctions for the 2D $t-J$ model. For various
wavefunctions, including correlated Fermi-liquid and Luttinger-type
wavefunctions we present the static charge-charge and spin-spin structure
factors. Comparison with recent results from a high-temperature expansion by
Putikka {\it et al.} indicates spin-charge separation at small lengthscales.
","[{""version"":""v1"",""created"":""Fri, 15 Apr 1994 13:27:43 GMT""}]","2009-10-22"
"gr-qc/9404029","Charles Torre","C. G. Torre","The Problems of Time and Observables: Some Recent Mathematical Results","Talk presented at the Lanczos Centenary Conference 3 pages, plain TeX",,,,"gr-qc",,"  We present 2 recent results on the problems of time and observables in
canonical gravity. (1) We cannot use parametrized field theory to solve the
problem of time because, strictly speaking, general relativity is not a
parametrized field theory. (2) We show that there are essentially no local
observables for vacuum spacetimes.
","[{""version"":""v1"",""created"":""Thu, 14 Apr 1994 17:44:09 GMT""}]","2007-05-23"
"gr-qc/9404030","Charles Torre","I. M. Anderson and C. G. Torre","Classification of Generalized Symmetries for the Vacuum Einstein
  Equations","57 pages, plain TeX","Commun.Math.Phys.176:479-539,1996","10.1007/BF02099248",,"gr-qc",,"  A generalized symmetry of a system of differential equations is an
infinitesimal transformation depending locally upon the fields and their
derivatives which carries solutions to solutions. We classify all generalized
symmetries of the vacuum Einstein equations in four spacetime dimensions. To
begin, we analyze symmetries that can be built from the metric, curvature, and
covariant derivatives of the curvature to any order; these are called natural
symmetries and are globally defined on any spacetime manifold. We next classify
first-order generalized symmetries, that is, symmetries that depend on the
metric and its first derivatives. Finally, using results from the
classification of natural symmetries, we reduce the classification of all
higher-order generalized symmetries to the first-order case. In each case we
find that the generalized symmetries are infinitesimal generalized
diffeomorphisms and constant metric scalings. There are no non-trivial
conservation laws associated with these symmetries. A novel feature of our
analysis is the use of a fundamental set of spinorial coordinates on the
infinite jet space of Ricci-flat metrics, which are derived from Penrose's
``exact set of fields'' for the vacuum equations.
","[{""version"":""v1"",""created"":""Thu, 14 Apr 1994 17:44:32 GMT""}]","2008-11-26"
"hep-ph/9404269","Zpli","Zhenping Li","The Threshold Pion-Photoproduction of Nucleons In The Chiral Quark Model",,"Phys.Rev. D50 (1994) 5639-5646","10.1103/PhysRevD.50.5639",,"hep-ph nucl-th",,"  In this paper, we show that the low energy theorem (LET) of the threshold
pion-photoproduction can be fully recovered in the quark model. An essential
result of this investigation is that the quark-pion operators are obtained from
the effective chiral Lagrangian, and the low energy theorem does not require
the constraints on the internal structures of the nucleon. The pseudoscalar
quark-pion coupling generates an additional term at order $\mu=m_{\pi}/M$ only
in the isospin amplitude $A^{(-)}$. The role of the transitions between the
nucleon and the resonance $P_{33}(1232)$ and P-wave baryons are also discussed,
we find that the leading contributions to the isospin amplitudes at $O(\mu^2)$
are from the transition between the P-wave baryons and the nucleon and the
charge radius of the nucleon. The leading contribution from the P-wave baryons
only affects the neutral pion production, and improve the agreement with data
significantly. The transition between the resonance $P_{33}(1232)$ and the
nucleon only gives an order $\mu^3$ corrections to $A^{(-)}$.
","[{""version"":""v1"",""created"":""Thu, 14 Apr 1994 20:58:22 GMT""},{""version"":""v2"",""created"":""Fri, 22 Apr 1994 21:45:52 GMT""}]","2009-10-28"
"hep-ph/9404270","C. Cavata","the SMC","Measurement of the Spin-Dependent Structure Function $g_1(x)$ of the
  Proton","11 pages, CERN-PPE/94-57","Phys.Lett.B329:399-406,1994","10.1016/0370-2693(94)90793-5",,"hep-ph hep-ex",,"  We have measured the spin-dependent structure function $g_1^p$ of the proton
in deep inelastic scattering of polarized muons off polarized protons, in the
kinematic range $0.003<x<0.7$ and $1\,\mbox{GeV}^2<Q^2<60\,\mbox{GeV}^2$. Its
first moment, $\int_0^1 g_1^p(x) dx $, is found to be $0.136 \pm
0.011\,(\mbox{stat.})\pm 0.011\,(\mbox{syst.})$ at $Q^2=10\,\mbox{GeV}^2$. This
value is smaller than the prediction of the Ellis--Jaffe sum rule by two
standard deviations, and is consistent with previous measurements. A combined
analysis of all available proton, deuteron and neutron data confirms the
Bjorken sum rule to within $10\%$ of the theoretical value.
","[{""version"":""v1"",""created"":""Fri, 15 Apr 1994 08:56:12 GMT""},{""version"":""v2"",""created"":""Tue, 19 Apr 1994 10:24:13 GMT""}]","2010-01-15"
"hep-ph/9404271",,"Yue-Liang Wu","Origin and Mechanisms of CP Violation","12 pages, Latex, CMU-HEP94-02, DOE-ER/40682-55",,,,"hep-ph",,"  It is shown that the mechanism of spontaneous symmetry breaking provides not
only a mechanism for giving mass to the bosons and the fermions, but also a
mechanism for generating CP-phase of the bosons and the fermions. A two-Higgs
doublet model with Vacuum CP Violation and Approximate Global $U(1)$ Family
Symmetries (AGUFS) is built and may provide one of the simplest and attractive
models in understanding origin and mechanisms of CP violation at the weak
scale. It is seen that CP violation occurs everywhere it can from a single CP
phase of the vacuum and is generally classified into four types of CP-violating
mechanism. A new type of CP-violating mechanism is emphasized and can provide a
consistent application to both the established and the reported CP-, T- and
P-violating phenomena.
","[{""version"":""v1"",""created"":""Fri, 15 Apr 1994 13:56:07 GMT""},{""version"":""v2"",""created"":""Fri, 15 Apr 1994 14:05:54 GMT""}]","2008-02-03"
"hep-ph/9404272","A. Hammerschmitt","A.Hammerschmitt, J. Kripfganz, M.G. Schmidt","Baryon Asymmetry from a Two Stage Electroweak Phase Transition ?","13 p., 5 figs included (to be transf. into Fig_.eps files),
  HD-THEP-94-08","Z.Phys. C64 (1994) 105-110","10.1007/BF01557241",,"hep-ph",,"  We investigate an extension of the standard model with a second Higgs
doublet, showing a two stage phase transition. Wash-out of a baryon asymmetry
after the phase transition can be easily avoided in this class of models. B+L
transitions are more strongly suppressed in the intermediate phase than in the
high temperature symmetric phase,however. Therefore, it becomes more difficult
if not impossible to generate a sufficient baryon asymmetry during the phase
transition.
","[{""version"":""v1"",""created"":""Fri, 15 Apr 1994 15:43:49 GMT""}]","2009-10-28"
"hep-th/9404082","Enrico Onofri","Lorenzo Belardinelli and Enrico Onofri","The Numerical Sausage","15 pages, uuencoded postscript file",,,,"hep-th",,"  The renormalization group equation describing the evolution of the metric of
the non linear sigma models poses some nice mathematical problems involving
functional analysis, differential geometry and numerical analysis. We describe
the techniques which allow a numerical study of the solutions in the case of a
two-dimensional target space (deformation of the $O(3)\; \sigma$--model. Our
analysis shows that the so-called sausages define an attracting manifold in the
U(1) symmetric case, at one-loop level. The paper describes i) the known
analytical solutions, ii) the spectral method which realizes the numerical
integrator and allows to estimate the spectrum of zero--modes, iii) the
solution of variational equations around the solutions, and finally iv) the
algorithms which reconstruct the surface as embedded in $R^3$.
","[{""version"":""v1"",""created"":""Thu, 14 Apr 1994 16:36:20 GMT""}]","2007-05-23"
"hep-th/9404084","Klaus Kirsten","Emilio Elizalde, Klaus Kirsten, Sergei Odintsov","Effective Lagrangian and the back-reaction problem in a self-interacting
  $O(N)$ scalar theory in curved spacetime","23 pages, LaTex, UB-ECM-PF 94/1","Phys.Rev.D50:5137-5147,1994","10.1103/PhysRevD.50.5137",,"hep-th",,"  A derivation of the one-loop effective Lagrangian in the self-interacting
$O(N)$ scalar theory, in slowly varying gravitational fields, is presented
(using $\zeta$-regularization and heat-kernel techniques). The result is given
in terms of the expansion in powers of the curvature tensors (up to quadratic
terms) and their derivatives, as well as in derivatives of the background
scalar field (up to second derivatives). The renormalization group improved
effective Lagrangian is studied, what gives the leading-log approach of the
whole perturbation theory. An analysis of the effective equations
(back-reaction problem) on the static hyperbolic spacetime $\reals^2 \times
H^2/\Gamma$ is carried out for the simplest version of the theory: $m^2=0$ and
$N=1$. The existence of the solution $\reals^2 \times H^2/\Gamma$, induced by
purely quantum effects, is shown.
","[{""version"":""v1"",""created"":""Thu, 14 Apr 1994 17:24:47 GMT""}]","2009-09-17"
"hep-th/9404085","Christopher Ford","Chris Ford","Multi-scale Renormalisation Group Improvement of the Effective Potential","19 pages, DIAS STP 94-09. Expanded to check large N limit, typo's
  corrected, to appear in Phys Rev D","Phys.Rev. D50 (1994) 7531-7537","10.1103/PhysRevD.50.7531",,"hep-th hep-ph",,"  Using the renormalisation group and a conjecture concerning the perturbation
series for the effective potential, the leading logarithms in the effective
potential are exactly summed for $O(N)$ scalar and Yukawa theories.
","[{""version"":""v1"",""created"":""Thu, 14 Apr 1994 16:39:28 GMT""},{""version"":""v2"",""created"":""Wed, 12 Oct 1994 19:26:22 GMT""}]","2009-10-28"
"hep-th/9404087",,"L. C. de Albuquerque, C. Farina, Silvio J. Rabello and Arvind N.
  Vaidya","On the physical interpretation of effective actions using Schwinger's
  formula","5 p., REVTEX, IF-UFRJ-94","Lett.Math.Phys. 34 (1995) 373-377","10.1007/BF00750068",,"hep-th",,"  We show explicitly that Schwinger's formula for one-loop effective actions
corresponds to the summation of energies associated with the zero-point
oscillations of the fields. We begin with a formal proof, and after that we
confirm it using a regularization prescription.
","[{""version"":""v1"",""created"":""Thu, 14 Apr 1994 17:19:30 GMT""}]","2009-10-28"
"hep-th/9404088",,"Didier Caenepeel and Martin Leblanc","Dynamical Mass Generation for Non-Abelian Gauge Fields without the Higgs","14 pages, UdeM-LPN-TH-94-194, CRM-2169",,"10.1142/S0217751X95001698",,"hep-th hep-ph",,"  We present an alternative to the Higgs mechanism to generate masses for
non-abelian gauge fields in (3+1)-dimensions. The initial Lagrangian is
composed of a fermion with current-current and dipole-dipole type
self-interactions minimally coupled to non-abelian gauge fields. The mass
generation occurs upon the fermionic functional integration. We show that by
fine-tuning the coupling constants the effective theory contains massive
non-abelian gauge fields without any residual scalars or other degrees of
freedom.
","[{""version"":""v1"",""created"":""Fri, 15 Apr 1994 02:03:24 GMT""},{""version"":""v2"",""created"":""Fri, 15 Apr 1994 15:51:28 GMT""}]","2009-10-28"
"hep-th/9404089","Simon L. Lyakhovich","S.M. Kuzenko, S.L. Lyakhovich, and A.Yu. Segal","Arbitrary Superspin Massive Superparticles","10 pages, LaTeX","Phys.Lett.B348:421-427,1995","10.1016/0370-2693(95)00186-O",,"hep-th",,"  We propose the action for a massive $N$-extended superparticle with a pure
(half)integer superspin $Y,~Y = 0, 1/2, 1, 3/2, \ldots$. Regardless of the
superspin value, the configuration space is ${\Bbb R}^{4|4N} \times S^2$, where
$S^2$ corresponds to spinning degrees of freedom. Being explicitly
super-Poincar\'e invariant, the model possesses two gauge symmetries implying
strong conservation of the squared momentum and superspin. Hamilton constrained
dynamics is developed and canonical quantization is studied. For $N$ = 1 we
show that the physical super wave-functions are to be on-shell massive chiral
superfields. Central-charges generalizations of the model are given.
","[{""version"":""v1"",""created"":""Fri, 15 Apr 1994 06:24:50 GMT""}]","2008-11-26"
"hep-th/9404090",,"M.Eliashvili","$W_{1+\infty}, Similarity Transformation and Interplay Between Integer
  and Fractional Quantum Hall Effect","10 pages, LaTex. ENSLAPP-A-466/94 (Revised version: some errors are
  corrected, references added, the assertion of quantum-mechanical equivalence
  for composite particles is related to the statistical gauge field generating
  singular unitary and similarity transformations)",,,,"hep-th",,"  We consider non-unitary similarity transformation, interconnecting the
$W_{1+\infty}$ algebra representations for the fractional $\nu=\frac{1}{2p+1}$
and integer $\nu=1$ filling fractions. This transformation corresponds to the
introduction of the complex abelian Chern-Simons gauge potentials, in terms of
which the field-theoretic description of FQHE can be developed. The Jain's
composite fermion approach and Lopez-Fradkin equivalence assertion are
considered from the point of view of unitary and similarity transformations. As
an application the second-quantized form of Laughlin function is derived.
","[{""version"":""v1"",""created"":""Fri, 15 Apr 1994 10:47:37 GMT""},{""version"":""v2"",""created"":""Sat, 16 Apr 1994 13:48:54 GMT""},{""version"":""v3"",""created"":""Fri, 29 Apr 1994 07:51:22 GMT""},{""version"":""v4"",""created"":""Wed, 18 May 1994 15:27:40 GMT""}]","2008-02-03"
"hep-th/9404091","Hans-Joerg Otto","H.-J.Otto","On Super-Liouville Operator Constructions","7 pages, Latex, HU Berlin-IEP-94/7",,,,"hep-th",,"  We review the construction of field operators of the N=1 supersymmetric
Liouville theory in terms of the components of a quantized free superfield.
","[{""version"":""v1"",""created"":""Fri, 15 Apr 1994 11:55:05 GMT""}]","2007-05-23"
"hep-th/9404092","Elias Kiritsis","E. Kiritsis and C. Kounnas (CERN)","Dynamical Topology Change in String Theory","LaTeX file, 17pp., CERN-TH.7219/94, LPTENS-94/11. (Discussions have
  been clarified in several places)","Phys.Lett. B331 (1994) 51-62","10.1016/0370-2693(94)90942-3",,"hep-th astro-ph gr-qc",,"  Exact string solutions are presented, providing backgrounds where a dynamical
change of topology is occuring. This is induced by the time variation of a
modulus field. Some lessons are drawn concerning the region of validity of
effective theories and how they can be glued together, using stringy
information in the region where the topology changes.
","[{""version"":""v1"",""created"":""Fri, 15 Apr 1994 13:05:28 GMT""},{""version"":""v2"",""created"":""Sat, 23 Apr 1994 09:13:08 GMT""},{""version"":""v3"",""created"":""Thu, 19 May 1994 19:27:17 GMT""}]","2009-10-28"
