"alg-geom/9407011","Clint McCrory","Clint McCrory and Adam Parusinski","Complex monodromy and the topology of real algebraic sets","17 pages, AMSppt, University of Sydney Pure Mathematics Research
  Reports (1994)",,,,"alg-geom math.AG",,"  We study the Euler characteristic of the real Milnor fibres of a real
analytic map, using a relation between complex monodromy and complex
conjugation. We deduce the result of Coste and Kurdyka that the Euler
characteristic of the link of an irreducible algebraic subset of a real
algebraic set is generically constant modulo 4. We generalize this result to
iterated links of ordered families of algebraic subsets.
","[{""version"":""v1"",""created"":""Tue, 19 Jul 1994 22:15:10 GMT""}]","2008-02-03"
"hep-th/9407118","Andrei Linde","G.W. Gibbons and R.E. Kallosh","Topology, Entropy and Witten Index of Dilaton Black Holes","51 pages, 4 figures, LaTeX. Considerably extended version. New
  sections include discussion of the Witten index, topology of the moduli
  space, black hole sigma model, and black hole fission with huge energy
  release","Phys.Rev.D51:2839-2862,1995","10.1103/PhysRevD.51.2839","NI94003 and SU-ITP-94-9","hep-th gr-qc",,"  We have found that for extreme dilaton black holes an inner boundary must be
introduced in addition to the outer boundary to give an integer value to the
Euler number. The resulting manifolds have (if one identifies imaginary time)
topology $S^1 \times R \times S^2 $ and Euler number $\chi = 0$ in contrast to
the non-extreme case with $\chi=2$. The entropy of extreme $U(1)$ dilaton black
holes is already known to be zero. We include a review of some recent ideas due
to Hawking on the Reissner-Nordstr\""om case. By regarding all extreme black
holes as having an inner boundary, we conclude that the entropy of {\sl all}
extreme black holes, including $[U(1)]^2$ black holes, vanishes. We discuss the
relevance of this to the vanishing of quantum corrections and the idea that the
functional integral for extreme holes gives a Witten Index. We have studied
also the topology of ``moduli space'' of multi black holes. The quantum
mechanics on black hole moduli spaces is expected to be supersymmetric despite
the fact that they are not HyperK\""ahler since the corresponding geometry has
torsion unlike the BPS monopole case. Finally, we describe the possibility of
extreme black hole fission for states with an energy gap. The energy released,
as a proportion of the initial rest mass, during the decay of an
electro-magnetic black hole is 300 times greater than that released by the
fission of an ${}^{235} U$ nucleus.
","[{""version"":""v1"",""created"":""Wed, 20 Jul 1994 05:26:49 GMT""},{""version"":""v2"",""created"":""Sat, 30 Jul 1994 07:12:52 GMT""},{""version"":""v3"",""created"":""Fri, 18 Nov 1994 04:18:48 GMT""}]","2009-09-25"
"hep-th/9407119","Vincent G. J. Rodgers","V.G.J. Rodgers","A 2D Inspired 4D Theory of Gravity","8 pages, UI-94-11 (minor typos corrected in eq 11 and eq 2)","Phys.Lett. B336 (1994) 343-346","10.1016/0370-2693(94)90543-6",,"hep-th",,"  Coadjoint orbits of the Virasoro and Kac-Moody algebras provide geometric
actions for matter coupled to gravity and gauge fields in two dimensions.
However, the Gauss' law constraints that arise from these actions are not
necessarily endemic to two-dimensional topologies. Indeed the constraints
associated with Yang-Mills naturally arise from the coadjoint orbit
construction of the WZW model. One may in fact use a Yang-Mills theory to
provide dynamics to the otherwise fixed coadjoint vectors that define the
orbits. In this letter we would like to exhibit an analogue of the Yang-Mills
classical action for the diffeomorphism sector. With this analogue one may
postulate a 4D theory of gravitation that is related to an underlying two
dimensional theory. Instead of quadratic differentials, a (1,3) pseudo tensor
becomes the dynamical variable. We briefly discuss how this tensor may be
classically coupled to matter.
","[{""version"":""v1"",""created"":""Wed, 20 Jul 1994 04:30:32 GMT""},{""version"":""v2"",""created"":""Fri, 22 Jul 1994 03:42:50 GMT""}]","2009-10-28"
"hep-th/9407120","Elizalde","E. Elizalde, S.D. Odintsov and Yu.I. Shil'nov","Schwinger-Dyson Equations in 2D Induced Gravity in Covariant Gauges","11 pages, LaTeX file, 2 figures (available upon request), 94/7/20","Mod.Phys.Lett.A9:2681-2690,1994","10.1142/S0217732394002525",,"hep-th",,"  We formulate the Schwinger-Dyson equations in the ladder approximation for 2D
induced quantum gravity with fermions using covariant gauges of harmonic type.
It is shown that these equations can be formulated consistently in a gauge of
Landau type (for negative cosmological constant). A numerical analysis of the
equations hints towards the possibility of chiral symmetry breaking, depending
on the value of the coupling constant.
","[{""version"":""v1"",""created"":""Wed, 20 Jul 1994 03:36:48 GMT""}]","2009-09-25"
"hep-th/9407122","Hitoshi Konno","Hitoshi Konno","Free Field Representation of Quantum Affine Algebra $U_q\widehat{sl_2}$
  and Form Factors in Higher Spin XXZ Model","29 pages","Nucl.Phys. B432 (1994) 457-486","10.1016/0550-3213(94)90030-2","YITP/K-1074","hep-th math.QA nlin.SI solv-int",,"  We consider the spin $k/2$ XXZ model in the antiferomagnetic regime using the
free field realization of the quantum affine algebra $\uqa$ of level $k$. We
give a free field realization of the type II $q$-vertex operator, which
describes creation and annihilation of physical particles in the model. By
taking a trace of the type I and the type II $q$-vertex operators over the
irreducible highest weight representation of $\uqa$, we also derive an integral
formula for form factors in this model. Investigating the structure of poles,
we obtain a residue formula for form factors, which is a lattice analog of the
higher spin extension of the Smirnov's formula in the massive integrable
quantum field theory. This result as well as the quantum deformation of the
Knizhnik-Zamolodchikov equation for form factors shows a deep connection in the
mathematical structure of the integrable lattice models and the massive
integrable quantum field theory.
","[{""version"":""v1"",""created"":""Wed, 20 Jul 1994 08:29:34 GMT""},{""version"":""v2"",""created"":""Thu, 21 Jul 1994 04:53:29 GMT""}]","2009-10-28"
"hep-th/9407123",,"A. Ferrando and A. Jaramillo","Two Dimensional Quantum Chromodynamics as the Limit of Higher
  Dimensional Theories","12 pages written in LaTeX, figure available from the authors,
  preprint Univ. of Valencia, FTUV/94-41","Phys.Lett. B341 (1995) 342-348","10.1016/0370-2693(94)01295-N",,"hep-th hep-lat hep-ph",,"  We define pure gauge $QCD$ on an infinite strip of width $L$. Techniques
similar to those used in finite $TQCD$ allow us to relate $3D$-observables to
pure $QCD_2$ behaviors. The non triviality of the $L \arrow 0$ limit is proven
and the generalization to four dimensions described. The glueball spectrum of
the theory in the small width limit is calculated and compared to that of the
two dimensional theory.
","[{""version"":""v1"",""created"":""Wed, 20 Jul 1994 11:15:00 GMT""}]","2009-10-28"
"hep-th/9407124","Jean-Yves Thibon","Israel Gelfand, D. Krob, Alain Lascoux, B. Leclerc, V. S. Retakh,
  J.-Y. Thibon","Noncommutative symmetric functions","111 pages",,,"LITP 94.39","hep-th math.QA",,"  This paper presents a noncommutative theory of symmetric functions, based on
the notion of quasi-determinant. We begin with a formal theory, corresponding
to the case of symmetric functions in an infinite number of independent
variables. This allows us to endow the resulting algebra with a Hopf structure,
which leads to a new method for computing in descent algebras. It also gives
unified reinterpretation of a number of classical constructions. Next, we study
the noncommutative analogs of symmetric polynomials. One arrives at different
constructions, according to the particular kind of application under
consideration. For example, when a polynomial with noncommutative coefficients
in one central variable is decomposed as a product of linear factors, the roots
of these factors differ from those of the expanded polynomial. Thus, according
to whether one is interested in the construction of a polynomial with given
roots or in the expansion of a product of linear factors, one has to consider
two distinct specializations of the formal symmetric functions. A third type
appears when one looks for a noncommutative generalization of applications
related to the notion of characteristic polynomial of a matrix. This
construction can be applied, for instance, to the noncommutative matrices
formed by the generators of the universal enveloping algebra $U(gl_n)$ or of
","[{""version"":""v1"",""created"":""Wed, 20 Jul 1994 10:45:23 GMT""}]","2008-02-03"
"hep-th/9407125",,"James Steele, Jacobus Verbaarschot, and Ismail Zahed","The Invariant Fermion Correlator in the Schwinger Model on the Torus","19 pages, SUNY-NTG-94-28","Phys.Rev. D51 (1995) 5915-5923","10.1103/PhysRevD.51.5915",,"hep-th hep-ph",,"  We construct the gauge invariant fermion correlator in the Schwinger model on
the torus. At zero temperature, this correlator falls off with a rate given by
the Coulomb energy of an infinitely heavy charge. At high temperature, the
screening mass approaches $\pi T/2$, and this in the presence of a mass gap.
The fractional Matsubara frequency arises from the action of a pair of induced
merons at high temperature that are localized over a range on the order of the
meson Compton wavelength $1/m=\sqrt{\pi}/g$. We discuss the quenched
approximation in this model, and comment on the possible relevance of some of
these results to higher dimensions.
","[{""version"":""v1"",""created"":""Wed, 20 Jul 1994 13:41:30 GMT""}]","2009-10-28"
"hep-th/9407126",,"M.Eliashvili","On the composite fermion approach in the FQHE","9p.LATEX",,,,"hep-th",,"  FQHE is presented in the form of non-unitary singular similarity
transformation, which relates the Laughlin wave function (and its particle-hole
conjugate) to the composite quasi- particle incompressible ground state.
(ENSLAPP-A-478/94)
","[{""version"":""v1"",""created"":""Wed, 20 Jul 1994 13:20:00 GMT""}]","2007-05-23"
"hep-th/9407127",,"Susumu Okubo","New Link Invariants and Yang-Baxter Equation","22 pages",,,"UR1364, ER40685-814","hep-th math.QA",,"  We have new solutions to the Yang-Baxter equation, from which we have
constructed new link invariants containing more than two arbitrary parameters.
This may be regarded as a generalization of the Jones' polynomial. We have also
found another simpler invariant which discriminates only the linking structure
of knots with each other, but not details of individual knot.
","[{""version"":""v1"",""created"":""Wed, 20 Jul 1994 14:39:58 GMT""}]","2009-09-25"
"hep-th/9407128","Elcio Abdalla","E. Abdalla and M. C. B. Abdalla","Integrability and duality in two-dimensional QCD","31 pages, plain tex prep. CERN-TH.7354/94, July 1994, with
  corrections in the text and references","Int.J.Mod.Phys.A10:1611-1640,1995","10.1142/S0217751X95000772",,"hep-th",,"  We consider bosonized $QCD_2$, and prove that after rewritting the theory in
terms of gauge invariant fields, there exists an integrability condition valid
for the quantum theory as well. Furthermore, performing a duality type
transformation we obtain an appropriate action for the description of the
strong coupling limit, which is still integrable. We also prove that the model
displays a complicated set of constraints, restricting the dynamics of part of
the theory, but which are necessary to maintain the positive metric Hilbert
space.
","[{""version"":""v1"",""created"":""Wed, 20 Jul 1994 15:23:41 GMT""},{""version"":""v2"",""created"":""Thu, 21 Jul 1994 13:36:56 GMT""}]","2011-07-19"
"hep-th/9407129","Charles Torre","C. G. Torre","Natural Symmetries of the Yang-Mills Equations","23 pages, plain TeX","J.Math.Phys. 36 (1995) 2113-2130","10.1063/1.531103",,"hep-th",,"  We define a natural generalized symmetry of the Yang-Mills equations as an
infinitesimal transformation of the Yang-Mills field, built in a local, gauge
invariant, and Poincar\'e invariant fashion from the Yang-Mills field strength
and its derivatives to any order, which maps solutions of the field equations
to other solutions. On the jet bundle of Yang-Mills connections we introduce a
spinorial coordinate system that is adapted to the solution subspace defined by
the Yang-Mills equations. In terms of this coordinate system the complete
classification of natural symmetries is carried out in a straightforward
manner. We find that all natural symmetries of the Yang-Mills equations stem
from the gauge transformations admitted by the equations.
","[{""version"":""v1"",""created"":""Wed, 20 Jul 1994 15:30:44 GMT""}]","2009-10-28"
"math/9407213",,"Mourad E. H. Ismail, David R. Masson","Generalized orthogonality and continued fractions",,,,"OP-SF 20 Jul 1994","math.CA",,"  The connection between continued fractions and orthogonality which is
familiar for $J$-fractions and $T$-fractions is extended to what we call
$R$-fractions of type I and II. These continued fractions are associated with
recurrence relations that correspond to multipoint rational interpolants. A
Favard type theorem is proved for each type. We then study explicit models
which lead to biorthogonal rational functions.
","[{""version"":""v1"",""created"":""Wed, 20 Jul 1994 00:00:00 GMT""}]","2008-02-03"
"nucl-th/9407032",,"Richard A. Arndt Igor I. Strakovsky, and Ron Workman","Analysis of $\pi$d elastic scattering data to 500 MeV","22 pages of text. VPI-CAPS-7/1","Phys.Rev.C50:1796-1806,1994","10.1103/PhysRevC.50.1796",,"nucl-th",,"  An energy-dependent and a set of single-energy partial-wave analyses of
$\pi$d elastic scattering data have been completed. Amplitudes are presented
for pion laboratory kinetic energies up to 500~MeV. These results are compared
with those found in other recent analyses. We comment on the present database
and make suggestions for future work. ( Figures are available from the authors
upon request. )
","[{""version"":""v1"",""created"":""Tue, 19 Jul 1994 17:59:46 GMT""}]","2009-09-25"
"nucl-th/9407033",,"J.Resag, C.R.Muenz","Heavy Quarkonia in the Instantaneous Bethe-Salpeter Model","RevTex, 18 pages, 7 figures, University of Bonn, TK-94-12","Nucl.Phys.A590:735,1995","10.1016/0375-9474(95)00203-D",,"nucl-th hep-ph",,"  The heavy quarkonia (Charmonium \(c\bar{c}\) and Bottomonium \(b\bar{b}\))
are investigated in the framework of the instantaneous BS-equation (Salpeter
equation). We parametrize confinement alternatively by a linearly rising scalar
or a vector interaction kernel and take into account the one-gluon-exchange
(OGE) interaction in the instantaneous approximation. Mass spectra as well as
leptonic, two-photon, E1 and M1 decay widths are calculated. Our results show
that a reasonable description of the experimental data can be obtained with
both spin structures for the confining kernel. The relativistic treatment leads
to an improved description compared to nonrelativistic results for the
two-photon width of the \(\eta_c\) and to some extent for the E1-transition
widths. However, characteristic deviations indicate that within a relativistic
framework confinement is not described adequately by a potential.
","[{""version"":""v1"",""created"":""Wed, 20 Jul 1994 12:27:54 GMT""}]","2011-07-19"
"nucl-th/9407034","K. Kubodera","Kuniharu Kubodera","Chiral perturbation in dense matter and meson condensation controversy","12 pages, USC(NT)-94-5",,,,"nucl-th",,"  An outstanding problem in the study of possible kaon condensation is the
striking discrepancy between the results of chiral perturbation theory and
those of the PCAC-plus-current-algebra approach. I discuss here what causes
this discrepancy and what needs to be done to solve the problem. In addition, I
point out the importance of examining the validity of the non-relativistic
approximation universally employed in the existing treatments of kaon
condensation.
","[{""version"":""v1"",""created"":""Wed, 20 Jul 1994 14:06:50 GMT""}]","2007-05-23"
