"adap-org/9407001","Kunihiko Kaneko","Kunihiko Kaneko (University of Tokyo) Ichiro Tsuda (Hokkaido
  University)","Constructive Complexity and Artificial Reality: An Introduction","11 pages; Physica D, in press",,"10.1016/0167-2789(94)90272-0",,"adap-org nlin.AO",,"  Basic problems of complex systems are outlined with an emphasis on
irreducibility and dynamic many-to-many correspondences. We discuss the
importance of a constructive approach to artificial reality and the
significance of an internal observer.
","[{""version"":""v1"",""created"":""Thu, 7 Jul 1994 01:05:49 GMT""}]","2009-10-22"
"hep-ph/9407243",,"I.I. Bigi","CP Violation in Beauty Decays -- the Standard Model Paradigm of Large
  Effects","CERN-TH.7207/94, Invited lecture given at the VIII Rencontres de
  Physique de la Vallee d'Aoste, La Thuile, March 1994, 17 pages in LATEX, six
  figures available from author on request",,,,"hep-ph",,"  The Standard Model contains a natural source for CP asymmetries in weak
decays, which is described by the KM mechanism. Beyond $\epsilon _K$ it
generates only elusive manifestations of CP violation in {\em light-}quark
systems. On the other hand it naturally leads to large asymmetries in certain
non-leptonic beauty decays. In particular when $B^0-\bar B^0$ oscillations are
involved, theoretical uncertainties in the hadronic matrix elements either drop
out or can be controlled, and one predicts asymmetries well in excess of 10\%
with high parametric reliability. It is briefly described how the KM triangle
can be determined experimentally and then subjected to sensitive consistency
tests. Any failure would constitute indirect, but unequivocal evidence for the
intervention of New Physics; some examples are sketched. Any outcome of a
comprehensive program of CP studies in $B$ decays -- short of technical failure
-- will provide us with fundamental and unique insights into nature's design.
","[{""version"":""v1"",""created"":""Wed, 6 Jul 1994 18:45:14 GMT""}]","2009-09-25"
"hep-ph/9407244","Bob Holdom","B. Holdom","A Dynamical Origin for the Top Mass","10 pages, LaTeX, NSF-ITP-94-68","Phys.Lett. B336 (1994) 85-90","10.1016/0370-2693(94)00985-6",,"hep-ph",,"  We describe a dynamical scheme by which isospin breaking feeds strongly into
the $t$ and $b$ masses and not into the $W$ and $Z$ masses. The third family
feels a new gauge interaction broken close to a TeV.
","[{""version"":""v1"",""created"":""Wed, 6 Jul 1994 19:24:56 GMT""}]","2009-10-28"
"hep-ph/9407245",,"A.I. L'vov and A.I. Milstein","Relativistic Oscillator Model and Delbr\""uck scattering","8 pages, LATEX, BINP 94-65","Phys.Lett. A192 (1994) 185-191","10.1016/0375-9601(94)90242-9",,"hep-ph",,"  Elastic scattering of photons in a Lorentz-scalar potential via virtual
spin-zero particle-antiparticle pairs (`` Delbr\""uck scattering"") is
considered. An analytic expression for the Delbr\""uck amplitude is found
exactly in case of an oscillator potential. General properties of the amplitude
and its asymptotics are discussed.
","[{""version"":""v1"",""created"":""Thu, 7 Jul 1994 06:17:03 GMT""}]","2009-10-28"
"hep-ph/9407247","Yuri Shtanov","Y.Shtanov (Bogolyubov Institute and Brown University), J.Traschen
  (University of Massachusetts) and R.Brandenberger (Brown University)","Universe Reheating after Inflation","40 pages, Preprint BROWN-HET-957 (revised version, some mistakes
  corrected), uses phyzzx","Phys.Rev. D51 (1995) 5438-5455","10.1103/PhysRevD.51.5438",,"hep-ph astro-ph gr-qc",,"  We study the problem of scalar particle production after inflation by a
rapidly oscillating inflaton field. We use the framework of the chaotic
inflation scenario with quartic and quadratic inflaton potentials. Particular
attention is paid to parametric resonance phenomena which take place in the
presence of the quickly oscillating inflaton field. We have found that in the
region of applicability of perturbation theory the effects of parametric
resonance are crucial, and estimates based on first order Born approximation
often underestimate the particle production. In the case of the quartic
inflaton potential $V(\varphi) = \lambda \varphi^4$, the particle production
process is very efficient even for small values of coupling constants. The
reheating temperature of the universe in this case is $\left[\lambda\, \log\,
(1/\lambda) \right]^{- 1}$ times larger than the corresponding estimates based
on first order Born approximation. In the case of the quadratic inflaton
potential the reheating process depends crucially on the type of coupling
between the inflaton and the other scalar field and on the magnitudes of the
coupling constants. If the inflaton coupling to fermions and its linear (in
inflaton field) coupling to scalar fields are suppressed, then, as previously
discussed by Kofman, Linde and Starobinsky (see e.g. Ref. 13), the inflaton
field will eventually decouple from the rest of the matter, and the residual
inflaton oscillations may provide the (cold) dark matter of the universe. In
the case of the quadratic inflaton potential we obtain the lowest and the
highest possible bounds on the effective energy density of the inflaton field
when it freezes out.
","[{""version"":""v1"",""created"":""Wed, 6 Jul 1994 20:13:02 GMT""},{""version"":""v2"",""created"":""Fri, 22 Jul 1994 22:56:03 GMT""}]","2009-10-28"
"hep-ph/9407248","Lisa Randall","Lisa Randall and Scott Thomas","Solving the Cosmological Moduli Problem with Weak Scale Inflation","21 pages, MIT-CTP-2331, NSF-ITP-94-70, SCIPP 94-16, uses phyzzx","Nucl.Phys.B449:229-247,1995","10.1016/0550-3213(95)00228-K",,"hep-ph astro-ph",,"  Many models of supersymmetry breaking involve particles with weak scale mass
and Planck mass suppressed couplings. Coherent production of such particles in
the early universe destroys the successful predictions of nucleosynthesis. We
show that this problem may be solved by a brief period of weak scale inflation.
Furthermore the inflaton potential for such an inflation naturally arises from
the same assumptions which lead to the cosmological problem. Successful
baryogenesis and preservation of density fluctuations for large scale structure
formation are also possible in this scenario.
","[{""version"":""v1"",""created"":""Thu, 7 Jul 1994 06:55:18 GMT""}]","2009-09-15"
"hep-ph/9407249",,"T. Altherr","Resummation of Perturbation Series in Non-Equilibrium Scalar Field
  Theory","11pp, 4 figures (uuencoded file), preprint CERN-TH.7336/94","Phys.Lett. B341 (1995) 325-331","10.1016/0370-2693(94)01327-9",,"hep-ph",,"  The general behaviour of perturbation series in non-equilibrium scalar field
theory is analysed in some detail, with a particular emphasis on the
``pathological terms'', generated by multiple products of $\delta$-functions.
Using an intuitive regularization method, it is shown that these terms give
large contributions at all orders, even when considering small deviations from
equilibrium. Fortunately, these terms can also be resummed and I give the
general expressions for the resummed propagators in non-equilibrium scalar
field theory, regardless of the size of deviations from equilibrium.
","[{""version"":""v1"",""created"":""Thu, 7 Jul 1994 09:46:43 GMT""}]","2016-09-01"
"hep-ph/9407250","Jan Bolz","J. Bolz, R. Jakob, P. Kroll, M. Bergmann, N.G. Stefanis","Intrinsic Transverse Size Effect","12 pages LATEX, 4 figures as compressed uu-encoded PS-file, preprint
  University of Wuppertal WU-B-94-16, University of Bochum RUB-TPII-04/94 (some
  typos eliminated)","Phys.Lett.B342:345-350,1995","10.1016/0370-2693(94)01379-Q",,"hep-ph",,"  Two recently proposed concepts to improve the perturbative calculation of
exclusive amplitudes, gluonic radiative corrections (Sudakov factor) and
confinement size effects (intrinsic transverse momentum) are combined to study
the neutron magnetic form factor in the space-like region. We find that nucleon
distribution amplitudes modelled on the basis of current QCD sum rules indicate
overlap with the existing data at the highest measured values of momentum
transfer. However, sizeable higher-order perturbative corrections (K-factor)
and/or higher-twist contributions cannot be excluded, although they may be
weaker than in the proton case.
","[{""version"":""v1"",""created"":""Thu, 7 Jul 1994 14:33:07 GMT""},{""version"":""v2"",""created"":""Mon, 11 Jul 1994 14:57:08 GMT""}]","2009-09-25"
"hep-ph/9407251",,"D. Matalliotakis and H.P. Nilles","Implications of non-universality of soft terms in supersymmetric grand
  unified theories","15 pages (Latex) plus 5 figures (uuencoded postscript file). TUM-HEP
  201/94","Nucl.Phys. B435 (1995) 115-128","10.1016/0550-3213(94)00487-Y",,"hep-ph",,"  Most discussions of supersymmetric grand unified theories assume universality
of the soft supersymmetry breaking terms at the grand scale. We point out that
the behaviour of these theories might change significantly in the presence of
non--universal soft terms. Particularly in SO(10)--like models with a large
value of tan$\beta$ we observe a decisive change of predictions, allowing the
presence of relatively light gauginos as well as small supersymmetric
corrections to the b--quark mass. Some results remain rather stable, including
the $\mu$--$M_{1/2}$ correlation. Models with small tan$\beta$ seem to be less
affected by non--universality which mainly leads to the new possibility of
small $m_{0}$ (i.e. the squark and slepton soft mass parameter), excluded in
the universal case.
","[{""version"":""v1"",""created"":""Thu, 7 Jul 1994 15:29:40 GMT""}]","2009-10-28"
"hep-th/9407038",,"L.A.Dickey","On the constrained KP hierarchy","7pp, LaTeX",,"10.1007/BF00750069",,"hep-th",,"  An explanation for the so-called constrained hierarhies is presented by
linking them with the symmetries of the KP hierarchy. While the existence of
ordinary symmetries (belonging to the hierarchy) allows one to reduce the KP
hierarchy to the KdV hierarchies, the existence of additional symmetries allows
to reduce KP to the constrained KP.
","[{""version"":""v1"",""created"":""Wed, 6 Jul 1994 20:04:00 GMT""}]","2009-10-28"
"hep-th/9407039",,"K. Behrndt, T.T. Burwick","Towards Quantum Cosmology without Singularities","9 pages, 2 figures, Latex, epsfig.sty, epsf.tex","Phys.Rev. D52 (1995) 1292-1295","10.1103/PhysRevD.52.1292","SLAC--PUB--6506","hep-th gr-qc",,"  In this paper we investigate the vanishing of cosmological singularities by
quantization. Starting from a 5d Kaluza--Klein approach we quantize, as a first
step, the non--spherical metric part and the dilaton field. These fields which
are classically singular become smooth after quantization. In addition, we
argue that the incorporation of non perturbative quantum corrections form a
dilaton potential. Technically, the procedure corresponds to the quantization
of 2d dilaton gravity and we discuss several models. From the 4d point of view
this procedure is a semiclassical approach where only the dilaton and moduli
matter fields are quantized.
","[{""version"":""v1"",""created"":""Thu, 7 Jul 1994 00:03:42 GMT""}]","2009-10-28"
"hep-th/9407040",,"A. G. Litvak, V. A. Mironov, and A. P. Protogenov","Strong Phase Correlations of Solitons of Nonlinear Schr\""odinger
  Equation",,,,,"hep-th",,"  We discuss the possibility to suppress the collapse in the nonlinear 2+1 D
Schr\""odinger equation by using the gauge theory of strong phase correlations.
It is shown that invariance relative to $q$-deformed Hopf algebra with
deformation parameter $q$ being the fourth root of unity makes the values of
the Chern-Simons term coefficient, $k=2$, and of the coupling constant,
$g=1/2$, fixed; no collapsing solutions are present at those values.
","[{""version"":""v1"",""created"":""Thu, 7 Jul 1994 10:39:48 GMT""}]","2016-09-06"
"hep-th/9407041","Alexander Balinsky","A. A. Balinsky and Yu. Burman","Quadratic Poisson brackets compatible with an algebra structure","6 pages","J.Phys. A27 (1994) L693-L696","10.1088/0305-4470/27/18/008",,"hep-th math.QA",,"  Quadratic Poisson brackets on a vector space equipped with a bilinear
multiplication are studied. A notion of a bracket compatible with the
multiplication is introduced and an effective criterion of such compatibility
is given. Among compatible brackets, a subclass of coboundary brackets is
described, and such brackets are enumerated in a number of examples.
","[{""version"":""v1"",""created"":""Thu, 7 Jul 1994 13:25:41 GMT""},{""version"":""v2"",""created"":""Sun, 10 Jul 1994 16:01:58 GMT""}]","2009-10-28"
"hep-th/9407042","Blau Matthias","Matthias Blau and George Thompson","Equivariant Kaehler Geometry and Localization in the G/G Model","LaTex file, 40 A4 pages, IC/94/108 and ENSLAPP-L-469/94","Nucl.Phys. B439 (1995) 367-394","10.1016/0550-3213(95)00058-Z",,"hep-th",,"  We analyze in detail the equivariant supersymmetry of the $G/G$ model. In
spite of the fact that this supersymmetry does not model the infinitesimal
action of the group of gauge transformations, localization can be established
by standard arguments. The theory localizes onto reducible connections and a
careful evaluation of the fixed point contributions leads to an alternative
derivation of the Verlinde formula for the $G_{k}$ WZW model. We show that the
supersymmetry of the $G/G$ model can be regarded as an infinite dimensional
realization of Bismut's theory of equivariant Bott-Chern currents on K\""ahler
manifolds, thus providing a convenient cohomological setting for understanding
the Verlinde formula. We also show that the supersymmetry is related to a
non-linear generalization (q-deformation) of the ordinary moment map of
symplectic geometry in which a representation of the Lie algebra of a group $G$
is replaced by a representation of its group algebra with commutator $[g,h] =
gh-hg$. In the large $k$ limit it reduces to the ordinary moment map of
two-dimensional gauge theories.
","[{""version"":""v1"",""created"":""Thu, 7 Jul 1994 14:08:41 GMT""}]","2009-10-28"
"nucl-th/9407011","Andrey M. Shirokov","Yu.A.Lurie, A.M.Shirokov, and Yu.F.Smirnov (Institute for Nuclear
  Physics, Moscow State University, Moscow, 119899, Russia)","Soft dipole mode in $^{11}$Li and three body continuum","Presented by A.M.Shirokov as a talk at the Conference 'HALO-94'
  (Copenhagen, January 1994). LaTeX, 13 pages including 3 figures in postscript
  (40kb Latex file + 130kb postscript files). Latex sources for printing the
  figures are available from the authors on request",,,,"nucl-th",,"  Properties of the neutron rich $^{11}$Li nucleus are calculated in the
framework of the cluster model $^{9}$Li $+n+n$. The formalism of the harmonic
oscillator representation of the scattering theory is used for the description
of bound and continuum spectrum states in the three-body-democratic-decay
approximation. It is shown that this approach allows one to take into account
adequately the long asymptotic tail of the $^{11}$Li wave function ({\em
neutron halo}) and to reproduce correctly the binding energy, radius and
$^{11}$Li electromagnetic dissociation cross-section on target nuclei. The
shape and the energy position of the $B(E1)$ peak corresponding to the soft
dipole mode are also in agreement with experiment.
","[{""version"":""v1"",""created"":""Wed, 6 Jul 1994 23:10:13 GMT""}]","2007-05-23"
"nucl-th/9407013","Steffen Weber","S. Weber, M. Kachelriess, M. Unkelbach and H.M. Hofmann","6Li Inelastic Form Factors in a Cluster Model","4 pages figures available from author via ftp, accepted for
  publication in Phys. Rev. C","Phys.Rev.C50:1492-1495,1994","10.1103/PhysRevC.50.1492",,"nucl-th",,"  Longitudinal and transverse form factors are calculated for the transition
into the low lying excited T=0 and T=1 states of 6Li in the framework of the
resonating group model. All form factors are reproduced simultaneously using
three cluster-wavefunctions. Meson exchange currents yield only minor
corrections and do not lead to any specific structures at large momentum
transfers.
","[{""version"":""v1"",""created"":""Thu, 7 Jul 1994 07:44:27 GMT""}]","2009-09-25"
