"alg-geom/9407005","Yu. I. Manin","Yu. I. Manin","Generating Functions in Algebraic Geometry and Sums over Trees","15 pages. AMS-Tex",,,,"alg-geom math.AG",,"  We calculate generating functions for the Poincare polynomials of moduli
spaces of pointed curves of genus zero and of Configuration Spaces of Fulton
and MacPherson. We also prove that contributions of multiple coverings of
curves in a Calabi-Yau threefold calculated via Kontsevich's compactification
coincide with the prediction of Candelas et al., and Aspinwall and Morrison.
","[{""version"":""v1"",""created"":""Tue, 12 Jul 1994 13:20:50 GMT""},{""version"":""v2"",""created"":""Tue, 19 Jul 1994 14:28:40 GMT""}]","2008-02-03"
"gr-qc/9407007","Dominik Schwarz","Dominik J. Schwarz","Exact Solutions for Cosmological Perturbations with Collisionless Matter","4 pp., LaTeX, 2 figures (postscript), TUW-94-11",,"10.1007/3-540-60024-8_96",,"gr-qc astro-ph",,"  All regular and singular cosmological perturbations in a radiation dominated
Einstein-de Sitter Universe with collisionless particles can be found by a
generalized power series ansatz. Talk given at ""Birth of the Universe and
Fundamental Physics"", May 1994 (Rome).
","[{""version"":""v1"",""created"":""Mon, 11 Jul 1994 16:04:50 GMT""}]","2009-10-22"
"gr-qc/9407008",,"J. David Brown","On Variational Principles for Gravitating Perfect Fluids","(29 pages, REVTEX) (\end{document} statement has been added. That's
  all.)",,,,"gr-qc",,"  The connection is established between two different action principles for
perfect fluids in the context of general relativity. For one of these actions,
$S$, the fluid four--velocity is expressed as a sum of products of scalar
fields and their gradients (the velocity--potential representation). For the
other action, ${\bar S}$, the fluid four--velocity is proportional to the
totally antisymmetric product of gradients of the fluid Lagrangian coordinates.
The relationship between $S$ and ${\bar S}$ is established by expressing $S$ in
Hamiltonian form and identifying certain canonical coordinates as ignorable.
Elimination of these coordinates and their conjugates yields the action ${\bar
S}$. The key step in the analysis is a point canonical transformation in which
all tensor fields on space are expressed in terms of the Lagrangian coordinate
system supplied by the fluid. The canonical transformation is of interest in
its own right. It can be applied to any physical system that includes a
material medium described by Lagrangian coordinates. The result is a
Hamiltonian description of the system in which the momentum constraint is
trivial.
","[{""version"":""v1"",""created"":""Mon, 11 Jul 1994 17:23:00 GMT""},{""version"":""v2"",""created"":""Tue, 12 Jul 1994 16:48:30 GMT""}]","2008-02-03"
"gr-qc/9407009","Othmar Brodbeck","Othmar Brodbeck and Norbert Straumann","Instability Proof for Einstein-Yang-Mills Solitons with Arbitrary Gauge
  Groups","18 pages, Latex, ZU-TH 19/94",,,,"gr-qc",,"  We prove that static, spherically symmetric, asymptotically flat, regular
solutions of the Einstein-Yang-Mills equations are unstable for arbitrary gauge
groups, at least for the ``generic"" case. This conclusion is derived without
explicit knowledge of the possible equilibrium solutions.
","[{""version"":""v1"",""created"":""Tue, 12 Jul 1994 11:45:59 GMT""}]","2007-05-23"
"gr-qc/9407010","Philip Mannheim","Philip D. Mannheim (University of Connecticut)","Four Dimensional Conformal Gravity, Confinement, and Galactic Rotation
  Curves","UCONN-94-3, plain TeX, 14 pages (plus 1 figure already shown in Ap.
  J. 419, 150 (1993) - or requests to mannheim@uconnvm.uconn.edu). To appear in
  the proceedings of PASCOS 94",,,,"gr-qc astro-ph hep-th",,"  We review the current status and prospects for the conformal invariant fourth
order theory of gravity which has recently been advanced by Mannheim and
Kazanas as a candidate alternative to the standard second order Einstein
theory. We examine how it is possible in principle to replace the Einstein
theory at all while retaining its tested features, and we appeal to the wisdom
gleaned from particle physics to suggest a fully covariant, conformal invariant
alternative. We explore the theory as a microscopic fundamental theory of
elementary particles, to thus give curvature a more prominent role in
elementary particle dynamics, and in particular in the generation both of
elementary particle masses and the extended bag-like models which are thought
to describe them. We discuss the degree to which conformal gravity can compete
with string theory as a consistent candidate microscopic theory of gravity.
Additionally, we explore the theory as a macroscopic theory of gravity where
the exact, non-perturbative, classical potential is found to be of the
confining $V(r)=-\beta /r+\gamma r/2$ form, a form which enables us to provide
an explanation for the general systematics of galactic rotational velocity
curves without the need to assume the existence of copious amounts of dark
matter; with this explanation of the curves apparently not being in conflict
with the current round of microlensing observations.
","[{""version"":""v1"",""created"":""Tue, 12 Jul 1994 15:43:50 GMT""}]","2009-09-25"
"hep-ph/9407269","Carlo Ewerz","V. Gribov","Higgs and Top Quark Masses in the Standard Model without Elementary
  Higgs Boson","8 pages ps-file, Preprint University of Bonn, TK-94-11 (LaTeX file
  using pictex-macros available on request)","Phys.Lett. B336 (1994) 243-247","10.1016/0370-2693(94)00942-2",,"hep-ph",,"  In this short note I present a simple calculation of the top quark and Higgs
masses, based on the idea that in the standard model without elementary Higgs,
the fact that the $U(1)_Y$ coupling becomes of the order of unity at the Landau
scale $\lambda$ leads to spontaneous symmetry breaking and generation of
masses.
","[{""version"":""v1"",""created"":""Mon, 11 Jul 1994 16:12:16 GMT""}]","2009-10-28"
"hep-ph/9407270",,"Nguyen Ai Viet","Predictions of noncommutative space-time","7 pages, report SU-4240-583 June 1994. Talk given at MRST-94 Meeting:
  ""What Next? Exploring the Future of High-Energy Physics"" held at Mc Gill
  University, Montreal, Quebec, Canada, May 11-13, 1994. Some corrections have
  been made",,,,"hep-ph gr-qc hep-th",,"  An unified structure of noncommutative space-time for both gravity and
particle physics is presented. This gives possibilities of testing the idea of
noncommutative space-time at the currently available energy scale. There are
several arguments indicating that noncommutative space-time is visible already
at the electroweak scale. This noncommutative space-time predicts the top quark
mass m_t \sim 172 GeV, the Higgs mass M_H \sim 241 GeV and the existence of a
vector meson and a scalar, which interact universally with the matter.
","[{""version"":""v1"",""created"":""Mon, 11 Jul 1994 18:39:36 GMT""},{""version"":""v2"",""created"":""Sun, 24 Jul 1994 21:57:39 GMT""}]","2008-02-03"
"hep-ph/9407271",,"K.G. Chetyrkin, J.H. K\""uhn, A. Kwiatkowski","Perturbative QCD Corrections to the $Z$ Boson Width and the Higgs Decay
  Rate","12 pages, no figures included. A complete postscript file including
  all figures is available via anonymous ftp at ttpux2.physik.uni-karlsruhe.de
  (129.13.102.139) /ttp94-10/ttp94-10.ps, local preprint# TTP94-10",,,,"hep-ph",,"  Radiative QCD corrections significantly influence the theoretical predictions
for the decay rates of the $Z$ and the Higgs boson. The status of the QCD
calculations to the hadronic $Z$ width is reviewed. The role of mass
corrections from bottom quark final states is emphasized. An estimate of the
theoretical uncertainties is given. New results for quartic mass terms of order
${\cal O}(\alpha_s^2)$ are presented. The impact of secondary radiation of
bottom quarks on the determination of $\Gamma(Z\rightarrow b\bar{b})$ is
discussed. Second order QCD corrections to the partial decay rate
$\Gamma(H\rightarrow b\bar{b})$ are also presented in this talk. A recent
result for the flavour singlet contribution to this quantity is presented. It
includes quark mass effects and completes the otherwise massless calculations
of order $\ordas^2)$.
","[{""version"":""v1"",""created"":""Mon, 11 Jul 1994 19:51:00 GMT""}]","2007-05-23"
"hep-ph/9407272","Ramona Vogt","S. Liuti and R. Vogt","Consequences of Nuclear Shadowing for Heavy Quarkonium Production in
  Hadron-Nucleus Interactions","LBL-35821 (Revtex file, 11 pages, 3 figures, included as postscript
  files at the end)","Phys.Rev.C51:2244-2247,1995","10.1103/PhysRevC.51.2244",,"hep-ph",,"  We study nuclear shadowing in $J/\psi$ and $\Upsilon$ production in
hadron-nucleus interactions and in nucleus-nucleus collisions at the
Relativistic Heavy Ion Collider and the Large Hadron Collider. %We define the
regions in $x_f$ where nuclear shadowing begins %to set in for \jp\ and \up. As
a consequence of the perturbative $Q^2$-dependence of gluon shadowing, we
predict that $\Upsilon$ production is less suppressed than the $J/\psi$. We
show that antishadowing leads to enhanced \jp\ production at $x_f \lesssim 0$,
an effect reduced for $\Upsilon$ production.
","[{""version"":""v1"",""created"":""Mon, 11 Jul 1994 20:32:28 GMT""}]","2009-09-25"
"hep-ph/9407273",,"V. Barger, M. S. Berger, P. Ohmann, and R. J. N. Phillips","Constraints on SUSY-GUT unification from $b\to s\gamma$ decay","12 pages + 5 PS figures included (uuencoded), MAD/PH/842, RAL-94-046","Phys.Rev.D51:2438-2443,1995","10.1103/PhysRevD.51.2438",,"hep-ph",,"  The top-quark Yukawa infrared fixed-point solution of the renormalization
group equations, with minimal supersymmetry and GUT unification, defines a
low-energy spectrum of supersymmetric particle masses in terms of a few
GUT-scale parameters assuming universal boundary conditions. We give
predictions in this model for the inclusive $b\to s\gamma$ branching fraction
and investigate the impact of non-universal scalar mass boundary conditions. We
find our results do not depend significantly on the value of the GUT-scale
trilinear coupling $A^G$. The small $\tan \beta $ region favors predictions for
the inclusive $b\to s\gamma$ branching fraction close to that of the Standard
Model value. Nevertheless forthcoming experimental results can eliminate some
regions of the GUT parameter space.
","[{""version"":""v1"",""created"":""Mon, 11 Jul 1994 21:37:07 GMT""}]","2009-09-25"
"hep-ph/9407274",,"L.L.Frankfurt, G.A. Miller, M. Strikman","The Geometrical Color Optics Of Coherent High Energy Processes","60 pages, U.Wa. preprint DOE/ER/40427-06-N94; in press for Ann. Rev.
  Nucl. Part. Sct, 44 (1994). 11 figures available by airmail from author
  miller","Ann.Rev.Nucl.Part.Sci.44:501-560,1994","10.1146/annurev.ns.44.120194.002441",,"hep-ph nucl-th",,"  CONTENTS. 1.Introduction, 1.1 QCD ideas to be tested; 2. Coherence phenomena
in QED, 2.1 Charge transparency, 2.2 Charge filtering, 2.3 Charge opacity; 3.
Color transparency in perturbative QCD, 3.1 Coherence length in QCD, 3.2
Bjorken scaling for deep inelastic processes, 3.3 Hard Coherent Diffraction
{}From Nucleons and Nuclei; 4. Soft Diffractive Physics and Color Fluctuations,
4.1 Scattering eigenstates formalism; 4.2 Current information on color
fluctuations in Hadrons, 4.3 Small Size Configurations in Pions, 4.4 Nuclear
inelastic diffraction as evidence for color fluctuations near the average
value, 4.5 Inelastic screening corrections to the total cross sections; 5.
Color transparency in nuclear quasielastic reactions. 5.1 Is a small system
made?, 5.2 Time development, 5.3 Relevant data; 6. Color fluctuations in
nucleons and nucleus-nucleus collisions, 6.1 Color opacity effects, 6.2 Color
fluctuations and central collisions, 6.3 Leading hadron transparency effects in
central collisions.
","[{""version"":""v1"",""created"":""Tue, 12 Jul 1994 00:46:02 GMT""}]","2009-10-28"
"hep-ph/9407275","Oleg Selyugin","S.V.Goloskokov, O.V.Selyugin","Spin Effects in pp-scattering at difraction range and RHIC energies","10 pages, LaTex, two Tables, 3 figs. {files .ps in the end this file}
  JINR preprint E2-94-262","Phys.Atom.Nucl. 58 (1995) 1791-1794; Yad.Fiz. 58 (1995) 1894-1897",,,"hep-ph",,"  The spin effects in nucleon-nucleon scattering are calculated in the
framework of the dynamic model taking into account interactions at large
distances and the strong form factors; the model factorization of the $NN$
amplitude into the spin-dependent hadron-pomeron vertex and high-energy
spinless pomeron is obtained. Theoretical predictions for polarization and
$A_{nn}$ are made for the diffraction range at the RHIC energies.
","[{""version"":""v1"",""created"":""Tue, 12 Jul 1994 11:00:18 GMT""}]","2009-09-25"
"hep-ph/9407276","Doreen Wackeroth","Stefan Pokorski","Top Quark Mass and Supersymmetry","6 pages","Nucl.Phys.Proc.Suppl. 37B (1994) 50-55","10.1016/0920-5632(94)90660-2",,"hep-ph",,"  We summarize the expectations for the top quark mass in supersymmetric models
and discuss the potential implications of its value measured by the CDF group
in Fermilab.
","[{""version"":""v1"",""created"":""Tue, 12 Jul 1994 09:42:52 GMT""}]","2009-10-28"
"hep-ph/9407277",,"Marc Baillargeon, Paula Franzini","Accuracies of K_{e4} Parameters at Daphne","11 pages, PSI-PR-94-25",,,,"hep-ph",,"  We estimate the experimental accuracies to which the Ke4 parameters will be
measured at DAPHNE. We consider the accuracies obtainable using asymmetries,
and the maximum likelihood method. We find the current determinations of the
relevant parameters will be improved by a factor of five to ten after a year of
running at the anticipated luminosity of DAPHNE.
","[{""version"":""v1"",""created"":""Tue, 12 Jul 1994 10:46:38 GMT""}]","2007-05-23"
"hep-ph/9407278","Ofelia","F. Buccella, O. Pisanti, and F. Sannino","Energy-Charge Correlation in the $\pi^+\pi^-\pi^0$ Decay of $K_L$ and of
  Tagged Neutral Kaons","15 A4-pages LaTeX + 2 figures (available in hard copies from the
  authors upon request to pisanti@na.infn.it), preprint DSF-93/52, SUHEP-582","Z.Phys. C66 (1995) 135-140","10.1007/BF01496588",,"hep-ph",,"  We relate the asymmetries in the charged pions energy in the decay into
$\pi^+\pi^-\pi^0$ of $K_L$ and of the tagged neutral kaons. The former
asymmetry is a given combination of $\Re(\epsilon)$, $\Im(\epsilon)$, and
$|\epsilon'|$. Moreover, the non-violating CP asymmetry allows a test for the
$\chi$PT predictions within the Zel'dovich approach for the final state
interaction.
","[{""version"":""v1"",""created"":""Tue, 12 Jul 1994 10:23:05 GMT""}]","2009-10-28"
"hep-ph/9407279",,"D. Kalafatis","Nonperturbative effects in low energy effective theories of QCD","9 pages, Manchester University Preprint MC/TH 94/16",,,,"hep-ph",,"  In this talk I concentrate on the role of chiral symmetry realisation by
spin-1 fields in the low energy QCD effective lagrangian. I assume that chiral
symmetry is nonlinearly realised and that spin-1 fields transform homogeneously
under chiral rotations, which is in sharp contrast to previous works where the
$\rho$ and the $a_1$ mesons were treated as approximate gauge bosons of some
chiral group. I emphasise the role played by four-meson couplings which in our
scheme are essential for the theory to make sense. By requiring the kinetic
energy density of the theory to be bounded from below we find inequalities
relating three- and four-point meson couplings. It is finally shown how the
combination of our analysis and of unitarity requirements naturally leads to a
low-energy phenomenological lagrangian for the nonanomalous sector of $\pi\rho
a_1$ strong interactions.
","[{""version"":""v1"",""created"":""Tue, 12 Jul 1994 12:23:50 GMT""}]","2007-05-23"
"hep-ph/9407280","Sergei Voloshin","Sergei Voloshin","Fluctuations in the Mixed Event Technique","6 pages, LATEX",,,,"hep-ph",,"  A method for an evaluation of fluctuations in the mixed event technique is
proposed. It is shown, that, generally, the magnitude of the fluctuations is
proportional to $N^{3/4}$, where $N$ is the number of produced events, which
should be compared with $N^{1/2}$ for the case of independent events. The
formula eligible for the use in an analysis of experimental data is provided.
","[{""version"":""v1"",""created"":""Tue, 12 Jul 1994 14:17:57 GMT""}]","2007-05-23"
"hep-ph/9407281",,"D. Matalliotakis and H.P. Nilles","Aspects of Supersymmetry at LEP II","10 pages, TUM-HEP-205/94 (Latex file plus uuencoded postscript file,
  please observe instructions). Talk presented by H.P. Nilles at the Zeuthen
  Workshop on Elementary Particle Theory--Physics at LEP200 and Beyond and
  Beyond,Teupitz/Brandenburg, Germany, 10--15 April, 1994","Nucl.Phys.Proc.Suppl. 37B (1994) 240-250","10.1016/0920-5632(94)90681-5",,"hep-ph",,"  We give a short introduction to the concept of low energy supersymmetric
models and their phenomenological predictions. In view of the future LEP II
results we have to parametrize these predictions in a model independent way
without too many simplifying assumptions. The study must therefore include
models with {\it non--universal} soft supersymmetry breaking terms. We show
that such non--universalities might have significant influence on the
properties of these models.
","[{""version"":""v1"",""created"":""Tue, 12 Jul 1994 15:51:25 GMT""}]","2009-10-28"
"hep-ph/9407282","Sergei Voloshin","S. Voloshin and Y. Zhang","Flow Study in Relativistic Nuclear Collisions by Fourier Expansion of
  Azimuthal Particle Distributions","14 pages, 3 figures included as figures.uu at the end, REVTEX","Z.Phys.C70:665-672,1996","10.1007/s002880050141",,"hep-ph",,"  We propose a new method to study transverse flow effects in relativistic
nuclear collisions by Fourier analysis of the azimuthal distribution on an
event-by-event basis in relatively narrow rapidity windows. The distributions
of Fourier coefficients provide direct information on the magnitude and type of
flow. Directivity and two dimensional sphericity tensor, widely used to analyze
flow, emerge naturally in our approach, since they correspond to the
distributions of the first and second harmonic coefficients, respectively. The
role of finite particle fluctuations and particle correlations is discussed.
","[{""version"":""v1"",""created"":""Tue, 12 Jul 1994 15:53:48 GMT""}]","2011-05-05"
"hep-th/9407053",,"Bo-Yu Hou (Northwest University, Xi'an China), Bo-Yuan Hou (Chinese
  Academy of Sciences, Beijing, China), and Zhong-Qi Ma (Institute of High
  Energy Physics, Beijing, China)","$q$-Deformed Chern Characters for Quantum Groups $SU_{q}(N)$",,"J.Math.Phys.36:5110-5138,1995","10.1063/1.531217","BIHEP-TH-94-20","hep-th math.QA",,"  In this paper, we introduce an $N\times N$ matrix $\epsilon^{a\bar{b}}$ in
the quantum groups $SU_{q}(N)$ to transform the conjugate representation into
the standard form so that we are able to compute the explicit forms of the
important quantities in the bicovariant differential calculus on $SU_{q}(N)$,
such as the $q$-deformed structure constant ${\bf C}_{IJ}^{~K}$ and the
$q$-deformed transposition operator $\Lambda$. From the $q$-gauge covariant
condition we define the generalized $q$-deformed Killing form and the $m$-th
$q$-deformed Chern class $P_{m}$ for the quantum groups $SU_{q}(N)$. Some
useful relations of the generalized $q$-deformed Killing form are presented. In
terms of the $q$-deformed homotopy operator we are able to compute the
$q$-deformed Chern-Simons $Q_{2m-1}$ by the condition $dQ_{2m-1}=P_{m}$,
Furthermore, the $q$-deformed cocycle hierarchy, the $q$-deformed gauge
covariant Lagrangian, and the $q$-deformed Yang-Mills equation are derived.
","[{""version"":""v1"",""created"":""Mon, 11 Jul 1994 20:06:15 GMT""}]","2008-11-26"
